feature,weight,std
estate,0.11103054973237927,0.1112341213599236
community,0.05510508488455366,0.008026551863912629
oceanfront,0.04188243648701433,0.011487717126445288
camp,0.03827980441713028,0.06602870476070705
skyline,0.03288243354577989,0.053172832688862325
searching,0.02691559710108149,0.022569074278413682
custom,0.026327508269207423,0.01451042158633794
waterfront,0.02589722929921967,0.007998514854500371
private,0.022057526009696193,0.0066324777995207885
24,0.021269876310201098,0.004061967929576815
lot,0.020764781512901464,0.010863137886972983
suite,0.0174720611128663,0.006162930966482395
feb,0.01722961795191571,0.021225695681980454
opportunity,0.01719492370068374,0.014144057533708631
ocean,0.016017050290953082,0.008441141248935037
undergoing,0.01599062415549466,0.014395070995748266
entertaining,0.014759706282117957,0.010419062438783192
sky,0.01332353745440944,0.005811943691157825
designed,0.012270133210809586,0.0024535831063672896
sea,0.011812877682898648,0.023625755365797297
unparalleled,0.011701740383059267,0.002377140621018489
spa,0.010673685376852182,0.0056595922377234735
worship,0.009525184079955552,0.011666000248471786
one,0.0093444550126077,0.005194615320105545
intracoastal,0.008925980669874222,0.00882279970262751
elevator,0.008852781302666512,0.002919142666049254
renowned,0.008719773185393275,0.0030693253064640637
lushly,0.008512233571130646,0.003324035370923132
separate,0.00843868876045466,0.007576121496805408
email,0.008145857879381158,0.010758628834459015
super,0.008109810640158166,0.016219621280316333
home,0.007864509714712309,0.004616183470933327
includes,0.007391508662745761,0.009053193611511199
30,0.007103164256598982,0.009450847282631179
pool,0.006637489413814679,0.003576112386937583
wine,0.006339670100844774,0.021253186165069885
walker,0.005781306052336887,0.01382188407440299
palm,0.005739617284197163,0.004873020809125429
lb,0.00571419709497274,0.0006553498078783092
mansion,0.0050126085644985885,0.008456695034836693
gated,0.004850579329642457,0.0016978026515159584
baths,0.004573406769761768,0.0020753655689128296
incomparable,0.004557860868310027,0.009017015959579844
hand,0.004267981538934862,0.005227457834477161
bath,0.004067751134223574,0.002921284124308715
gables,0.004031961602328327,0.004926979866927583
bedrooms,0.004029701196795221,0.002709820730345087
55,0.003905447147681862,0.002237283426809897
houses,0.0038690373067965743,0.00015891351741468518
rd,0.003682868871769296,0.004599355188134558
infinity,0.003463844254732251,0.0016200083018424688
button,0.0034587331579945422,0.0069174663159890844
jupiter,0.003424715164530534,0.006048467061463917
close,0.003146678736869468,0.001613272863437345
lutron,0.0031150554806754992,0.0026532425240629316
broward,0.003022835300823079,0.003940889511306671
square,0.002990390370253326,0.003083503268280112
penthouse,0.0029890136560672075,0.0016163555568222564
compound,0.0029846677221729402,0.0013421571594611614
paddocks,0.0028902816446277233,0.0020389532788549023
audio,0.0026502802548039827,0.0011950206534723732
spaces,0.0025541890862557535,0.0006144757433183521
miami,0.0025358090575456236,0.0014821995165367689
automation,0.002532230745981856,0.0011356231702180713
enjoyed,0.0024877169429632583,0.0006000494286900933
evident,0.002463670748173108,0.004927341496346216
additional,0.002326385048203816,0.0033340835849295014
spacious,0.0022626206135836213,0.0009093943040010694
curated,0.0021971663177414945,0.0003296524317062054
marble,0.002105272012467774,0.0009796249916542638
raton,0.0020967870005140555,0.0018224656130078679
incredible,0.0020894762216548735,0.0011156393130558452
unrivaled,0.00208058804554323,0.002548910250844125
two,0.002047295816928063,0.00034132364529299003
smart,0.0020021615283076777,0.0018072348372272246
riverfront,0.0019835110826572854,0.003967218596147948
royal,0.00188000921865088,0.002011327309557819
area,0.0018543879615031678,0.0014085949597770308
deeded,0.0017546450367260213,0.0014342723598159007
completely,0.0017536504703365985,0.0015811699972016712
snow,0.001748156139630286,0.0010096072558507885
gas,0.0017121513240978548,0.0005117764245936091
100,0.0016844831485084643,0.0014337395889826418
interested,0.0016735403039981112,0.002052266296170659
sonos,0.00163286299654537,0.0015581183269634297
staff,0.0016320583195172933,0.0006796852755254099
th,0.0015817673480830851,8.159733990627286e-05
taste,0.0015699435316963938,0.0031398870633927876
finishes,0.0015620774553008587,0.0006971371333514343
85,0.0015435108616301818,0.0030870217232603636
cove,0.0015036231108056964,0.0030071262304459485
garage,0.0015027740465802797,0.0007156220086624635
plan,0.0014632692927027957,0.0007052993737908446
tile,0.0014431517573335827,0.0007347136705579689
resorts,0.001400072168376898,0.0028001443367537964
maids,0.001378882573204443,0.0009888411675979818
specifications,0.0013661615636365808,0.0027323231272731617
exquisite,0.0013600289007023036,0.00017260290880243297
trendy,0.0013470719093100492,0.0016504418005890821
built,0.0013464896396796267,0.000886617950966307
household,0.0013409148443089603,0.001649840242327957
first,0.0012942471955572632,0.0006787230132130133
suites,0.0012825922089178654,0.002636418572855813
plaster,0.0012627018556511604,0.0015646950388027916
hold,0.0012516391263526216,0.0007409705213087036
residents,0.0012285190347425701,0.000454760153053767
coastal,0.0012271726599536238,7.483559718732997e-05
beach,0.0011744774428268379,0.004071648777986413
pine,0.0011724450399633658,0.0008086667181616496
perfect,0.001163048941409972,8.310254353175394e-05
decorator,0.001130473142126931,0.0005157863708112158
inc,0.001129842896179678,0.0013858132171962767
walk,0.001124421370935913,0.0008493110628469805
temperature,0.0011241091455885144,0.002248218291177029
en,0.001124085691974175,0.0005341133041905087
south,0.0011230356931789752,0.0026564618310015863
onyx,0.0011106433461722798,0.0010142539634849098
extravagant,0.0011100933571122074,0.0022201867142244147
sound,0.0011049964816993718,0.0006581319072896795
jacuzzi,0.0010963552012971168,0.000560775085817356
ba,0.0010724126396761235,0.0021463642970730667
center,0.0010348196321563474,0.0015376539384030755
summer,0.0010324198245331927,0.0009467538299235878
renovate,0.0010064902139633515,0.002012980427926703
single,0.0009947753733357879,0.00022483524011377418
360,0.0009630170407839422,0.0
vacation,0.0009505597379900089,0.0008825392488611831
pre,0.0008552395970563342,0.0003580248797295381
story,0.0008458379330777088,0.0012491543534577535
unit,0.0008409086751921091,0.00033037372968313354
ultra,0.0008358321180137907,0.0016716642360275814
casual,0.0008259166526543904,1.3668014519563344e-05
room,0.0008170271684710517,0.0013966230983218331
directly,0.0007905329633758118,2.9749128424963734e-05
avenue,0.0007887969141852303,0.000548405440994031
greets,0.0007573962208369256,9.975382716032045e-05
magical,0.0007135394859793198,0.0004193862384652018
residences,0.0007070310568441762,0.00020436677138445134
facilities,0.000701422514306893,0.0019847242999688664
including,0.0007000663972041466,0.0014316161139919599
theater,0.0006974080957177886,0.0006926224761729882
around,0.0006866644653368947,0.0004195970698007546
development,0.0006838543617545323,0.00022890246437233633
literally,0.0006813668215476465,0.0005784852575486138
kitchen,0.0006779521638978547,0.0008768030344827962
cellar,0.0006535789540320636,0.0
appliances,0.0006452540557300157,0.00036370891174152263
restaurants,0.0006209773419051601,0.00025053065961070986
sanctuary,0.0006163706668095515,0.0009241979607869645
aqua,0.0005841929551055447,0.0009679214423034074
police,0.0005558619850617674,0.0008196947880350206
beachside,0.000553230018293327,0.0005450010825412832
island,0.0005525204041426423,0.0007109088659344275
grove,0.0005510055839023309,0.0003502252506849792
balconies,0.0005489088239262419,0.00021763508741299976
crafted,0.0005470190086819482,0.0001013813731770473
shopping,0.0005463726830003069,0.00032071565715579143
moving,0.0005455358707131097,0.0006681454193461913
property,0.0005445472917283922,0.0005887222389507265
covered,0.0005442729221295739,0.0005503109473976939
wall,0.0005426752272583268,0.00045954130141190373
numerous,0.0005404036680006552,0.0006484288314257443
restaurant,0.0005390525873427698,0.00028659471427078427
fabulous,0.0005373028896987541,6.106372464491275e-07
breathtaking,0.0005180359858641736,0.00012260237142228312
luscious,0.0005095501935084457,0.0004553249996966034
wraparound,0.0005092038332703997,0.0006471510448641522
wolf,0.000508334496563867,0.0005138336350136634
throughout,0.0005010733463642669,0.0005586895868702796
four,0.00048642662655526967,0.00019293752237523688
floor,0.0004863484083347025,0.003136733337740243
miamis,0.0004854966615504885,0.0009709933231009771
clubhouse,0.00046764552484415136,0.0005641932966231111
water,0.00046249175008172827,0.00027414056627644693
hardwood,0.0004603081322370084,0.00031208029975127914
request,0.00045899483539040274,0.0003312368761803784
cool,0.0004534845370030016,0.0
bd,0.0004334917075711431,0.0008767772334397816
maria,0.00042937324747525094,0.0008587464949505019
end,0.00042787817375176116,0.00019873569078378785
offer,0.00042123923829660013,0.00027437471322392916
windows,0.00041976982009019894,0.00012821995942472193
golf,0.00041373867348810657,0.00043499190455763075
normandy,0.0003969324919805395,0.0007938649839610791
fireplace,0.00039427367486628563,5.885169901414908e-05
lifestyle,0.00038975880463971714,7.857849457967324e-05
text,0.0003814098339038008,0.000602655084209691
heads,0.0003784418574679371,0.0
zero,0.00037599066716098584,0.0005423373207193277
coconut,0.0003698425793570603,2.772511558023996e-05
master,0.00036772398575717346,0.0018242142607350629
den,0.0003662293554780316,0.000322989494630003
ovens,0.0003560753910066161,0.0005532983050497229
freezer,0.00035363286347802616,0.0007072657269560523
inside,0.00034278853634357455,0.0004714542180174377
reunion,0.0003302947827340752,5.4593409179337633e-05
direct,0.0003256933314049082,6.869610275827266e-05
atlantic,0.00032517392859281457,0.0006168248820036438
canoe,0.0003171501755506956,0.0006343003511013912
imported,0.0003147400882765883,0.00035734115035065836
