feature,weight
estate,0.06583533739291873
pool,0.04005242309890315
suites,0.03669585926866063
170,0.032277437420604266
crestron,0.02935217016325295
compound,0.025473934028520807
residence,0.025443349361780623
oceanfront,0.024589416183425042
masterpiece,0.020495982457032207
feet,0.02024357513291544
sf,0.016757390712416494
gables,0.0160515615828721
firm,0.015021262844166033
limestone,0.0123689034602005
direct,0.011695589934007244
watch,0.011368713396929296
views,0.010426695727795953
ocean,0.009519029075923549
undergoing,0.009261601395850727
architect,0.009134047396828125
skyline,0.008922457840854632
lit,0.0077531999316001726
exposure,0.0076820620860728285
community,0.007584602445396154
feb,0.007554546831530569
wine,0.007410030696784655
intracoastal,0.007294132376361246
venetian,0.007284060376811248
ultra,0.00727284710209225
sound,0.006937928308240128
super,0.0067935303230608375
penthouse,0.006703725930048262
opportunity,0.006640659042519382
south,0.006466299359304628
includes,0.006211207792981935
walker,0.006120862167605666
camp,0.006112854314218355
every,0.006056016997694141
one,0.005969937565851641
terraces,0.005863747774332678
sea,0.005673603570237772
searching,0.005362471797762661
elevator,0.005279047054133629
amenities,0.0050595704330477515
entertaining,0.005054865217938519
waterfront,0.004788111378106873
courts,0.0047643291777065755
cove,0.004725618161445615
homes,0.004720800656083587
llc,0.004631631404666968
evident,0.004422746674961509
mansion,0.004367081749405032
palm,0.004323469585535383
sky,0.004286169595956171
suite,0.004249471335947149
worship,0.004238792698271759
lot,0.004153325736334883
private,0.003935886821215258
grandeur,0.003822740910013439
incomparable,0.003790938586364744
completion,0.003766470811790605
straight,0.003658808129495668
accents,0.0035168525331864503
summer,0.0034390734026506944
staff,0.003438646769396289
dock,0.0034129171112017823
resorts,0.003404553668275238
herringbone,0.003371945966280697
design,0.0033465410983708086
accommodations,0.0033399412525040263
square,0.0033084529830570623
furnished,0.003136524197131152
30,0.0029398982588256786
custom,0.0029333778946870523
button,0.0029045795217701787
waterway,0.002887607163737882
waterfrontage,0.002856275799599307
proportioned,0.0028385092819110443
terrazzo,0.002782951337013579
jupiter,0.0027283169518933226
interested,0.0026812217051731643
lushly,0.002679613917989258
mediterranean,0.002639140383286767
rd,0.0025898542240694006
golden,0.002562969994984876
email,0.0025256932776798278
boater,0.0025191465439624553
beach,0.002448152536725088
allowing,0.002443157608063345
sauna,0.002435882668943185
miami,0.0024241962464203438
home,0.0023588717727144595
matched,0.002316429298092356
refrigerator,0.0021968284935790215
outdoor,0.0021638562811159235
guest,0.002159475678746288
hand,0.002080246538968818
lutron,0.0019763071073613326
flagler,0.0019647481311614676
gated,0.0019623110179286156
dockage,0.0019381423163606164
transferred,0.0019036718743296397
four,0.0018851940185111542
incredible,0.001829878918207433
spa,0.0017545201660339321
would,0.0017250831466787742
riverfront,0.00172507794445138
vip,0.0017228078906711642
designed,0.001663606019220689
accompanied,0.0016245678435251418
porsche,0.0016154655274210061
miele,0.001587436793728792
smart,0.0015588975070913419
wolf,0.001554955216781145
premier,0.0015533407188428284
gulf,0.0015414089590339523
55,0.0015160164889856627
beautiful,0.0015150395382789996
unparalleled,0.0015139496578538587
allows,0.001511060387508375
liv,0.0015077876381801134
specifications,0.0015067331621290588
cabana,0.001466739111100459
zoning,0.0014580899620694093
grand,0.0014577374325038795
including,0.00145537289212348
condominium,0.0014439152040363883
sanctuary,0.0014405261330900992
best,0.0014125360102092853
flair,0.0013967038513960496
beachfront,0.0013767154940179463
ba,0.001362015222160855
auto,0.0013530262497581376
police,0.0013503016113654732
paddocks,0.0013402021435859886
temperature,0.0012668409086993215
masterfully,0.0012640380595755757
water,0.0012304320685624134
baths,0.0012144615466093312
pavilion,0.0012136105619070358
maid,0.0012094346716147607
outdoors,0.0011958882946511385
terrace,0.0011869021983912545
bayside,0.0011448553044701914
gas,0.0011390215342083232
taste,0.0011307278070219122
city,0.0011302971684102046
expansive,0.0011256520964867893
gaggenau,0.0011135266798363303
prime,0.0011085224932798417
floor,0.0011034461127022385
avenue,0.0010886284014346294
builder,0.0010872186422632142
open,0.0010599242870358173
modern,0.00105606449314629
duplex,0.0010334971877519778
style,0.0010207267038111084
renowned,0.0010110327752323386
calls,0.0010061275524450282
bay,0.0010001830970152645
circular,0.000995867324415841
broward,0.0009744346595934888
car,0.0009742781589262702
unrivaled,0.0009685927427818973
casa,0.0009551987794497202
bath,0.0009536648614804202
panoramic,0.0009424153140686706
raton,0.0009395504261921607
pub,0.0009324905500741814
renovate,0.0009232838141759706
island,0.0009076735158853165
lifestyle,0.0009014807213491679
145,0.000886249447316602
laundry,0.0008859997034387924
construction,0.0008851595101152936
located,0.0008671819549109669
cellar,0.0008624647965472809
laid,0.0008541254825421957
spectacular,0.0008211504418805802
docks,0.00081990093468074
maids,0.0008129741229843946
automation,0.0008080458742816406
stunning,0.0008061760880679717
entertainers,0.0008015655530791866
residences,0.000790108189432199
access,0.0007852462964929563
sense,0.0007846508906533438
marble,0.0007787569728807389
drenched,0.0007744076315433202
corner,0.0007697833262858398
royal,0.0007646068779069699
restaurants,0.0007535310460338669
center,0.0007497933738039242
additional,0.0007453697924580429
cypress,0.0007445574770103871
acre,0.0007442520914887325
sonos,0.0007418063725992267
miamis,0.0007392702218857666
finishes,0.0007349623984594029
spas,0.0007198877197260638
charming,0.0007111879265751143
balconies,0.0006944778133517684
first,0.0006935953328061923
85,0.0006901855695363189
begins,0.0006892930894689172
plaster,0.0006764575079423552
spacious,0.0006677857134510157
subzero,0.0006506081977703483
completely,0.0006410589454353997
fireplaces,0.0006372401675640155
household,0.0006361575641075451
stable,0.0006332469615032477
moving,0.0006264452175976185
trendy,0.0006034178028145144
facilities,0.0005999359288146206
pit,0.0005892720542989846
sleek,0.0005813050266788106
meticulously,0.0005789488157406887
normandy,0.0005720279648939731
experience,0.0005677667901310876
renderings,0.0005629358973436004
kitchen,0.0005611980430077121
audio,0.0005564535231919163
tier,0.0005554649166644788
doorman,0.0005545275733579523
european,0.000553661429636022
close,0.0005308497336809155
lavish,0.0005206732481141782
deeded,0.0005176537605342678
toto,0.0005169187821729376
separate,0.0005153216427584847
full,0.0005152311464315685
survey,0.0004948449945085724
inc,0.0004919335206645147
rarely,0.0004873647570311708
rear,0.00048302613168208663
worth,0.00048076900325751327
120,0.0004793097419426551
extravagant,0.00047723118410025956
shelf,0.0004679971454874768
big,0.00046384533952159926
frontage,0.0004608607901847009
sunset,0.0004590092924777079
degrees,0.00044343261768386023
210,0.0004412670145627724
maximum,0.0004390938632338837
snow,0.000428192008806212
perfect,0.00042664580757053813
lush,0.0004234504308066774
zero,0.0004198887764663832
master,0.00041373772381925487
