feature,weight,std
estate,0.28652700246002716,0.14104560487808881
warming,0.15814242038935053,0.05146632639302571
oceanfront,0.12751622328746456,0.024608213675349187
enjoy,0.07723110478925994,0.050837161554187583
views,0.04378500063307369,0.05232373478561731
residence,0.043078756705121755,0.023472555885771646
outdoor,0.03666960744266099,0.008154261378216674
staff,0.028902178441118042,0.035679327952652495
rare,0.02566528155997334,0.027041867306535655
creating,0.022780408328405066,0.0603835504618359
streets,0.021212371486009206,0.012975054611023547
beach,0.020431937880428342,0.004110057424465046
custom,0.017408078959459415,0.00616992612918984
acres,0.014254163787102581,0.0003043460118425778
undergoing,0.014250046429552521,0.013392673259410215
interiors,0.01280002838665233,0.012341151765702467
sf,0.01140136313068374,0.023088792457146103
community,0.011343360349910903,0.004454335519379919
february,0.01070611464032294,0.010169519600884707
architect,0.01017469747460149,0.0017995285745355464
gables,0.009859633909203813,0.013285705448365968
lutron,0.009835866735956022,0.004607594767821747
height,0.008779418666848037,0.007243877868651049
home,0.008368542672304757,0.0047287875149358985
frontage,0.008039734828634116,0.0036775323816958
direct,0.008036980336723865,0.0038602124326658034
open,0.007576164311987643,0.004476827776904922
terraces,0.007489842383243017,0.006250442866791457
wing,0.007182590877088035,0.0038759049511847736
skyline,0.007130996893975272,0.0075725658148064375
feed,0.007058859283306384,7.980091884647322e-05
info,0.006743551361110711,0.008265018534204143
palm,0.006699671268841278,0.006703150372000948
house,0.006109458896787245,0.009486446887699628
park,0.005770516459336817,0.006958641361974181
waterfront,0.005612827197982328,0.002041768971869548
elegance,0.0054088792448725,0.00014253240305608372
design,0.005184904137707091,0.006316797935114683
intracoastal,0.0050399767551976725,0.002951317176952482
location,0.0049436924324372635,0.00341204062217187
compound,0.004799087984126782,0.0014264807499396912
visitors,0.004216229460817189,0.005913162558779677
swiss,0.004044203535963353,0.0015931912860157817
timeless,0.003978256814113568,0.0010183944936792506
style,0.003912615301616062,0.006975477522962105
elevator,0.003866032470146985,0.008156099284817283
customized,0.003540256708044742,0.0008113579762082347
miele,0.003537829506303725,0.0004149855422683831
first,0.0034329171038044227,0.00011141065387698552
exclusive,0.003413842886912111,0.0017299508268286171
framed,0.0033950058822595163,0.006790011764519033
include,0.0030506188227497955,0.00042630739750997547
price,0.002992198158063042,0.006015116300943284
55,0.0027256829817786875,0.0018148372215857163
limitless,0.0026263664203580728,0.008543233346147271
foot,0.0025367265178661835,0.00012020865942434454
stalls,0.002461300620200069,0.0005133593290864772
attached,0.0023373070568171173,0.002635589522232305
sky,0.0023026695606178206,0.0022772353369650564
raton,0.002285343865054301,0.0018724445957978596
wolf,0.0021863156102213564,0.0015961864383068627
fireplaces,0.0021404151464302413,0.0022532481501628615
paddocks,0.0021171875504703676,0.000583321272302749
rustic,0.002112624682396769,0.0025876923719314786
120,0.002086092061116451,0.002774420031095269
