feature,weight
estate,0.0694864080528935
compound,0.06468422011238292
main,0.04120058057337289
completion,0.03458378541212636
residence,0.02834904001236954
oceanfront,0.02574963215044499
crestron,0.024745851880436407
masterpiece,0.023319780139619585
views,0.01877834981540804
marvel,0.0163340257111686
info,0.016101269806849037
gables,0.015190231008207973
creating,0.015010322406936142
sf,0.014963919342168754
limestone,0.014079130950945977
substantial,0.01377210233312817
ultimate,0.013119164780582344
wine,0.012829526417229413
staff,0.011606236018217033
private,0.009535124609101702
undergoing,0.008976128545409516
liv,0.008949037464439279
warming,0.00886085190248326
entertainers,0.008060613719551774
03,0.00801828237304515
inspired,0.0076980228527152
enjoy,0.007630452716853851
elevator,0.007608298501331162
house,0.0070335547755329235
skyline,0.007002346369044771
direct,0.006960538027935623
feet,0.006504406156389871
20,0.006477163951862828
beach,0.0063671643917798965
summer,0.006272167421143032
intracoastal,0.006195205559857073
penthouse,0.005824323138246469
rare,0.005708661741936527
custom,0.005184690438046889
nearly,0.0051000429462973625
palm,0.00497056072692066
ceiling,0.0046344728087589285
offers,0.004587853830320031
tiki,0.004513118526193591
community,0.004473479665799364
360,0.0043496826206706465
outdoor,0.004297381395555962
resort,0.004232649895174925
home,0.00410722069312822
architect,0.004034719458703866
soaring,0.0040085644723362275
police,0.003937189265661947
certainly,0.0038501129674210076
features,0.0038302862341745374
streets,0.003729298175810305
encompassing,0.0037075423081198594
ambiance,0.0036488514646756307
design,0.0035240760170323023
pool,0.003478304529297328
providing,0.0034561493846535438
height,0.0033966557412182163
includes,0.003393503215483734
lutron,0.00336710602643678
naples,0.0033525133701020433
wolf,0.003312576364109468
terraces,0.0033089398976288978
waterway,0.003301465017376356
resorts,0.0032559400092757765
framed,0.0032297371352092673
coveted,0.0031768530478244778
zoning,0.003143794138948477
tropical,0.0030914821894135187
sky,0.0030409041009126074
may,0.002990506125119387
five,0.0028421329673054305
walker,0.0028417662128475407
downstairs,0.002795715859683685
detailed,0.0027465569733569357
style,0.0026971902671591988
bal,0.0026711742161128972
watch,0.0026328162597217654
venetian,0.0025598071928936055
line,0.0025508166276251784
steps,0.0025488833440031134
level,0.0025424505509803593
february,0.0025376693742689346
world,0.0024410656169522467
waterfront,0.0023758825467231374
residences,0.0023561946379976172
plants,0.0023311365547924426
butlers,0.002284233454003485
limitless,0.0022677849546821564
fireplaces,0.0022645424184857296
panoramic,0.0021726723362084904
frontage,0.0021022986644397734
price,0.002066957386309081
designed,0.0020613210887720766
circular,0.001948789561674878
open,0.0019180903999617028
square,0.0018942571531175717
spectacular,0.0018841097586375151
prestigious,0.0018248379513910449
dual,0.0017878946269342991
street,0.0017639851313300916
luxury,0.001759281443288027
dishwashers,0.0017324159536935442
covered,0.0017001550720612247
spa,0.0016367264259804244
drenched,0.00155314355258529
entertainer,0.001546886206830699
four,0.0015361769400418568
mansion,0.0014947596341894907
encompass,0.0014928679309413903
ocean,0.0014692804719610914
timeless,0.0014690050340415996
half,0.0014680352497297453
class,0.0014384228602420891
worthy,0.0014282693507386302
fireplace,0.0013919320743162914
side,0.0013840387643026227
park,0.0013827739294154581
theater,0.0013786478986559001
wildlife,0.001363377160255435
bedroom,0.0013531725289269913
quarters,0.0013288837212549938
wood,0.0013269409027068491
55,0.0013039588672112692
stalls,0.0012960009703813248
benefits,0.001275615902564805
millwork,0.0012573564594855126
bath,0.001233352677112338
wing,0.0012123228416559152
walled,0.001189682937718113
modern,0.0011853799011921778
adjacent,0.0011702311647112259
avenue,0.0011467508687695637
unit,0.001131272292600357
sitting,0.0011019901147949801
feed,0.001097295948857178
olde,0.0010803236455468985
blue,0.0010323392044309474
suite,0.0010203413045601398
tech,0.0010177482857086052
materials,0.000988986870311552
wet,0.0009701649313313705
rustic,0.0009700804793787535
restaurant,0.0009644500016172843
moldings,0.0009611673428774987
butler,0.0009606320826270892
ft,0.0009492399602962471
smart,0.0009346206389793643
homes,0.0009329887972465216
sonos,0.0009278162817344019
location,0.000924883690322734
000,0.0009202640882251469
raton,0.0008999345959046199
controlled,0.0008955524473157029
room,0.0008931160393161246
glass,0.0008894175807238504
acrylic,0.0008735814304339055
sense,0.0008619195196204734
archways,0.0008614145376721087
mediterranean,0.0008470631976784667
interiors,0.0008346397348647409
cabinetry,0.0008342516271249266
parcel,0.0008311324173668996
paddocks,0.000816769642354853
combined,0.0008140202647479885
gas,0.0007952893388301999
balcony,0.0007932427522151163
lives,0.0007828428649100681
built,0.0007754261895256558
bring,0.0007614777019874713
see,0.0007508432857406248
natural,0.0007503605259627501
bunk,0.0007478044542189299
visitors,0.0007458510778115132
restaurants,0.0007436032577568131
current,0.0007349795631203936
