feature,weight,std
estate,0.19125314838215454,0.08585498999117168
ocean,0.17524923872843692,0.05483888624866319
views,0.14422377746951978,0.08529905879443556
parcel,0.0923431864098204,0.0006079403805021865
almost,0.07603466136598706,0.04208416039993722
gated,0.05044864606979425,0.035508122914350335
searching,0.04958114564092404,0.0273417672278664
second,0.041383411599741925,0.00014672825914850495
skyline,0.0340523091974668,0.04745915946068722
kohler,0.029619860157188604,0.025643684011159736
camp,0.026165488819238504,0.05287517845689147
intracoastal,0.026095641625681454,0.0038398633450371774
residence,0.025370282171549928,0.0427902299661188
floor,0.025042601440631973,0.01055061059893143
community,0.024552027048341696,0.01769014002264076
home,0.02359027139392955,0.00978817327497076
entertaining,0.022493832111905077,0.018876977958337735
sf,0.020403943801262113,0.030369197600496948
finishes,0.01977645711574407,0.01146854618867004
feb,0.0194837884718424,0.02389738494738069
restaurants,0.018593980089302777,0.015267920921703615
info,0.017453257710825155,0.03490651542165031
aquatic,0.016397595728365168,0.021437076372907683
walker,0.015315511384847057,0.009417394616672592
feet,0.015203420762573704,0.02158626579204386
substantial,0.014491201855081926,0.02898240371016385
miele,0.014427294417998704,0.0017244678635207043
wine,0.014392940561930167,0.029802801709553812
marble,0.012647177865534686,0.010239556207787699
courts,0.012505768831267217,0.008052912867176918
neighborhood,0.011845065597622152,0.023681573152003255
limitless,0.011427230854078197,0.010097007750862927
highest,0.011299747952064365,0.01026133435545992
undergoing,0.010934311471644077,0.010203346261650308
outdoor,0.009638284671630437,0.014899257239004567
open,0.008940157872279952,0.012681912561834487
elevator,0.008223611171383816,0.005002551556475079
enjoy,0.008121998219083526,0.01645267177829678
present,0.0076476017110338025,0.0045281305784289575
waterfront,0.007416866065333938,0.005480279771240162
florida,0.007406623013660374,0.008866130535478233
infinity,0.006398363971572429,0.0027883676354169443
firm,0.006310830461994543,0.033947762132460195
beach,0.006275890555287234,0.002944107320073642
unparalleled,0.006266181767348789,0.0032901146842804654
55,0.006015704887788109,0.001477690382251064
real,0.005970540997810314,0.0005501484264481676
summer,0.005484874471452317,0.0022974494960420243
complete,0.00533062335726191,0.009494580736305082
spaces,0.005217186031753629,0.0040061050382675925
police,0.004953745105755613,0.0072677677442257085
deeded,0.004682228573677172,0.0031921364210728597
office,0.00464275389223352,0.00319474456369754
end,0.004606659745194364,0.002968970589487891
dock,0.004592662113601343,0.002483470647768894
control,0.004526108730924028,0.004116390526094722
mansion,0.004499114560998452,0.007812568009136999
pool,0.004463298459889664,0.0056076804448077795
bespoke,0.004295837915661904,0.0
crestron,0.004289677338775055,0.0
proportioned,0.004289641803246891,0.008579283606493782
premier,0.004251602509360186,0.005868953421688911
luxury,0.004222669499054366,0.004862438735475298
cove,0.004050940378187695,0.008102649629083723
gaggenau,0.0038044368874246446,0.002062086200736852
wood,0.003738729282887743,0.0001262734775250639
biscayne,0.003684985219339998,0.001901846423452909
bedroom,0.0035998653690181735,0.0038937496531060312
30,0.0035506835581793792,0.006963952676881457
bridges,0.0035283540229836597,0.00358224841806109
44,0.003486829979007888,0.0028755163572556828
appointments,0.003449473657152291,0.0024887633040824916
class,0.0034402219329472848,0.002934678448986329
unit,0.0033489580326139913,0.0003939514335027984
condo,0.0032788510055452138,0.002080831101445106
expansive,0.003233121706358011,0.00310549840624226
water,0.0032170787544295366,0.0008267962311801477
zoning,0.003203108881343608,0.006406217762687217
amenities,0.0027881032961689202,0.004965292360019583
opportunity,0.002742583147384714,0.001474987740119526
world,0.0026090004755812135,5.621651203641141e-05
avenue,0.0025317931121942917,0.0037807912691843327
organic,0.0025057086988162338,0.0032872442036779768
stone,0.0023681235230796015,0.004733259485766082
private,0.0023311379052867397,0.005524765112624048
new,0.002269910874578951,0.003495065899246618
grove,0.002253725897267156,0.0020441913781898986
millionaires,0.0022453181626413965,0.0027867954509383894
contractor,0.002230082928886068,0.014384826847746137
style,0.0022055259911401225,0.0019290439624283387
acres,0.002148222007651146,0.000690049473660439
waterside,0.002115726231430015,7.22621287149139e-05
sited,0.001982599620322922,0.0026303301746652503
poinciana,0.0019496318235160625,0.003899263647032125
bathroom,0.0019488285077348788,0.0024486019453767082
center,0.0019372029368249777,0.00022226672858064375
paddocks,0.0019216839095863136,0.0012009082955341688
shopping,0.0018468752421948675,0.0012632032528867782
bath,0.0018326840620350726,0.0038756576940460817
automation,0.0018223545604154178,0.00047296623440667415
miami,0.0017972325043062564,0.00023763546503324069
section,0.0017918212266860856,0.0035836424533721716
beautiful,0.0017653600925441992,0.0018543116709779422
ensuite,0.0017646339320976701,8.23921986830456e-05
caribbean,0.0017244340352385202,0.0013782532344891606
construction,0.0017078621596366972,0.0014908062182705805
baths,0.0016940772929217919,0.003700683807074801
maids,0.0016703858701176966,0.0011710050114361729
interested,0.0016557946092414344,0.002060497673057694
island,0.0015731690181069347,0.0011210185438605559
invites,0.0015103018244916999,0.0030206036489833997
acclaimed,0.0015088912427141832,4.4614374726483286e-05
problem,0.0014964517364470797,0.001223135457352292
temperature,0.0014876304608292478,0.0029752609216584956
simulator,0.0014869379260100235,0.0003399846439785773
household,0.0014495324678756027,0.0017814787661484136
preferred,0.0014485284643497298,0.0028970569286994596
overlooking,0.0014323040840265478,0.0005375378795857188
garage,0.0014303474744593813,0.0005004292447662076
evident,0.0013994524016574417,0.0027989048033148834
mediterranean,0.0013856950635498411,0.0017609879116699783
oak,0.0013693700529608054,0.001721389318259241
large,0.0013522535904495925,0.0004957648327738438
sub,0.001333095080306057,0.005368751743385916
doors,0.001324473416787031,0.0010950056082903636
located,0.0012587638551289082,0.001104424266766561
great,0.0012469753665763418,0.0007846603494044227
fireplace,0.0012034123075542968,0.0005875566895311738
butlers,0.0011622147215950562,0.0
imported,0.001155784044276853,0.0011310578692118138
begins,0.0011536832242542427,0.0012443942116637336
estates,0.0011350285040427899,0.0007156595286484543
inc,0.0011325473317239433,0.0013888938586367327
stall,0.0010816306594516156,0.001572810724870514
stable,0.0010731968808490144,0.0021463937616980288
house,0.0010707385152948223,0.0004820915639202344
oceanfront,0.0010664504382162042,0.0004450020950697638
sitting,0.0010634286998164378,0.00204592650204281
olde,0.0010406210545819583,0.0020812421091639167
lift,0.0010350918975289502,0.00011879922423982853
secluded,0.0009962553412952158,0.012570686545816485
penthouse,0.0009952446692413908,0.0017479989012736416
ph,0.0009902362018489707,0.00021546600411719366
wave,0.0009118818177005661,0.0012273022643253364
moving,0.0008865364359649686,0.0010857898335965613
story,0.0008856164010411672,0.0005291989821629564
se,0.0008713805922619499,0.00178391126738774
communities,0.0008278761727762429,0.00045562089151967927
theater,0.000817829684420035,0.0008472863207291754
prestigious,0.0008176280438868311,0.0008255667704692252
patio,0.0008022793764625114,0.00102895401415074
technology,0.0007834202795852895,0.0008839539195622451
boca,0.0007461062759317905,4.259118095666638e-06
design,0.0007409520719940498,0.002055096017324737
ac,0.0007363495507004992,0.001452135923461397
marvel,0.0007357167402619602,0.0011732142395823534
rates,0.0007335717608022652,0.0006658376786420505
