feature,weight
houses,0.09860360293109546
estate,0.06583536031527079
170,0.025966600699662504
residence,0.025429672860743782
crestron,0.0247706634146449
ocean,0.024183759616904704
masterpiece,0.01957452067416043
info,0.016222281666962806
firm,0.014906383954234582
gables,0.013977144229218296
substantial,0.013304897234478317
compound,0.013265739211959265
almost,0.011074479707996814
views,0.011070163837777983
limestone,0.009842735032337404
intracoastal,0.009550975903447341
section,0.009184235748261377
skyline,0.008769875383715391
proportioned,0.00870238332785798
beach,0.008513048159010118
east,0.008118646508010429
community,0.00796179231855879
feb,0.007681030298394766
venetian,0.007513150035919063
sf,0.0071957383554773595
prestigious,0.006970561134846155
providing,0.0069228950721909035
tennis,0.006515297480112176
entertaining,0.006444670513203071
luxury,0.006404692713656284
camp,0.006129794989708987
gated,0.0060214469105597974
residences,0.00598105587266681
florida,0.005977819907561585
acclaimed,0.005795686234764798
elevator,0.005784580679197603
neighborhood,0.005689115789288837
terraces,0.005665841021993388
class,0.005610889400831291
searching,0.0053659200140731365
present,0.005276647176585318
architect,0.005248624884371334
wine,0.005149555885197727
walker,0.005094789495566143
amenities,0.004999619046501391
secluded,0.004880383928682304
cove,0.004727179352666028
waterfront,0.004726306304988773
matched,0.004720470705303394
jupiter,0.004581854146950435
penthouse,0.004489151479729741
aquatic,0.004421561401646182
restaurants,0.004419916968575882
evident,0.004416414023015651
mansion,0.004373112843328346
inspired,0.004298934544217566
second,0.004129036937761728
open,0.0041110996091990775
undergoing,0.004080684782193332
enjoy,0.003914142599789875
grand,0.003810944449142238
area,0.003801665080025615
feet,0.0037777562064492507
kohler,0.0036778805164287298
electronic,0.003587291756349688
straight,0.003566044216451743
well,0.003533749070521277
premier,0.0033983237438941537
naples,0.0033945510134693853
highest,0.0033089654229344376
floor,0.0031537706894259492
private,0.003137109856235584
finishes,0.0028918547133663297
doors,0.002877676734989932
outdoor,0.00287676121833384
button,0.0028079244416150764
character,0.0027516067248521945
accents,0.002718418634307025
terrazzo,0.002718262606338751
completion,0.00267699239302104
interested,0.00263906186163823
20,0.0025994272658065314
summer,0.0025660690534977507
boater,0.002464921623132617
dock,0.0024618650438970125
renown,0.002380407882605374
home,0.0023590658391067013
grace,0.0023404800533212695
bal,0.0022962156839241737
360,0.002288113700421627
real,0.0022806495593718228
modern,0.0022647879207915414
polished,0.002220998899891449
bridges,0.002211723068971181
bedroom,0.0021701470853409685
stone,0.002158175060636742
30,0.0020838239608904027
marble,0.002062855700678991
gaggenau,0.0019640785686447604
bar,0.0019149419845480096
transferred,0.0019027848399138748
smart,0.0018750803903270733
contractor,0.0018468291856896973
deeded,0.0018250699206011156
custom,0.0018113553443120042
vip,0.0017937666428981798
azure,0.0017915997199213522
opportunity,0.0017712887065247259
statement,0.0017700241675323114
sky,0.0017531661794728509
dockage,0.0016968240064219047
staff,0.0016880501028597459
poinciana,0.0016660123913638657
limitless,0.001663914910009835
meticulously,0.0016429396492589872
55,0.0016349136209280822
courts,0.001626031221047241
beautiful,0.0016234312969186915
brs,0.0015949828180729323
front,0.0015800829291121629
design,0.0015775731053259527
one,0.0015775183017926076
palm,0.0015639992563816812
24,0.0015279225168104919
expansive,0.0015227948249495287
zoning,0.0014940603802527936
lutron,0.001492893535443301
gleaming,0.0014920628182581409
baths,0.0013958919122958764
millionaires,0.0013937892392008237
greens,0.001364016277427705
brushed,0.0013455476271675363
invites,0.0013319727261730406
road,0.0012971867354874553
temperature,0.0012735711183421716
fireplaces,0.001273100990252369
spa,0.0012625125424653308
exotic,0.0012584365878265912
discerning,0.0012434169543822386
liv,0.0012372892285466932
designed,0.001232173264874671
mini,0.0012249786180893168
miele,0.0012153776223937064
lap,0.001212391117988478
unmatched,0.0011830691432489669
pool,0.0011789607017873664
preferred,0.0011786205281215567
duplex,0.0011637096688951654
avenue,0.0011314344142085134
grade,0.0011151241639479471
44,0.0010933510871531103
paddocks,0.0010917301434418233
gym,0.0010824714935443673
taste,0.001076243049245747
quarters,0.0010691836947186522
prime,0.0010641079867395758
police,0.0010538243011907096
infinity,0.0010521316512502174
huts,0.0010476629574761235
architects,0.0010405324472652472
shower,0.0010339436932614962
create,0.0010211570904216532
parcel,0.0010066103449288958
primary,0.0009994657749345642
induction,0.0009719762817000373
miamis,0.0009709371400373986
cabana,0.0009623497918619217
desirable,0.0009537960423685455
alley,0.0009524319057815539
med,0.0009447265487525647
rustic,0.0009162264374186686
olde,0.0009011834025647683
stable,0.0008798078471209376
entertainers,0.0008777729389837441
stunning,0.0008760521705953464
unparalleled,0.000854569251858451
southern,0.0008436577595953038
control,0.0008420224032818014
elegantly,0.0008401438699459687
construction,0.0008347359532589378
office,0.0008326854501992386
mediterranean,0.000824090952467677
bath,0.0008206200994183542
automation,0.0008115494275395571
royal,0.0008106846372860023
island,0.0008081181518768122
