feature,weight,std
estate,0.1430688161104424,0.040381010321149206
oceanfront,0.05982509684503521,0.005562423248730976
ocean,0.0460751371632123,0.008856810921679314
views,0.016867254319143644,0.007781205239620363
firm,0.014042004603546144,0.00960718147246197
residence,0.01322602147017109,0.0037468986309292626
crestron,0.012185385078925748,0.00023296927196994513
skyline,0.011483154105523452,0.013616627113965945
elevator,0.007667824925536015,0.002120876733325803
wine,0.006328407678984615,0.011037554511454021
compound,0.006285506580757394,0.00470485300439705
intracoastal,0.006083399624657293,0.0020158279255531797
community,0.005979892567810197,0.0013211576440512252
feet,0.005919228141390964,0.0019301152064838366
terraces,0.005834321527316888,0.0006890572776610414
wolf,0.005679779501277671,0.00043909219040143987
searching,0.005303563268608702,0.006218918714398906
camp,0.005218871756886889,0.006132333641340984
grand,0.005034408421017345,5.470610117588811e-05
frontage,0.004521273793205616,0.0005002246109264936
sold,0.004518336528368439,0.00784702606024714
one,0.004494689942034858,0.005932405203516794
walker,0.004279956238674743,0.003153741207679198
architects,0.00408958154491732,0.0005240770715044568
summer,0.003944512142463608,0.0004984549139994702
designed,0.0039004750752783313,0.004455588541471026
undergoing,0.0037656716199552464,0.004246415074395741
bespoke,0.003555310033833625,0.00017031773348678497
penthouse,0.003419107576311453,0.0017259710120121527
outdoor,0.0033703382127105554,0.0018962960816570789
custom,0.0032893824249854873,0.0011795489781041496
55,0.003265718503237225,0.000787436705056052
almost,0.003203671048513512,0.0014308748480151088
completion,0.003196621987291515,0.0014624493809425516
sf,0.0031786265149648107,0.0007234059866245742
staff,0.0029674114285333395,0.001687042874603352
include,0.0025881388650724315,0.0032347355143247944
finishes,0.0025146949019923424,0.0007338935356588786
royal,0.0024999662402710675,0.0011898539572642178
opportunity,0.0024792217150916064,0.0019514667231678782
star,0.0024715963586418254,0.00026769574707037825
feb,0.0024696511729572325,0.0035674219923536817
spa,0.0024341588364481304,0.0009600796032162128
real,0.0023876694366842923,0.00033194334773184534
incredible,0.0021856787349021855,0.00025905844165949055
info,0.0019939956574518635,0.0033698201343881503
build,0.0019524122330549121,0.000406436763273603
inventory,0.001795301941651517,0.00016035249635050898
palm,0.0017927201568570307,0.000422561955308591
