feature,weight,std
estate,0.059581322843783015,0.011241553842134999
compound,0.032640610927666576,0.017999095109667237
masterpiece,0.024129944609777257,0.009884901858178047
crestron,0.024072923406061576,0.0068977039054029105
170,0.02283535480678055,0.015567243480882243
oceanfront,0.01678790036909471,0.015674455526417254
ocean,0.016729609151485553,0.00869380449138801
gables,0.013201156831086717,0.004798309866340539
wine,0.011518168727012192,0.012288442948001603
residence,0.01080406975300479,0.00839715481827746
sf,0.010754383799594893,0.00696976324086766
staff,0.009754978705752771,0.007891801344239387
houses,0.009621511269626426,0.022070622738408735
firm,0.008510400430575512,0.007501936717236879
elevator,0.008415996430367393,0.004673456193290135
views,0.007460321167348638,0.006461656822525189
camp,0.007232196839266895,0.005038398271538332
feet,0.006835007462076285,0.005948076304643991
intracoastal,0.006801173291371667,0.00872735067681004
info,0.006747462624580245,0.007773202109026928
designed,0.00646938401076933,0.005718062433624806
terraces,0.006456036256960968,0.004591226752893327
skyline,0.006401279503370019,0.003651134159499872
substantial,0.0063468081446889715,0.0060978975060261755
structures,0.005636877171854777,0.01447426468695901
sited,0.0055257417505742675,0.008934554558537198
guest,0.005105215940968075,0.012804984889814004
architect,0.004912324338100616,0.0026563828546261052
wolf,0.0048035889389556165,0.0029057989338627053
undergoing,0.004669129272899258,0.004123640884778732
police,0.004639690856537997,0.00590608701084158
limestone,0.004610441077723498,0.00446900116861827
direct,0.004482631099425503,0.013776167724399704
summer,0.004434748561940263,0.0061683110864986825
penthouse,0.004430858380896524,0.0050584830681567085
searching,0.004269071734102747,0.004099114230930076
certainly,0.004093642714916929,0.010772906582296984
walker,0.0040052342350814256,0.002744109893595688
mansion,0.00396801216380875,0.002637282590566567
straight,0.003564636007306654,0.0005727788116474473
cabana,0.003478990828176437,0.004825787181588497
tiki,0.0034188183090573727,0.001916747072213308
outdoor,0.003383829116818216,0.00500749870070299
community,0.003381822056529181,0.0021340481228796517
feb,0.0032927337971801773,0.0037843524433719025
11,0.003231517141568407,0.0054984040277628555
completion,0.003207566993751296,0.005340896409322899
dock,0.0032002261126756575,0.004386348691834023
360,0.0031531379143309502,0.0029971613917584173
cellar,0.0030907604001700574,0.0034401058148122764
section,0.003088930357982514,0.0036986952135231186
creates,0.002978727523419995,0.001958034785131831
porches,0.0028729043738509596,0.010419194052016561
include,0.002713458770947924,0.009557341230923565
includes,0.0026198173682434743,0.0031163764484390508
pool,0.00256972706492254,0.0021553324845102607
private,0.0025551087501749854,0.0026926692122654686
widest,0.0025540580149941146,0.004926294379607936
found,0.002522975206812273,0.009762833316937471
vip,0.002512273609044037,0.0032113182689968507
entertainers,0.002494325880390806,0.0035648085709143263
spa,0.002459793634831071,0.0019567465828368817
every,0.0024495719772829076,0.002813863398800573
waterfrontage,0.0024489158754453506,0.003642373140256332
exercise,0.002448154011956589,0.01062969865892846
charger,0.002442730859329094,0.0035169693102342536
proportioned,0.002423314862546287,0.002312557900949302
perfect,0.0023574611693690634,0.007921553975826702
amenities,0.002309621800405725,0.0024197019498527744
controlled,0.0022371613378117353,0.010393518446045854
several,0.0022220429571989148,0.007752484658413707
loggia,0.0021716680815340294,0.006313444515525109
fireplace,0.002143613649686068,0.00374954141443355
palm,0.0020780673235708817,0.0020336341741808554
llc,0.0020542423521657817,0.002785927518938278
jupiter,0.0020484482958056595,0.0023423325791378075
custom,0.002041690733039211,0.0016402777960869757
cove,0.002038952886150739,0.0021817688145627985
grand,0.0019777609285082337,0.0025189618665036593
herringbone,0.0019570685626235824,0.0018826263277596103
principal,0.0019461475684697351,0.0023950898507754978
bathrooms,0.001938371554527363,0.0031044625940044963
architecture,0.0019010837375203786,0.002220422778514378
southern,0.0018903558096185717,0.008057420862494558
finishes,0.0018687680511061486,0.0018993539589980404
consists,0.001842313604272529,0.008034774645012482
porsche,0.0018337269358544384,0.0011127792383705563
sky,0.001830885233685917,0.0015594176634439272
marble,0.0018224440998337664,0.0016770872321079024
000,0.0017731358328852407,0.002504080980700307
interiors,0.0017632746001642388,0.0035704003025246187
frontage,0.0017565939252038676,0.001817095431221327
suite,0.0017480955914508773,0.0044656884623615585
kitchen,0.0017263220894908416,0.006181842256481637
sprawling,0.0017251163176541144,0.007044627765074983
south,0.0017157001648359952,0.0025045996940919234
flagler,0.001704856616340607,0.0012391380172216747
mediterranean,0.001701314645420506,0.0018100463394893854
bespoke,0.0016732974136463587,0.001996740759406157
bal,0.001655729726109646,0.0019455320585095891
providing,0.0016528349386970335,0.002938552829579974
architects,0.0016311769217555291,0.0014916106379604629
acres,0.0016303066791403967,0.005622921923950339
story,0.0016289288663878926,0.003773621151909676
lifts,0.0016239439096668523,0.0018994245307693408
one,0.0016228589883994118,0.0013708631534049918
baths,0.0016206637270878598,0.0032459787716756375
gardens,0.0016118555832727076,0.004087630410088087
total,0.0015917216106215593,0.002489945999651221
gated,0.0015840171617659963,0.0025923625683954227
doors,0.0015811602969763772,0.006772185300484587
florida,0.0015764796094954907,0.0028299516618448266
build,0.001574919728897486,0.0015905724043035337
refrigeration,0.0015608053109693342,0.0018956052068560892
