feature,weight,std
estate,0.06313395214012153,0.009522105336979923
compound,0.05324089900002739,0.025935497288837123
crestron,0.02332266885588706,0.008668326330067104
masterpiece,0.02164361633255809,0.009503221521265835
oceanfront,0.016889860847247286,0.011933635751326884
residence,0.016846370907944826,0.009807136689312239
170,0.015521938020195945,0.016855475941026973
wine,0.013863829906608272,0.010282010001250794
sf,0.01180457608779612,0.0070472128631223485
substantial,0.011243100763324153,0.005127335663770093
gables,0.010480118838277068,0.006690514409074184
ocean,0.009516687041002309,0.007561225059046992
views,0.009356268279119522,0.006548243196543059
staff,0.009325104936337047,0.0073243818303381164
houses,0.00909602436955007,0.02220594763978723
liv,0.00836214807705249,0.0020275524301983637
designed,0.007864925900466193,0.006120838483816158
elevator,0.0070499698843094006,0.0048671656997996806
museum,0.006943552813479066,0.013046436365304698
info,0.006758643788805737,0.007702073962732511
direct,0.006156752595477069,0.01651687138296722
limestone,0.005744533482352449,0.005128174344030769
feet,0.005501371989042705,0.004855100960797752
terraces,0.005414349766457395,0.003122718660997735
completion,0.005403397012616674,0.010135581114936548
camp,0.005270305846923245,0.005911443545263179
police,0.0049590112123625045,0.005159847763516214
structures,0.004838737209402094,0.01346209889877586
wolf,0.004429672993295134,0.0027345078691484105
skyline,0.004354098826817604,0.004021170747744577
intracoastal,0.004298142723387285,0.005198252675151061
certainly,0.004228171087336583,0.013647104006928945
tiki,0.003989177158547184,0.0013935703214332021
mansion,0.003988157049999385,0.0028740845835775017
marvel,0.003952817187774538,0.004027267898230893
frontage,0.0039018182143000396,0.00711714641560979
outdoor,0.0038507720187361235,0.003819467042248583
architect,0.003790486523585409,0.0024967681147056316
dock,0.0037259903623814445,0.005385682636347669
03,0.003650729388766728,0.0029529407004743463
sprawling,0.003627251920222319,0.011196236510914174
undergoing,0.003614326129464631,0.004272148362043897
360,0.0036075083783156546,0.002912153616405438
entertainers,0.0034688987153383023,0.003900722215509183
community,0.0034638306076033463,0.0021498152792711494
firm,0.003306287681161932,0.005858155864648265
penthouse,0.0032157745763228807,0.00395736381384938
walker,0.003210624790731141,0.0027241514238040853
sited,0.003171468515187878,0.00762045891903342
found,0.003130578796775395,0.010627955604007117
custom,0.0031191292858183894,0.0018754200072460911
guest,0.003088925274047716,0.009347928561320405
porches,0.0029100654094098882,0.010492463330678657
private,0.0028786530102491194,0.002614522752115287
ultimate,0.0028409286040287597,0.005204176628205523
gardens,0.002805100539538471,0.004947446907521259
spa,0.0027423219270286143,0.0018909038715051807
summer,0.0027396844322240153,0.0022899720869716225
button,0.0027227782533492356,0.0055078330762608095
cabana,0.002473727182279567,0.0027079254960163494
loggia,0.002436445011710866,0.006959583283628673
grand,0.002393266578828616,0.003914157262222893
warming,0.0023592283803206076,0.004151544561462537
house,0.0023476057899705087,0.0056853249246985324
palm,0.0023392959778793187,0.0027567677487620517
waterfrontage,0.0023244143439466736,0.0027587832571212066
searching,0.002291975904373221,0.0036577872617734007
feb,0.002291470800982873,0.0034978887512679435
planning,0.002227523176467129,0.005286145318856446
charger,0.0022175721597531223,0.0033745349494329726
architects,0.002201702121398225,0.004814507868479873
