feature,weight,std
estate,0.18621747091883312,0.07389467358730752
ocean,0.16507707812265981,0.041934127792890824
almost,0.0506539530511529,0.035410580594875805
gated,0.03203257405825362,0.016267699317964433
finishes,0.0303123207895152,0.015914339111493144
views,0.030307790508496968,0.043791634682966284
lutron,0.030226778571984435,0.0029058406355695655
walker,0.025754627833467714,0.016610916631690616
entertaining,0.025533777249472055,0.01568839286123326
skyline,0.024571370329101238,0.028363990027920102
community,0.023627862214187355,0.003700007687890564
sf,0.023287645527877564,0.01915635259824021
home,0.022764721954838453,0.010097647900064989
elevator,0.02162033653332398,0.0074043759417596585
masterpiece,0.02147242115206969,0.015025124915207688
intracoastal,0.01980855075345911,0.0039878234620105675
wine,0.017536379954222615,0.02740161747649061
info,0.017453397163322348,0.034906794324184
miele,0.017041096682725066,0.0013171079452530127
camp,0.016217538833035183,0.024607600746435705
residence,0.01355369918498921,0.02216943692214653
aquatic,0.012477581747717759,0.006594385647417208
sited,0.011261597588649109,0.0006916390078124252
undergoing,0.010927217038596292,0.01020333942927248
real,0.01032072235508803,0.0008127596586491396
floor,0.007610202312210701,0.005854222460031994
outdoor,0.0072771908525337105,0.007789959329204748
firm,0.006954116369838248,0.03394863547190478
private,0.006819031422066679,0.006267336084905451
waterfront,0.0061126578268907664,0.004361936627033783
crestron,0.006076344823462865,0.0
limitless,0.006050372508315726,0.005512841702747838
highest,0.005941196123779235,0.005261530476573825
pool,0.005621131678252578,0.004716202679529203
amenities,0.005542092802203991,0.008721565346464575
present,0.005419586434956214,0.005768349622258372
lakeside,0.005380722757501078,0.006592135097956563
opportunity,0.005098619767579615,0.0037373636021744445
biscayne,0.005093169557235333,0.0010983327940225203
class,0.0050774978817235365,0.0034356144949337455
mansion,0.004938015952203667,0.00744444940200086
substantial,0.004904789717698144,0.009125630942944133
office,0.004868826716846542,0.0023983249445366723
dock,0.004729181385142089,0.003693970429333923
deeded,0.004702147586090577,0.003191459141191978
summer,0.0046170019928752914,0.0024756072999813587
pre,0.004468624588369252,0.0061166194450209274
infinity,0.004397772517328891,0.0023393162489527605
unparalleled,0.004344479300274396,0.0025982402325263627
media,0.004269863211535973,2.319184390013941e-07
gaggenau,0.004214778513130879,0.001767594147718476
bedroom,0.004023798833214043,0.003294187331407531
beach,0.0038356079454644034,0.002433261527487392
bespoke,0.00383150749980099,0.0
oceanfront,0.0037611866359568147,0.000489606894416956
open,0.003649974730882732,0.004846079816780194
bridges,0.0035335612312349606,0.003859583836363273
44,0.0035138652796440793,0.0028790033941168917
florida,0.003502983012760019,0.005469102786836657
condo,0.003422284627873795,0.0010330826135747323
restaurants,0.003307621509668168,0.0024929298170721873
feb,0.0027715649610685843,0.004189928964419122
house,0.0027624406838622217,0.002689275263756451
30,0.00273359388850567,0.005352011297854904
zoning,0.0027230707560814693,0.0054461415121629395
55,0.002706483808194404,0.001083005147213837
paddocks,0.002651844870241238,0.0015788635327668638
control,0.002478894758710393,0.0009616178155978766
clay,0.0023659959958593824,0.0011196488629698464
water,0.0022863034055849774,0.0015559151899975174
shopping,0.0022199225957016734,0.0010931026667698128
new,0.002048111839948552,0.0035687108230807057
miami,0.002027166591605134,0.0004615237304412872
technology,0.0020229875400556096,0.0007563421540155336
cove,0.0019378806593353115,0.003878262803794749
ensuite,0.001917934111373354,7.800329169305353e-05
avenue,0.0019121340904133532,0.0014385756345111091
large,0.0018944866041580078,0.00026975997254497056
acres,0.0018527859703567184,0.0005316179600935742
automation,0.001851657322959932,0.0007940142931308602
premier,0.0018313715682497732,0.002708241451009943
timeless,0.001824456646033612,0.0009338833023436833
acclaimed,0.0018159472019420697,4.626285638061606e-05
penthouse,0.0018051177184029489,0.00327574343580446
appointments,0.0017875104163614264,0.0017061787217981898
property,0.0017635131428957785,0.0019122523284158457
evident,0.0017627040223219038,0.0035254080446438076
unit,0.0017613840259435242,0.0004980961274627109
caribbean,0.0017238940180176686,0.0013779219033888037
overlooking,0.0017066098563087273,0.00020248918367344942
throughout,0.0015988872574207668,0.001227425675773008
