feature,weight,std
estate,0.052889275603696655,0.01319855923734799
masterpiece,0.025139671093101917,0.010441851901954721
crestron,0.021181691736987186,0.009629864571215632
residence,0.020439796469868588,0.008645768239821779
wine,0.016492291273796082,0.011097910670167316
certainly,0.015011662283486238,0.025374557897381713
oceanfront,0.013728015923840708,0.01126287932217053
compound,0.013696209832321733,0.01619869146906049
direct,0.013219768026107465,0.02978133055200514
gables,0.011777220428975863,0.006222811308765616
ocean,0.010490354501668466,0.010873410904116674
substantial,0.010440135772244905,0.005477364011256998
structures,0.00913990126912469,0.017314390560199643
info,0.008986148943279598,0.007812546167176014
staff,0.008709798346152802,0.008860555972535053
police,0.008193457407043258,0.006106286014768039
liv,0.008027835387182379,0.002559355161184599
views,0.00784889871966475,0.0061499251794291
elevator,0.007539011134249234,0.003995546678088086
designed,0.007508904232311575,0.005109340176696052
loggia,0.007383313551011284,0.016803009951171736
170,0.0062131891853498475,0.012881922187988185
houses,0.005584225264546533,0.019891676929943477
camp,0.005581577012607732,0.005759923358330419
limestone,0.005552292620331523,0.004904015865541294
sf,0.005529157692821466,0.005920704334785998
sited,0.005191019459235681,0.009866112196580892
intracoastal,0.005126911624145369,0.006623195012575503
skyline,0.004916176170060518,0.0038947205937731343
firm,0.004823813656647385,0.006978900228045014
temperature,0.004477282117851127,0.010952518310405815
terraces,0.004447045461489928,0.0022517352075515033
community,0.004279973643171497,0.002606716128495419
mansion,0.0041581185279349455,0.002935866959388439
dock,0.00411915439198406,0.006207077347437549
museum,0.004100415232355537,0.010548152335617976
03,0.004092385464623081,0.003543107826649633
undergoing,0.004004268104786509,0.004467005712540132
wolf,0.0038789796560598664,0.002564106693311823
summer,0.0036839286610111503,0.0024703043329303625
sites,0.0036137110751011414,0.006600446667023687
architect,0.0035647082370155888,0.0031032418239931706
searching,0.003528427994095919,0.0041097441490155935
walker,0.0034940955176694212,0.0026170317382758915
design,0.003470577768526243,0.008481679545257434
consists,0.003448325754519721,0.010531007955679928
condition,0.00344552258701662,0.01361026924053249
feet,0.003444201143409177,0.00435703919695451
outdoor,0.003339459561300695,0.0033630628887034828
360,0.00326099062353015,0.002572889861477098
waterfrontage,0.0032330587054024617,0.006035203685102645
marvel,0.003232742951221829,0.003682755101621637
porches,0.003173478167838709,0.010750335083132657
custom,0.003172349189705886,0.0019380575826794912
acres,0.0031192376271276328,0.010819797813414602
private,0.0030332562206099984,0.0026364919614971375
jupiter,0.0029509696789286406,0.003297918786943937
includes,0.0029435288897903173,0.0037061433250800647
completion,0.002908525097756806,0.008030419145352413
feb,0.00289804564802907,0.003691039669197554
present,0.0028154075956971815,0.0028372253981626392
found,0.002792856785600111,0.010150789310636059
architectural,0.002790556756118489,0.008222885630848652
frontage,0.0027548097822665423,0.004862106061055291
section,0.0027450815799433055,0.0036733295132797875
lift,0.0027179671790291383,0.009740298726542996
charger,0.002580845782908457,0.003484698566441679
fireplaces,0.002529515042004906,0.003984318309185514
waterfront,0.002506964603543676,0.0023051550232280555
combines,0.00250024176872491,0.0048925592256469025
spa,0.002483105862583876,0.0013561739536209969
gated,0.0024771965484039486,0.0027132575220452453
million,0.0024347151906072605,0.00825333337554102
cellar,0.0023889603793992636,0.002838129135007366
cooling,0.002388373030006446,0.005530524209263695
palm,0.0023064731293304906,0.002794486132728267
vip,0.0022409284681386378,0.0033331931100639353
addition,0.0022336942459855237,0.009137504003452927
ultimate,0.0022204957850864514,0.004408281073450404
butler,0.002199242762470572,0.0032374173306261803
grand,0.0021386937796783858,0.002952948689599352
principal,0.0021073165166968616,0.0027740244169807042
parcel,0.0020851159354337667,0.008314163637520447
inspired,0.0020064348484359093,0.002881522911462475
