feature,weight,std
estate,0.09348838450819828,0.08930253965298625
compound,0.08630307254403681,0.08177537664395848
oceanfront,0.038020759332676485,0.06588943117413264
crestron,0.031725715681062215,0.0571747026974379
170,0.029935446929686634,0.03053414359346474
masterpiece,0.029225224155038657,0.04414767876745788
houses,0.027867185452963145,0.061915046970379646
sf,0.02501741482839695,0.04830826530987857
ocean,0.02405455566350867,0.04681948311245512
staff,0.022688459471802588,0.05412688346924018
residence,0.02075483970523496,0.03591102348102911
wine,0.01668085734815006,0.035821292364677765
designed,0.014069707611174835,0.03684237904253619
waterfrontage,0.013896084484923554,0.04256686558295484
feet,0.012648851207890319,0.053649627218588535
frontage,0.011640916500743755,0.04149774930632252
views,0.011054622621392425,0.03766978112949091
elevator,0.010752880322034595,0.04144433285418314
substantial,0.010519666148887727,0.06934041476391625
camp,0.009839981353066596,0.0459071853656523
outdoor,0.009809555053067822,0.03798837446900969
pool,0.009208367767958697,0.02323076455448813
guest,0.009011732077971587,0.03355087031408058
community,0.00900030150242872,0.03850231365794867
terraces,0.008975672218904837,0.034319213295954346
architecture,0.008289372483457428,0.027979811493545097
summer,0.008170321814873389,0.03657958967843679
lifts,0.008125382041602203,0.04201251058390477
info,0.007700615302135668,0.023113120690402583
cellar,0.0077005953297926595,0.03404792687349813
sited,0.00765090148780392,0.03521823226365419
grand,0.00744077361974691,0.04541758089277679
firm,0.007440495126706365,0.017317876242632244
loggia,0.007230441016924549,0.03896782066477367
mansion,0.007165239092972493,0.039880262157983196
dock,0.0063709367478425975,0.03328283130133385
home,0.006004366138440086,0.04029569507864295
unit,0.005855354069545382,0.025432970212017722
commercial,0.005784799734270114,0.03142178262510123
sqft,0.00561213990492454,0.0287511261265841
gables,0.00555828700387225,0.02016973361342077
stars,0.00555678624331149,0.03741148603760911
architects,0.005548375050236338,0.024979796538352972
architect,0.005515280794077887,0.029802229252703264
finishes,0.005404187350662869,0.026563877993865524
searching,0.005339577531530432,0.029439373032559227
000,0.005089408361900966,0.02878693491468191
prestigious,0.004906617069227575,0.04755675563901728
entertainers,0.004622231175790054,0.03001330099299551
wolf,0.004460734873358551,0.03132890385031093
police,0.004318537420016985,0.040275820089306885
completion,0.004312155020236445,0.03606037398627131
principal,0.004300248780981583,0.045609158298644745
marvel,0.004237320974871528,0.05581441694540618
design,0.004173898570576213,0.026482742275181347
baths,0.0037950503854300623,0.03760205717169134
gardens,0.003792493806241235,0.01864369890368979
highest,0.0035934386670983527,0.010367316378549294
03,0.0035761887797430797,0.0580814944300082
acres,0.0035438288852971825,0.01523350288394541
lutron,0.003540427998961238,0.03336239608496559
tri,0.003504209666716488,0.018938194014099723
every,0.0034278227162040462,0.04013467318534581
venetian,0.0034030166527035614,0.02732020134908
walker,0.0034028285251186527,0.022874772887012135
penthouse,0.003399067963425198,0.03744766500275738
interiors,0.003303433648402056,0.031097976051723146
limestone,0.00328244655815284,0.0227614183866678
finest,0.0030579078337229434,0.020852298868959982
intracoastal,0.003020315060335982,0.03257433650608341
architectural,0.0030175099153815724,0.022006376168267446
porches,0.0028995471091071744,0.018962041185235985
terrace,0.002827059274353603,0.023171473151889204
sleek,0.002812813137317973,0.01943395581003078
certainly,0.0027731750677479636,0.019423659055210353
tiki,0.0027437984213078493,0.0226274242331375
feb,0.002732521785437159,0.0391857106301342
almost,0.0026766128748589345,0.01090417731858694
360,0.0026645204214065282,0.027173891967046438
section,0.0025221357502166423,0.02482940310775507
grounds,0.0023692582851078062,0.031648532110943615
11,0.002327296600739024,0.013430705662321324
elements,0.0023014902880400573,0.030479824693870238
main,0.002237196452575485,0.02485658339740345
private,0.002192627759308659,0.02358377371060298
skyline,0.0021354193253175628,0.03502804087269737
beach,0.00211772983707209,0.030713798626393275
stalls,0.0021058568773282063,0.023075872609331572
story,0.002030912061686566,0.0238339860189518
bal,0.0020225624220563685,0.01463261974313626
created,0.0020202327400444843,0.014632849247287819
unrivaled,0.001994939805752458,0.03271171071426329
secrets,0.001947157749928043,0.03570297407387856
sky,0.0019255867914063352,0.016866039362999553
250,0.0019255073759825245,0.03161440617610873
llc,0.001924011119360247,0.03135996622594828
using,0.0019078891282294118,0.010177174292912245
wide,0.001834208354212942,0.022084027166687593
privacy,0.0018186789791697312,0.023566026199861242
delivery,0.0017421984906784878,0.013988205344137323
custom,0.001734074822540377,0.03932037689627017
generator,0.0017296477694194222,0.03378033125719229
special,0.0017131051778431245,0.020065650701781963
mere,0.0017105522274451,0.016096135159469158
condo,0.001660347895684425,0.026916640205736815
charger,0.001641441687390558,0.016034744397658455
expansive,0.0016393646126838766,0.01669534708072598
fireplace,0.001633541280011468,0.00557657549577565
fireplaces,0.0016117248613412437,0.026055012464730996
homes,0.0015950588810819436,0.03330258622154975
create,0.0015852707335066536,0.010270183609514196
waterfront,0.0015470015972791171,0.02010513756526545
cabana,0.0015016299300394378,0.03896968217010244
reimagined,0.0014761625339161698,0.015143728308970757
140,0.0014755838009033568,0.010724262498121851
sophisticated,0.0014397194154736064,0.021552894169141492
seminole,0.0014344543690697298,0.02814677253627902
infinity,0.0014151773235116514,0.030802686577937183
vip,0.001410398306243218,0.024953776331401622
hop,0.0013944749964615217,0.031062408164947895
opportunity,0.0013705669097897237,0.014374654242667761
butlers,0.0013659823176696254,0.02664499076330351
close,0.001357140770370112,0.023606748836225898
quarters,0.0013357275654191894,0.020191174872908054
impact,0.0013308354662131666,0.014996778597826195
protected,0.0013227516543002941,0.009613507516046728
open,0.0012873331430641307,0.004792768688667464
400,0.001264218340865316,0.004877586684265865
combines,0.0012501840865836288,0.02151794831491787
ba,0.0012047985017694385,0.023066428864971844
porsche,0.0011982805590882316,0.02958252475270956
nicely,0.0011393252546617865,0.018190788879076332
coveted,0.0011327883105829541,0.020381738737282856
boat,0.00113177296615185,0.0186517292837754
tile,0.001123942554976657,0.022239160555584957
magnificent,0.001110237428921132,0.02062413214043077
matched,0.0011057829212048524,0.01857521374530068
mediterranean,0.0010969575844827647,0.026150763165951624
granite,0.0010969297422944956,0.020828884613973177
fit,0.0010950040378482442,0.006636879149213729
illuminated,0.00109181701515906,0.012303352639278987
miami,0.0010843262376362926,0.017009416252965218
features,0.0010808110513592897,0.01352531814067145
spa,0.0010656691128406277,0.013488600873599089
desired,0.0010501939830417095,0.014170545793114752
bay,0.0010399637510853682,0.029355526819669252
100,0.0010370885090602955,0.017605196416167607
experience,0.0010151368812620226,0.02782219253856484
bathrooms,0.0010065838222741786,0.030682152546714313
gaggenau,0.0009610482823303337,0.02241336421937375
extravagant,0.0009460232410350847,0.025037903293942534
details,0.0009450371076124753,0.005861244482224369
flagler,0.0009398589197675446,0.033869556100810196
total,0.0009218440182465242,0.015866616886198875
paddocks,0.0009141630505354175,0.021724784242117896
lounge,0.0009117874422825039,0.007440036223591629
sauna,0.0009092439861018733,0.006494612995239414
electronic,0.0009052685198915954,0.02678628766994467
39,0.0008942557477675809,0.019668466947839934
reach,0.0008928537298682121,0.022304394924236158
ph,0.0008904063516642792,0.017047244615111277
marble,0.0008828043344954992,0.013159254718419012
includes,0.0008623919102545848,0.012854983115402743
yacht,0.0008547045354335814,0.02133299552327501
600,0.0008488762915171798,0.017760719950461686
naples,0.0008251580360901137,0.020237766243383463
jupiter,0.0008092040206752639,0.0313993841924882
bd,0.0007731363773530726,0.01676781046048505
contact,0.0007516914031207721,0.016704310549495484
golden,0.0007509307947389335,0.009372143791177887
herringbone,0.0007460820129048456,0.010006810741214789
doors,0.0007438762454244578,0.015579618650954493
shower,0.0007393936884848187,0.015959206877071763
flowing,0.0007367348601346816,0.018404386659527417
refrigeration,0.0007166901841145664,0.02209948105145486
restaurants,0.0006976549666458817,0.0053180457243153945
valuable,0.0006969673842960924,0.0178778499332818
chefs,0.0006722279910060294,0.02212255575697089
18,0.0006608560989262028,0.027630571881524364
field,0.0006601668269460157,0.014519861290534047
consisting,0.0006481793664853128,0.020906464958399897
automation,0.0006383496983555069,0.01114510088224223
level,0.0006294825700342504,0.013183776802766998
museum,0.0006279892056877906,0.009758122843198139
concierge,0.0006180083171562661,0.008565065635923725
palm,0.000610060552457675,0.008182425502199409
gated,0.0006062547712035214,0.017341103028784662
gallery,0.0005988523608828786,0.012578254434308881
cabinets,0.0005893959098338141,0.015008951157260175
gourmet,0.0005693254528328219,0.0127410888475525
benefits,0.0005651005229831238,0.005563185360005288
washer,0.0005330644743497699,0.01564219161120962
pavilion,0.0004898203977248189,0.008722554856610288
stainless,0.0004711343010646594,0.02296615213354187
120,0.00045801797237843533,0.008654700603904593
row,0.000456424013458932,0.009417590635284488
40,0.00045337110594650184,0.018955568318451556
environment,0.0004454027343019085,0.02161745888999754
catering,0.00043988566512430534,0.011283469049038349
floating,0.000424598714542047,0.017840302612754023
setting,0.0004215947660179917,0.013479144181538304
caribbean,0.0004004052989034298,0.007712915624985976
include,0.0003878641755257939,0.009317835936819473
onyx,0.00038542198590068417,0.018787976048027406
butler,0.00038195946402804366,0.012277880873252807
den,0.0003761538495132235,0.011037821637911744
screened,0.0003709461959427617,0.014393752160832328
ultimate,0.0003695141435476221,0.019246743941573687
set,0.00036435076249640385,0.015675650908773365
300,0.00035929888201702536,0.009963181332512512
offers,0.00035859218341324057,0.010257047520700375
atlantic,0.0003549161515996136,0.0033921700699883887
carefully,0.0003488301834906172,0.01273183453018816
masterfully,0.00033296763953387663,0.00847901207886098
today,0.000331283506038435,0.012091404302390007
miele,0.0003305904782286352,0.01382207713129368
art,0.0003267832569559156,0.00563981096371804
spanning,0.00032225384946642525,0.013473520432432754
plenty,0.0003169211046005357,0.01018725790289459
grass,0.0003013070380025463,0.008841524147695021
gulf,0.0002819877021399859,0.009855703574019326
rooms,0.00026328307139307023,0.012778347625531395
star,0.0002546276094801083,0.005671917213149058
complete,0.0002514622429426956,0.01722786313269122
deck,0.0002489814272525625,0.010409980681187125
listed,0.00024003367367371293,0.0017445191003652135
prime,0.00023369180842695007,0.005556367032272447
first,0.00021155114812981438,0.006823399345874498
rarely,0.00020641054123322794,0.009534324825130088
bar,0.0001960382796011719,0.0026293596790577948
equally,0.0001903832415127402,0.004435074969286806
pinnacle,0.00017980904002219244,0.00344252787902661
magazine,0.0001773556894766226,0.005701002940531175
partial,0.0001654771830281741,0.008619147671422567
attractive,0.00016312507671301682,0.006329710214325061
help,0.00014681409297023928,0.005338716251851218
banyan,0.0001455918949699211,0.0047913280275861695
study,0.00014441641978962038,0.004076507551258686
boasting,0.00013992122128820035,0.0031600035109093745
transition,0.0001327476002782739,0.00299799329281237
inviting,0.00012662486319455106,0.004913399620097201
separate,0.00012655996953746463,0.003643019083416566
