feature,weight,std
estate,0.09694923540457989,0.010323648675491404
oceanfront,0.028175677529224986,0.0012772644753553815
crestron,0.018924020605110982,0.0004217079748089824
masterpiece,0.013254547859591482,0.002207979555196251
residence,0.0113589564290127,0.0016528180229596543
ocean,0.010049742628425062,0.0021351352420973394
designed,0.00849979860728367,0.0023915983488051037
elevator,0.006844998390905466,0.001402872966331061
completion,0.006561115904996062,0.005661566909121379
architect,0.006407693154153948,0.0006005574202330818
views,0.006183047656093232,0.0020015709528354592
mansion,0.005805892923132094,0.0009885502132009267
dock,0.005328384775275197,0.0005329653505647676
terraces,0.005128969780284121,0.00037777198703003106
design,0.005025607986860803,0.0017017658126348481
wine,0.004898493249108493,0.0015516867624398353
summer,0.0047444883717404854,0.0004048071974926973
waterfrontage,0.004514096053105154,0.001554589531525065
sf,0.004210746857706571,0.001241269106024013
staff,0.004105301588658938,0.0028505301183631908
camp,0.004075565128972514,0.0005388739545170597
waterfront,0.003959112511317198,0.0004395145680925786
sited,0.0037390599135130433,0.00023487827137673887
feet,0.003683245252978562,0.0016473390995748337
outdoor,0.0034963668353983125,0.0014497825643532472
matched,0.003427589482658777,0.00018963883755882552
sleek,0.0029900756149805253,0.00044558602690340603
grand,0.002925243019313695,0.003640606674263198
possibly,0.002830446621317151,0.00015180601657860393
000,0.0026654969758718172,0.0014681577798684323
finishes,0.0024308949585917896,0.0005720394129730296
structures,0.0023998159688581877,0.003058107042069241
architecture,0.0022486452915957853,0.0011232598974180094
architects,0.0021705634472953374,7.574500808821318e-05
level,0.0021671992101206295,0.0018222375515616056
unit,0.0021096950797572234,0.00047904210709466945
wolf,0.002084301133517963,0.0012915689036347032
lifts,0.002042156723653754,0.0009104917738954637
360,0.0018602882186404379,0.00041836249927814674
expansive,0.0017677609400444938,0.00044087442665466327
frontage,0.0017511222630970601,0.0005954862157099286
prestigious,0.0015858869530569696,0.0008105595788096028
fountains,0.0015136645383288627,9.549053183273746e-05
condo,0.001483836094138735,0.0004008945323841092
sophisticated,0.0013220185215598423,0.000179015819390691
butlers,0.001252284271687154,7.826684871918701e-05
inspired,0.0012180461034942969,0.00037317712967667796
several,0.0011464296409057883,0.001224368769009872
extravagant,0.0011068564196307974,8.048067057403382e-05
custom,0.0010398360292714682,0.0003978038833500803
direct,0.000978108930286603,0.0014941521827086576
deep,0.0009227930212772906,0.0
cellar,0.0008760068635709217,0.0006493990204734438
chefs,0.0007849226118186836,0.00010456251576154101
penthouse,0.0007668697961355387,0.00015565361166006869
compound,0.0007580457196931567,0.0012026517582686145
loggia,0.0007170332662778334,0.0002028708405863524
quarters,0.000704079322996054,3.893130900934823e-05
stalls,0.0006939658449963027,0.00044819435236263897
gated,0.0006758193282518255,0.00022956532978083327
bay,0.0006597177817990518,0.0001569020519978148
granite,0.0006143795895209081,0.00023338342343708288
ultimate,0.0005958527497679,0.0005192784218566026
close,0.0005954509383910179,0.0003206461917137985
butler,0.0005853591394153534,0.00013184519837683087
architectural,0.0005486603720805227,0.00024267825741894144
degree,0.0005114003844871373,7.804556484217506e-05
staircase,0.000470530027699434,7.366714764178188e-05
grounds,0.0004695771470136112,0.0001929427027218817
art,0.00046835187240945597,9.309862091362059e-05
wide,0.0004678555835917475,0.00021447893512149815
marble,0.00043676790844637825,0.0002709077773671304
lutron,0.00043061431480813096,0.00018021455868602783
miele,0.0004263912649110857,0.00010734351453670043
sanctuary,0.00040683787021909,5.757545689122482e-05
spa,0.00039934835830286454,0.00039830288839075604
video,0.00039427393713722394,0.0005346745737273896
baths,0.00038486628365523855,0.00015393986189427965
gaggenau,0.00037305808948835396,0.00010439620962629738
commercial,0.00035544987662132764,0.0004492212309419576
new,0.00035291258200693677,0.000834545028925409
islands,0.0003502911018227861,6.926895386213274e-05
limestone,0.0003404634546714247,0.00014032273269282047
primary,0.0003368752793514451,0.0006737505587028904
stars,0.00032775912949154493,0.00030460321653876166
ever,0.0003144160026679943,0.0004651754110109584
discerning,0.0003017883315555858,0.0
home,0.0002865509367728336,0.00038689546276983103
mere,0.0002849341039615538,0.0005698682079231076
generator,0.000280435050770822,0.00011173894939515342
mediterranean,0.00027705163079594364,0.0002181472449376444
exceptional,0.0002623418089778173,0.00023338369094141388
venetian,0.0002606679792370725,0.0001785124405825388
paddocks,0.000258538194326241,6.818171210384044e-05
perfect,0.00023503432538292125,8.417997971549135e-05
classic,0.00021140736221108013,0.00035551856201505963
air,0.00020833273012097476,0.0004166654602419495
palm,0.00020653367945362434,0.00034275220992217685
field,0.00020356698659598215,4.1995805105399246e-05
house,0.00019982613506734913,0.0014931177691004805
know,0.00017962905824382426,0.0003592581164876485
elegant,0.00015299331018798769,0.0003059866203759753
100,0.0001522759834070575,4.7452492524608614e-05
six,0.00014856823295306132,0.0
bal,0.0001465651053743633,0.00029313021074872653
delivery,0.00014179503987210573,0.0
certainly,0.00013985890025631776,0.00014450921252975743
finished,0.00013047576691571638,2.756147795324182e-05
tri,0.00012401903531271684,0.00015190476459328266
coveted,0.00011190423822033946,0.0001268205700009709
conditioned,0.00010369328472177308,9.831209268855653e-05
golden,0.00010221692998824139,0.00020443385997648278
features,0.00010197376490421739,0.0003143054948996582
room,0.00010187927551832398,8.318408012810532e-05
