feature,weight,std
estate,0.06525216312538518,0.003876902041413679
ocean,0.041096887440528085,0.005081977266495563
crestron,0.023136620060685065,0.000678998878818519
oceanfront,0.01680944401673299,0.0035450679212458156
home,0.013640940053716988,0.00500512644417204
compound,0.009401158591240777,0.005024467142606991
summer,0.008318751665297452,0.0008530778832948349
lifts,0.008085914255615867,0.0009640146296898438
dock,0.007430043471119152,0.002427851108055901
sited,0.006523670748299448,0.000537516856765801
architects,0.006357557955455872,0.0007475926651050049
residence,0.006235725562893224,0.0010467817598226123
design,0.00609510590221154,0.0018787407256073483
elevator,0.005342187359569617,0.0007756423041753974
architect,0.005308174058237069,0.0010593576970028586
staff,0.005170857340100299,0.0015434859734152306
completion,0.004468735474026486,0.001583878669919418
unit,0.004078311425938952,0.0019845784835123667
feet,0.003988854326226532,0.004352437718312731
finishes,0.003902792624926277,0.0010448853961292951
limestone,0.0037591557623227745,0.0003649396701768457
six,0.0036981998725872157,0.000388604310875205
sophisticated,0.003484444215639626,0.00022921970776379382
waterfrontage,0.003419198239625887,0.0016502304538493701
boat,0.0034065408599871947,0.0008085240065631512
bal,0.0033758369705196856,0.0006377068159535899
minutes,0.0032947158530592267,0.0015555794481080863
waterfront,0.002962308658758106,0.0004342304445172825
mediterranean,0.002866616177028036,0.0009271500698231722
terraces,0.00266420042622304,0.0004908370713343295
space,0.002633283560659461,0.0014077981652892478
mansion,0.002585228200348277,0.000263681288092887
acres,0.002563969185634618,0.0003065698599334156
house,0.0024815839073557555,0.0005805448168889027
butlers,0.002411365725761061,0.0002181297628334117
palm,0.0022790286851080087,0.0009216497688772303
lutron,0.0021956079017887652,0.0006073998612794945
sqft,0.002178467058689337,0.000265957759725707
loggia,0.0021741433439525617,0.0003340722874222487
views,0.002169932106618799,0.0010916112913145687
venetian,0.002040870088964675,0.0005867139907157527
community,0.002038214849299158,0.0025146702721010926
miami,0.0019079708728253265,0.0007660955083988012
condo,0.0018724458786214093,0.0005352335887170589
penthouse,0.0018369421549284004,0.0004393772001839322
granite,0.001816195157462075,0.0009339105471298494
casa,0.0018145361070426747,0.0005781159958722022
royal,0.001803788387262073,0.00011430120459479655
principal,0.0017141594864572562,0.00016362547773545816
gaggenau,0.0016823658804634434,0.00037803207820821236
sky,0.0016793453518619606,0.0008159510064342964
wolf,0.001668576077917816,0.0007529387761331049
pool,0.0016434794504139871,0.0017602072843353421
masterpiece,0.0015421580240916998,0.002143167230649466
property,0.0015067882912668917,0.0006471164049737506
bedroom,0.001493308799285309,0.000851421329471219
large,0.00144417835619004,0.0008713553779218738
intracoastal,0.0014369168504282381,0.001376468167968999
stalls,0.001431530837558248,0.00013565743367178714
matched,0.001429213874307078,0.00010258967607101681
houses,0.0014203705032197033,0.0003232587003521226
real,0.0013983809800239611,0.00023654919318336976
storage,0.0013939363283023143,0.0005871230825308953
new,0.0013509114688622815,0.00035585241012746235
tile,0.0013408735097951707,0.00041098068075291836
classic,0.0013359738460864356,0.0002839616959764412
square,0.001311305021675002,0.00013844141410317807
club,0.001308476518191215,0.00019756577506806615
warming,0.0012576658890559368,0.0002657463737708317
naples,0.00124577540589359,0.00024978626989511455
park,0.0012332744394788486,0.000786318219925796
close,0.0012176797353059099,0.0010310453987738407
prestigious,0.0012176148535366859,0.0006160145943279685
access,0.0012016201871817734,0.00042332856325476845
fireplaces,0.0011789971762603546,0.0003572231834812626
river,0.001148118533805076,0.00033419896174189534
cabinets,0.0011050085328627279,0.0003918484777613821
amenities,0.0010728831818190177,0.0004495483532083588
chefs,0.0010597624261436955,0.00028820236247354666
modern,0.0010564544567794655,0.00022846698298927513
dishwashers,0.0010471916260037738,0.00010563144798055293
360,0.00101435070193292,0.0006812516872865384
butler,0.0009961795854392052,0.000152678491622834
open,0.0009555807862692944,0.001863208898740611
building,0.0008974085223516059,0.0005106628083519326
2023,0.000891025034711923,0.0002524316649338831
enjoy,0.0008747448520040502,0.00046018032656501627
study,0.0008668685561212808,4.814641336622332e-05
select,0.0008279139747918718,8.917359284770678e-05
mahogany,0.0008192786734811275,0.0001327111828834136
cabana,0.0008128281255465498,0.00042626723019384514
highest,0.0008125687362375622,0.00012548250667910877
marble,0.0007935099177777793,0.0003855015941806207
fireplace,0.0007826458187180973,0.0006620193705406631
designed,0.0007717234295880227,0.0018329235805768155
throughout,0.0007219253336167685,0.0004899902421102508
architecture,0.0007208655004196984,0.0005541054381151143
bedrooms,0.000697759225555461,0.001731772831461334
unrivaled,0.0006630145227380036,0.00016982606931328995
parcel,0.0006619036136038536,0.0001235412954942584
mesmerizing,0.0006540240791602203,0.00020013417490247822
end,0.0006490905755777599,0.0001644453736306608
offices,0.0006393413536629255,0.00011084963359477741
gym,0.0006357270299633289,0.00019912804409616462
yacht,0.0006324774767867858,0.00019504561080686415
10,0.0006149129324008129,0.00028371877797341873
one,0.0006101378804560075,0.0006152237632468251
quarters,0.0006100071723412981,0.00030899218718451253
extravagant,0.0005840453962816516,0.00010478529320545465
ceilings,0.000567030759606979,0.0003623108626714216
temperature,0.0005637250506472568,0.0002916992126795005
fitness,0.0005513167934818375,0.00032465528904919346
private,0.0005195245654796121,0.0009320735751155726
spiral,0.0005026392877185648,0.00010335212998754885
sand,0.0004983187298641889,0.000220814336995701
flagler,0.00048562014101183326,3.394090179074798e-05
flooring,0.0004846327506173864,0.00019486071517913717
atlantic,0.00048347570632645276,3.675997349888319e-05
skyline,0.0004823704440638066,0.0004637561890867128
heated,0.00047947732085547036,0.0005594675100731321
room,0.00047624829038890316,0.0006182211713121862
structures,0.000473604659163418,0.0006267774533900327
substantial,0.00046607955156483525,0.00024848398699866436
many,0.0004634808672622892,0.0006513850525118939
setting,0.00046253111798377766,0.00023741719910232018
miele,0.00046068922118194246,0.00025410502956059716
screened,0.0004593225165301362,0.0002216553396223781
interior,0.0004584081342547064,9.730770729243825e-05
ph,0.00045531656895752003,0.00016463308707234222
miles,0.0004414668681995915,0.00036462102346546224
bath,0.00042542355554044955,0.0003222553648919875
location,0.0004143887032393767,0.00023844085209796876
additional,0.0004100619696148167,0.0004970585954630389
imported,0.00040844987044570403,0.00026729890767473053
seawall,0.0004079659578297701,0.00011487538267891835
north,0.00040407553839063584,8.99918261743607e-05
metal,0.0003954310412452866,0.00027038510999116103
jupiter,0.00039505663412080504,0.0012015409459466338
build,0.0003828787846150039,0.00015851023606854476
signature,0.0003807782570512508,4.282913083708031e-05
area,0.0003787442104763006,0.00039956191200463397
shower,0.0003743316206391345,0.0005267033457791231
providing,0.0003589573156268733,0.00036184457398399326
restaurants,0.00035887600425217326,0.0003536134587658462
bay,0.0003554670944436067,0.0002937926027498451
half,0.00034514560679368424,0.00019559177791182041
cooler,0.0003382685105011829,0.0002158087742757163
five,0.0003294717293574001,0.0001692778300119214
experience,0.00032730132047305017,0.00012073840077125175
shed,0.0003227537394490776,0.00016079582489591035
wraparound,0.0003227069680675765,0.00014963902354640506
55,0.0003099668978096437,0.00016751859814643607
interiors,0.00030928755763444117,4.239112038342623e-05
encompassing,0.00030308734398964976,7.260384181014257e-05
spectacular,0.000294758132317674,0.00011392227519780755
clubhouse,0.0002885643327083409,0.00021370445694669443
best,0.0002793738969762094,2.892722800134689e-05
construction,0.00027667179739379046,0.00035061756314439083
canal,0.0002755579198817415,0.00015936485783983118
laundry,0.00027396208218612996,0.00021394894105705758
combines,0.00027379949251897794,0.00018938082975003448
stars,0.0002662453020657818,0.00012616414870304216
hot,0.0002647472207213841,0.00011228779079125392
islands,0.000261744946349074,0.00021479426898285094
high,0.00026152503635250567,0.000181876940548311
front,0.0002600195931663496,0.0003899075043799597
grove,0.0002587641523494,6.489546832476048e-05
door,0.00024992346770520425,0.00023571804633788147
tour,0.0002458708884870431,5.8038296419929417e-05
lanai,0.00024173772414939342,0.00024807451886560904
museum,0.00023889252994335752,0.00017232072423142025
beds,0.00023885013272451072,0.00014781330027296554
enclave,0.00023709175232300428,0.0004122422291779599
fishing,0.0002338342882232336,5.15466966711281e-05
huge,0.00023035977573822032,0.0002013553264015553
size,0.0002275399284614732,0.0002027916409731856
advantage,0.00022427237642350662,9.933847891211e-05
oak,0.00021942115947222175,0.0002768956267859618
widest,0.0002182287395643634,2.992441817407742e-05
find,0.00021683314545142273,0.00027139460275677163
subzero,0.0002152088122915563,2.663368298394771e-05
ultimate,0.00021290708797394586,0.00010540547162276714
maria,0.00021290485038036878,7.130779423030792e-05
refrigerators,0.00021155625536917189,2.5570270770402174e-05
expansive,0.00020975474719988618,0.0005002599852927594
coveted,0.00020574307154523906,0.00028001696223122066
stall,0.00020210340697806027,4.1275369095134495e-05
included,0.00020201476008991915,0.00016975330247496565
