feature,weight,std
estate,0.05135677917872934,0.004711016055704907
crestron,0.017106317615945034,0.00047137474226449546
completion,0.011096666798198051,0.0006238474579602748
ocean,0.010305491593664052,0.004616601432366569
masterpiece,0.008598201019043739,0.0009651877891605916
palm,0.007412023949648905,0.0012958867397248489
residence,0.006959591010258182,0.0020180284204476154
design,0.0066388428414730916,0.0008500298623794486
bay,0.0058772878919766125,0.0009046945797758993
community,0.0054757397158684325,0.0018535596253102646
lifts,0.005233090145142038,0.0023394183686061163
elevator,0.00512260433995475,0.0009099235927424856
mansion,0.004977283408662792,0.0005569953226830163
architect,0.004758779488298681,0.00045459215971245764
pool,0.004721880612839469,0.0014769579338027518
designed,0.004382402778966709,0.000939386164985951
oceanfront,0.00430469022171498,0.0011897738909769553
six,0.004245297764816125,0.00028690305808497365
chefs,0.004090736231792014,0.0005580227995025437
waterfrontage,0.004040630659102451,0.0011688940724173538
limestone,0.003962847660989688,0.00020653289402730409
wolf,0.003895656198983355,0.0009603661367725403
sited,0.0034081009333828847,0.0003031949272200994
bal,0.0033800340525039553,0.00040106051317249746
gated,0.0033631832297629895,0.0005432952447814002
sky,0.0033394793421752224,0.0010766425339884388
000,0.003299291973953866,0.0009564360894468372
terraces,0.003289223955521603,0.00034493939190060095
staff,0.0032348769645499154,0.0004782295797187859
architects,0.003112774161436982,9.372305727052721e-05
views,0.0030919310461547276,0.0009213991845370106
sophisticated,0.0030571923184468997,8.148915003123078e-05
houses,0.0030422495836704535,0.0009408336940787315
waterfront,0.003029872111639453,0.00031538091425833086
feet,0.0029581137521466293,0.002100147893134563
finishes,0.0029356848066678376,0.0008496023299569232
unit,0.0029004025044827133,0.0024076698147210214
butlers,0.0027541538946479482,0.0001295341656294512
architecture,0.0026244780773721165,0.0009426158386804071
appliances,0.002497835647811408,0.0009862791823674422
penthouse,0.0024445537011919204,0.0005305601768065242
condo,0.0021350600070894955,0.00045396053808368904
wine,0.0021292069247012212,0.000597316250306612
interior,0.0019422154696334903,0.00032982471221370754
lutron,0.0018931282250649107,0.0005399623393205377
casa,0.001889731007284423,0.0009315215009974347
sanctuary,0.0018499921604262948,0.0002962583553657567
granite,0.0017052691717997837,0.0008414322931834708
house,0.0016617223901318923,0.0006658282390922927
majestic,0.0016193344580688108,4.9199625807965895e-05
360,0.0015940770040940634,0.0006255127674258927
dishwashers,0.001553406449175898,0.00015459410336674244
venetian,0.0014450217502616658,0.0009540955832765103
butler,0.0013941427137139195,0.0001265022451959736
outdoor,0.001347745019673674,0.0011808877462096315
suite,0.0013376574304186039,0.0003245959987063823
ultimate,0.0013352502120091091,0.00019240866531696402
naples,0.0013320466452014124,0.00022019573593441396
island,0.0013234713822487976,0.0003424350706239248
structures,0.0013039628238000534,0.0006397980556566025
2023,0.001260566318449019,0.00015971694764398202
dock,0.0012389121392458956,0.0010834113557484863
intracoastal,0.00121754185190317,0.00024356499243402246
library,0.001190854577463507,0.000495037348919766
guest,0.0011860002841573402,0.0011023525529849736
art,0.0011850474379133669,9.596096731396588e-05
widest,0.0011767313948496839,7.291795095749991e-05
signature,0.0011753403000484663,4.744913611479982e-05
secluded,0.001174483413067251,0.00031897827975248266
created,0.0011649531223425047,9.756137580096737e-05
select,0.0011552630313800716,7.860820408787064e-05
summer,0.001142045708296613,0.00017655769095240565
stalls,0.0010993235706915129,0.0005800393472661075
cellar,0.0010910937749187832,0.0004956225319013716
offices,0.0010892254600593176,0.00013195316635474639
cabana,0.001074279791965349,0.00027191718124989453
sand,0.0010606846901677347,6.639364143862842e-05
enjoy,0.0010568733769811488,0.0003438866310715228
combines,0.0010324670070202212,0.00018819976531257295
loggia,0.0010145028789256382,0.0003373055976302008
end,0.001012119455603755,0.00019032920378963142
miami,0.0009877158273146058,8.815901681603806e-05
unrivaled,0.0009855211289710342,0.00010269252136179245
home,0.000980887698651145,0.005026765517964383
residences,0.0009765099413693523,0.0005858270902644974
gaggenau,0.0009620301291566324,0.0003362654788845807
yacht,0.0009454827675785093,0.00031751035784394335
fisher,0.0009331099916370045,9.167686628213287e-05
square,0.0009293255002206235,0.00017414438633244094
construction,0.0008925662332493367,0.00027407446940421414
prestigious,0.000881715048804943,0.000815994805953132
providing,0.0008800809545961519,0.00012536560558980297
story,0.0008791941935266223,0.00037363793960369093
matched,0.0008618607708562153,4.139692612622143e-05
royal,0.0008604153301339235,0.0001146467916270523
sweeping,0.0008244600593809049,4.6661098017177944e-05
building,0.000818249063195231,0.00045742921500183814
car,0.0008133806917915764,0.0005870058392900411
acres,0.0008118935404948013,0.0003590582673713008
cooler,0.0007627566806685193,0.00013774665015505916
fireplace,0.0007261779309797767,0.000724795058848097
waters,0.0007250318749137064,7.11864105555757e-05
20,0.0007182942084587252,0.0001760190162532998
worship,0.0007094189852467015,0.00013765279992399295
principal,0.0007082730734029319,0.00011492447926679758
level,0.0007053198891284306,0.000279578564366125
gym,0.0007035815598469775,0.00021043561147883903
warming,0.0006975455491567972,0.00017934938860713766
minutes,0.00068042510047015,0.0004902940260876222
mahogany,0.0006775946606195404,0.00010807695029720432
marvel,0.0006404359773783286,0.00015572048193989878
custom,0.0006390772093609165,0.001126871223340252
controlled,0.0006387065173302676,8.627579733693278e-05
kind,0.0006377725517607402,0.0002774553214451049
bedrooms,0.0006247779934892783,0.0009843068505271575
half,0.0006239535847233802,0.00023320181832136663
bedroom,0.0006177767578698478,0.0003171533420112453
coveted,0.0006161803996452165,0.000270754141962349
temperature,0.0005959515084169587,0.00011416593982201425
generator,0.000591500336762496,0.00023916192358051897
renowned,0.0005894178194518096,7.94474040919425e-05
skyline,0.0005826313780944003,0.0002797122737063504
extravagant,0.0005815067976540078,9.387156461328353e-05
full,0.0005721667212982729,0.00017761470909618288
highest,0.0005699570288988598,0.00025796032117362513
baths,0.000562977261287001,0.0020878548557596976
ph,0.0005623461272932229,0.00028927459389346735
well,0.0005465903929042337,0.0002497015896654284
creating,0.0005417877486365797,9.750366555391949e-05
new,0.0005346540366855113,0.0006337934364280827
expansive,0.0005306872508674231,0.0006768568812651507
ceilings,0.0005273606795462183,0.0005955656400063921
classic,0.0005235852107789984,0.00015535876333186836
built,0.0005141680915936808,0.0006642646340479645
grand,0.0005073271962802384,0.0027903351087147634
refrigerators,0.0005044865805995391,4.169004356036542e-05
build,0.0004978815522433955,8.384882389713018e-05
high,0.0004840468441404955,0.00015330520254458815
encompassing,0.0004604777500451851,0.00016239010884919194
private,0.0004582793675294239,0.0005886034012179171
interiors,0.00045738384011135836,8.579022061004097e-05
marble,0.00045622661846653754,0.00034078229493565
wing,0.00045200381067946884,0.00038825163321165026
cabinets,0.00045132206747970914,0.00015736285845717538
fitness,0.00045006266888740764,0.00014961683700317097
four,0.0004464165839821677,0.0002634165611702831
foot,0.0004398647205463346,5.2557331287265014e-05
million,0.00043954124900866807,0.00011408198746892661
mediterranean,0.00042779410955948725,0.0005099418164544938
north,0.00042399242669426406,0.0006296825217119109
close,0.00041777893520311693,0.000378606649178647
center,0.00040247395224435323,0.00019687253245528915
garage,0.00040194121994527874,0.00015123597807444814
anna,0.00039442169004093585,3.79339666758015e-05
spiral,0.00037953339578116195,9.15659196947859e-05
backdrop,0.0003793015499260033,5.528905558047749e-05
real,0.0003765875384926787,4.83305967867824e-05
cigar,0.0003761022457146046,5.1123721993336006e-05
imported,0.00037542523919313896,8.142884275753061e-05
inlet,0.0003625306020027752,0.00017510691610057492
sophistication,0.00035701016565916623,6.187816015987461e-05
islands,0.0003553677515299336,0.00025659419939745126
several,0.00035230793953229257,0.0001426720934095325
spaces,0.00035003497410548425,0.0002536811486473033
ft,0.0003476768020262977,0.0005563391105364927
combined,0.00034715020792379646,8.85076015413454e-05
open,0.00034175812051984167,0.0001629331018243735
exotic,0.00032982265952610226,1.6234653070633983e-05
miele,0.0003098174877318005,0.00017269058508318836
balconies,0.0003098155383106871,9.834261878991421e-05
palatial,0.0003073874984045544,1.0207057407577917e-05
plenty,0.000300964587750685,0.0002452975632245784
spectacular,0.0003000632359269728,0.00024897156770212875
fountains,0.00029929963078962897,0.00027969948874415523
lift,0.0002981891800753589,0.00048734906532502115
flooring,0.0002978932547903046,0.00011573389601837943
100,0.0002807944896429548,9.811378908211358e-05
spanning,0.0002785554232540566,0.00016319402200553397
substantial,0.000274973547269175,0.00014857818173812733
smart,0.0002727114324679425,0.00026419318834211455
wellness,0.0002727001498493031,0.00018995741982616644
finest,0.0002670368350459418,0.0005308196879355774
five,0.00025814533584540557,0.00017847513614290602
rare,0.0002474062932335874,0.0004954782006006805
lush,0.0002456093528729442,0.00033252669875292497
staircase,0.00024410838347299624,0.0001095446119870948
180,0.00024368264835941122,7.442931438042184e-05
rooftop,0.00024223623587482646,0.00018920089312162247
modern,0.0002421637642411989,3.40492895975378e-05
screened,0.0002397689011946147,0.0003120440023559662
large,0.00022709578360431416,0.00018274700379906678
water,0.000215957175275161,0.00017380096486732097
river,0.00021552083302085468,9.217911566962443e-05
properties,0.0002148286990504067,0.0001614985817643138
dryer,0.0002113822474623328,0.00020307312781938096
offered,0.00020750136559410937,0.00015879385069030296
technology,0.0002060292905966765,0.00020580194555610426
beautiful,0.00020438535415865378,6.869180712554141e-05
tile,0.00020383426608003852,0.00016692672202023545
gas,0.0001939926732824615,8.449747415333399e-05
best,0.00019049574768388312,1.1602829313351205e-05
infinity,0.0001878309413605894,0.0005796721981296775
bath,0.00018704176590875755,0.00019105508528469343
perfect,0.00018575881378792846,0.00017309893459966838
parcel,0.0001844651696003563,6.342409286099455e-05
vip,0.0001816829040323098,0.00024245263861950503
grounds,0.00018071667693002612,7.47021032399965e-06
south,0.00017731014049517934,1.907095485529222e-05
worlds,0.00017534307419142525,0.00011024581833782816
