feature,weight,std
estate,0.06106247145958106,0.0038125864458297587
ocean,0.03379974699071675,0.004851540766052199
crestron,0.024915906130204335,0.0006283276972389417
oceanfront,0.016884854224151247,0.0022076760308423157
residence,0.011713876826585933,0.0007172170454120956
home,0.011093257303644587,0.005154667378448072
staff,0.007765030822393171,0.0011385258861638307
lifts,0.0074566784843431485,0.001016160718533058
compound,0.007168691435132058,0.004742085542316612
architects,0.006759008390706045,0.0008491552325474534
design,0.006593177373201931,0.0011811910798862745
architect,0.006548624190637509,0.0007194918724957297
sited,0.006536564886060225,0.0002225120822354077
dock,0.00556448635157194,0.002120611336358568
summer,0.005184363456572338,0.0008397566598265582
completion,0.004363532759213973,0.001153797715336939
acres,0.00400767685182406,0.00010542338152302198
mediterranean,0.003842671889878302,0.0007246040468028098
waterfrontage,0.003802999534701179,0.0014368873183249469
community,0.003776487576256304,0.0025043580590861023
terraces,0.0037636424565703043,0.000798939902221094
elevator,0.0036125764305643846,0.0010901005617237312
frontage,0.003345059391890959,0.0032310948668069356
butlers,0.003262619186644944,0.0002889861971200512
limestone,0.002953172858312714,0.0004871955136149367
mansion,0.002885120097712179,0.0003093327754164943
sophisticated,0.0027453588722147425,0.00013148343106819134
unit,0.0027427567125615226,0.0022567509148280914
minutes,0.0027396416060183836,0.0014216076516811573
palm,0.00271145807536044,0.0006483251056521368
six,0.002685136487435358,0.0003839932816358991
designed,0.0026282995518965404,0.0013141812336954104
waterfront,0.002446671807487766,0.00039860164307635
boat,0.0023859459455281007,0.00047697930505231434
sky,0.0023729511500784504,0.0004939273543065388
sf,0.0022449415212057343,0.0014006345266898948
casa,0.0022192558024823226,0.0006414821965150404
gaggenau,0.002179929238580436,0.0004205971218392365
lutron,0.0021576878262189016,0.00042509708362111723
new,0.0021149631747748644,0.0006928564311167435
intracoastal,0.0020640561880385768,0.0011623454743106135
butler,0.001972713204283072,0.00032934848700415947
wolf,0.0019664135220279324,0.0002613633352991622
feet,0.0019376508909619838,0.002991063239796101
royal,0.001915764310243473,0.00011300438371631414
appliances,0.0018519565791407899,0.0022783977792927962
large,0.0017802165730157692,0.001100098470084632
principal,0.0017194492926786652,0.00022185551899041488
loggia,0.001696083941341442,0.0004556388918942499
finishes,0.001692917589366716,0.0006253037379635745
river,0.0016405689187468432,0.00021732202417771557
