feature,weight
estate,0.07790493768435525
ocean,0.03966904031043743
compound,0.02540488847346817
crestron,0.023081381766264675
masterpiece,0.02242472184164763
residence,0.02241429269590828
home,0.02132611878357279
designed,0.017015334284814974
intracoastal,0.0162543732557482
oceanfront,0.015713115510292575
staff,0.01521097428576687
sf,0.013697205168806894
feet,0.013641119849184476
loggia,0.01272633470185411
waterfrontage,0.012166599662266443
wine,0.012097861746373267
guest,0.011940018410095886
community,0.011924364870273598
views,0.011401229539764976
main,0.011271446348976942
frontage,0.010920415916410277
000,0.010675671975476466
summer,0.010595879512791674
outdoor,0.010158619474666706
penthouse,0.009971202422026601
dock,0.009746485856878352
terrace,0.008897897297876508
elevator,0.008140626261592942
bedrooms,0.007296760244494221
unit,0.007294551746588958
finishes,0.007154819424192139
architecture,0.007116675716516302
palm,0.006901785965643476
design,0.0068449737673916275
private,0.006840222757031827
architectural,0.006812404717822126
sited,0.006677800667260156
wolf,0.0065020995445530475
cellar,0.006418344057490437
grand,0.006414600197311761
bedroom,0.006358008463216986
beach,0.0059670221629604
architect,0.0059556355702160895
lifts,0.0058021495343127125
prestigious,0.005715324414294745
appliances,0.005703179342747495
direct,0.005650911697900567
terraces,0.005588979861027298
room,0.005559937712389894
mansion,0.005503062264031873
total,0.005358234094109721
kitchen,0.0047769967489570886
built,0.004703276725637559
large,0.0046783048572370395
boat,0.004649114196181002
limestone,0.004645734784494909
living,0.004539339643746642
fireplaces,0.004392021208482928
baths,0.004295604233810513
kind,0.004122864990608144
floor,0.004090344142110309
construction,0.003929501734469611
acres,0.0038603552741424923
architects,0.0037450875006792006
gated,0.0036636409441567603
real,0.003619370441458484
lutron,0.0035688588345184516
suite,0.0035341817414482227
pool,0.0034367045142462273
naples,0.0034191604841697066
completion,0.0033424992313948513
space,0.003333169113006781
gardens,0.0032789117705899103
dining,0.003274516239634964
located,0.003261944844085623
stalls,0.003175880258545694
mediterranean,0.003174576151946142
new,0.003106953270302491
property,0.0031027222213450543
police,0.002960381393414095
skyline,0.0027596762734419336
resort,0.0027247732738070298
venetian,0.0027211095880671932
butlers,0.002696139187561753
smart,0.0026639831607501636
casa,0.002630960201946898
interior,0.002627683769942468
story,0.002595788577512567
timeless,0.0025599001257981596
