feature,weight,std
estate,0.060087677979914746,0.0037176212662034924
crestron,0.023612168835630533,0.0003932513214689574
ocean,0.017604955923646283,0.004739836482817172
masterpiece,0.013451279655358328,0.0013979523392390226
home,0.008266444216105052,0.0036988426114903713
oceanfront,0.007627713019821303,0.0008859297195501457
compound,0.007601599158877636,0.0017502369029564178
architect,0.0066133666193342044,0.0005729670741824083
elevator,0.006042668095326586,0.0014189663810743709
community,0.005865455891908189,0.0011764202170826527
residence,0.005481711230507269,0.001460748993002256
sited,0.005217592362590761,0.00027424110351349085
design,0.005055614213582649,0.0006123485326690707
palm,0.0046535383831893375,0.0007325078885094388
completion,0.004513905168773591,0.00014825323960121153
frontage,0.0042536398110526894,0.0017215942156210743
limestone,0.003999963731104983,0.00010995964559297037
mansion,0.0039809338328267605,0.0006723553221131913
pool,0.0038474975820464107,0.003213636990498848
staff,0.003843606053084625,0.0008750545694576116
designed,0.0037984387240268314,0.0012799546226168403
views,0.0037756443342853,0.0014220863508043174
waterfrontage,0.0037458855352300313,0.0013374704443819337
bay,0.0037457287183121136,0.0005415348670597568
waterfront,0.003675847159944823,0.0003444442578830298
private,0.003672003268242663,0.002063679938747932
architects,0.0035716743947743048,9.433312450657156e-05
wolf,0.00352781409196532,0.0005164506700872624
sf,0.0031326834091747412,0.0012544485580816302
terraces,0.00311984703912076,0.0003780343838087839
six,0.003109915430422472,0.00023932253331550434
unit,0.003037989811875974,0.003056822985287942
gym,0.00292519948401031,0.0010258138842240306
lifts,0.0028368251293446,0.0020449713314563698
sanctuary,0.002816484550653753,0.00017678116367617983
finishes,0.002801825250605949,0.0008288870363865513
chefs,0.0025846315724639803,0.0003372439478565038
signature,0.0025696005258430744,0.0001912453293563441
timeless,0.0025563602759569592,0.0005759008934378974
architecture,0.0023463724345532456,0.00044102763055557014
gaggenau,0.002324777664923716,0.0005022050404867157
summer,0.002320125231257819,0.0002752959943830003
dishwashers,0.002292861087374809,0.0001256195088849703
butlers,0.002191553359311671,0.00031091233278052156
close,0.0021230520499547546,0.0011823667984200619
venetian,0.0020052541177663754,0.000517993475484579
lutron,0.001979952725636225,0.0005727458072806619
butler,0.0019487074216328671,0.00012173199857021067
construction,0.0018652243593742178,0.0002759145170731148
sophisticated,0.0018074657056392552,0.00011423973123944375
inspired,0.0018048067586627025,0.000305824746318241
grand,0.0017102540994070158,0.0014809803339277065
bedroom,0.00169830279993739,0.0005538968344957518
experience,0.001688833625513375,0.0003478053289440271
condo,0.001671834980764908,0.0004073395622549799
casa,0.0014895176771439812,0.0007593399782358868
360,0.0014806959260072361,0.0005771681472018711
warming,0.0014755172921212534,0.0003146940367649384
unrivaled,0.0014747953518787992,0.00011905494141181126
gated,0.0014645795660047645,0.0013785510416537883
video,0.0014521158265843326,0.0006057776955829205
ceilings,0.001403833335633853,0.0005845907095732929
appliances,0.0013635820814452914,0.0003332233370315245
