feature,weight
estate,0.07482068401803402
compound,0.0553102454906139
ocean,0.03593018112602728
masterpiece,0.02349422230083297
residence,0.021654346877382664
home,0.020844017661018156
frontage,0.020333284137002656
designed,0.01969393899304148
crestron,0.019565908729079626
dock,0.019543983168742868
000,0.015789642563392964
wine,0.015594277804526047
sf,0.015155044611563312
architectural,0.013760544648995924
loggia,0.013426857649246232
feet,0.013316371847629646
staff,0.01302339406425797
views,0.012049433530843265
grand,0.010378499515186643
penthouse,0.010119285639689625
outdoor,0.009882490822837639
elevator,0.009867234696966258
waterfrontage,0.009832785009172543
terrace,0.00952361812881614
beach,0.00950367578307987
summer,0.009197976728198796
community,0.008628996346344458
pool,0.008548149199253575
architecture,0.00763645624184953
cellar,0.007419915833515805
oceanfront,0.007364010011533605
bedrooms,0.007119589419523267
lifts,0.006807831337859028
main,0.0067705049083845404
private,0.00640035786614635
mansion,0.006332959939943348
palm,0.006112122725698287
kitchen,0.0060339544707279456
finishes,0.005917801769998433
kind,0.005847806957441419
architect,0.005818887452475034
acres,0.0056733029046797945
wolf,0.005564049191915187
completion,0.005541200862517569
total,0.005445994008924788
butlers,0.005042355437512573
waterfront,0.004914564270433637
terraces,0.004691081773756591
gated,0.004412772088686359
chefs,0.0043581660433201636
sited,0.004293256522134288
prestigious,0.004225807963305796
unit,0.003963883143386173
fireplace,0.0038190300461616042
design,0.003703462817365926
limestone,0.003631848483865515
bay,0.0035798861313432124
custom,0.003534216293553687
mediterranean,0.0035117880750170504
living,0.0033723212780144194
stalls,0.003333625850192755
lutron,0.0033042430198176624
expansive,0.0031722760253126486
full,0.003004789266268354
degree,0.0029886466420478283
deep,0.0029842356024228074
timeless,0.002913507872658596
rare,0.002903352155346028
ft,0.002889733480854625
bedroom,0.002838666613855394
sky,0.002822206695556524
boat,0.0027836291490116434
level,0.0027807025680357173
venetian,0.0027543433918246446
built,0.0027206378830160094
baths,0.0026890632712021014
12,0.002682581785768546
gym,0.0026548522441059894
fireplaces,0.002648108189750248
inspired,0.002628491416831042
vip,0.002626963199134432
100,0.0025614187736307005
finest,0.0025537117128507005
architects,0.0025499817253643166
interior,0.002472454885289947
smart,0.0023416392092408716
paddocks,0.0023351555399533253
house,0.0023210066778211265
casa,0.002314967425748021
intracoastal,0.0022748931546717147
floor,0.0021963185740527793
quarters,0.0021790307467529713
new,0.0021591896604128465
room,0.0021215167885568226
butler,0.0021084221336360315
gardens,0.002056113745643325
infinity,0.00198900179014374
dining,0.0019626765778388276
sophisticated,0.0018910797502993575
skyline,0.0018861537836647084
police,0.0018681169003010702
large,0.0018585502615015806
houses,0.0018215936556979322
combines,0.0017956531822596775
suites,0.0017886059322717277
north,0.0017443013076776236
ultimate,0.001719885017953675
appliances,0.0016756528937991464
construction,0.0016647390629907827
amenities,0.0016540715568609155
six,0.0016141722429343802
spaces,0.0015868996917475086
360,0.0015862743132485327
office,0.0015494272221604024
2023,0.0015485924688556718
automation,0.0015405377713075027
natural,0.0015379417426870275
interiors,0.0015205387390448688
guest,0.001519375693351551
lakefront,0.0015165916952073278
warming,0.0015163333593318847
sanctuary,0.0015054997690568638
system,0.0014886775973906648
signature,0.0014779284397118742
situated,0.001464146336243641
marvel,0.001453314104290673
coveted,0.0014523630680795053
soaring,0.0014356937749748807
certainly,0.00142410470588046
providing,0.0014240407857036802
ceilings,0.0014239742308505045
