feature,weight,std
estate,0.06598556930482348,0.011692824256361232
compound,0.0365007599658095,0.038968874565562195
170,0.028877977828464182,0.03710514391364802
residence,0.024462874727001663,0.010254794294016673
oceanfront,0.023663243913390922,0.027452397796034263
crestron,0.01854208226300992,0.01806298655070092
masterpiece,0.016607295483782734,0.009840265058095916
sf,0.016454609401878543,0.009268534628473305
gables,0.015249645717027666,0.012651336664238668
ocean,0.013831064580972253,0.01659280101634667
views,0.011211065229697748,0.0050339680525049255
limestone,0.008158014588419466,0.008694300237136595
houses,0.007978256250923193,0.017356225940506027
penthouse,0.007514595549990509,0.010148691120095697
firm,0.007444872538665099,0.013309927158004586
elevator,0.007170457022807766,0.005056859659231696
camp,0.007060410868415775,0.010209767379639979
intracoastal,0.006902008016773773,0.010462276083536292
feet,0.006397436971016172,0.007256652235899474
skyline,0.0062466847049617155,0.006704789482166467
wine,0.005787440781913209,0.009213893093551735
searching,0.005731696099909376,0.008024439537986058
direct,0.00552094944214564,0.013941470348466278
staff,0.005406479464519188,0.007323104237247057
palm,0.005318728975206053,0.005842140427007603
community,0.00519513582506399,0.003600594766977149
designed,0.005067050448508498,0.00522087928930567
substantial,0.005059328573391296,0.008973894383119983
mansion,0.00480421316201364,0.005669116053006287
terraces,0.004725913007302083,0.004039644660715862
walker,0.004431999322788724,0.004892901631186082
entertainers,0.004358830549539279,0.006706486933602778
completion,0.004329551577544346,0.00658770871735004
undergoing,0.004173724410351569,0.007845739483846582
architect,0.0039948678234609375,0.0037245804091866584
wolf,0.0037267885036500405,0.003071489249901931
police,0.003669463944038467,0.008011904211737066
frontage,0.0035378816481853644,0.011619717459961834
waterfrontage,0.003336875534307098,0.005370558566185799
outdoor,0.0033333665041263266,0.006699994783941275
private,0.003300872539124218,0.003751442961051561
dock,0.003287757884974872,0.008235867202039154
home,0.003149560401166083,0.003628236213261993
jupiter,0.0030590381052568207,0.005037439119849831
principal,0.00305162186076915,0.005148111962580591
custom,0.003016204487605711,0.002130999761869952
cellar,0.002963097777773987,0.004359865065487929
interiors,0.0028995196802582964,0.004802149572182315
summer,0.0028945282032599665,0.003692667871940712
kitchen,0.0028508561397785127,0.010119215462220428
suite,0.0027215655479196437,0.011269652351724616
homes,0.002708767362223334,0.0040273186882154805
section,0.0026430693795959285,0.005876195279331834
000,0.0026337271437510104,0.004296902175219022
mediterranean,0.0025447952855635614,0.0034648994210793376
every,0.002517490614143384,0.004902021764781532
finest,0.0025045326094000125,0.006500640452373428
straight,0.002469269502857434,0.0029704705809770107
llc,0.0024010008792663758,0.004019324744411486
architecture,0.0023934263716929027,0.0043563258263645994
sky,0.002339188451223949,0.002710320013767733
pool,0.002325100800048986,0.0020371995842573573
quarters,0.00228666443122885,0.011139061659509506
planning,0.0022799761919398984,0.006863872210242503
lift,0.002253514707570864,0.008345853146451275
lit,0.002184988873633827,0.00506020028496026
spa,0.002108094481408209,0.0013569625242753087
feb,0.0021053655465380094,0.00613129088598682
beach,0.0020883402946506114,0.0019601040041324837
design,0.0020758183267552974,0.0026367570185810737
flagler,0.002039912925953621,0.0024525828129710056
marvel,0.0020398854821201194,0.004233579667682876
info,0.002015185160848331,0.006404811966861081
terrace,0.0020019600272312083,0.004703456317917617
bedrooms,0.0019918445761916313,0.006296395081070884
bedroom,0.0019393911054994303,0.005335669281813514
liv,0.0019265659686909641,0.002181762227094215
360,0.0019240002464003118,0.003237414772921156
finishes,0.001906148486051651,0.0031256007319066313
several,0.0018923908582395021,0.009642379993426743
square,0.001878219182938681,0.004446158090005687
suites,0.0018755764815805613,0.007972941521722406
harbour,0.0018681733082456932,0.0031118705713370056
living,0.001867744685147159,0.00447496674902514
baths,0.001812661751157456,0.0037073366470684603
grounds,0.0017840866172978117,0.006559692037178877
four,0.0017677683895620108,0.005688110755416933
ultimate,0.001733561660630348,0.005016761268679461
guest,0.0016970994380031683,0.007117511289791515
offered,0.0016826404061588821,0.008968371410305239
lifts,0.0016420003736457819,0.0024375980143227205
lakeside,0.001636965679146546,0.007183484030278611
structures,0.0016122487420733374,0.00924836955908158
furnished,0.0015943796240590839,0.004377804593204663
gated,0.001594096200858819,0.00424805463416662
spaces,0.0015494850761325683,0.0053616978238237014
one,0.0015456565479292843,0.001904292399036601
spanning,0.0015446583077086075,0.002573505892505782
