feature,weight,std
estate,0.1815188918256798,0.01505044007395024
oceanfront,0.06741957629509503,0.004117011677430124
views,0.011127338530350705,0.005613749939639227
ocean,0.00760307279265191,0.0022560082190588014
wolf,0.006713334943436333,0.0004479374382722631
terraces,0.006617051378923477,0.0006481181688086963
completion,0.0064399169201430516,0.003215638279156436
masterpiece,0.00632978665212931,0.0034522461340098383
residence,0.005482663557539324,0.0044179585188297895
elevator,0.005332431477310729,0.0007362458838622615
community,0.004890097449151409,0.0014424693651248607
crestron,0.004843641304309476,7.82745120000956e-05
outdoor,0.004519768422928094,0.0010332845413740922
structures,0.004343432290602411,0.00014510010862029419
architect,0.004328364374608107,0.00031263431739659095
intracoastal,0.004073682805912049,0.0007529981440228647
palm,0.003954397170378243,0.0009200168333439618
camp,0.003439915242165159,0.0011385822625664536
custom,0.0030918691207325157,0.00040947215367448446
en,0.0027316126681492083,0.00014891963976208916
mansion,0.0023724972185150462,0.0002546496213994803
pool,0.002249955445407803,0.0006783439701297328
design,0.002050269065526478,0.0009688110206915243
feet,0.001974822381241714,0.0007609745992113284
temperature,0.0019735543311659278,0.0002575532121269527
renowned,0.001973446413139723,2.8968474041108892e-05
premier,0.0019054339643176821,0.00042389955572535944
55,0.0018755522320060836,0.0006525311708012879
waterfront,0.0017592172350198165,0.00032060605872626585
compound,0.001645568455864832,0.0002595740146224906
sky,0.0016403184539458104,0.0005335591475761807
spa,0.0016019921066352972,0.0006609398884434894
present,0.0015658418539619356,0.00016362200453216185
cabana,0.0015129059999458238,0.00011431564766475456
private,0.0014826050287863434,0.0006054709763269943
entertaining,0.001428079346499711,0.00016306093624059322
lifetime,0.0014251523470536931,0.00014413270933813198
walker,0.0013844818528595093,0.00042478088953962076
waterfrontage,0.0013580499447508388,0.00017544840250432818
architecture,0.0013162748932929792,0.00020617764439332588
combined,0.0012978992103590103,0.00013700065153279632
lutron,0.001287861700667059,0.00024887286578349337
sf,0.0012818196203155275,0.0014089962700115535
360,0.0012611681360293447,0.00031268752660445993
wine,0.0012525694803216636,0.0012402135979464816
paddocks,0.00120540621998253,0.00040490957646479003
gym,0.0011575802102437916,0.00018773910649367765
000,0.001130415049512923,0.00026851459572095095
home,0.0011302742117181408,0.0008426188809086176
interior,0.001107564097929381,0.0002057926766259983
bay,0.001099081167337257,0.00047948601228101366
sunrise,0.0010862485147339561,2.740209145526107e-05
skyline,0.001084456225311503,0.0004381440213369977
bespoke,0.0010682796214910527,0.00014553110787703615
beach,0.0010667250256188865,0.00025342999049822424
exclusive,0.0010603886173186972,0.0001456683280019783
gaggenau,0.0010042029851402789,6.916492460813996e-05
designed,0.0009670188384192313,0.0003928701434192235
butlers,0.0009516528520080225,0.00011667010487905083
firm,0.0009416232210263997,0.00011439868080447535
gas,0.0009302026496443184,0.00013277296975033371
staff,0.0009111731633931974,0.0008219678975161413
streets,0.0008960359377419236,0.0009042853527388793
reimagined,0.0008841925572314668,7.830581298857586e-05
architects,0.0008812181219550075,9.745387348407612e-05
dishwashers,0.0008580043965041639,5.203606817342354e-05
beds,0.0008555951230656778,0.00015701838264876544
prestigious,0.0008506605573447956,0.00038717002921515796
almost,0.0008446227680869667,0.0003448848790690084
creating,0.0007860598524315199,6.142966836369108e-05
summer,0.0007682413509449537,0.0004482992747941018
house,0.0007624848855715127,0.00032526205573012434
stalls,0.0007515567904453846,0.00048246305316672485
entertainer,0.0006560445959412408,1.0903661316466839e-05
acres,0.0006498945823362856,0.00015318734936779343
crafted,0.0006487030395235349,4.432712595766633e-06
miele,0.0006378391438562004,0.000309086548485862
south,0.0006336194299004338,0.0004484884087051775
principal,0.0006328763655853332,0.00014217130253734394
feed,0.0006282605728618274,9.086898931269165e-06
frontage,0.0006116951555205086,0.0002520570846680135
ceiling,0.0005981009709564056,9.829507866743813e-05
villa,0.0005944193226091743,0.00024804906396610533
suites,0.0005817656507722813,0.00013003735528548119
first,0.0005666539439594276,5.3027121364098085e-05
matched,0.0005617057900862532,0.00039792930447547965
drawer,0.0005610827314345812,3.4890708875032923e-06
living,0.000560030363081987,9.23581655638059e-05
modern,0.0005503419066305471,1.89635690040516e-05
island,0.0005469088193680083,0.0002418649387649389
lifts,0.000546508447916283,0.00015380849525764334
royal,0.0005367646805476411,0.0003038008234722985
gracious,0.0005320440558508998,2.594736210003472e-05
two,0.0005310291167206493,0.00039274176652791764
quarters,0.0005302249216249999,0.0003830894612264592
