feature,weight,std
estate,0.07605299556129781,0.017547954707724415
compound,0.04682629571714459,0.05796958749845041
residence,0.027506451888985414,0.011657437896500936
crestron,0.021511716550572543,0.017872430050395707
oceanfront,0.020550392104551524,0.016812174941373773
masterpiece,0.018932399739108808,0.013164690465996245
views,0.016248288184922903,0.008292606196952167
sf,0.015164804116278277,0.010457420831237792
170,0.013716988301050689,0.03357253875620057
substantial,0.013330650936772083,0.014296990789809652
completion,0.011964399573383067,0.02178988923700088
temperature,0.010435857250104088,0.032994965315897865
gables,0.009705262334188206,0.01297614771046584
wine,0.009080235255436053,0.010175607835967595
feet,0.008267698550934477,0.010747981014953806
marvel,0.008235598097827649,0.008863093651392285
certainly,0.008181592740631216,0.02254320351279392
ocean,0.008122572961915644,0.012733185393962981
limestone,0.007519764537851071,0.008783760347413535
penthouse,0.007146405183825176,0.011201157543919437
03,0.00691225078237345,0.008060696674062593
designed,0.006211594006902265,0.006273081836439363
terraces,0.006068025492131228,0.006163588939584192
warming,0.005998225117843155,0.007778500432968594
liv,0.005829248436713553,0.007921712085061513
elevator,0.005593150781727424,0.0035884019167461713
structures,0.005496842652046138,0.01604962163293311
terrace,0.005464920336755632,0.010416238505261553
entertainers,0.0054467085848048,0.008175114995055232
sited,0.005353401970187873,0.01933289501192578
intracoastal,0.005295318250371784,0.009163653799033758
private,0.005040685206970095,0.004579300701611211
staff,0.0050316973684468354,0.0075987476242517305
000,0.00449209756293857,0.006535461418626697
walker,0.004351110400277025,0.005653682726256203
tiki,0.004311125511271757,0.004195326955683182
custom,0.004283727590235984,0.0034229674357335676
dock,0.004229926660099777,0.0065068745543591135
outdoor,0.004101581089112232,0.0033800535161564653
wolf,0.0038586107432693737,0.003341636843949835
mansion,0.0038457534285939246,0.00531035895079002
design,0.003720901713287631,0.00440355664948017
finest,0.003632506851940699,0.008270982408591386
camp,0.00362461981855535,0.007666584874169749
community,0.0035114028849376195,0.003175211125035738
palm,0.0034071148072045586,0.005835513587985729
loggia,0.003381680122940349,0.015542708027597298
architect,0.0032980571995750727,0.003903164949829558
summer,0.0032925364749349663,0.0035442122753447207
architectural,0.003081894908418179,0.008966168748746221
20,0.0030154420188713347,0.005534300540991275
gardens,0.0029935689449795124,0.010801744873482351
home,0.002934860841550685,0.003247171066134958
nearly,0.0028939421229316115,0.0046965968098469
360,0.0028668957547352118,0.004028155191255141
spa,0.0028651437575558563,0.001508546218977828
zoning,0.00286198960290921,0.0031455626389675913
architecture,0.002792629303104237,0.00445618004217594
police,0.002773621753603616,0.0030450064133822744
beach,0.002769760718046654,0.0072250411614100465
pool,0.0027460958561186686,0.0025382106236755764
direct,0.0026729920980891803,0.010539380696232298
butler,0.0025254492784443066,0.005462875634048055
butlers,0.0024709616429347565,0.004606608629079595
cellar,0.00242935803786494,0.004581425055422485
waterfrontage,0.0024086277218135646,0.005481906090875793
waterfront,0.0024085362271954545,0.003558641226974321
sky,0.00240760515052443,0.0027421236106383996
frontage,0.0023667802797760237,0.004541512873423821
statement,0.0023576758438741334,0.004983800414980221
fountains,0.002284682840336329,0.00931933903903021
ultimate,0.0021939214240309745,0.005624988853332477
rare,0.0021890212744276358,0.00428526804679503
entertaining,0.002187707366098699,0.011089371485920213
suite,0.002176246020382617,0.0031350116268192563
principal,0.002138582656421877,0.004983375255924371
main,0.0021183815776968165,0.008533178355185755
grand,0.002107808598036024,0.0036850692288791487
en,0.002087799597024032,0.009580386762873688
sqft,0.002055710880627832,0.004382375521686819
coveted,0.0020360398213217076,0.004723033692858177
bal,0.002018825580319413,0.003406817893037588
lifts,0.001945339988301754,0.004613081176302525
consists,0.0019355585422165089,0.009561724768137518
gated,0.0019151936906977964,0.005662322916850391
living,0.0018890200534847311,0.004343166299968614
pinnacle,0.0018717579851857066,0.004460994135691454
skyline,0.00184908954816207,0.004340236998643191
kitchen,0.0018259129395727372,0.002848360254063649
streets,0.001791029224153305,0.003418863930206962
level,0.0017865947359994644,0.004885378126430099
jupiter,0.0017681097976220265,0.0043294083242660635
finishes,0.0017633236480120295,0.0032368628788022337
ft,0.0017606569307281065,0.0023043136652464618
premier,0.0017549782944245888,0.0032451714481441882
bay,0.0017441046139719577,0.0038779056567602955
sleek,0.0017432304769466785,0.003508990804379966
guest,0.001727191085191238,0.007928632335244074
baths,0.0017147211167219069,0.0023777767022386924
undergoing,0.0017054236411280697,0.0052294632349888966
inspired,0.0016796825068056207,0.0035452448794891186
llc,0.001633742264227379,0.00389896212172293
searching,0.0016228523069592871,0.004865072299095409
100,0.0016207541800055307,0.004285083734500622
covered,0.0016008920208272109,0.01243560637487881
house,0.0015916608621556606,0.0063770793998016604
present,0.0015863602659048528,0.004125183890439751
lit,0.001570729705155222,0.004544989550285104
luxury,0.0015427206122591156,0.0015796024059821932
room,0.0015400541529303764,0.002632741947109654
fit,0.0015365165639920385,0.0042678225186206465
sanctuary,0.0014927816119762358,0.004305748397033146
sprawling,0.001487706611957633,0.00798214881819681
acres,0.0014860760473273736,0.005477651348444558
best,0.0014772961101519786,0.011354881966596184
beds,0.0014625856170683157,0.004370633350555378
features,0.0014561978544933316,0.0024716482176433165
flooring,0.001408316182548942,0.0036299989567179897
quarters,0.0013971443149677959,0.0014331838770279414
construction,0.0013781798094322719,0.0019069847316704293
mediterranean,0.0013779730933518506,0.0022933854695156046
opportunity,0.001375030711494136,0.002772833849668734
square,0.001361995698426489,0.0018469782112566413
full,0.0013609943417001447,0.002289631039041894
one,0.0013592045207228656,0.001740447569107566
interiors,0.0013532880340213073,0.002779190463753794
section,0.0013362478318888055,0.0047552709174157335
exciting,0.0013315559031503077,0.002651037873924574
gym,0.0013239976063500667,0.0043917338750032245
stalls,0.0013233644246694572,0.001530465573667915
lot,0.0013207722425270388,0.004805073129076619
sunrise,0.0013170511246674388,0.004386198307594881
three,0.0013150368570363981,0.010374040692769154
dining,0.0013089727602311626,0.003069488186310278
miele,0.0012979930551651365,0.002125992365239747
island,0.0012930250143389375,0.002108915050895977
property,0.0012889854540481202,0.004544223162727655
42,0.0012841440964751181,0.003804204006317984
floor,0.0012783146584246998,0.0014028428584141332
glass,0.0012745094030311961,0.003039132974395615
paddocks,0.0012621715034479123,0.0012711712599054984
bedroom,0.001249461809877469,0.0014670294012229012
soaring,0.0012382504172727261,0.0025365484252683566
spanning,0.0012268480468436913,0.0024157402166732544
55,0.0012265055055378261,0.0001975823090326616
suites,0.0012237034214539022,0.0046240463530027205
new,0.0012098214757519505,0.003096086479040321
fireplaces,0.001207755246155959,0.002934797609220966
garage,0.0012065657470924558,0.002528055673116701
automation,0.0012036608409499068,0.0026917077829906894
pure,0.001196480011281089,0.004944185926770361
bridges,0.0011952522261850067,0.001697374021486612
bedrooms,0.0011818315279479472,0.001650494957986222
grounds,0.0011723187804281276,0.004720777560413059
panoramic,0.0011614792920699255,0.0035696783581899197
prestigious,0.001158880166592763,0.002305801365771394
cabana,0.0011396862960563212,0.004200554385351737
water,0.001134310725775057,0.0021146007472596412
four,0.0011260200688437943,0.0015581826069961202
story,0.0011141336545543038,0.0027643348829377466
rooms,0.0011095394327651548,0.0027940811705528786
car,0.0011039341842049525,0.0017370865464259144
laundry,0.001103297039608363,0.0069984895864128455
lutron,0.0011007216823954893,0.002101979656676527
found,0.0010959904009140223,0.007728533572377313
harbour,0.00108645014191029,0.0023880861530645456
seamlessly,0.0010862820501603282,0.0034586801843658603
matched,0.0010791916670918578,0.0030843034208494955
marble,0.0010626426513155485,0.0009448907752043486
indoor,0.001062320034149593,0.004269775895089796
accents,0.0010495389641121831,0.003859441135558189
area,0.0010424456675311464,0.001651894287210043
bath,0.0010359424815397362,0.0018801361484534354
elements,0.0010330583024007205,0.004089982876430792
info,0.0010311608614471562,0.003981089373949779
lounge,0.0010303951070040661,0.002819312565595461
smart,0.0010125665215548168,0.0014110529936628587
create,0.0010104142092497005,0.0022494647603442386
total,0.0010081267247713179,0.0037462781208222645
spectacular,0.0010048915669226112,0.0015031116093871615
accommodations,0.0010013346507128462,0.003470482977945303
houses,0.0009999634355403284,0.006530669221745953
south,0.0009853232656507084,0.0024105503399040264
primary,0.0009816961623256345,0.006012446057407892
architects,0.0009745820650491451,0.0034521830135216536
world,0.0009644997745390008,0.0019211250792801574
residences,0.0009614550625842961,0.002052071825625282
islands,0.0009567814667658966,0.0026615706909190956
six,0.0009523529564522392,0.00190085397787395
large,0.0009474456695843364,0.002012201521558183
creating,0.000928626489572901,0.006158408791516299
impact,0.0009196849052600903,0.0035810897034245733
romantic,0.0009007198200702357,0.002738511764299455
gas,0.0008978855180529452,0.0012672476246534626
privacy,0.0008926547262053238,0.0017173949520927962
group,0.0008917277178121487,0.002497674135303549
exquisite,0.0008894087285242638,0.004387762752338226
rooftop,0.0008843543095597475,0.004083673392616222
wing,0.0008807245956450394,0.0022005307017698627
inc,0.0008674495677687296,0.0014916192197779708
18,0.000866036431055242,0.004223780203869902
drenched,0.000861627740930046,0.0014781586368269105
modern,0.0008610253534430593,0.002370728719714767
kind,0.0008592495967819637,0.0018568166547450013
refrigeration,0.0008529004877842926,0.0022942238377112577
fireplace,0.0008424512225739943,0.0015712339558982848
access,0.000840685008113597,0.0014325005595274057
