feature,weight,std
estate,0.18456564370965878,0.029011821381735095
oceanfront,0.07031036812233109,0.004375298931071149
ocean,0.03244778753042223,0.0021644037403636732
residence,0.025295356763522993,0.0050578447428525145
firm,0.012719418994049315,0.006221157933382525
skyline,0.011377882001750916,0.008229505747616751
views,0.010103696385048155,0.008431880750973765
intracoastal,0.009020344695712801,0.0010435501801495388
terraces,0.006404013776495287,0.000479815862478212
elevator,0.0062898946261782385,0.0015643979373249118
crestron,0.005958630403470844,0.00016002743387054117
community,0.005776699282634601,0.002367204971337727
masterpiece,0.005492008514448354,0.0038142519944379476
compound,0.005435087948862605,0.003459686564617802
wolf,0.0046557613851790245,0.0003041580821972532
architects,0.004535964864195652,0.0005210953740838304
almost,0.004289864442237534,0.002544654161439094
museum,0.004148204681318379,0.0049298653877538805
camp,0.0037252165361439937,0.0040036019826082654
sf,0.0031778124823277133,0.0016129386344897257
lutron,0.003059565096902683,0.0005239694381702261
summer,0.0029027545269572517,0.0003502961011032757
architect,0.002896791251125741,0.0011314248089239888
55,0.002844369214364706,0.0006232844143155624
palm,0.002460913280475019,0.0007462304218383741
sold,0.0022958604526813753,0.004374108236064961
gaggenau,0.002079241562087253,0.0002419188346666965
loggia,0.0020535386205752905,0.00032401985899824584
wine,0.001984845468699059,0.0036464176868777573
feb,0.0019444631740263229,0.00238836372254179
sky,0.0019369558225907691,0.00024038535667965984
sited,0.0019036758834436451,2.0865915417446572e-05
outdoor,0.0018810175305093324,0.0004821323437462831
dishwashers,0.0018493282463718508,0.0001032698006962598
pool,0.0018217420720018085,0.0010389236490861123
one,0.0018214349016608456,0.003000698805787528
designed,0.001791745550396362,0.0012173872954057152
feet,0.0016113168474669148,0.0006283768715713612
build,0.0015561236260412058,0.0001880734550711883
waterfrontage,0.001541467434807786,0.0004502529713291568
unrivaled,0.0015142469651259205,7.749265069987354e-05
waterfront,0.0015134013183028428,0.00035330463120171284
bedroom,0.0014334875038807039,0.0005835653319546336
spa,0.0013779676293159237,0.0005528729625665592
terrace,0.0013672187215946873,0.0004125159584188697
custom,0.0013618346899196832,0.0010453131828661965
real,0.0012851278220495032,0.0002688943687312452
paddocks,0.0012515756148754552,0.00025507789556854807
gated,0.0012205076468509324,0.0005187534179135184
clay,0.0012160134493169662,0.00015853615810422706
present,0.0012081524875309224,0.0003126815399509877
private,0.0011522267363022864,0.0012087949476386171
exclusive,0.001127053734644612,0.00016149677304290135
walker,0.0010956309987566692,0.000662365340393429
staff,0.0010880190929782874,0.00046765116809030125
warming,0.0010643448766656683,0.0006087549865753117
bespoke,0.001062350530634304,6.57442693376639e-05
property,0.001050312512069751,0.0008648057770840076
entertainer,0.0010308230039741905,1.7636776153195738e-06
luxury,0.0010239872072136612,0.00041603829840572545
pre,0.0010143332190234889,0.00012286449358373582
floor,0.0009847570542591334,0.00044343629098805414
feed,0.0009813143092464837,0.00010927511964698533
mansion,0.0009633223649263111,0.00043861320995435904
six,0.0009497174808357656,0.00018670901689986176
casa,0.0009193359616308072,0.00010531001348111444
avenue,0.0008990808820370288,0.0004903691077286712
prestigious,0.0008962232627248267,0.00027789719285586467
kind,0.0008848868583993807,0.0001735128745274825
fisher,0.0008483130754421087,7.606214846973269e-05
120,0.0008439343102033092,0.000543825198300255
set,0.0008244320133568239,2.345112529855449e-05
undergoing,0.0008225035336778763,0.0011657885339315536
inventory,0.0008184264767981064,0.00014963163026488843
infinity,0.000768535767779488,0.00018662494413167405
unique,0.0007614460577099358,0.0010728403591478454
spectacular,0.0007395631893704957,0.0004919636951095956
finishes,0.0007267149704555997,0.0003201645020989265
venetian,0.0007030640407670097,5.129803555853978e-05
located,0.0006907129120256039,0.0003025123165822171
incredible,0.0006831243939274367,9.173215019188623e-05
unit,0.0006765070081329761,0.00022566253767008918
butlers,0.000673754921721148,8.578803174020469e-05
miami,0.0006680584676529211,0.00019771822776190704
oak,0.0006666856626453166,0.00017553648309770272
architecture,0.000637591675227811,0.00014776080352076914
superior,0.0006240299290544594,5.032933213441335e-05
royal,0.0006144854908276987,5.2842495031653046e-05
great,0.0006096638465445947,0.00032165556361563817
soaring,0.000582567143429058,3.3520310173402395e-05
unobstructed,0.0005811764305470923,0.00011560867717349886
class,0.0005758515264630892,0.00031676587220549033
top,0.0005690414180712366,5.8589384202161585e-05
interior,0.0005617743793345342,0.00023521925455635774
info,0.0005580403484734431,0.0011127827687553403
bay,0.0005541482272227949,8.214654268035334e-05
unparalleled,0.0005536672738772674,0.00022469761103603367
frontage,0.0005531504014157917,0.00019083232415501473
residences,0.00053507875128469,0.00033562549444493897
granite,0.0005172757816516383,8.799129406718365e-05
offers,0.0005148854985460138,0.0002293880585608048
modern,0.0004990725276715624,0.00011916637162612538
completion,0.000484713259943792,0.0004010170822224562
temperature,0.00048133038117375014,7.435491596110022e-05
spared,0.00047191624436513366,8.051574208532036e-05
florida,0.00046739685994918735,0.0003375868286232344
000,0.00046726417307900724,0.00020222480669621998
sophisticated,0.00046025631250439235,3.5721595491576825e-05
combined,0.0004561357777774555,0.00013392038178852228
opportunity,0.0004531420840357736,0.0006710593423291025
close,0.0004481457616064111,0.00010920279252041785
garage,0.0004406576860762623,0.00020095024985000172
grounds,0.0004402448580377749,1.04059142856869e-05
location,0.00043971766981021343,0.00023582076008968393
condo,0.0004387052865952645,9.685732374849741e-05
ph,0.0004339508509992651,0.00010207587259248849
refrigerators,0.00043054825016215493,1.4191025208115682e-05
flagler,0.0004257852386683414,1.692859474634104e-05
beautiful,0.00042559373468000763,0.000345082160344211
th,0.0004196562349991995,4.19073192102549e-05
extravagant,0.00041884791898394447,3.919776578774494e-05
onyx,0.00041070599770323126,0.00013558749601371906
miele,0.0004076786105480901,0.00015569674853499978
spaces,0.0004039574603075913,0.00019706441250689894
general,0.00039643753080147447,0.0003420275278783352
tower,0.0003946359416729939,5.881965479407474e-05
signature,0.00038909488949472325,3.0183401418177583e-05
imagined,0.0003884753842310129,1.8628915652514885e-05
selection,0.0003826384155034779,1.199341726138292e-05
doors,0.0003761773955220482,0.00018004036370491681
integrated,0.00037204988088579416,0.00014901780671864445
zoning,0.00037112488849091465,0.0005187993689597298
motor,0.0003704015813784878,3.954049600210149e-05
sand,0.0003614698838518837,5.279430999e-05
entertaining,0.00035694284444518496,0.0003197202019176544
stall,0.00035497722694628476,1.7054565598170092e-05
flowing,0.00035437359776888664,2.1838468649120633e-05
kitchen,0.0003541952063936371,0.0004938722731636265
naples,0.0003530635156795414,0.00020292255405989277
principal,0.00034950622307525767,5.698656416165821e-05
interiors,0.0003473012241553386,0.0003689136545687754
restaurants,0.0003468963048393281,0.00022653749652420079
stalls,0.00033966909132261415,0.0001154052345266159
email,0.0003388150747979157,0.0004962271913589233
guest,0.0003304422126816364,0.00022068161266617032
main,0.0003300369881436005,0.00011437961754853853
