feature,weight,std
estate,0.06766188685790585,0.011016202897081991
oceanfront,0.026666282910417463,0.03469299697124975
residence,0.021400443083512872,0.009356003359882271
compound,0.02022857786611678,0.02879879571269896
crestron,0.018051113023556834,0.018585918599309303
ocean,0.01701096060287113,0.01670577515269514
masterpiece,0.016231388985401468,0.010195192766632931
gables,0.014654150260328756,0.012880255044177981
houses,0.011791254413151275,0.04015137158074865
firm,0.010508491069865398,0.014526183399099227
museum,0.009688346493410405,0.024206849622314112
views,0.009687342131369254,0.004864914908067232
wine,0.008357223538942029,0.012908070041290022
waterfrontage,0.0074077109782633155,0.014154026268648416
staff,0.007334073990197192,0.011562340009899615
police,0.007124665056982409,0.00874295393657444
elevator,0.006887513001116169,0.005085675743921827
loggia,0.006651923015674034,0.013834343777997986
camp,0.006460837141757095,0.010458212755987021
skyline,0.006306934946619288,0.006495044910442925
substantial,0.005971484540197655,0.009182542672428056
limestone,0.0057779497923126115,0.008154670616402472
designed,0.005527447377273966,0.005990930877218846
intracoastal,0.0053348554156538806,0.004618597613817302
info,0.005199186829121182,0.011002696588475715
certainly,0.005195576649892539,0.01806061259077207
searching,0.005126026798967275,0.007607806478668747
direct,0.005075687183116262,0.021890137859525975
community,0.005075068221389217,0.0034235960863306337
mansion,0.004976337314758738,0.005798988046488606
terraces,0.004529279230364308,0.003762908787936053
architect,0.004417076465951287,0.004116846141169157
temperature,0.004318141591268191,0.02130943862711348
sf,0.004280441823914196,0.005706128636641836
southern,0.004258000906964012,0.022470672501464263
walker,0.004255501428783042,0.0046828795835824775
undergoing,0.004151663598745839,0.007889696973031162
dock,0.004074532265528029,0.0073108035660754975
palm,0.003934912795828648,0.004838536708956594
jupiter,0.003925169261045235,0.005594047870733523
completion,0.003872805622031746,0.007505041022418346
frontage,0.003835261325614881,0.01044197809019099
feet,0.003822641218500467,0.007291131924386983
structures,0.0037866375484802307,0.012320322098969704
wolf,0.003767414890585104,0.0029828741444893267
section,0.00355775002388326,0.006587207992737256
feb,0.003524716887028526,0.00667125273267101
360,0.003469118312266337,0.004264158072477617
cellar,0.003377056943294695,0.00462673817508796
summer,0.0033040121520692784,0.003442635243171895
outdoor,0.0033026795579013785,0.009884986124684764
planning,0.003197179713859222,0.009117829442539836
principal,0.003196221967306277,0.005489287617764336
365,0.0030869162020189882,0.006173718641253178
controlled,0.0029757915804379015,0.01941626422540045
charger,0.0027564580352385615,0.0061383264156197265
architects,0.0026807402559803515,0.006628606402723601
straight,0.0025732573299530486,0.0031143716533458174
condition,0.0025618105265736864,0.011028714561118268
architecture,0.002546329485478727,0.004330129324939705
fireplaces,0.0025279680333099137,0.003692754055448945
terrace,0.0024749474246945416,0.005047627696250507
custom,0.0023906074463113784,0.0022291456436589144
liv,0.0023618940815576433,0.0030993413924263625
private,0.0023342621741862944,0.0027187144505030265
present,0.0022653330074784575,0.004416267133642202
button,0.0022639080371106087,0.005361719467064293
lutron,0.002251160497247702,0.0033200650494959
pool,0.002223978567683837,0.0053360102580897835
170,0.0022198372512371397,0.008358448187169113
mediterranean,0.002205655920357804,0.0036978449210944516
unrivaled,0.0021254489398038513,0.004720622032336541
home,0.002080275785124426,0.003478897137728751
sited,0.0020747489727137645,0.0063086702457434635
interiors,0.0020740549316418037,0.0037888197069991018
000,0.002062973701103796,0.004492540993724055
special,0.002005481206988346,0.010730466044921226
spa,0.001969843925002552,0.0013213537529596243
finishes,0.0019275636305666965,0.004070838887433338
marvel,0.0019219723850215126,0.0041714955754371735
total,0.0018878659279264849,0.003099939963813523
include,0.0018869169025930294,0.013490976606864285
finest,0.0018867996102467676,0.006440562392045043
found,0.0018737331795746083,0.014922780435276077
absolute,0.001846042493607431,0.005064272216165932
design,0.0018263103735032728,0.003953438870488038
ultimate,0.0018202457847356836,0.005160774325626755
almost,0.0017559312822121415,0.004201908607191705
herringbone,0.0017362184180969883,0.0031036919136574635
prestigious,0.0017313583430161393,0.0018420347794501006
cabana,0.001726821771735883,0.003200049438130386
suites,0.001723703210401448,0.004401208788294559
proportioned,0.0017088324056495003,0.0031677303738790728
beach,0.0016995936394757823,0.0017136008012717079
casa,0.0016871894323164261,0.0036950909381265073
one,0.00167118577236946,0.0028228996456899727
120,0.0016698488639666966,0.003412255300900319
lifts,0.0016305899226531518,0.0024318409073495477
car,0.0016120631470222882,0.003163443085499949
pure,0.0016021785402257462,0.005035469404297263
sprawling,0.001593989604475936,0.010342093478023439
bedrooms,0.0015914955318970456,0.0032099134079849527
guest,0.0015821909701572592,0.01047229984742468
gated,0.0015771724099411149,0.0036371469034845775
warming,0.0015761026216730006,0.0038295579611967276
kitchens,0.001557365729257546,0.009275831111544015
vip,0.0015542948246714439,0.003045242589716429
construction,0.0015502774276262767,0.002827230388041255
suite,0.0015451778455422979,0.002979044893217314
kitchen,0.0015400969886566235,0.005494847563548921
chef,0.0015359745363259741,0.0091348154184099
paddocks,0.0015269526918874022,0.0019038796602710512
tri,0.001519130334894912,0.004738989566738584
features,0.0015143050609015424,0.004883608515680877
therapy,0.0015098242730847554,0.006557330021215878
lakeside,0.0014812737018201252,0.006751386407986633
sky,0.001461852670325478,0.00251590788442953
degree,0.001449442646992015,0.005606670749775212
sold,0.0014458970273984806,0.004584139113862158
bedroom,0.0014255280978115485,0.002018173968010833
main,0.0014236645669328165,0.004196732588502193
gaggenau,0.0014206203338564863,0.002328323502835607
general,0.001407388369071428,0.0034825263122909883
resorts,0.0013956473647808057,0.0024331145649581025
55,0.0013936643759684534,0.0005398262674103097
mill,0.00138150522307992,0.00644629118558247
unique,0.0013681126765922925,0.003538458558789263
porsche,0.0013564083875107868,0.0017765930486545764
spanning,0.0013435473418504302,0.0023216352038842097
opportunity,0.0013320415241311976,0.0034493637266051697
coveted,0.0013300221154644905,0.003375250083975061
quarters,0.001303232321490415,0.0017706105918462239
homes,0.0012739291004344045,0.004963893839499434
gym,0.001272956266555694,0.004117719841116311
