feature,weight,std
estate,0.13402072621378175,0.013582309387596816
oceanfront,0.036797828730713224,0.00241021530810064
residence,0.028177779408289073,0.0038313943522353296
views,0.026033361981224367,0.0058041068849273795
masterpiece,0.012751777650559659,0.002730717627884373
elevator,0.008004026842192147,0.000614582041343221
terraces,0.00755771707021331,0.0002823764849114271
wolf,0.0066955464109839545,0.0005517866545893609
palm,0.006024924459795256,0.0015497424311429527
crestron,0.006020635567088317,0.00017137923614204235
sf,0.006012103827553972,0.0014355710480222074
ocean,0.0052600222984027,0.0014567972471554232
community,0.004815343744652112,0.002495355240835678
camp,0.004710116351362803,0.002275578729921498
architect,0.0041327006131556265,0.0002616431091306972
custom,0.004084898621723632,0.00125707742602011
skyline,0.0036867952316436805,0.0020857078688381048
intracoastal,0.0035564483867084997,0.00028416803646045294
present,0.003157043196251119,0.00018202818376520578
designed,0.0030811900277427197,0.0005916158594468365
outdoor,0.0029237956348323823,0.0004969739414964424
upper,0.002832391787705224,0.0011505234415850223
sited,0.0028233893616247618,0.00026344022259218637
55,0.002443712702821332,0.0012058196496469594
walker,0.0023964905111436784,0.0007647503459781281
waterfront,0.0023660960860991454,0.00017340974938797512
unrivaled,0.0022524452242488778,0.0001630957706045837
000,0.002230412304246121,0.0006957203521053301
lutron,0.002218870841814313,0.00032184382061734875
wine,0.002084341612414287,0.0006982364359397084
mansion,0.0019827740205747403,0.000345301070891988
imagined,0.0017575898216849017,0.0001384005890587916
spa,0.0017411035929940644,0.0007763296752147159
deep,0.0017088950813864967,0.0001607635476811481
paddocks,0.0016663399957399072,0.0010888249013877665
principal,0.001649887508889214,0.0002082132621957781
house,0.0016493516331775426,0.00042459492049614733
architects,0.0016244662428097855,0.00015450762242046867
matched,0.0016097120782839092,0.0008222489562620439
design,0.0015992371968823083,0.0007600229889768115
temperature,0.001592204600689695,0.00018813889739989676
feet,0.001570536559739022,0.0010441492779078858
dishwashers,0.0014980212621192202,8.709202475322063e-05
pool,0.0014055289319590213,0.00034278468635637967
combined,0.001350032555101488,0.0001951181041822781
half,0.0013262089445757353,0.00020713151995941395
frontage,0.0013105435260153176,0.00032803387220476597
waterfrontage,0.0012934956223101147,0.00012656042744871613
reimagined,0.0012547792040436211,0.00012021832426136181
delivers,0.001251163602418015,0.00013508491997562215
gaggenau,0.0012123163142176985,0.0002458115620122964
certainly,0.0011663276877600826,0.0013985543642324476
lifetime,0.0011175411792043288,0.0001929617979811156
summer,0.0010857140555579291,0.0003514810767607075
grounds,0.0010316515362676082,3.377859947156461e-05
creating,0.0010268646159440787,0.00018676817865658716
inventory,0.0009748614989335991,0.0002715856534308168
select,0.0009684196771786224,3.372196810136332e-05
infinity,0.0009551596654001848,0.00016483693287960927
architecture,0.0009488936881915766,0.00026287692273794903
miele,0.0009011119406538093,0.0002806008564871716
private,0.0008774502881889968,0.0004819687320193796
exclusive,0.0008658218694567621,8.573771159393866e-05
one,0.0008597126348375728,0.000795691417794537
sky,0.0008386420326331745,0.00023163370652195235
butlers,0.0008225400377069647,0.00038015403505938536
bay,0.0007928680740887595,0.00040547541522182484
casa,0.0007927756470543334,8.610031132974819e-05
south,0.0007887184939117553,0.00030318480137730167
inspired,0.000772509760708262,0.00023486965567698546
gated,0.0007606350254717898,0.0003336985433966163
gourmet,0.0007577971595358335,0.0001933624516559834
marvel,0.0007354622478714879,0.0012471880318899045
residences,0.0007198439044797001,0.0001553176950517806
360,0.0007189873795278689,0.0006764732942559988
majestic,0.0007181265757137733,0.0002709108001150762
designer,0.0007061899923803017,0.00010465400072399158
100,0.0007057256241892907,0.0001838499158328367
finishes,0.0006888545967477455,0.0003416998280022853
beautiful,0.0006811292074546005,0.00038709897553607217
prestigious,0.0006690479742496702,0.0001786679010626725
600,0.0006637549453701209,0.0007695080580488685
incredible,0.0006234440257726126,7.58203174251555e-05
bridges,0.0006229369132169316,0.0005071799002612261
edge,0.0006125939747259945,2.6913339186156028e-05
level,0.0006064445558882526,0.0002672419901486886
elements,0.0006051250836195621,7.0076040271706e-06
ft,0.0006039893943818653,0.00021074344515401266
along,0.000600477028336499,0.00011478992685056266
compound,0.0005938730316820351,0.0006556914686424194
lap,0.0005876521201831463,0.00016690288429420543
firm,0.0005672984043545882,6.660190442410632e-05
accents,0.0005657214275025079,0.0006324925385373979
feed,0.0005645360477709138,1.3353330754371748e-05
villa,0.0005621423527634395,2.8155254168405897e-05
located,0.0005563929225907316,0.0005356025391930787
ranked,0.0005295809533014007,7.798487364362816e-06
stalls,0.0005277396027161708,0.00010377755183771533
highlights,0.0005190060082195913,0.00012631765697960435
privacy,0.0005154779155689626,0.00033149851135432044
bedrooms,0.0005143490477149237,0.0001789980421751507
resort,0.0005131622958828519,0.00042820572582070315
worlds,0.000499607092692389,0.00023551414592812013
premier,0.0004916213959490267,0.0003507370198792151
bespoke,0.000488453655658283,7.789753399190667e-05
onyx,0.00048346951087183674,0.000403463081041272
sophistication,0.00048108636328165756,2.6982260602956092e-05
offering,0.00046190000638222093,5.5203952759493967e-05
quarters,0.000451998715960511,0.0004011516692942841
manicured,0.0004475963444177555,1.591608937430362e-05
point,0.0004445327402930133,0.000553589978496398
county,0.0004429617991349666,0.0002061041489733456
created,0.00044020060664620166,5.273862991655388e-05
condo,0.00043390317685862987,0.00012207815725498886
interior,0.00043198128997883333,0.00042238622729635705
vistas,0.0004315067292149921,3.07804364809295e-05
renowned,0.00043046325847482245,1.8413114832424973e-05
extravagant,0.00042756196645374887,4.377649134437145e-05
unmatched,0.0004168973052837588,0.000124116126572865
sold,0.0004159200404157071,0.0007109842861848219
suites,0.00040934315984157975,0.0002506112665296356
sonos,0.0004024604276031907,7.145071435756197e-05
unparalleled,0.00039516580262670685,3.0425246491076693e-05
expansive,0.00039254716205674447,0.00010266789462859129
gym,0.0003923506097129437,0.00024228341546544342
ready,0.0003886515909184318,0.00030761356089568145
penthouse,0.0003841397975577365,0.0001000441037438887
home,0.0003791157995397754,0.0007537419181050905
16,0.0003787415179179243,0.00012450336408698106
inc,0.0003735575125029422,4.609748700691131e-05
unit,0.0003724042877429667,0.00014794548277202187
gates,0.0003693904930272884,0.0001901189337310768
properties,0.0003690631147237111,0.00010327297585012779
20,0.0003685967066207052,0.0005280709727952001
houses,0.0003613614901189388,6.0175016293268545e-05
gas,0.0003612252916660452,9.400806134522507e-05
architectural,0.0003559180569362441,0.0006185805482940282
suite,0.00035262332657308714,0.00036715782006546785
clay,0.00035261435362816674,9.055311121556479e-05
build,0.0003506750234365752,6.141342967838173e-05
bar,0.0003490662624332952,0.00017706923837462933
maid,0.00034663694255396835,0.00037163342877547954
baths,0.000345471929458574,0.00021147837038794874
interiors,0.00034436530740038495,0.00021162182979463445
great,0.0003441718678093286,0.00014657264398761766
aquatic,0.00033640302636392947,0.00037156521461729293
organic,0.0003327585061373206,1.0722263681397024e-05
islands,0.0003236121382821144,0.00011989309709012587
bedroom,0.0003191476040792729,0.00017911266600791528
environment,0.00031318587240476426,2.7506775550047635e-06
impact,0.00031247400972069796,0.0003066675402794535
thoughtfully,0.00031155991646447667,2.4488611407373792e-05
glass,0.00030803581118754586,0.00013464138143859465
detail,0.00030701823657501847,3.631879463546649e-05
gracious,0.0003028719718663808,1.690953264288887e-05
balconies,0.0002963600709979364,5.185504383294982e-05
construction,0.0002954622385825001,0.0004014984360057616
upon,0.0002929143089331676,1.789007966438367e-05
stunning,0.0002902178904437003,0.0003186033657121089
limitless,0.00028930920605048095,0.0002634339639635918
timeless,0.0002801858803620716,0.00014124702134764275
shopping,0.0002796810474330558,0.0001052935750604235
experience,0.0002764370549994677,0.00010831562785702769
chefs,0.00027582573683095914,4.105390470177023e-05
theatre,0.00027419897969691573,3.269854491461719e-05
lift,0.00027052149855963934,7.17353164915132e-05
study,0.0002689223466075585,8.244837654173695e-05
room,0.0002666269937972032,0.0005941433930059782
beach,0.00026518715357573,0.00021935588097560347
pinecrest,0.0002585231593601023,7.775913900206122e-05
island,0.0002581852739626411,0.00016190024852072508
street,0.0002580104329217736,6.504283554357932e-05
beachfront,0.00025707173952855823,9.751305419380996e-06
complete,0.00025615590690528654,0.0001310663243998023
rooms,0.00025598783352565047,6.540554379977233e-05
includes,0.0002496968716348302,0.00021206156678705527
subzero,0.0002492782244406744,3.442155182695168e-05
bathroom,0.00024886428642256764,0.00010792826223573737
beds,0.00024866241285712574,0.0001712732716216821
space,0.00024843424856639816,0.00012151174128361633
lush,0.00024783197541937695,0.000212088774867997
refrigerators,0.00024637380029051136,2.651727638066008e-05
structures,0.0002448681710686573,0.0004856781734607524
palatial,0.00024227003725774132,6.192094841653804e-05
150,0.0002413840000275558,0.00025718024691028234
square,0.00023894822686350016,0.0001307722953450381
elegance,0.00023861312545621073,2.64050418455126e-05
well,0.00023808022598976742,0.0001314436610878827
spared,0.00023540234751493472,6.375537865762074e-05
wraparound,0.00022740532984919515,4.1398996784425846e-05
bathrooms,0.00022698221269090713,0.0002154745222874161
sub,0.00022619678958653023,0.00014289465316736852
area,0.00022323317641719241,0.0001293301787198015
streets,0.0002228230955019006,0.00013035669077753655
mesmerizing,0.00022018897263478276,3.72279461472569e-05
additional,0.00021994353216940875,1.066099903455005e-05
homes,0.00021781298075820298,0.0001736033881633139
walk,0.00021636232967037206,0.00021793603803189137
ultimate,0.00021616646777755655,4.665936679923384e-05
coveted,0.00021500915697727496,1.1641983004077777e-05
lifts,0.00021354364380470335,0.0007627871218129473
garage,0.00021083658965959096,0.000542156796302308
staff,0.00020204442328513038,0.00022944824192925234
imported,0.00020034146942538023,2.336389175938306e-05
general,0.00019982622386887082,0.00016980923223643523
flow,0.00019843283428564452,1.690794771160124e-05
caribbean,0.00019839853635172933,3.6115434608132124e-06
2023,0.00019758414188149055,6.534758802437715e-05
fence,0.00019566359471090422,0.00013358933137750368
sq,0.00018794863752356062,9.856830401744227e-05
live,0.00018759355941151413,8.421618578772881e-05
literally,0.00018717035773681002,0.0002861003550748706
grand,0.00018536370288733118,0.0004370907982209605
personal,0.00018473034789767695,3.94209776418439e-06
10,0.00018245624441546316,0.0001470216958823209
naples,0.0001808257774751576,2.699723341978677e-05
royal,0.0001782390308107562,8.382956209207904e-05
walled,0.00017603670987302865,1.0957810706364032e-05
two,0.00017577011326415094,0.00027153778743366024
car,0.0001748948253750715,0.0002616344545243737
kitchen,0.000174568115296303,0.0002664601816522029
center,0.00017425863119551187,0.00013312472518068374
building,0.00017182823125156955,0.000203490827515309
floating,0.000170387210817613,5.7363277311119264e-06
fireplace,0.00016751652254800575,0.00012948835220471502
pre,0.00016719675335441497,0.00017340051410156588
54,0.0001645653094680677,1.6346770512451794e-05
pizza,0.0001645084567607924,1.061221712777682e-05
extraordinary,0.00016306591954831084,5.2300216497046626e-05
star,0.00016222922034909716,1.8901529416165635e-05
multiple,0.00016198329506462717,7.655740000130425e-05
built,0.00016138768027333937,7.015165961543039e-05
controlled,0.00016116424846395193,9.457639007164705e-06
staircase,0.00016017287088969655,8.651082810163141e-05
signature,0.0001562506042246392,7.869959548658051e-05
moorings,0.0001561176104161399,3.0027396318050815e-05
tower,0.00015550505380070855,1.0656319220341562e-05
attic,0.00015532572086689455,0.0004482583996150732
motor,0.00015507824658833602,8.420351164967951e-05
combines,0.00015370036382935658,0.0001367249378532513
spectacular,0.00015338352569473911,0.0012573078608443206
accepted,0.00015148588761204618,0.0001636123677961717
900,0.0001511801657843481,0.000402692274505536
bunk,0.00015105456183892585,1.3251979934806688e-05
waters,0.00014998290642944667,1.4370060099632934e-05
sitting,0.00014895114242265972,3.2834872459401014e-05
spiral,0.00014766611198708813,2.9587922613474232e-05
closets,0.00014728834527037992,2.2076758799053444e-05
burner,0.0001450679630552232,1.56885425410203e-05
combine,0.000142822785145702,0.00010807066800632209
air,0.00014132837564764244,9.06394352959627e-05
stands,0.00014126255052366866,7.097471218481729e-05
include,0.00014125217179230542,6.327313903835226e-05
nearly,0.00014117323650009173,4.52963253898208e-05
info,0.0001406815338991896,0.0001514794651671233
st,0.00014015076852407214,5.339872277601175e-05
shed,0.000139907615047008,2.8561911925348098e-05
see,0.00013899034560540535,8.258704716506515e-05
ridge,0.0001387654035317043,3.8062936728001944e-05
renovated,0.00013850573527411924,7.437790219282351e-05
european,0.0001366256822376899,1.89507405266161e-05
completed,0.0001361137439830351,4.625202175189145e-05
phenomenal,0.00013547353203522406,8.435605741741417e-05
kind,0.00013466632790763987,7.003357534450499e-05
offered,0.00013387805969844457,3.933598138586662e-05
available,0.00013363598084570327,0.00016123682879191884
highest,0.00012969799833904006,7.127017711549968e-05
entertaining,0.00012877234602486353,0.00020441373193945785
acclaimed,0.00012604748228273177,1.1402710569599002e-06
takes,0.00012525733321286925,0.00018143995448315726
unique,0.00012459957584156633,3.1105215140359705e-05
craftsmanship,0.00012351393620964047,2.729712886433652e-05
simulator,0.00012273936014464137,2.565835847262368e-05
flowing,0.000122000934367672,0.00018499918824472556
