feature,weight,std
estate,0.06936214573071116,0.012357294094251911
certainly,0.032507641306777704,0.05479164428064484
residence,0.024962943021217626,0.009091263449747682
crestron,0.022819569876213457,0.019198831256119122
loggia,0.019691126590854584,0.040662604970259794
masterpiece,0.017099386933268183,0.011008682234598915
views,0.01543400999544304,0.007638815824497545
oceanfront,0.014691768861988419,0.014945909909539323
compound,0.012722598104649532,0.017165826679505933
structures,0.011736297783924432,0.02684683638350611
sited,0.01125637346290898,0.027996942742321538
gables,0.011113901453436346,0.014304041747717499
substantial,0.010741033345708384,0.01448347599542738
ocean,0.010341444781430169,0.014506491878782007
wine,0.009061622216382285,0.00819370492582511
marvel,0.008234329578052707,0.00882723921562697
temperature,0.007191794975106767,0.02740582555619167
sf,0.0071398077848213405,0.010256498430902494
170,0.006816636362752568,0.02262452548337733
gardens,0.006552380329112816,0.01440337050242924
limestone,0.006001981459650909,0.008752500089914631
elevator,0.005985397634998239,0.004063233926031918
designed,0.0057007507484807115,0.005774426272451193
dock,0.005649865056090072,0.008994825242465476
mansion,0.0053494227492639004,0.007507909705412615
walker,0.005315998281166543,0.005321889354202996
feet,0.005233497737674922,0.00873178100970875
terrace,0.004826172517402153,0.011455816388519332
liv,0.004637975308119752,0.0067623139385146885
terraces,0.004617262790391269,0.003514932306343348
camp,0.004387989457614557,0.008223629340211418
fountains,0.004379754375848644,0.011839131685644795
warming,0.004302735209186213,0.0066320890409373124
360,0.004127441767555912,0.005468946686767315
museum,0.004071721526824366,0.020268268508944066
03,0.004029285465043731,0.007437466488452921
police,0.003950457981868494,0.005522896994947754
000,0.0038852144960780676,0.005714136625482931
frontage,0.0038400905895101633,0.00829997068677271
grand,0.0037717796289194524,0.007840959512515195
cellar,0.003752209827317848,0.006799152574439509
community,0.0036773853316232593,0.0032642877263210006
wolf,0.0035972808618031653,0.0028654119907371893
lifts,0.0034677386762958866,0.006084133868952774
consists,0.0033509015030515205,0.007343606892236058
main,0.0033145591435377836,0.013344152030248203
architect,0.0033084587315418273,0.0035835066434809545
private,0.003299893475620152,0.004458874396370041
palm,0.003281025334021537,0.005546554351153536
principal,0.0032388815983404257,0.004739118475471484
intracoastal,0.0032256408745839652,0.004517957214549714
outdoor,0.003221573134359388,0.0031452568741227043
architectural,0.0031572477241620643,0.009145437118231512
staff,0.003154778599016808,0.006588178936685308
custom,0.0031134497037395483,0.0017849275852067628
summer,0.003090543555462692,0.00367145046791185
butlers,0.003002581105123604,0.007149344479340234
worlds,0.002991578627424445,0.007373269737151147
design,0.002904197900685386,0.005665586131923967
statement,0.0028010937433407433,0.004994363092252765
butler,0.00268045132052097,0.0046123006137729575
casa,0.0026672996175703713,0.005752402427814393
kitchen,0.0026545270691227785,0.009838395973639325
pool,0.0026452445569407155,0.003232497903858294
completion,0.00264476789589001,0.0061348657115877295
spa,0.0025981835117027236,0.0016006205667339678
inspired,0.0025223784399881983,0.0046648268080977905
architecture,0.0025134299811102783,0.004305088589655939
20,0.002511106707893626,0.005192000401005467
skyline,0.002477969476878429,0.0047458342469418125
jupiter,0.0024529879688779824,0.004874050794455686
unrivaled,0.0024353090571280563,0.005243296248096365
upper,0.0024298529079501115,0.004165823094300173
architects,0.0023898974374423833,0.0070522708032565
sides,0.0023728908581181645,0.00642032719853427
living,0.0023345515893524326,0.0035632958052648663
wrapped,0.002327920117669001,0.004428162831136498
mediterranean,0.0022523927893280944,0.004960785589766546
home,0.0022472418844550345,0.002086281567313569
finishes,0.0022314306207444194,0.004359115035152144
level,0.0022139424543842607,0.00887834846250103
100,0.002207214396130139,0.00449397022281537
sanctuary,0.002143066646189192,0.005813009179792962
button,0.002124479064382156,0.005997724615050494
quarters,0.002119102216699905,0.004417150233085482
accents,0.0021007376988706763,0.005344571562966605
fireplaces,0.002094940994934002,0.004204994504216679
waterfrontage,0.0020780232294085573,0.005687476895583853
premier,0.0020232625160492568,0.0034224283388975545
lutron,0.0019716944364968573,0.0035208510344543298
deep,0.001967031106021647,0.005431387122503724
majestic,0.0019017773384193853,0.004104517733778359
exquisite,0.0018790514426968447,0.006557696762550163
build,0.0018756932071371769,0.0028855137493392588
bridges,0.0018641688405444787,0.002078646806003533
finest,0.0018470476948008294,0.006454309175371259
beach,0.0018350850919636303,0.0018237148678171907
present,0.0018349397403023399,0.0044302038956360035
flooring,0.0018037139808250724,0.00412536284512525
gated,0.00177848050331486,0.004478463524243716
ultimate,0.0017777095266294683,0.004991957194862329
42,0.0017668351728035855,0.004774722508884614
waterfront,0.0017479474056158264,0.003446276278119931
paddocks,0.0017409773239433252,0.001606255854149687
rare,0.0017269704820942,0.00439815856442835
spanning,0.0016875620501360608,0.0025462627787414386
ft,0.001640385063614431,0.002614109204203064
900,0.0016263359966233674,0.003365543417096592
know,0.0016206634796891322,0.00594406361292835
degree,0.0016104364637283056,0.005258373979569702
section,0.0016051909838416868,0.004974984703867745
one,0.001587125646121724,0.003174336383753661
construction,0.001578544960913677,0.0022984543543809292
features,0.0015776805494975617,0.003738694298464987
searching,0.0015690882557395168,0.005041296362567142
pinnacle,0.0015673635354734325,0.0037018037383476613
matched,0.0015476849149198516,0.0029514375995563615
spaces,0.0015403598846830636,0.004170177643807542
info,0.0015328376881371853,0.004714406526971468
create,0.0015162333840984244,0.0028632459398931862
penthouse,0.0015094728168075866,0.004149473057431302
interiors,0.0014831654210289951,0.0030556820643275777
facilities,0.0014689184684240682,0.007370617940130363
interior,0.0014396773497965304,0.003062773451292511
resort,0.0014385288849845031,0.003624910795955582
includes,0.001432604737819042,0.0068996797233504895
style,0.0014305952610912656,0.0033050081774607587
total,0.001421625322917406,0.003958469500839029
600,0.001392817447317281,0.002959675018494612
tri,0.0013870782065831223,0.005526305510297686
timeless,0.0013819508089398323,0.003904219340308632
kitchens,0.001379456763741497,0.007486251604069097
room,0.0013719860698991157,0.0016915251466052654
road,0.0013656465867344452,0.00308177871266349
soaring,0.0013637481054239212,0.0027953235368202403
attic,0.001354916754317473,0.003112448013055828
bedrooms,0.0013524653822186055,0.0016780403613712404
discerning,0.0013375127825708483,0.0033489856491138357
suite,0.0012948843770269594,0.001971511994191423
direct,0.0012807681125160477,0.005261798802287505
spectacular,0.0012738539892091793,0.002846602147125692
55,0.0012694466789207209,0.0002417841710329281
property,0.0012620710291928279,0.004148580297478604
coastal,0.0012587878467365849,0.006845451984888297
island,0.001252681928745785,0.002475357518212094
bay,0.0012177443427858114,0.0023049883075609173
boca,0.001211225366141338,0.0025817601066512054
prestigious,0.0012059182957285892,0.0024352291479505456
point,0.0012025195736637385,0.0018545773218815106
elegantly,0.001199204773402483,0.002193173421646443
bedroom,0.001197767447738124,0.0016031955499613284
half,0.0011925811011715894,0.001977333893227833
perfection,0.0011741569609423667,0.0035255136560320465
delivers,0.0011734671230875374,0.00412956648313749
