feature,weight
primary,0.02725241
certainly,0.025558658
2000,0.024117516
houses,0.02098726
architecture,0.019241435
horse,0.017135711
info,0.013022548
sited,0.012342033
compound,0.011585963
frontage,0.011553558
crestron,0.011301545
charles,0.011026282
walls,0.0096785445
substantial,0.009637876
cellar,0.009624949
waterfrontage,0.009592455
lutron,0.009123701
estate,0.008730277
tri,0.008716282
gables,0.0086031435
section,0.008533852
staff,0.008433801
170,0.008354595
masterpiece,0.008133061
seamlessly,0.007963948
camp,0.007916568
almost,0.0069293785
library,0.00684778
searching,0.0067503075
limestone,0.006368812
2018,0.0062900307
unique,0.006210064
principal,0.0060366667
ever,0.0057281577
mansion,0.005591308
sf,0.005590307
real,0.0055645807
intracoastal,0.005442593
creates,0.0050618495
appointed,0.004994477
combines,0.004965328
special,0.004948048
terraces,0.004897501
deco,0.004888601
stars,0.004812363
organic,0.004810176
wine,0.0047899666
warming,0.00476375
summer,0.0047398387
style,0.004686261
architect,0.0046760226
granite,0.0046635265
backdrop,0.004556092
ocean,0.00453063
gorgeous,0.004385615
police,0.0043173977
loggia,0.0042707403
acres,0.0042540464
nicely,0.004244468
residence,0.0042199157
prestigious,0.0041371295
finishes,0.004004706
contemporary,0.003960073
coveted,0.003800823
grounds,0.003786042
fireplace,0.003770557
penthouse,0.003766051
paradise,0.0036482345
washer,0.0036371509
terrace,0.0036333534
wolf,0.0034976327
design,0.0034705575
grand,0.0034314706
structures,0.003424526
captivating,0.0034052064
contractor,0.003321531
lifts,0.0033062287
direct,0.0031827528
oceanfront,0.0031564112
elevator,0.0031481003
stainless,0.003130592
renovations,0.003128436
also,0.0030979852
major,0.003077046
gardens,0.0029578067
stalls,0.002914707
360,0.0029144222
butler,0.0028613028
designed,0.002838405
walker,0.002783762
street,0.0027573546
onyx,0.002744096
casual,0.002672454
straight,0.002564514
villa,0.002519231
marvel,0.0025104538
03,0.0024697962
300,0.0024453881
mediterranean,0.0023768526
today,0.0023047582
expansive,0.0023041463
impact,0.0022650673
group,0.0022355895
views,0.002183614
dock,0.002182292
community,0.002159194
infinity,0.0021272083
consisting,0.0021080766
road,0.002092783
sky,0.0020923738
clean,0.0020754843
sprawling,0.002056308
bay,0.002055017
outdoor,0.002050458
cabana,0.0020322837
six,0.0020223642
new,0.0019924561
70,0.0019924112
liv,0.0019812458
totaling,0.0019809285
tile,0.0019552447
coffered,0.001948977
unit,0.0019345558
boater,0.0019177678
fireplaces,0.0018730313
bd,0.0018484956
completion,0.0018435336
sleek,0.0018214289
story,0.0018208307
paddocks,0.0017847972
beams,0.0017389653
soaring,0.0017384607
pool,0.0016892789
exceptional,0.0016884493
land,0.0016877521
vip,0.0016856543
condo,0.0016842979
lake,0.0016787059
spa,0.0016314547
miamis,0.0016301803
master,0.0016121379
marble,0.0016101922
timeless,0.0016040998
butlers,0.0015868242
pure,0.001584023
feet,0.0015585937
elevation,0.0015573191
luxury,0.0015462434
beach,0.0015415328
open,0.0015391832
quarters,0.001522821
live,0.0015052786
miele,0.001499113
private,0.0014987062
sophisticated,0.0014934858
renovated,0.0014927104
screened,0.0014871955
total,0.001451099
palm,0.0014439225
boca,0.0014421592
miami,0.0014275224
offers,0.0014151147
shed,0.0014043178
spaces,0.0013845974
2023,0.0013806084
dream,0.0013731649
listing,0.001341054
architects,0.0013380548
house,0.001330692
walk,0.0013297553
boasting,0.0013268878
venetian,0.0013160454
skyline,0.0012868244
button,0.0012843612
golden,0.0012749285
four,0.0012746893
security,0.0012735901
closets,0.0012728472
dockage,0.0012649796
half,0.001262852
kind,0.0012623395
additionally,0.001249818
waterfront,0.0012432494
gaggenau,0.0012365336
built,0.0012200434
bal,0.0012148729
appliances,0.001214333
spacious,0.0012027449
garden,0.0012013068
building,0.0012011825
offices,0.0011849841
kitchens,0.0011836671
shower,0.0011789843
great,0.0011650164
colonial,0.0011617466
baths,0.0011527269
professional,0.0011417585
kitchen,0.0011317492
bridges,0.0011044872
lakeside,0.0011040533
stately,0.0010933925
romantic,0.0010928522
islands,0.0010779592
floors,0.0010653257
dining,0.0010389073
renovate,0.0010244786
porsche,0.0010188502
barn,0.0009940881
estates,0.0009921553
experience,0.0009897916
sand,0.0009800764
feb,0.0009794922
parcel,0.000978778
extravagant,0.00097541034
55,0.0009626503
ultimate,0.00095347955
fill,0.0009492734
sophistication,0.000943427
lines,0.0009346933
generator,0.0009288067
sqft,0.00092814106
home,0.00091937743
highest,0.0009165898
amazing,0.0009146908
modern,0.0009083335
landscape,0.0009028403
close,0.00089427875
pantry,0.00089103926
architectural,0.00088408834
biscayne,0.00088225544
completed,0.0008817633
occupancy,0.0008734316
automation,0.0008660558
clay,0.00086543796
exquisite,0.0008605157
naples,0.0008513547
featuring,0.00084369606
every,0.00083637837
sq,0.00083372265
walkways,0.00083196984
gas,0.0008316861
floating,0.0008242536
greeted,0.0008102379
wide,0.00080645364
guest,0.0008060161
features,0.0007981358
00,0.0007961406
height,0.0007915423
construction,0.00077801454
chefs,0.0007764765
club,0.0007730651
encompassing,0.0007711179
classic,0.00076978887
include,0.00076667964
room,0.00076502707
custom,0.0007649482
tropical,0.00076339825
fl,0.00076310436
lush,0.00076093915
apartment,0.00075930334
stall,0.00075472775
exposure,0.00075464864
cabinetry,0.00074899173
riverfront,0.0007432373
sunrise,0.0007422413
chef,0.00073367235
ultra,0.000731147
oceanside,0.0007304003
detail,0.0007284821
bedrooms,0.0007181704
interiors,0.0007147568
jupiter,0.00071399356
presents,0.0007083069
landscaping,0.0007004439
areas,0.0006950746
situated,0.00069379574
sauna,0.00069114537
drenched,0.0006857088
level,0.00068473845
river,0.00068410265
capture,0.0006835915
induction,0.0006823554
fire,0.0006820612
herringbone,0.00068073516
elegance,0.0006753033
prime,0.00066574477
owner,0.00066567917
000,0.00066279154
equestrian,0.0006626722
18,0.00066028495
royal,0.0006580103
friendly,0.0006556515
available,0.0006511521
full,0.0006506159
build,0.0006490897
rare,0.00064271357
maid,0.00063660933
20,0.00063089275
terrazzo,0.00062014145
flagler,0.00061915873
casa,0.00061573414
beautiful,0.00061314256
widest,0.0006104079
european,0.00060863054
covered,0.00060593523
bathrooms,0.0006049464
unrivaled,0.00060358807
awe,0.0006021424
leads,0.0006019971
harmony,0.00060190016
shopping,0.00059645204
180,0.00059586775
activities,0.00059328903
shore,0.00059119076
remarkable,0.0005852371
separate,0.0005751841
clubhouse,0.0005739414
valet,0.000570305
boasts,0.00056949153
bar,0.00056861946
encompasses,0.00056604645
anna,0.000565263
gourmet,0.00055164477
1100,0.00055046537
450,0.00054974214
parcels,0.0005451649
screens,0.0005448507
class,0.00054247066
apartments,0.00053699675
150,0.0005325806
raton,0.00053190277
spiral,0.0005283076
studio,0.0005272855
pecky,0.00052655884
thermador,0.00052477565
50,0.00051483494
enclave,0.00050900254
inlet,0.0005058112
entertaining,0.00050451985
staircase,0.0005031186
premier,0.0005025499
wellness,0.00050239684
pavilion,0.0005008904
town,0.0005005101
redesigned,0.0005003746
bedroom,0.00049705274
maids,0.0004970121
proportioned,0.0004967137
truly,0.0004896968
problem,0.0004889575
fifth,0.0004815553
membership,0.0004809947
11,0.0004780149
dishwashers,0.0004752989
700,0.00047236023
show,0.0004711125
192,0.0004690709
throughout,0.00046795077
wing,0.0004678331
refrigerators,0.00046409285
charming,0.00046228128
agent,0.00045867995
windows,0.00045682603
match,0.0004541463
description,0.00045286198
end,0.00045255758
pen,0.00044812847
lounge,0.0004456892
boat,0.00044565272
present,0.00043969895
designer,0.0004370076
gated,0.00043589814
hammock,0.00043354847
fishing,0.00043148824
month,0.00043022662
ambiance,0.0004253629
opportunity,0.0004244766
suites,0.00042197746
beachfront,0.00041933468
cable,0.00041742317
dry,0.0004155805
lap,0.0004141465
streets,0.00041363225
vehicles,0.0004058312
docks,0.00040171057
two,0.00039978084
accommodate,0.00039796537
space,0.00039736857
spanning,0.00039574225
12,0.00039449864
highlights,0.0003932265
unmatched,0.00039104544
plenty,0.0003900978
loxahatchee,0.00038815144
regency,0.0003878796
seating,0.00038633656
heated,0.000384546
handsome,0.00038401314
residences,0.00038136568
port,0.0003812771
ceiling,0.00037937894
luxurious,0.00037392433
old,0.00037257985
30,0.00037210135
closet,0.0003718101
survey,0.00036785562
breathtaking,0.0003668924
rd,0.00036687934
stunning,0.00036510342
elite,0.0003648477
star,0.00036434364
mizner,0.00036315198
10,0.0003629373
fit,0.00036288283
center,0.00035674043
generous,0.00035286913
interior,0.00035217975
seasons,0.00034922894
balconies,0.0003486967
controls,0.00034811915
florida,0.000345839
rooftop,0.00034577228
exquisitely,0.00034507937
converted,0.00034502248
flooring,0.00034396205
powder,0.00034369546
minutes,0.0003413911
refrigeration,0.00033958632
right,0.000339279
imported,0.00033753808
unparalleled,0.00033516163
residents,0.00033505607
pinecrest,0.00033272145
cabinets,0.00033139467
porcelain,0.0003281187
duplex,0.00032801862
cove,0.00032795098
explore,0.0003267166
sands,0.0003264479
miss,0.00032342505
250,0.0003206129
gray,0.0003202234
phenomenal,0.00032010442
theatre,0.00031942542
mesmerizing,0.00031885132
lift,0.0003178127
anyone,0.00031495505
recently,0.00031470842
yacht,0.00031283966
window,0.0003122595
access,0.0003093949
parking,0.0003084768
memorial,0.00030497354
800,0.00030454455
finest,0.00030376608
original,0.00030312594
training,0.0003030535
potential,0.00030131085
email,0.000300726
treatment,0.00030034213
floor,0.0002981927
front,0.00029715578
garage,0.00029714053
100,0.00029699595
avenue,0.000295914
providing,0.00029485105
temperature,0.00029165822
portico,0.000289847
ranches,0.00028948928
sitting,0.00028759925
specifications,0.000287377
breakfast,0.00028514216
magnificent,0.00028489315
top,0.0002846242
come,0.00028441922
city,0.00028396523
miles,0.00028271214
oversized,0.00028236155
steps,0.00028187534
moorings,0.00027761958
famed,0.00027760616
five,0.00027736888
gulf,0.00027475102
thoughtfully,0.000274729
one,0.00027467095
solid,0.00027225137
high,0.00027185236
decks,0.0002715235
seawall,0.00026953424
ceilings,0.00026932417
select,0.00026856235
lot,0.00026785812
reimagined,0.00026785352
citrus,0.000267481
145,0.00026588398
walled,0.00026568933
53,0.00026556253
deep,0.0002646625
archways,0.0002629466
public,0.00026207662
amenities,0.0002618479
gracious,0.00026051854
66,0.00025976254
concierge,0.0002590402
finishing,0.00025626508
hold,0.00025594194
fountains,0.0002557713
collection,0.00025244584
elegantly,0.00024981966
spectacular,0.00024958063
including,0.00024935877
auto,0.0002488425
display,0.00024783734
85,0.0002467191
tucked,0.00024629678
welcome,0.00024529535
family,0.0002442423
creating,0.00024210267
acclaimed,0.00024043958
combined,0.0002397603
consists,0.00023892464
hollywood,0.00023867066
tower,0.0002386032
progress,0.00023832958
acre,0.00023585797
time,0.00023562562
tenant,0.0002345906
north,0.00023354818
luxuries,0.00023351451
expand,0.00023288917
village,0.00023140632
sunsets,0.00023102871
se,0.00022989188
oak,0.0002295732
unwind,0.00022845695
unobstructed,0.00022695134
grove,0.00022265609
urban,0.0002196988
palatial,0.00021840051
inside,0.00021815844
mexico,0.00021629428
south,0.00021532131
park,0.00021521284
davis,0.00021470642
superior,0.0002142773
flow,0.00021399363
presently,0.00021345016
begins,0.00021340798
friends,0.00021121932
entertain,0.00020951495
equipped,0.00020925036
cottage,0.00020893557
bath,0.00020813248
restaurants,0.00020741709
ph,0.00020695776
appointment,0.00020497789
wet,0.00020420653
sonos,0.00020393553
needs,0.0002030118
aluminum,0.00020085083
corner,0.00020007488
homes,0.0001976028
23,0.00019494393
line,0.0001901271
metal,0.00018699936
belle,0.0001840958
alley,0.00018402422
approximately,0.0001840181
intimate,0.00018376712
technology,0.00018329023
entry,0.00018319518
exudes,0.00018231763
shops,0.00018117245
address,0.00018062604
investor,0.00018037656
media,0.00017980493
information,0.00017959127
ski,0.00017798002
desirable,0.00017744585
tones,0.00017743612
2011,0.00017641786
arena,0.00017530068
living,0.00017519071
newest,0.00017475973
rendering,0.00017421503
14,0.00017420217
cooler,0.00017393773
john,0.00017366916
conveniently,0.00017312022
directly,0.0001729194
incredible,0.00017288685
comfortably,0.00017133179
downtown,0.00017087224
gym,0.00017043376
density,0.00017042198
16,0.00017030853
machine,0.00016979912
singer,0.00016966497
19,0.00016910984
huge,0.00016816477
property,0.00016811346
lushly,0.00016784674
currently,0.00016782826
shores,0.0001670128
29,0.00016699519
museum,0.00016666343
call,0.00016315424
first,0.00016279389
hutchinson,0.00016266637
cul,0.00016144049
perfection,0.00016071831
ave,0.000158728
bottle,0.00015842533
75,0.0001581975
soothing,0.00015684098
iconic,0.00015548673
den,0.00015519353
indies,0.00015483152
impressive,0.00015468328
subzero,0.00015464988
2021,0.00015443453
backyard,0.00015375683
500,0.0001533716
market,0.00015250001
suite,0.00015215046
embrace,0.00015170695
indulge,0.00015151118
fisher,0.00015123143
waterside,0.00015094581
siesta,0.00015063725
rack,0.00014930405
showings,0.00014813575
storage,0.00014773522
pelican,0.0001474104
woodwork,0.00014648329
finished,0.00014643406
extraordinary,0.00014627073
floorplan,0.00014588212
showcasing,0.00014470339
jet,0.00014227034
square,0.00014216281
mahogany,0.00014178337
zoning,0.00014094844
bathtub,0.00013974177
worth,0.00013904618
120,0.00013902198
invest,0.00013890295
secluded,0.00013890042
courtyard,0.00013889124
accessible,0.0001388014
attractions,0.00013865839
marco,0.00013835197
feel,0.00013697121
firm,0.00013682204
workshop,0.0001353918
ba,0.00013537922
900,0.00013493323
island,0.00013447332
skies,0.00013352817
laminate,0.0001333819
dedicated,0.00013309583
plan,0.00013309161
sinks,0.00013257093
semi,0.00013223666
offering,0.00013194367
plans,0.00013182926
oasis,0.00012953914
model,0.00012949479
freezer,0.00012697774
large,0.00012646648
office,0.00012606104
signature,0.00012596231
resort,0.00012510958
140,0.00012487613
prep,0.00012387411
housing,0.00012374079
informal,0.00012326978
area,0.00012221668
entrance,0.00012113858
lobby,0.00012107108
glass,0.00012104589
barefoot,0.0001205661
automatic,0.000120530975
concrete,0.0001197972
central,0.00011977169
developed,0.00011972504
hyde,0.0001195121
1000,0.00011925673
guard,0.00011886457
60,0.000118519274
2015,0.00011746276
located,0.000117300784
myers,0.00011705073
current,0.000117008436
service,0.00011683334
harbor,0.000116622505
audio,0.0001162093
electric,0.00011529648
quarter,0.00011526609
exclusive,0.0001150113
give,0.00011364009
charlotte,0.00011363466
ft,0.00011339942
fun,0.00011319987
indoor,0.00011296374
click,0.000112824026
art,0.0001127425
koi,0.00011199097
evening,0.00011148184
dinning,0.00011038554
bbq,0.00010977625
sparkling,0.000109630935
coquina,0.000109246925
styled,0.00010905725
elegant,0.00010852112
fine,0.00010839268
chic,0.000107839485
investment,0.0001078006
three,0.00010769186
13,0.00010750596
heart,0.00010715451
functionality,0.000107151216
04,0.00010583458
lavish,0.000105266554
virtual,0.0001043339
priced,0.00010417573
towering,0.00010408153
porch,0.00010246495
selected,0.00010218495
holiday,0.000101447185
lighthouse,0.00010072105
department,9.938149e-05
marina,9.852778e-05
dramatic,9.793206e-05
nature,9.70747e-05
functional,9.704613e-05
single,9.680405e-05
dcor,9.6349206e-05
bed,9.602726e-05
midtown,9.477084e-05
purchase,9.468193e-05
rm,9.4193296e-05
silverware,9.328517e-05
convection,9.311266e-05
assessment,9.263098e-05
mar,9.257629e-05
system,9.252645e-05
southern,9.177861e-05
volume,9.1563896e-05
th,9.142779e-05
homesite,9.10779e-05
enhanced,9.0631474e-05
arts,9.013451e-05
along,8.9997964e-05
vinyl,8.968187e-05
white,8.905539e-05
46,8.8324574e-05
fresh,8.7575965e-05
manufactured,8.7168286e-05
east,8.712874e-05
banquet,8.702217e-05
sofa,8.688568e-05
green,8.615606e-05
additional,8.6088054e-05
price,8.5954925e-05
lighting,8.5590924e-05
stable,8.553785e-05
15,8.496211e-05
key,8.492493e-05
mobile,8.448953e-05
cape,8.43974e-05
famous,8.375173e-05
47,8.314588e-05
ensuite,8.307167e-05
27,8.306427e-05
designs,8.148277e-05
recreation,8.134368e-05
history,7.905552e-05
enjoy,7.885478e-05
take,7.87735e-05
party,7.857392e-05
culture,7.845861e-05
bonus,7.841895e-05
work,7.810974e-05
enormous,7.7785575e-05
59,7.653434e-05
edgewater,7.6312856e-05
coastal,7.612998e-05
best,7.607531e-05
williams,7.6063814e-05
exterior,7.476745e-05
cart,7.351192e-05
edge,7.270886e-05
standard,7.2616305e-05
