feature,weight,std
beach,0.7015870268791758,0.05596789784261383
condo,0.6719572109787777,0.04491717751928871
completion,0.22678181826468916,0.030670565961777287
outdoor,0.1866083444026117,0.018875367842665237
masterpiece,0.14955404786592225,0.02239623733861002
feet,0.13437756668050155,0.03139412746097448
waterfront,0.1302518225412001,0.023544428906520063
2023,0.1125575322390148,0.009240929255403313
ocean,0.08014406002642431,0.011025735813440051
center,0.06853562453191273,0.0048449646996578935
designed,0.06628948960546666,0.02307924740917764
oceanfront,0.0605913007114026,0.018713906225679658
amenities,0.05468980053040014,0.008568255170519175
sf,0.05244125927539187,0.0096356047806302
frontage,0.04098198306618883,0.019285841027470805
living,0.039455828272033956,0.01098777613209389
residence,0.038306927180292404,0.009080463225364144
natural,0.03754846927120355,0.013471347068810003
total,0.03361892735138099,0.015477957512851052
plan,0.033568038065433826,0.008047911459101624
access,0.03328672555643379,0.004490532712466048
parking,0.03154221327646667,0.004515117536093932
water,0.029631900002664226,0.007978970592368682
features,0.026113866543843754,0.013333364001947104
style,0.024198366688131044,0.013458845797826174
florida,0.02142784041034247,0.007198068602553865
enjoy,0.02083579736651302,0.005572548985988442
rare,0.020700235031878834,0.006989831321844191
gated,0.020226277151363093,0.011943927127118371
sand,0.01969566127173721,0.007472913022731035
floors,0.01924256814689329,0.007054444942107653
washer,0.015538797833346506,0.01135997826338237
appliances,0.012440759191156303,0.0016020951785406699
bal,0.012167912994536323,0.0025807577407759227
gourmet,0.01196269082895185,0.0018565712513686518
combines,0.011748910288233105,0.0016292981966320274
gulf,0.011661476479602584,0.001804966848967267
baths,0.011646695159035403,0.025250845926082014
layout,0.011546842429669368,0.016611256280768438
mediterranean,0.011456716671546019,0.00752530797724334
architect,0.011084740154217343,0.0009894414508821868
four,0.01068780588115601,0.009844447371709716
conditioned,0.009982912609203254,0.0012717728626702328
almost,0.009731319402206395,0.006851367996800903
cable,0.009722180821077587,0.0024453863132670606
residences,0.009639087273299651,0.005999948685683283
car,0.009432751513853078,0.005002955847732282
area,0.008158020119122967,0.0032497752157328533
penthouse,0.00814009765893502,0.003815435533688094
butlers,0.008085482784758824,0.004761315312558524
come,0.007861969687985493,0.011685466973507667
construction,0.007446374761514107,0.0031671119907861443
grand,0.0073805798554815285,0.0052249726137765596
unit,0.006470814663285296,0.017624156248703535
located,0.006302019658741642,0.002439306476399721
property,0.0060712286445607335,0.0021861356518730933
skyline,0.005970870291886854,0.0029292939914935257
italian,0.005911194152471921,0.0013131937708686153
spectacular,0.00577310846689727,0.0034104880061524836
ever,0.0054864107897032,0.004485225637460417
pool,0.005392115659685714,0.007796160263153316
steam,0.005388454655818009,0.0013060250388387787
custom,0.005387965209763479,0.0011412208150124478
beautiful,0.005325314865319797,0.003967597319061405
500,0.0053172712519312885,0.001482879324339307
architecture,0.005296234306527481,0.0012713430887181121
architects,0.0051390862535413365,0.003949276833433977
20,0.004992888904709503,0.002468399063061455
plenty,0.004953526632220928,0.003360882839290795
full,0.004877825954213222,0.0037634047832292438
architectural,0.004701961211253547,0.003778884897020673
guest,0.004554720939248113,0.0032713628592969707
dedicated,0.004526589463790742,0.0007967067011690058
gas,0.004489921244797301,0.0020648536626606657
ph,0.004347912863963188,0.0
ft,0.004294945520226179,0.005309663737648344
limestone,0.004257410640633452,0.0020863641620349365
palm,0.004183135822555073,0.005631529013103589
renovated,0.004115645750377439,0.002297973389561908
highlights,0.004090382685194527,0.0020897420983187216
guard,0.004085491680322661,0.003413883676387749
interiors,0.00405353532620154,0.0025118349045053197
properties,0.003882228547951172,0.0016025045307077285
closets,0.0038704238813068058,0.002663392197170577
lush,0.0038388013258213506,0.0011123348288989252
streets,0.003837513555808414,0.006502272552254984
days,0.0038126326963379142,0.0008650868804634134
one,0.0036903257179972115,0.0015245752721343645
five,0.0036657145177883877,0.005627260200031964
enclave,0.003653776256567198,0.0032063755308101667
key,0.003627239890585088,0.0023457693174101335
city,0.0036082457114332556,0.001385702475070758
inlet,0.003413520307773865,0.0028616170819865203
soaking,0.0034017822472918622,0.004640086942256641
house,0.0032656345641669305,0.0039015962832704993
convenient,0.0031339226205517436,0.000956596379217442
biscayne,0.002970865668578426,0.017239883945574595
level,0.00296470685700001,0.0018432422833600066
loggia,0.0028279386342177303,0.002829891008318322
added,0.002750789937968534,0.0034760446903208827
homes,0.002684134219890666,0.0016436100708873962
tropical,0.002638637642985486,0.00029847352738556767
retreat,0.002635101827337394,0.0019326726289324602
grove,0.0026192644804325484,0.005936945580278298
exclusive,0.0026127479156798474,0.000986205636188544
ave,0.0025426211334348635,0.0018697286703723542
interior,0.0024641580803432817,0.004843970470302785
pinecrest,0.002406509100055132,0.00012589866434275105
foot,0.00228784322754052,0.005620789359650403
section,0.002247869556185833,0.0030589106631457186
parcel,0.002234152446615667,0.0034157101966319674
moorings,0.0022293338072529425,0.0005113717872801705
sqft,0.0022007467997639195,0.0020049310628016395
available,0.002174669449030375,0.0006373222790906261
location,0.002164294766623698,0.001082147383311849
designer,0.0021038668169893527,0.0011188424591902747
matched,0.0020091284410256095,0.0011705021584673427
finished,0.0019804847439900187,0.0004748146999380965
en,0.0019668409155713107,0.0018812021415241108
grill,0.0019466479088606548,0.0009808590703699834
balconies,0.0019207335199467935,0.0019451971914163932
paddocks,0.0018155431591367233,0.00046629265248356044
28,0.001757093922165609,0.0008504943773262868
open,0.0017266806590811256,0.0020605563274128406
stairs,0.0017261765206029623,0.0038063686831115405
also,0.0017183982850127676,0.0014073109110160588
miami,0.0016948802234225014,0.0008907807934889699
locations,0.0016573725814964745,0.0025328051251804055
acre,0.0016354976542373833,0.0013590500111921404
bike,0.0016286923810980626,0.0032573847621961247
2005,0.0015458294865879907,0.0009414913434313934
archways,0.0015376507528316098,0.00024250328215270778
information,0.0015312015482550124,0.0018588906193079853
pantry,0.0014590202920174988,0.0
lifestyle,0.0013924912273409972,0.002441526802254094
areas,0.001365137650813608,0.001509288735484669
allows,0.001360801560940672,0.0006884187553055198
sauna,0.0013339651154950615,0.001176482730197818
sophisticated,0.0012960431732466303,0.0006761672952540352
villa,0.0012580171634851921,0.001053751985008454
cabana,0.0012526202297095778,0.0007688481597486671
highest,0.001226134082247654,0.0006147463568768707
tones,0.0011185559490797913,0.0005883907302591041
kind,0.0010962453259935501,0.0009213041213615178
bathrooms,0.0010800199272665623,0.0007258315124622149
nearly,0.0009717746519044112,0.005253065476927161
capture,0.0009698292321019153,0.001224968549973506
lutron,0.0008796404180117179,0.00027698668172888575
set,0.0008725673526413403,0.00042368294232097753
resort,0.0008545947381577434,0.00018603345395938655
backyard,0.0008276341479472648,0.001537834210942858
walls,0.0008246567831264428,0.0007497648496702626
12,0.0008069995332363078,0.0003721315528576204
control,0.0007873582177069238,0.0
furnishings,0.0007757714289226669,0.00043741509465746944
fire,0.0007500877295427699,0.0006162376496717691
south,0.0007479413627237364,0.0011317772766358722
golden,0.0007345616137456546,0.0007055657314392548
providing,0.0007216462951788571,0.0007811058190684844
fifth,0.0007146232303256283,0.001379360803754837
street,0.0006689218035205613,0.0006486006379707526
