feature,weight
houses,0.049497355
primary,0.035033856
170,0.01665736
compound,0.01594822
certainly,0.012776903
crestron,0.011959987
inspired,0.011483623
frontage,0.00886619
organic,0.008735889
button,0.0087101925
waterfrontage,0.008618965
horse,0.007972048
info,0.007937113
fountains,0.0070987013
firm,0.0068431096
searching,0.0067580384
backdrop,0.006544597
gables,0.0065095196
gates,0.0062455735
estate,0.0062377
layout,0.0059409468
theatre,0.005924205
stalls,0.005850376
intracoastal,0.0058152354
lakeside,0.005773865
cellar,0.005725621
sky,0.0055961614
section,0.005479496
terraces,0.005351836
waterway,0.005329352
stars,0.005265209
penthouse,0.0052294275
real,0.0052098916
camp,0.005201096
masterpiece,0.0051123346
present,0.005053998
270,0.0050508315
loggia,0.0050276015
oceanfront,0.0048395884
combines,0.0047875666
39,0.004673383
300,0.00466592
special,0.004603181
tranquility,0.004578432
ocean,0.004537397
summer,0.004498917
encompass,0.004423028
tri,0.0044219755
field,0.0042565516
limestone,0.0042403643
gardens,0.0042113164
pinnacle,0.0041327057
almost,0.004079384
ever,0.00407558
kind,0.0040616174
walker,0.004022339
ultimate,0.003979783
sf,0.003882291
lutron,0.0038442202
terrace,0.0038383617
herringbone,0.0038241
secluded,0.0038160405
lifts,0.0037961262
gym,0.003744866
acres,0.0036208658
bespoke,0.003613848
paradise,0.0035872492
museum,0.0035537288
residence,0.003531153
architects,0.0034704648
completion,0.003457514
staff,0.0034438272
sited,0.0033979479
absolute,0.0033318975
miamis,0.0032922751
substantial,0.003284401
mansion,0.003282119
sleek,0.003264946
palm,0.0032406524
wine,0.0032382326
principal,0.003208252
timeless,0.0030944715
feb,0.0030830754
sprawling,0.0030406662
restaurants,0.002970949
villa,0.002966031
designed,0.0029589671
temperature,0.0029396678
wolf,0.0029164874
elevator,0.002849372
deco,0.0027939775
matched,0.002788827
formal,0.0027867835
bay,0.0027604648
live,0.0027141112
created,0.002677016
220,0.0026601246
gorgeous,0.002639536
jupiter,0.00243085
today,0.0024062607
six,0.0024027822
stainless,0.002380282
dock,0.0023448642
breathtaking,0.0023415328
architecture,0.002335288
offering,0.0023025782
delivery,0.0022862481
casual,0.0022782895
direct,0.002249827
residences,0.0022494667
furnishings,0.0022319467
2015,0.0022265103
classic,0.002193659
mediterranean,0.0021927503
walk,0.0021716775
appointed,0.0021662102
suites,0.0021650665
sanctuary,0.0021311801
huts,0.0021273422
award,0.002126012
coveted,0.0020964039
modern,0.0020378095
feet,0.0020272748
03,0.0020133217
clubhouse,0.0020080628
service,0.001994387
infinity,0.0019711282
captivating,0.0019629456
community,0.0019496577
design,0.0019239526
sophisticated,0.0019101318
architectural,0.0018962483
butlers,0.0018923174
unique,0.0018729717
wide,0.001868448
new,0.0018661426
renovations,0.0018621298
finishes,0.0018609506
vip,0.0018194711
grand,0.0018099545
open,0.0018062374
finest,0.0018024809
gated,0.0017817564
architect,0.0017746874
italian,0.0017682484
police,0.0017571844
furniture,0.001751908
granite,0.0017502478
waterfront,0.0017443091
plants,0.0017374492
straight,0.0017300373
automation,0.0017291136
lounge,0.0017126731
naples,0.0017052686
outdoor,0.0017013933
premier,0.0016748094
miami,0.0016428827
offices,0.001639986
venetian,0.0016349889
butler,0.001633888
washer,0.0016143087
screened,0.0016102699
prestigious,0.0016075115
carefully,0.0015718894
doors,0.0015655156
major,0.0015529265
cul,0.0015516422
condo,0.0015348217
private,0.001528216
jump,0.0015241306
boater,0.0014702866
adjacent,0.0014686629
invites,0.0014663461
top,0.0014652342
900,0.0014398968
quarter,0.0014334087
contact,0.0014288195
height,0.0014160516
boat,0.0014126563
views,0.0014070892
occupancy,0.0014022813
current,0.001371076
marvel,0.0013672549
unit,0.0013480574
story,0.001338975
character,0.0013384938
provides,0.0013348459
fireplaces,0.0013317581
floor,0.0013188401
generator,0.0013130828
2023,0.0013127526
impact,0.0013055971
custom,0.0013031143
side,0.001298072
totaling,0.0012980686
12,0.0012839177
soaring,0.0012769205
resort,0.0012734293
casa,0.0012245822
marble,0.0012243532
equestrian,0.0012180692
skyline,0.0012039278
expansive,0.0011925941
quarters,0.0011719617
village,0.0011697422
boasting,0.0011696217
unrivaled,0.0011501741
cabana,0.0011420412
zoning,0.0011382337
guest,0.0011292346
additionally,0.0011184085
offered,0.0011142073
proportioned,0.0011097391
gaggenau,0.0010964741
baths,0.0010903387
leads,0.0010872927
liv,0.0010796759
ft,0.0010793781
contractor,0.001071915
dishwashers,0.001053291
total,0.0010522271
islands,0.0010483626
court,0.0010340688
miele,0.0010279944
available,0.0010123017
luxury,0.0010050524
email,0.0009983559
backyard,0.0009848932
cars,0.0009845018
abundant,0.0009816638
spiral,0.00095630577
beach,0.0009496004
inlet,0.00094691326
master,0.0009451909
interiors,0.00092560786
interested,0.0009181123
providing,0.0009177241
close,0.00091730064
idyllic,0.00091427314
easy,0.0009108996
phenomenal,0.00090505613
throughout,0.00090396433
tile,0.00089730986
fantastic,0.00088933384
house,0.00087755336
dining,0.0008746552
land,0.00087302976
shower,0.0008673676
kitchens,0.00086145423
200,0.0008576293
level,0.0008445432
row,0.00084349245
pantry,0.0008379475
pool,0.0008369197
palatial,0.00083532755
home,0.00083350204
amazing,0.00083180045
sand,0.00082953845
porsche,0.0008258999
sophistication,0.00082166895
quality,0.00081575155
group,0.00081080577
35,0.0008025471
intercostal,0.00079960335
caribbean,0.0007949372
standards,0.0007912919
indoor,0.0007899605
coastal,0.00078985875
road,0.0007868337
detail,0.0007832396
appliances,0.0007788997
romantic,0.0007777326
cypress,0.0007712715
maker,0.00076254085
old,0.00075815263
docks,0.00075439917
landscape,0.0007538414
also,0.0007416825
club,0.0007411612
oak,0.00074085285
find,0.0007392694
seeking,0.00073807297
plenty,0.000737396
covered,0.0007370536
360,0.00073520123
52,0.00073259696
closet,0.00072858826
lot,0.0007242337
combined,0.0007090451
five,0.0007067345
library,0.00070107594
renovate,0.0006986433
addition,0.0006952079
square,0.0006854942
unparalleled,0.0006844413
expense,0.0006829564
spacious,0.00067740586
paddocks,0.00067620975
fitness,0.0006762047
tier,0.00067162426
south,0.0006704201
pen,0.0006647394
extravagant,0.00066274335
