feature,weight,std
boat,0.4492193815552355,0.04309125055661652
home,0.42045440474390716,0.04781397734121437
ocean,0.3033496139380077,0.07044959934314439
access,0.24335615617758322,0.05294327395344391
bedrooms,0.19037159009110383,0.041123290284427926
dock,0.1649208876782609,0.05641070176924023
covered,0.11007428434337499,0.026764675454499304
cabinets,0.09809382287121479,0.018773987716222417
full,0.09134317036614448,0.017200422420530975
oceanfront,0.09107322979594983,0.0156895344141418
estate,0.08653212389277769,0.03186432933641475
valet,0.08566843048446345,0.008851993810901125
enjoy,0.07493500695692319,0.008267119522164315
direct,0.07168976903782323,0.03723059935255813
amenities,0.07083075499512007,0.00795275137726783
story,0.061010368967652086,0.011492593745421146
building,0.05521356020657322,0.019754236470758
features,0.05342917417708577,0.0073909420631363765
balcony,0.04767424502622362,0.012778987760442647
resort,0.04571838103059918,0.02619212550365164
two,0.040465269630885814,0.006467915477183888
architectural,0.039826991889265174,0.031756297599149406
crestron,0.03401692422457927,0.011465779613669588
built,0.032473344661980263,0.008458441742387694
private,0.03239925845233529,0.02287355374147435
roof,0.029947367874092377,0.007547031698196772
design,0.028865272610983084,0.013944686817354912
bay,0.02842186854168176,0.011672499488138317
sited,0.02790992477027885,0.0062281156230955745
lifts,0.026688732654929482,0.0008853021194057262
river,0.024496744425505312,0.017525002694241093
wine,0.024446571612645584,0.021499595609188803
level,0.021748095246505273,0.00800230936640738
residence,0.02059492863426158,0.031563358259088826
shower,0.020510058935360575,0.006488577180936005
custom,0.020105752384870355,0.006879364474887285
10,0.019950093664010637,0.006456684014812936
ceiling,0.016439679668042117,0.006311537179970986
guest,0.01581733866896684,0.0067725442585849956
views,0.01571661981043917,0.006476194087628579
florida,0.01563522078620281,0.0036370595043996746
gated,0.01494734436695353,0.011323552718125907
sun,0.014489671017827277,0.00353832596108787
room,0.014367899208150448,0.011129286699358434
skyline,0.014030951452343742,0.00655919413425616
walk,0.01239479125458729,0.007352630789603623
technology,0.011983569619007994,0.0022092197836665888
every,0.01180641002857783,0.004724081015102025
nature,0.011591116960130422,0.005984524518485129
condition,0.010514547051207046,0.03341469977714452
inspired,0.009799591039904954,0.0024382108279733744
hutchinson,0.00972249766649611,0.001187946997397073
prestigious,0.009464318535333405,0.012391681074704848
stairs,0.0089308904793711,0.008052105036039774
sqft,0.008532431941273445,0.003595811017247161
kind,0.008490257916537302,0.017182484768134443
new,0.007932724635077193,0.0031133733665023072
quarters,0.007646775468094802,0.0037378238522201225
stunning,0.0075865918112072,0.01025374259610306
house,0.007384866191694072,0.005530852160562132
ceilings,0.007318314946917326,0.005927645219957304
street,0.007101976504657159,0.03016450853788457
gym,0.006767601036824544,0.0019187761394472507
20,0.006680589158065686,0.004522832363479656
build,0.0065481772883458685,0.005023277879891628
vip,0.006529266490645114,0.0025325831141231672
myers,0.006125875748489306,0.007160181542929624
spacious,0.00597482602385071,0.004680427047495308
total,0.00571610102441582,0.00458755883421008
square,0.0055547780101619535,0.007299608409638731
millwork,0.005210145623937024,0.002551813205835192
generator,0.005082404966060494,0.002097408449637661
11,0.005057086106808129,0.0026660578625199494
24,0.005031364554179163,0.030812773147775446
property,0.00486280791955096,0.0010218543536522108
come,0.004706867463733033,0.0040389900324772155
mediterranean,0.004656716437750674,0.0037521422712311634
