feature,weight,std
suites,0.17829179100133413,0.07322076023987285
suite,0.14693020449183253,0.0446386051268911
empreendimento,0.09842498738532779,0.02951820073632382
vaga,0.06765927595411991,0.010448895789891373
lavabo,0.06754306357921955,0.01379670197319898
dormitorio,0.05401364667351547,0.007039159477894139
parcao,0.053633587586905486,0.005336441787765667
dormitorios,0.04018192424045648,0.023077097104395178
parquet,0.039846528959737636,0.026378761303645193
playground,0.022109003542204596,0.009142454664559083
empregada,0.021092181608934557,0.00920696814478593
geladeira,0.02012336197839848,0.005929442003919396
sendo,0.019144872037283146,0.004960490841230843
elevador,0.016244596422561576,0.011341754760127411
alugue,0.016186216303318866,0.0005475991976127697
portaria,0.014991869264124524,0.007659813372487739
sacada,0.014222092562754063,0.003047609745788777
cadeiras,0.012394447912731144,0.0024938266448866274
esportes,0.010610635896390597,0.004649200507729183
aquecedor,0.0102756741292926,0.002833465395915515
fitness,0.00957475962926524,0.007274819885379028
otima,0.009553252289729409,0.010986526923281066
imovel,0.009173661166585734,0.004448601102814612
goethe,0.006984152346658834,0.009605307436301648
localizacao,0.006981872100158948,0.003027371180604256
ceramico,0.006676961350895305,0.006030018019140782
01,0.0061333884361042925,0.006478390882180465
vagas,0.005837390551069688,0.0020497634120509953
auxiliar,0.0057924618855029085,0.00594560912498557
box,0.005697839987997266,0.005735125015903306
03,0.0055537907745929925,0.0027819814243250874
banheiro,0.0055038378782761525,0.007655482213133695
embutidos,0.005488916598328153,0.006781216091962291
bairro,0.004881789353799504,0.003912386990620876
eletrico,0.004792874808628889,0.0
seca,0.004648559186484014,0.0005268292202375679
laminado,0.004546868575228302,0.002882942816813665
festas,0.0041625851368542795,0.0016097294968530282
semi,0.00400306176458558,0.0034355912545672935
oandar,0.003940045695245998,0.0058168327284080475
condicionado,0.003682323305458346,0.007372090819706874
deg,0.0036096432035049864,0.0045964418340802525
frente,0.0034637426063481636,0.0052235115558301425
leste,0.0032361058173019817,0.001718655069752687
fernandes,0.0032197616842275733,0.0021356808451272746
24,0.0029668035594456075,0.014166975163331432
social,0.0028822780873943633,0.0010423646809556656
oliveira,0.0028568383450188416,0.001951224418500509
estao,0.002533816299970071,0.006467666098190664
02,0.002500524257042125,0.002236557479144948
hrs,0.0024479776292595456,0.0029093077086316337
espaco,0.002362257030345294,0.0037026979505658955
burocracia,0.002293958326525325,0.0008197975067299575
elias,0.0022389704756750283,0.0027421676072801773
zaffari,0.0016253161270015416,0.004169133064520933
maquina,0.001600529111017468,0.00046808784977559343
norte,0.0015054083550152032,0.0013264796427313404
av,0.0014841945737271045,0.001658152151605347
120,0.0014803449995440588,0.0018181343328774683
jogos,0.0014682069421886768,0.0003332431952808079
bocas,0.0014127690478838995,0.010755604042182152
infantil,0.0013633448716485752,0.002726689743297151
sul,0.0012795394596921694,0.0
hall,0.0010808156363891763,0.0007306828605337866
bicicletario,0.0010322745831319534,0.00031204358985697475
praia,0.0009577287505864174,0.0030045905973700477
jk,0.0009516664517400742,0.00016912168872634987
sociais,0.0008970582347678224,0.001794116469535645
ceramica,0.0008704458676577875,0.007861782592671382
predio,0.0008645439848053548,0.0011182453915124806
privativa,0.0008261038116861519,0.00021372452305274862
casal,0.0007513325324027154,0.0013521155530734532
lateral,0.0007409910046928259,0.000808533168675418
central,0.0007213788724590664,0.0019864243850633424
todo,0.0006983215358836947,0.0009952704751878864
oeste,0.0006859478331176172,0.0006073229589771246
51,0.0006803758462765597,0.000538324164537021
estilo,0.0006495889721748638,0.0009458984407737072
ipiranga,0.0006218366951846966,0.0006020430399972473
quarto,0.0006064893717669273,0.0012129787435338547
linda,0.0005546089998619275,0.001051838476826772
clinicas,0.000540469437927693,0.001080938875855386
churrasqueiras,0.000515324841823217,0.0009948542630327092
solar,0.0004979964078611898,0.0004988969980203138
montada,0.0004953766690790617,0.0
garcia,0.00048702842764150047,0.0005175931764009433
piso,0.00047728325397926595,0.001496349289081425
pessoa,0.00046074491625460736,0.000503911980916711
copa,0.0004410574948237045,0.000882114989647409
30,0.0004365219145900934,0.0008730438291801866
60,0.00041668006623549745,0.000334408898484126
avenida,0.0004101150414540511,0.002393557739590734
parque,0.00040008449992861016,0.0005843065350936651
42,0.00039938914239388,0.0006059427947634127
country,0.00035993318486056137,0.0007198663697211227
ramiro,0.0003463371126508186,0.0006926742253016372
sofa,0.00034201853688373693,0.0003379720639863981
sao,0.00029169609437251776,0.00020586578158989714
osvaldo,0.0002849440017199667,0.0003478167965390497
rapido,0.0002792933069085679,0.000759751427077143
bem,0.00027517349458523467,0.0005503469891704693
aranha,0.00023810318824382115,0.00021322736391777902
40,0.00022685258748125214,0.0004678780950683019
cama,0.00021832588793915252,7.390243640181095e-05
praca,0.00020333334703228622,0.0021140741528698206
sertorio,0.00020317957360884708,0.00040635914721769416
horas,0.0001999256838232766,0.00012818021973984588
cooktop,0.00019137691154096358,0.00038275382308192716
farrapos,0.00018702490293007746,0.0003740498058601549
mercado,0.0001810516515509786,0.00022174208169403804
73,0.00016348542913593444,0.00032697085827186893
living,0.00015891272991088722,0.0002054184942047089
locacao,0.00015831404877089116,0.0002900758679805104
cavalhada,0.00014904098100287921,0.00029808196200575843
cobertas,0.00014179528309214983,0.00028359056618429965
alves,0.00013950413265861883,0.00038678190434804187
shopping,0.00012880089906526228,0.0002856679359298357
dupla,0.00011778014174652629,0.00023556028349305257
casa,0.00011629685360459163,0.00036378699186812334
santa,0.00011619226468422284,0.00023238452936844567
jose,0.00011231787430321383,0.00022463574860642765
80,0.00011150155079453494,0.00022300310158906989
localizado,0.00010684972079582078,0.0004789311304911999
mobiliado,8.615726260943201e-05,0.0005907731698549016
acrilico,8.075036095613885e-05,0.00010283296728707976
proximo,7.248744905339333e-05,0.0001545435861434078
predial,5.6620257421924336e-05,0.00011215750773617457
plinio,5.544046210028686e-05,0.00011088092420057373
complexo,5.532900211979719e-05,0.00011065800423959438
gourmet,3.9943213273363475e-05,0.0007151365900984176
68,3.9083465327172104e-05,7.816693065434421e-05
beneficio,3.1644951877241034e-05,9.726720851421788e-06
coletivo,2.8275180205628024e-05,5.655036041125605e-05
onde,2.2168388748244894e-05,2.3037706721541748e-05
vidro,2.1636803588265253e-05,3.1917424665851976e-05
deus,1.588391173221737e-05,2.2968572397151332e-05
outras,1.468536193895975e-05,2.93707238779195e-05
manoel,1.4193144394036849e-05,2.8386288788073698e-05
cel,1.328521445180808e-05,2.657042890361616e-05
conceicao,1.2884594216977519e-05,6.4422971084887586e-06
assis,6.970203478484649e-06,1.3940406956969299e-05
fiador,6.875658574556631e-06,7.622017947104947e-06
