feature,weight
suites,0.20323848382699958
suite,0.15001537038653892
consultores,0.09573359778914146
07,0.08202559972992092
lavabo,0.05126907572921668
dormitorios,0.027081077319224024
vaga,0.02669382407631995
empreendimento,0.023117550496796157
piscina,0.020262079734431532
elevador,0.01473160608727408
lareira,0.014176526409813161
televisao,0.013329319681020437
empregada,0.011098674543923643
copa,0.01107987126741332
armarios,0.00830937209683121
parquet,0.007786848213251088
apartamento,0.006731129818301553
playground,0.0064875818253879655
semi,0.006384659091005331
geladeira,0.006285598626756181
elevadores,0.0060815494683083785
24,0.005701205147393744
dormitorio,0.005493839492276208
67,0.004588837802841026
200,0.004290026433962561
parcao,0.004061512296103234
fitness,0.004016519843410146
94,0.0038682098676899304
estante,0.003842033621813484
taboao,0.003839915450153645
seca,0.00358821469972023
quarto,0.003242220924431871
bocas,0.0031720050352638776
deg,0.003171070930694706
tornar,0.002886894811407739
goethe,0.00286986541246068
01,0.0028629418342983543
sacada,0.0028240383150869813
outras,0.002761288395179689
oliveira,0.0026875751094799193
box,0.0025675353117225646
espaco,0.002557483968851527
amplo,0.0025414828526510863
otima,0.002415811377600795
oandar,0.0023130249556330396
auxiliar,0.0021895554332965928
160,0.002126753628650565
aparelhos,0.0020928444350314297
ceramica,0.0020533467161865113
maquina,0.002034888000455889
localizacao,0.0020267815162089346
nunca,0.002017961047250943
cadeiras,0.002003934496957946
ventilador,0.0018920877919703948
split,0.0018604978874286412
esportes,0.0017880801318768537
camas,0.0017675142960749336
banheiro,0.0017060720257708736
03,0.0016340513808600697
oeste,0.0016277040131435197
embutidos,0.0015570489139130636
condicionado,0.0015449786996526462
social,0.0015286882880453543
praia,0.0014720028869568379
laminado,0.0014528305313657578
aquecedor,0.001443483286343969
elias,0.0013580745052820574
country,0.0013452026863098674
armario,0.0013337487579963671
portaria,0.00132346722029944
churrasqueira,0.0013225304531679148
avenida,0.001296409546653234
femina,0.0012944831833003666
seguranca,0.00128700931379508
linda,0.0012817739498743222
lavar,0.0012691830007912264
11,0.0012113532273966172
distribuidos,0.0011992604572856433
120,0.0011427701514326784
ambientes,0.0011292434214512843
piso,0.0011217660637310612
76,0.0011120397025345555
mobiliada,0.0011068391079576262
estao,0.0010891402474426971
planejado,0.0010890131124639253
gourmet,0.001065521484190885
norte,0.0010385534317553752
ufrgs,0.0010309428566102063
excelente,0.0009615221333435663
assis,0.0009479613557671797
ficam,0.0009425546134186612
rua,0.0009253013605264976
sociais,0.0009230871591826271
02,0.0009218317450922991
imovel,0.0009200560338573906
central,0.0008751877037471731
eletrico,0.000874964700200175
praca,0.0008485349089819407
frente,0.0008330343906568336
alves,0.0008175987540672743
sala,0.0008060842400145711
infraestrutura,0.0007894497739742199
clinicas,0.0007682631270871911
infantil,0.0007354503922301786
fundos,0.0007148194472098952
casal,0.0006795258602032388
hidromassagem,0.0006751287012534812
91,0.0006717740332287791
servico,0.0006698092393549155
47,0.0006549177233915671
av,0.0006449307952386381
garagem,0.0006440644314502683
superior,0.0006359266493519193
bairro,0.0006288726429199044
salao,0.0006256906682611129
ramiro,0.0006200735007389376
42,0.0006135903719429177
quente,0.0006092029096548012
gremio,0.0006058025439246893
dupla,0.0005967600674819835
sendo,0.000590545509527383
burocracia,0.0005890287890600146
vagas,0.0005750689389649947
boulevard,0.0005672163973631315
garibaldi,0.0005657358818178883
cooktop,0.00056350733440373
possui,0.000556971648351739
fernandes,0.0005373707669816535
hrs,0.0005145417482034008
ipiranga,0.0005134707040081517
andar,0.0005007808915737396
mesa,0.00048706537733231347
auxiliadorapredial,0.0004549643454515475
bem,0.0004530687484343955
53,0.00043718172812775186
todo,0.00043286201243281314
nova,0.000432259084597595
ceramico,0.000420831942185952
micro,0.0004202327278983389
aluga,0.0004147420870605051
ar,0.00040639236943954124
40,0.00040361189011082647
estilo,0.00040164838362010395
brinquedoteca,0.0003998098392706529
estacionamento,0.00039657508965311737
teatro,0.00039463273275420883
camoes,0.00038900837629561683
osvaldo,0.0003761658415203544
bento,0.00037497433798690656
sertorio,0.0003725524868394047
75,0.0003651754010658755
105,0.00036150753489600944
horas,0.00036046602326648644
alugue,0.00035010595994888527
tanque,0.0003399618430895662
util,0.00033921018458637093
predio,0.0003350167380133926
lateral,0.000328062672427393
pia,0.00032759730716903375
18,0.0003257496111368424
leste,0.0003251661261218133
garcia,0.0003232889665802699
pedro,0.0003224041864765669
lazer,0.00031622748950159413
posicao,0.0003159467594859362
hall,0.0003152374346480719
locacao,0.00031507575046628363
80,0.00031230500968328095
churrasqueiras,0.00031182208780787594
area,0.0003091671676945649
nilopolis,0.00030402003587664037
festas,0.00029175568746039746
pessoa,0.0002890733540750289
silva,0.00028634726994428345
piratini,0.0002809906920274661
30,0.0002730246419053025
carros,0.000271206932527292
cobertas,0.0002643539650237474
porcelanato,0.00026400799567287333
zaffari,0.0002626186923423713
sol,0.0002587579129953842
quiosque,0.00024631579449854637
jk,0.0002451553980595945
cavalhada,0.00024442084491898446
bicicletario,0.00024333243701007499
iguatemi,0.0002395687426795354
medida,0.00023864757431339814
condominio,0.00023061805937107363
fechada,0.00022397686080330486
hospital,0.00022324997406424657
geraldo,0.00022169978054208619
beneficio,0.00021704886999133048
90,0.00021210283635370462
eduardo,0.00020418280548862612
banheira,0.00020265845989872282
cristiano,0.00019676297417736433
zelador,0.00018820321024904253
118,0.00018592462855350492
americana,0.00018144513137234087
dependencia,0.00017603742907406822
shopping,0.00016838291890597864
atacado,0.00016830231095155447
mobiliado,0.00016320626326887883
situacao,0.0001628680693552458
73,0.00015888686050948199
direto,0.0001559617344286087
localizado,0.0001547240934974051
livre,0.00015020404622946627
entrada,0.0001489009011929539
brasil,0.00014816796676047096
privativa,0.00014161880316405936
51,0.00014133416803241718
fogao,0.00013533652661764655
protasio,0.00013529483802685683
rapido,0.00013491824183065718
adulto,0.00013396578985226416
aranha,0.00013332139373756666
facil,0.00012929569226922345
23,0.00012906440395112144
benefica,0.0001278396993033074
proximo,0.00011577741369814113
integrada,0.00011423885248608007
coberta,0.00011391082546845203
98,0.00011347665496237486
porteiro,0.00011346961240036057
estar,0.0001133709415514937
ofertas,0.00011235130996272821
sofa,0.0001118344569194699
silveira,0.00010895034563708337
borges,0.00010794153922435419
general,0.00010709840503963146
05,0.00010200142298046322
constant,0.00010068016566512516
administrativo,9.724093255030653e-05
santa,9.691809147676035e-05
dr,9.684177699349604e-05
getulio,9.669653915047514e-05
sonho,9.62521794308641e-05
solar,9.617581371652234e-05
complexo,9.569941617805105e-05
jose,9.312892688040066e-05
grecia,9.127380446814916e-05
filho,8.788848980257566e-05
alencar,8.419683716071317e-05
academia,8.108873099960202e-05
escola,8.042520111092165e-05
comodidades,7.923791367788425e-05
cel,7.881521026526251e-05
tabuao,7.863278432254201e-05
historico,7.812093680224077e-05
riachuelo,7.778875562892484e-05
sao,7.777163195581804e-05
militar,7.567810095344461e-05
porto,7.561397400747576e-05
barcelos,7.28369750459336e-05
coletivo,7.24335096297189e-05
esquina,7.23203324086693e-05
acesso,7.017196930957808e-05
farrapos,6.753693629212844e-05
shoppings,6.714968415926325e-05
diurna,6.603492761784194e-05
46,6.568944005221476e-05
57,6.448812341008011e-05
monumental,6.43755653898231e-05
living,6.401113183235212e-05
puc,6.261020076976355e-05
supermercados,6.259950356148312e-05
nautico,6.223072130808839e-05
oferece,6.154366812484789e-05
61,6.115908132389886e-05
lan,5.954160833669028e-05
00,5.64230256801897e-05
mercado,5.601021271243469e-05
101,5.521920729913852e-05
50,5.3582958399413043e-05
casa,5.226336712577756e-05
lotacao,5.18641523523457e-05
60,5.163601669285967e-05
orientacao,5.157018961935811e-05
painel,5.039052450275904e-05
hs,4.926235904034451e-05
desocupado,4.863299535023935e-05
colegio,4.7279802395743706e-05
aquecido,4.61274260458045e-05
mexico,4.556502159261365e-05
plinio,4.346078203980663e-05
62,4.297937651190395e-05
oscar,4.242742165335226e-05
conceicao,4.180779251910296e-05
total,4.132236198494352e-05
34,3.980772574305819e-05
escobar,3.898950514001823e-05
49,3.888215175903078e-05
montada,3.8177130000103005e-05
center,3.804116119418409e-05
37,3.755622759324218e-05
regiao,3.714624479942433e-05
auto,3.695956109671285e-05
ser,3.653545622005449e-05
