feature,weight,std
suite,0.15515186292366856,0.013947412700369064
suites,0.10442093597396207,0.019089372689187013
dormitorios,0.06714688469015903,0.011289461404261776
lavabo,0.054646958274500945,0.015965044787400254
vaga,0.05172003503508584,0.006757259707165831
dormitorio,0.018774197016237348,0.0029426716117772296
elevador,0.01843499236062136,0.007149944468788635
lareira,0.01838244337803554,0.06629452986867689
armarios,0.01828350627686375,0.002147420025858543
sendo,0.01702525806319235,0.0033939851726376433
03,0.01699073860490945,0.0013094435599010478
vagas,0.013904427619167593,0.0006947836711400194
playground,0.012904348537575938,0.004371028658093429
aquecedor,0.01143349460552916,0.0014666652202368089
24,0.008940474593175419,0.0053632713402805435
carros,0.008933532373320886,0.003438479082781499
fitness,0.008217640050737707,0.0035458550330397095
auxiliar,0.008182812324983945,0.0008399134286877443
sacada,0.007700580739741336,0.0028320497665145564
parquet,0.006887813370594187,0.007776161315603637
vento,0.006291079766981645,0.003115056086279765
bairro,0.005829034142412604,0.004820463603713085
gabinete,0.005613498627826874,0.00018149757767258221
parcao,0.005367985610754888,0.0002066146482124203
laminado,0.005108689675549294,0.0016340089469011883
copa,0.004934681508458638,0.0021735462534364443
garagem,0.004861457756106957,0.0030559100272123264
goethe,0.0046799944630640635,0.00697145471140819
gourmet,0.004560224269279179,0.0009451164958821197
horas,0.004285413050250875,0.005573700418246684
closet,0.004085464847248477,0.0005835419572419437
zaffari,0.003615591529461182,0.0014468907478165723
portaria,0.0035503958461620133,0.0016725469272857161
geladeira,0.00328967815438459,0.0016387106656146075
empregada,0.0029795825404265617,0.0016102978590514243
seca,0.002928186030614155,0.0003200346621248472
venda,0.0028724163439418195,0.005744832687883639
otima,0.002791065165296325,0.002373339973681669
churrasqueira,0.00261219810165485,0.0012884749097907427
solar,0.002562224680210945,0.0006862558891667621
ceramico,0.0023870033002591383,0.0021368323059979687
carro,0.0023774514254756075,0.0013657356640427848
parque,0.0022932409581691627,0.0004926409236844569
quadra,0.0022591348745182095,0.002194332223448386
necessidades,0.0021615107572330095,0.000531535270085591
banheiro,0.002152045961777915,0.0014562758748775306
iguatemi,0.0018015396526036564,0.0009182132797066779
mesa,0.0017305254335511,0.0010870659829494555
porcelanato,0.0016582786866705447,6.381935481838245e-05
moinhos,0.0015903771700765512,0.000569672706584331
atender,0.0014911353865967314,0.000689805271802353
destinados,0.001377114085879727,0.0005659703098115743
saude,0.0012958745151512962,0.00038974905695885517
acessibilidade,0.0012801498348629981,0.001056804743465382
privilegiada,0.0012694544641467464,0.0002902515551448413
imovel,0.0010814726489417393,0.00039901799257920377
praca,0.0010695283833973112,0.0006315933964299479
box,0.0010054418963761247,0.0008523438652030794
esportes,0.0010046310070139341,0.0010988303519837892
academia,0.0009687959404353075,0.0004125976646595284
projetado,0.0009462970549666494,0.00038616360271679484
lateral,0.0009380331610911785,0.0003415374961294992
fundos,0.0008890029446643411,0.00040794852657294843
posicao,0.0008158147492061784,0.000604669586670797
02,0.0008132488372814883,0.0005087532455859336
04,0.000782285455121845,0.0002597259869405172
11,0.0007547918792633279,0.00025341850339446564
frente,0.0007527932108067015,0.0006708566308886462
split,0.0007497682789178395,0.000709802984357308
vida,0.0007409476869001175,0.0003661385659861712
cadeiras,0.0007298031576797648,0.0002503971834840333
65,0.0007254007162336596,0.0011318769161186319
maquina,0.0007101770820091113,0.00022698020440628484
manoel,0.0006523742610269112,0.0009792198741905016
