feature,weight,std
lareira,0.11615379228979215,0.07321407039324314
suites,0.11073089361558651,0.08468138625492541
suite,0.09893314848937346,0.04270424213354774
07,0.07387485332945587,0.03824894297625322
vaga,0.03171901350080872,0.02033879598814327
lavabo,0.02776174138328363,0.0157336816907342
03,0.02691533656466557,0.04531001560861798
esportiva,0.026304403455227575,0.050904336011081346
frio,0.02354388810020659,0.04742289139683756
sendo,0.019966153165915334,0.032574064078789
dormitorios,0.01883811326532423,0.010168310213819358
jogos,0.013833392359229466,0.015516835776300017
venda,0.01353914457494936,0.03700359567385326
elevador,0.011759621870950412,0.0036832109152089673
piscina,0.011725173743288115,0.010961588187699272
carros,0.008227702635584757,0.01342745748525571
vagas,0.0068914865599321706,0.013828913921254465
fitness,0.006801420044513968,0.004253097441377613
playground,0.006509997677083751,0.0015658198953363701
armarios,0.006228727498101899,0.006297628032346605
copa,0.00611580836836393,0.0066336210518468585
bairro,0.005556441383791168,0.005561541123129618
apartamento,0.005547942785335359,0.016812396489482944
sacada,0.0054164950965607216,0.006959768627593001
dormitorio,0.0051722317157256,0.00433697051548028
camas,0.005052431135186134,0.006097340457620069
dupla,0.0048530207135581635,0.004953054412380458
24,0.004492285907408308,0.0028991925699070695
empregada,0.004460999254076553,0.003306149129854814
geladeira,0.004352401836880643,0.0022764023973330847
necessidades,0.004254108230940432,0.008804132135778565
vista,0.004207734132691331,0.01880274530141963
94,0.004094233042078578,0.0021758901067175504
horas,0.003923382321979596,0.0033406831064129775
elevadores,0.0037447221113054542,0.002442628971676537
panoramica,0.0035991675471883787,0.017458906630684817
goethe,0.003568322632260773,0.001829153190312323
televisao,0.0034749537808065347,0.005488788216053393
aquecedor,0.0034732065885550627,0.006027261962053052
carro,0.003461755316397791,0.006542468841914298
vento,0.0033009560382000437,0.007900969246677663
sala,0.0030651219297679567,0.0030026374497173682
02,0.00303182378784302,0.00352637850109673
contate,0.0028952181039951113,0.01632729081532802
consultores,0.0028792840669784685,0.016329703169907835
atender,0.002876254931803889,0.007461585635205859
ar,0.0028141877991367647,0.0024504592357904643
porcelanato,0.002801128171141878,0.013454743463382993
200,0.0027555232572253653,0.0018282272280455156
acessibilidade,0.002724886524607076,0.007382041960393289
todos,0.0026465896245936506,0.004827536347954241
imperdivel,0.0025914717124624104,0.014788966642720159
banheiros,0.0025507845791744414,0.0038032743014966073
destinados,0.002454033480992874,0.0070047164921728
hidro,0.002389253880481554,0.013521466719292625
espaco,0.002320376353336661,0.0017335517574081733
femina,0.0022933483650930202,0.0028618949841371427
garagem,0.0022761717384806755,0.00266817544016921
parquet,0.002259361027493682,0.0026793610745782614
projetado,0.002233491781417117,0.006704166293439329
160,0.0020572125579870807,0.0012897086079927673
gabinete,0.002031722305049102,0.004638822696833534
andar,0.0020229571903716635,0.004271618988005202
saude,0.0020003076010377263,0.006310009790395008
americana,0.0019597778620041475,0.0019003558656641739
banheiro,0.0019344677536679916,0.002279103716554647
67,0.001931545656251237,0.0019365232226731955
dias,0.0019313483600173454,0.013400872484889213
carencia,0.0019190132835663317,0.013402116769292167
bicicletario,0.001898917425072271,0.0016725197886176873
festas,0.001884059484531428,0.0032495910099122616
parcao,0.001876349734296178,0.001672714335537428
