feature,weight,std
suite,0.09125569143098969,0.009709937365559432
suites,0.047127751286117105,0.014905709352623477
03,0.026296865243039737,0.004901665146202201
sacada,0.023102448448155455,0.0062372758756158025
vagas,0.02297909696830347,0.002538389831841406
vaga,0.02089418513065584,0.0047521796110207145
lavabo,0.02069503550028686,0.006267939088148611
piscina,0.017742651628964445,0.0033449345178307743
carros,0.014623831676202936,0.0033548173864409573
armarios,0.013705287767309171,0.0018526231567185002
playground,0.012194432111496113,0.0010690347216725836
sendo,0.011362616504189748,0.0044394176451173035
encol,0.011288446927312767,0.0015277912039026711
fitness,0.011006810728430193,0.0009418100791506745
closet,0.00988829213969713,0.0019167279121544958
dormitorios,0.009852628012994424,0.0028058239810568385
elevador,0.00951079590363808,0.002661780834220557
copa,0.008204243023766234,0.001548442012273752
auxiliar,0.006968967950092586,0.0016564286089794475
moinhos,0.006411137178014825,0.007703749112898569
condicionado,0.005062201895294427,0.0007376620644285236
acessibilidade,0.004681499333560169,0.003894493582372538
aquecedor,0.004616067404372148,0.0010976551726468357
lareira,0.003512194427451143,0.007180887762145184
gabinete,0.0034639497203774903,0.00013222963529577748
empregada,0.0032636123601178955,0.004362126552116876
ambiente,0.0031805208598726376,0.0
baltazar,0.002969578454251454,0.0012808451565538158
07,0.0021706613392908024,0.0029573687288370664
split,0.001981501330553903,0.0003141859148790085
central,0.0019696076513982417,0.0004721443792384744
parquet,0.0019171284604487583,0.0016143801220273614
qualidade,0.0019033349117806963,0.00037093502408460727
armario,0.0018174036345200094,0.0001509671275403225
espaco,0.001759143650553896,0.0007291588717399116
novo,0.0016097156836861303,0.00036463791114322794
elias,0.0015410069924615133,0.0005218047320035313
geladeira,0.0015311270286772149,0.0009693735396801625
01,0.001464877646560403,0.0004960651879715063
panoramica,0.0014214170085173673,0.002842834017034734
coberta,0.001330923619834823,0.0004418104965496892
mucio,0.001314635884675641,0.0004330295363119784
sportcenter,0.0012622792378472302,0.00023846213558494374
24,0.0011844440082354746,0.0006106469827553104
sala,0.001150802718561761,0.0019527824551287692
saude,0.0011216831173640918,0.00026565876139092307
mobiliado,0.001118154317246023,0.00026571280322343886
parcao,0.001058481843643011,0.0002597290384195354
estar,0.0010508130048037189,0.0011259219283952617
locacao,0.0010465581581726724,0.0005812309320970053
laminado,0.0010245498025729383,0.0004800031958926913
jk,0.001008640721793652,0.00014754694120286594
dormitorio,0.0009426203656798471,0.0004681302883094442
duplex,0.0009419722390028972,0.00014068240088503615
rio,0.000930094156764949,4.58699379899062e-05
