feature,weight,std
suites,0.1665494978917826,0.07602260372744828
suite,0.10472747236908075,0.061773146336458584
lareira,0.0807267726792601,0.07063894917465663
07,0.06119938581638084,0.04500035462561782
03,0.05961703133941485,0.07215190896549892
lavabo,0.03752422069472093,0.05344722632738457
vagas,0.03172447471235438,0.059790685072317676
vaga,0.03110112940666869,0.040206348644063215
carencia,0.025174381732305268,0.021803802719813338
contate,0.02131178105060766,0.056738971872235
piscina,0.01993769654151345,0.09248771708297229
sacada,0.016926702653590024,0.04013217382560488
sendo,0.016602432034179326,0.04246710190747179
armarios,0.015880093116072632,0.0581359303606172
panoramica,0.013309392221624415,0.015727160129634345
dormitorios,0.012903824188504914,0.03730873774888151
hidro,0.011208757940613337,0.02402826203754534
elevador,0.011038682171358762,0.05799899145584198
jogos,0.010864158224690862,0.02664898011923316
moinhos,0.010701761939095448,0.05118942870285351
encol,0.010680276809387037,0.0648230399928694
camas,0.01012863926490922,0.030514322192493934
empregada,0.009986114839748289,0.05062890461747791
carros,0.009098759892664192,0.0565074388317923
banheiros,0.008776497365084528,0.06954594402318558
acessibilidade,0.008425146250342627,0.007891085951351282
closet,0.00703703073481973,0.046454860594788705
fitness,0.00669002055485662,0.04787667035548672
94,0.006687243842941042,0.07069799426282355
esportiva,0.006596833040275374,0.015871776988019677
goethe,0.005703432291972293,0.06377342587088736
playground,0.004871629788540029,0.061852171249381076
apartamento,0.0043694161394877175,0.01957252253617817
split,0.004226765936210623,0.03666091218641532
germania,0.0042014778129485595,0.04853043261617418
sala,0.00407540923628225,0.03172865061881611
geladeira,0.0039308946036767725,0.029588644330142327
central,0.003453500022888451,0.04503746126616368
fogao,0.0034522026449983322,0.047789061591089886
auxiliar,0.0031747130708374726,0.04170840398259421
dupla,0.0031510365463978344,0.036052187626144976
qualidade,0.002917641899996824,0.010426173396593456
gabinete,0.00289103067651896,0.005423470117495919
parquet,0.002732343665327229,0.010302990536633702
baltazar,0.00262315967802726,0.05652578510670617
vento,0.0024986993557121295,0.025668462338768856
copa,0.0023887307711503987,0.032847663254721285
empreendimento,0.0023513804348189835,0.008457256034923652
espaco,0.0022807191582013475,0.023817932210126923
02,0.0022381545508529175,0.021783720190915516
loucas,0.002234702471980637,0.0394457677525574
esportes,0.0022130473308106732,0.05112982011507662
01,0.00219291572871696,0.03853473667735243
imperdivel,0.0021154941208848224,0.031551947934687505
