feature,weight,std
suite,0.07328106212183143,0.010657117729016407
03,0.06425075036694758,0.012663002721539559
vagas,0.05520099353585377,0.002520584046757351
piscina,0.0346420127941419,0.005771461481804588
lavabo,0.033087930412080045,0.003682022090321829
carros,0.02612658893893858,0.006687441479258698
dormitorios,0.020605628288273992,0.007146129040205761
armarios,0.02040075828582335,0.0032712279929879356
vaga,0.019722232344474833,0.004932445852773599
elevador,0.012593977694921233,0.003300340786861711
playground,0.012306676332674548,0.001975199365113283
auxiliar,0.009655812688807353,0.0026970711836543024
armario,0.008486535103981896,0.002274233339339814
closet,0.008452861121763466,0.002342418804235881
moinhos,0.00833897499248224,0.004844191397579198
sacada,0.008065655134453476,0.003209115900808072
fitness,0.006969886616998466,0.0023949565192289204
sendo,0.006450091627234001,0.0057511526316390196
sala,0.005305435801759106,0.001638871850175998
01,0.005084532065747082,0.005693879851979118
gourmet,0.004814674161465393,0.001058107793672075
social,0.004031005607384608,0.0017926417188917404
parque,0.0039792678786054305,0.003158356746767228
aquecedor,0.003946302624170217,0.0022468882101628527
dormitorio,0.0037406523412882196,0.0009660051088402138
condicionado,0.003705124885943545,0.001408239962554166
mobiliado,0.003534110047955119,0.002085518102335051
praca,0.003478525976912228,0.0007163803570583292
vento,0.0033578691251077374,0.002748812722242662
pia,0.003268932778601652,0.0020871298551759475
nacional,0.003185545621491892,0.0005641165621686938
academia,0.0031594738318960537,0.0005832326570978008
publico,0.0031352998081732864,0.0010609504866743536
carro,0.002851812928686348,0.000618490055532775
espaco,0.0026775904129529905,0.0006540742779193604
empregada,0.002337924617260212,0.0018451017080007366
estacionamento,0.002323082919996877,0.001181576650820345
acesso,0.002223275783497014,0.00046779963634888653
tanque,0.0022079641892640777,0.0012034960609532705
cadeiras,0.001957082783085906,0.0005655248021575383
zaffari,0.0019303674140243253,0.0004784478151039248
11,0.001874111963595615,0.0007974743510421988
iguatemi,0.0018662025567845798,0.0011654221671213339
localizado,0.0018461322897655342,0.0010024492402319236
lado,0.0018381216127236976,0.0008392906404338877
60,0.0018320877932838542,0.00019249549229770406
fogao,0.0018256766022923365,0.0009498220114732163
04,0.0018158392395490885,0.0007359477997459793
bourbon,0.00167146203320665,0.0008469134613264116
ambientes,0.0016558004220735612,0.0006985928343730665
alves,0.0016507953278411592,0.0011548772614763416
bairro,0.0016266633459762537,0.0005253552049448375
banheiro,0.001611732859820747,0.0010507404888812962
estao,0.0014987132536346203,0.000521254261455808
brinquedoteca,0.0014813573253609435,0.0002330249759746686
onde,0.001468574248142973,0.0013627441288493426
hrs,0.001370715891489227,0.0021715540083199103
imovel,0.0013553802020997764,0.00026373576360353725
privativa,0.001346931733649348,0.0010333698705369805
televisao,0.0012857909307191662,0.0004387712365014543
servico,0.001273249596004966,0.0005588774823196768
forno,0.0012623571284776647,0.00033615405169952516
ceramica,0.001262088336524725,0.0002789003886762637
split,0.0012263769595581842,0.0009157305093321719
laminado,0.0012179127105527154,0.0015690797184336712
ceramico,0.0012138509632474426,0.00035845834353231065
quiosque,0.001188714184074513,0.00048278947402823443
uniritter,0.0011562992710916875,0.001111098701803561
outras,0.0010430994335600906,0.00023457159502468888
elevadores,0.0009548213581854536,0.00017593409128249804
portaria,0.0009201115885903554,0.0012197528487396924
cavalhada,0.0009100946187770686,0.00011426368793051301
churrasqueiras,0.0008679401641549011,0.0003089068777145106
supermercado,0.0007931314704026748,0.0007105639797995135
baltazar,0.0007162124012947135,0.0011266693823657474
condominio,0.0007145425614656142,0.0003185739137209503
cristovao,0.0006947313744517958,0.0006019195731261199
quadra,0.0006388280475969621,0.0005421825523607319
semi,0.0006035349953979585,8.411662942979293e-05
fundos,0.0005718522122547754,0.00024931359269146766
24,0.0005661341847913004,0.001937256586372104
frente,0.0005484751568601842,0.00021518438137615336
completa,0.0005422447568265376,0.00033160664478495223
lima,0.0005248872600965182,0.0001563445569707462
lareira,0.0005042619225828826,0.008604597172080996
garagem,0.0004917334761999515,0.0007329582346198135
geladeira,0.00048466996362750425,0.0006764585153118765
total,0.0004704074871544117,0.00039604508828470835
farmacias,0.0004588530713633965,0.00022700909880342916
atraves,0.00043791891624533896,0.0002697965015546953
jk,0.00042812406027821216,0.000667134420368511
praia,0.00035225306599409036,0.00021682895188078152
jogos,0.0003418160572787654,0.0131546346950843
