feature,weight
lareira,0.16052450921358766
03,0.09441621183633454
suite,0.09224707132050629
vagas,0.06393092747721993
lavabo,0.04390205021498903
vaga,0.04101579265892938
distribuidos,0.02715522381041192
sendo,0.025694069445890443
sacada,0.020720423964709647
jogos,0.020371173581210947
piscina,0.02012866729634947
dormitorios,0.019714531074662672
02,0.01732040796803533
armarios,0.016388647268013305
carros,0.015589302148073959
moinhos,0.01508265384389345
elevador,0.015007106475562814
playground,0.013815935159679656
vento,0.011675605216401269
01,0.010445632149431706
closet,0.008780432090049948
apartamento,0.008529060086994085
sala,0.008297848029637464
24,0.007988458716410891
auxiliar,0.006843371649022935
dupla,0.00683193824476624
fogao,0.0067173494867721435
armario,0.005941746541808197
fitness,0.005705060299896786
social,0.005092850937351196
aquecedor,0.00475459263825103
condicionado,0.004555315546513942
portaria,0.00451802610198355
empregada,0.004451107161925278
dormitorio,0.004117048182272039
dependencia,0.003902427705979538
laminado,0.0036629097437215746
praca,0.0036327019487126036
tanque,0.0034267360389501583
split,0.003425172516561679
posicao,0.0034165946980172566
bairro,0.003299033073085061
mobiliado,0.003250872765061383
banheiro,0.003230750246316637
salao,0.0031925337649133744
coberta,0.0031821791509503055
banheiros,0.0031685075542043704
carro,0.003098768788600873
central,0.003032883256759825
gourmet,0.002894982127662492
sao,0.002878024914042923
festas,0.002836165668673945
geladeira,0.002820481804900922
nacional,0.0027574145075807176
espaco,0.002651251890473353
estacionamento,0.002623558368565321
academia,0.0024867863364372907
ar,0.0024439268670739
publico,0.002327223940729242
churrasqueira,0.0022595943431139636
60,0.0021898290604374436
pia,0.002138606939636443
parque,0.00209620735208233
hrs,0.0018878176303194858
horas,0.001823094076618289
americana,0.001725857939684061
todas,0.0016839419477788146
baltazar,0.0016831661339852387
servico,0.001672072299789365
locacao,0.00149847396275205
av,0.0014778973959540908
solar,0.0014741614434174671
iguatemi,0.0014581094469078243
alugue,0.0014439196307919613
quiosque,0.0014022685065646781
localizacao,0.0013418372335921196
imovel,0.0012970777780651251
gas,0.0012958238235634184
ambientes,0.0012943135626101818
facil,0.0012623832943007272
privativa,0.0012383044282610065
proximo,0.0011720716742894938
cama,0.0011125747114441207
garagem,0.00111171964948374
bourbon,0.0010896269122134133
box,0.001088805261765041
quadra,0.0010348067276555063
onde,0.0010107192246262867
zaffari,0.0010106202022993139
rua,0.0009661434945338063
living,0.000925731551010403
acesso,0.0009242284875484153
brinquedoteca,0.0009241939395904201
bicicletario,0.0008944575423767253
04,0.0008934100422292662
localizado,0.0008885246882217107
hall,0.0008849076836983599
hs,0.0008740792475219095
alves,0.0008453343615500632
andar,0.0008369266310883148
relacao,0.0008223362556436787
sofa,0.000818548556933128
area,0.000811928380245367
excelente,0.000780268964896072
garcia,0.000774447255158555
terraco,0.0007465773568333893
hospital,0.0007316622608888248
esportes,0.0007028012301371395
elevadores,0.000688158881229379
ceramico,0.0006859471300500954
piso,0.0006603592910292562
forno,0.0006520033067414347
supermercado,0.0006397046882735447
alegre,0.0006369872186301869
country,0.0006306495624147154
lateral,0.0006272667415276873
frente,0.000615230339030458
estao,0.0006114051376023468
possui,0.0006063049195402423
panoramica,0.0006018648250702695
50,0.0006002572085775069
auxiliadora,0.0005724498147816088
beneficio,0.0005663383113174875
oferece,0.0005502576763689802
total,0.0005425610580426327
11,0.0005205966634057354
uniritter,0.0005092409162914639
avenida,0.0005057773319763154
jk,0.0004869983954400924
condominio,0.00047631898521402916
cadeiras,0.00046718567187131613
otima,0.0004320563838724129
microondas,0.0004023213503939021
oandar,0.0003864079245315689
televisao,0.0003857111316156003
seguranca,0.0003713293318910535
ventilador,0.0003677229341969117
vista,0.0003671275880260211
todos,0.00033303595097602576
atraves,0.0003266016968516863
cooktop,0.0003041858301058126
fundos,0.00029953617499589526
lavar,0.0002981750915191772
ceramica,0.0002839433784279384
casa,0.00027554284545743896
completa,0.0002728528020438931
porcelanato,0.0002715707394447824
farmacia,0.0002709256927027408
deg,0.00025133495491669674
churrasqueiras,0.0002495308090313036
integrada,0.00024399798386360162
visita,0.0002346501852816685
lado,0.00021808853062853096
outras,0.00021698473852319806
deus,0.0002056701307536445
semi,0.00020055051734670063
parquet,0.00019972371500985543
porto,0.0001980848083709261
medida,0.0001914721322266773
40,0.0001878838419052567
sul,0.00018430577959771625
lima,0.0001835954250929732
borges,0.00018188833169484287
cristovao,0.0001767188661906165
norte,0.00016907013012184115
predio,0.00016603248576250163
porteiro,0.00015801485932644878
praia,0.0001548468267309038
comodidades,0.00014921308515958425
teto,0.00014910247108354706
53,0.00014699830345766947
farmacias,0.0001461166486612003
zelador,0.00014249623479988945
montada,0.00014098188264110065
leste,0.00014077406455166914
coletiva,0.00013749920603337587
centro,0.00013617918613830998
