target,feature,weight
y,persianas,18126.330443918705
y,20,13198.266196284443
y,protasio,11380.584422835149
y,vasco,11308.184887215495
y,guilherme,10777.07144415006
y,agendar,10432.315748713252
y,pedras,10428.35893187474
y,novas,8862.34854163506
y,porto,8855.026670709252
y,ducha,8344.139202326754
y,unimed,8237.350962184835
y,bom,8141.784737078473
y,visita,7905.05191094568
y,tradicional,7818.265245303104
y,termica,7724.247352251783
y,empreendimento,7419.693375894334
y,supper,7411.327829854097
y,saloes,7232.174989237668
y,ser,7136.321470608003
y,adulto,6885.367877849378
y,informacoes,6768.031655611005
y,comodos,6730.496845974587
y,americano,6643.305701350328
y,capital,6513.978407889721
y,200,6216.561751253437
y,bar,6049.103250560525
y,edgar,6040.422013735399
y,somente,5908.793872807888
y,outros,5893.659664038569
y,poliesportiva,5659.434113685042
y,luminosidade,5631.478643142997
y,louca,5472.477814221522
y,cardoso,5423.720292225946
y,fechado,5328.195262951602
y,garden,5299.976685960137
y,totalmente,5107.12568447087
y,place,4983.445053006333
y,teen,4983.445053006333
y,divididos,4889.482251244364
y,guarita,4868.767053602263
y,coracao,4793.889893347085
y,suites,4779.1172051563435
y,btus,4762.432253030303
y,largo,4616.470198101801
y,amplos,4564.202352236491
y,cuidado,4545.194694937754
y,fundacao,4373.326019460554
y,corretora,4298.404481841484
y,verissimo,4276.253768323921
y,estudantes,4249.652889396006
y,carneiro,4219.090287139654
y,nautico,4164.177974224149
y,ficam,4087.8869051383517
y,rissul,4037.0890347720997
y,sesc,4020.9958262329747
y,final,4016.1992211166216
y,imoveis,3969.2238174550585
y,ofertas,3969.2238174550585
y,rede,3855.2462808709097
y,venda,3815.6607177917904
y,negocio,3763.620683696645
y,hernesto,3693.5939802515495
y,custo,3619.0023125538137
y,maravilhoso,3589.527203024365
y,contate,3569.5850322712213
y,portas,3459.2581998580135
y,ate,3447.2204069601653
y,torre,3377.2137578493493
y,escriturada,3351.710375658433
y,simples,3336.923476962489
y,corredor,3314.715794418473
y,confortavel,3293.400941537926
y,embarcadero,3287.516548451036
y,fischer,3222.0575674136635
y,led,3200.4621876160527
y,137,3167.5831949682324
y,estao,3164.634835880321
y,cacique,3116.448808725574
y,belo,3106.586930648962
y,vias,3092.0299532096215
y,semimobiliado,3026.3599732599687
y,alugar,2991.2996536426945
y,clinico,2928.0124050395098
y,conforto,2926.497669250006
y,aj,2919.2062759405235
y,banho,2878.916082046635
y,kraemer,2831.5383495483547
y,lance,2708.4075599496973
y,ponto,2668.3432832884737
y,predial,2659.9992486373703
y,projeto,2658.622342935647
y,consultores,2625.19115856642
y,estudos,2623.172442191106
y,caminhada,2609.158589204424
y,ligue,2597.990587095963
y,bosque,2586.6909291209886
y,duas,2581.8413374273223
y,ventilacao,2555.4217515046184
y,mail,2547.5465641365736
y,sogipa,2532.0640076985583
y,br,2517.256954387296
y,auxiliadorapredial,2517.256954387296
y,alto,2516.037457339233
y,dentro,2507.1054502861152
y,demetrio,2500.582607581331
y,natureza,2485.512755500874
y,cerca,2479.3571247488726
y,intima,2465.2793541140854
y,perca,2458.0117311201757
y,bairros,2450.3965934829175
y,quadras,2442.5439024659863
y,direito,2409.3209084527334
y,chimarrodromo,2393.835183383373
y,so,2325.12360430666
y,07,2319.98335528154
