feature,weight,std
suites,0.15182501027931994,0.10508986587994536
suite,0.12468733574915071,0.042512926938935186
03,0.04153051598051657,0.07412408093121944
simples,0.03827522009059664,0.10516795268406505
lareira,0.03269218427678813,0.05417484048728171
lavabo,0.0316703531820479,0.0401231269993256
vaga,0.030032817049601323,0.01578681381688423
sendo,0.02445923478859803,0.06632643499146385
07,0.021518089265448185,0.05448060104674582
dormitorios,0.020780700872842246,0.01267815383297022
apartamento,0.015716608162796658,0.05143094917987695
elevador,0.01248768403825519,0.006181769251449817
vagas,0.01213863002053879,0.04364440469318992
venda,0.011380824869559136,0.06237698778269342
armarios,0.011258040736167492,0.00768167752957397
master,0.009750855725481846,0.05049814180800353
consultores,0.009398896042261254,0.053267014009864964
piscina,0.008109131213456088,0.013889313354340054
hrs,0.008036194487975044,0.031034419195573617
carencia,0.007690952673660477,0.048067889457124785
sacada,0.007197163583828876,0.008751840506091643
dias,0.006828877535780412,0.04158078313331382
vento,0.00665025079786112,0.018558325991321845
02,0.005706689003270533,0.026654958981267355
moinhos,0.005598009748062837,0.02092076492798579
playground,0.005390713182329368,0.00399329561710899
fitness,0.0049104472039064985,0.005018104394097387
dupla,0.0048420734074879155,0.0066050764282484685
copa,0.004581491744225756,0.008717547249161121
closet,0.0045771542974901965,0.013642574681117538
carros,0.0044618836510834925,0.009292015019378182
empregada,0.0043407634257437485,0.0047546003461844686
parque,0.004337976664038886,0.017440623582604495
geladeira,0.004144617787367733,0.005346904790881694
gourmet,0.004038752023719595,0.005611225785000498
sala,0.0040226829267994944,0.008954835384006026
banheiro,0.004017168611006995,0.005031201805922407
televisao,0.004011244198271304,0.009197133653246342
atender,0.003987540663770325,0.012912761555166023
fogao,0.003952335980185287,0.00636868617295674
aquecida,0.003696845626948781,0.012440561831583425
necessidades,0.0036609140628149593,0.011171823844283195
banheiros,0.003651713023128774,0.006165730784994266
churrasqueira,0.003500004340691663,0.004164620903307425
louca,0.0034080384632007394,0.011687973385796446
dormitorio,0.0033484538893064414,0.004164476275812165
contate,0.0032845132524758776,0.03181431332058562
saude,0.0032580941011968972,0.01015617516705845
condicionado,0.0031839601752975573,0.005108483607399592
goethe,0.003127263434962337,0.0037433309791713894
esportiva,0.002959113501082411,0.02026249227693726
europa,0.0026834981330576086,0.01797313062032609
94,0.0026310661273472717,0.004328587723933495
encol,0.002619342983777231,0.005906877319320244
destinados,0.002612637179999737,0.00800189983381193
01,0.0026022499820204125,0.0032875898003145872
gomes,0.0025530575360548573,0.017063572446033636
aquecedor,0.0025327890153623842,0.0020809580591520075
split,0.0024969788471909697,0.0032491732207101335
camas,0.0024482006068825106,0.006380343993856285
todos,0.0023930111830040785,0.007233547434096028
auxiliar,0.002392942118249213,0.004201582877305299
