feature,weight,std
01,0.5126069535205197,0.010396810363906007
03,0.32975638001057633,0.055002666600040065
banheiro,0.014879897475575632,0.008774980866871469
churrasqueira,0.00901473266988546,0.012368022644459256
armario,0.0013660251726250294,0.0012228922409839363
quadra,0.0009870986571819174,0.002060119157710578
av,0.0005803354374727121,0.0005757018046807682
apartamento,0.00021464896316345517,0.00021623343204019556
sala,9.863541031265299e-05,0.001652970968744534
cozinha,0.0,0.0
corretor,0.0,0.0
coracao,0.0,0.0
coronel,0.0,0.0
corpo,0.0,0.0
correa,0.0,0.0
corredor,0.0,0.0
corretora,0.0,0.0
cristiano,0.0,0.0
cristal,0.0,0.0
cortinas,0.0,0.0
cooktop,0.0,0.0
costa,0.0,0.0
country,0.0,0.0
copa,0.0,0.0
contra,0.0,0.0
conveniencias,0.0,0.0
conservado,0.0,0.0
condominio,0.0,0.0
confeitaria,0.0,0.0
confira,0.0,0.0
confortavel,0.0,0.0
conforto,0.0,0.0
conjugada,0.0,0.0
conosco,0.0,0.0
constant,0.0,0.0
cristovao,0.0,0.0
construcao,0.0,0.0
consultores,0.0,0.0
conta,0.0,0.0
contando,0.0,0.0
contate,0.0,0.0
contato,0.0,0.0
conte,0.0,0.0
cristo,0.0,0.0
cultura,0.0,0.0
crossfit,0.0,0.0
disponiveis,0.0,0.0
deste,0.0,0.0
destinados,0.0,0.0
deus,0.0,0.0
dias,0.0,0.0
direito,0.0,0.0
direta,0.0,0.0
direto,0.0,0.0
disponivel,0.0,0.0
desocupado,0.0,0.0
distribuidas,0.0,0.0
distribuido,0.0,0.0
distribuidos,0.0,0.0
diurna,0.0,0.0
diversas,0.0,0.0
divididos,0.0,0.0
dois,0.0,0.0
despensa,0.0,0.0
desconto,0.0,0.0
cuidado,0.0,0.0
degandar,0.0,0.0
condicionado,0.0,0.0
cunha,0.0,0.0
custo,0.0,0.0
decoracao,0.0,0.0
decorado,0.0,0.0
decorflex,0.0,0.0
deg,0.0,0.0
delegacia,0.0,0.0
descoberta,0.0,0.0
delmar,0.0,0.0
demetrio,0.0,0.0
dentro,0.0,0.0
dependencia,0.0,0.0
deposito,0.0,0.0
depurador,0.0,0.0
dercoflex,0.0,0.0
condominial,0.0,0.0
zona,0.0,0.0
conceito,0.0,0.0
center,0.0,0.0
castilhos,0.0,0.0
castro,0.0,0.0
catedral,0.0,0.0
cavalhada,0.0,0.0
caxias,0.0,0.0
cecilia,0.0,0.0
cel,0.0,0.0
central,0.0,0.0
cassol,0.0,0.0
centro,0.0,0.0
ceramica,0.0,0.0
ceramico,0.0,0.0
cerca,0.0,0.0
chagas,0.0,0.0
chao,0.0,0.0
chimarrodromo,0.0,0.0
castelo,0.0,0.0
cassal,0.0,0.0
churrasqueiras,0.0,0.0
carlos,0.0,0.0
campus,0.0,0.0
capital,0.0,0.0
carazinho,0.0,0.0
cardiologia,0.0,0.0
cardoso,0.0,0.0
care,0.0,0.0
carencia,0.0,0.0
carneiro,0.0,0.0
casemiro,0.0,0.0
carpete,0.0,0.0
carrefour,0.0,0.0
carro,0.0,0.0
carros,0.0,0.0
carvalho,0.0,0.0
casa,0.0,0.0
casal,0.0,0.0
churrascaria,0.0,0.0
chuveiro,0.0,0.0
dona,0.0,0.0
comodidades,0.0,0.0
coletiva,0.0,0.0
coletivas,0.0,0.0
coletivo,0.0,0.0
colombo,0.0,0.0
comercial,0.0,0.0
comercio,0.0,0.0
comodidade,0.0,0.0
comodos,0.0,0.0
colegio,0.0,0.0
completa,0.0,0.0
completamente,0.0,0.0
completo,0.0,0.0
complex,0.0,0.0
complexo,0.0,0.0
composto,0.0,0.0
conceicao,0.0,0.0
colegios,0.0,0.0
colchoes,0.0,0.0
ciclovia,0.0,0.0
clinico,0.0,0.0
cidade,0.0,0.0
cinema,0.0,0.0
circ,0.0,0.0
circuito,0.0,0.0
circulacao,0.0,0.0
claudino,0.0,0.0
clinicas,0.0,0.0
closet,0.0,0.0
colchao,0.0,0.0
club,0.0,0.0
clube,0.0,0.0
coberta,0.0,0.0
cobertas,0.0,0.0
coberto,0.0,0.0
cobertura,0.0,0.0
coifa,0.0,0.0
dom,0.0,0.0
donald,0.0,0.0
campestre,0.0,0.0
exaustor,0.0,0.0
fernando,0.0,0.0
ferreira,0.0,0.0
festa,0.0,0.0
festas,0.0,0.0
fiador,0.0,0.0
fica,0.0,0.0
ficam,0.0,0.0
filho,0.0,0.0
fim,0.0,0.0
final,0.0,0.0
fischer,0.0,0.0
