feature,weight
suites,0.19417292
suite,0.086828366
lareira,0.05625124
lavabo,0.044778727
vagas,0.030530928
acessibilidade,0.027978754
vaga,0.018652556
empreendimento,0.018113047
dormitorios,0.016836045
120,0.01655052
empregada,0.013496103
loucas,0.013442627
vento,0.0130187515
03,0.012798587
piscina,0.012357862
encol,0.010881577
gabinete,0.009761428
copa,0.0093893325
carros,0.009216615
parquet,0.0086480845
sacada,0.008157348
porto,0.008031287
jogos,0.007511541
banheiros,0.0069905603
custo,0.0061180783
banheiro,0.006035499
dupla,0.0060059894
country,0.0059104776
sala,0.0055975355
contate,0.0054576783
novo,0.005350545
alegre,0.0051419414
elevador,0.0050695986
gourmet,0.004980724
geladeira,0.004795509
playground,0.004573814
coberta,0.004494481
garagem,0.004427117
eletrico,0.0043219794
moinhos,0.004270354
locacao,0.0042103133
onibus,0.0038199374
imperdivel,0.0037933136
inducao,0.0037566524
goethe,0.0035887212
ipiranga,0.0035833325
baltazar,0.0034714087
servicos,0.0034516011
arena,0.0033053933
germania,0.0032736443
escriturada,0.0032683972
terraco,0.0032154657
iguatemi,0.0031749033
venha,0.0030079042
completa,0.0029110217
67,0.0028991455
126,0.0028344572
estado,0.002810854
94,0.0027958301
hidro,0.0027173967
projeto,0.0026706296
fitness,0.0025672542
correa,0.0024997287
posicao,0.00246354
carlos,0.0024130864
armarios,0.0024023415
oandar,0.002382392
fogao,0.0023689894
central,0.002191387
depurador,0.0020874965
aquecedor,0.0019886396
esportiva,0.0019322603
espera,0.0018903024
condicionado,0.0018832124
closet,0.0018506395
semi,0.0018130974
amplo,0.0017530817
laminado,0.0017373023
embutido,0.0017359178
lado,0.0016577209
esportes,0.0016547239
clube,0.0016293912
auxiliar,0.0016194729
alugue,0.0015706635
oscar,0.0015701605
colombo,0.0015540264
planejados,0.0015249954
tanque,0.0014570454
atraves,0.0014499725
churrasqueira,0.0014262067
outubro,0.0013976855
camas,0.0013963026
76,0.0013950492
69,0.0013939394
colegio,0.0013799741
portaria,0.0013796347
121,0.0013570231
festa,0.001352679
90,0.0013279656
vidro,0.0013136372
cama,0.0013022112
seguranca,0.0013010115
160,0.00129119
servico,0.0012813453
bicicletario,0.001260662
ar,0.0012252891
petropolis,0.0012221293
jk,0.0012080736
ceramica,0.0011445581
beneficio,0.0011351948
lazer,0.0011297488
uniritter,0.0010989842
farmacia,0.0010882702
ambiente,0.0010668935
cavalhada,0.001062746
integrada,0.0010367415
supermercados,0.0010233104
gas,0.0010107814
baixa,0.0010022009
silva,0.000988621
elias,0.0009834059
24,0.00097061635
banheira,0.0009548459
academia,0.00093268073
quartos,0.00092204654
mobiliado,0.0009101163
excelente,0.00089781487
cristiano,0.0008940376
zelador,0.00087603723
105,0.0008548942
cidade,0.0008465868
48,0.00081564067
festas,0.00081330474
femina,0.0007839064
fundos,0.00076430634
zaffari,0.0007641848
carazinho,0.0007620536
televisao,0.0007540512
carro,0.00075340044
rio,0.00074797304
quiosques,0.0007455086
92,0.00073503994
112,0.0007244811
frente,0.00072414696
68,0.00072078925
armario,0.00071815256
moveis,0.00070347567
teto,0.000701139
parque,0.00069593836
sao,0.0006946913
menino,0.0006847238
auxiliadora,0.0006789831
97,0.00067554996
49,0.00067534193
area,0.0006679526
split,0.0006559188
distribuidos,0.0006441423
brinquedoteca,0.00063992373
americana,0.0006387713
nobre,0.0006339076
tambem,0.000624436
quadra,0.0006166408
total,0.0006087436
agua,0.00060110353
dormitorio,0.00059766776
74,0.0005915695
embutidos,0.0005842868
96,0.0005828514
ceramico,0.00057887397
110,0.00056795357
72,0.0005605836
rua,0.00055850745
barao,0.00055614184
pereira,0.00055533677
condominio,0.00055367127
publico,0.00055221154
sendo,0.00055098126
sofa,0.0005417952
apartamento,0.00054164184
pedro,0.0005385053
lateral,0.0005331255
comodidades,0.0005261967
padre,0.00051714585
dois,0.00050601625
wallig,0.00050510035
nacional,0.00050172204
ipanema,0.00049797527
localizacao,0.0004909124
42,0.0004891935
73,0.0004889939
18,0.00048424248
50,0.00048212547
ramiro,0.00047859258
onde,0.0004778713
localizado,0.00047756045
11,0.00047696705
assis,0.00047672508
estacionamento,0.00047601142
av,0.00046613667
proximo,0.00045889724
hall,0.00045377715
09,0.00045271014
31,0.0004519033
13,0.00045083862
coletiva,0.00044986725
04,0.0004465383
jantar,0.00044489763
75,0.00044259834
facilidades,0.00044004704
privativa,0.00043499222
30,0.00043469717
casal,0.00043328514
dependencia,0.00043145427
hospital,0.00043112994
hrs,0.00042600362
pia,0.0004204382
farmacias,0.00041984496
mt,0.00041139312
02,0.00040314556
social,0.00039609545
horas,0.0003868283
floriano,0.00038642113
espaco,0.00038329084
acesso,0.00037555696
38,0.0003659539
nilo,0.00036502955
santa,0.000363905
quiosque,0.00035956627
40,0.00035882607
86,0.00035733503
52,0.00035629497
complex,0.0003500965
estrada,0.0003472394
alves,0.00034635758
aparicio,0.00034277898
cortinas,0.00034186544
guilherme,0.00034050533
orla,0.00033768563
brasil,0.00033720798
clinicas,0.0003371956
otimo,0.00033218777
possui,0.00033071032
niteroi,0.0003290582
farrapos,0.00032817357
26,0.00032338727
militar,0.00032129404
iluminado,0.00032065908
norte,0.0003172669
atacado,0.0003106078
medida,0.00030997125
jardim,0.0003094504
70,0.00030822642
