feature,weight,std
suites,0.8929481598727518,0.5385610134268332
tranquilo,0.4909748854932269,0.3048797224366569
sentir,0.2530699626889315,0.00966657608176445
suite,0.15603891214489116,0.033952936874830794
lajes,0.0936625108574101,0.10143527817179744
empregada,0.07318251059704625,0.028598469350266817
vagas,0.06576166355795054,0.007179396131238337
nobres,0.05896098836147856,0.022436642137711647
master,0.053413830402553805,0.003378062039170131
lareira,0.05117666515618835,0.014425279146220799
02,0.044908785323819235,0.015212485860699045
dependencia,0.03607255712208277,0.0038955606462678176
cidade,0.026647816626792407,0.026707971547413528
lavabo,0.026363126349262966,0.006489490686495764
sofisticacao,0.02334708797672469,0.005739378549327488
auxiliar,0.023296753646076772,0.003787631283336237
amplitude,0.018574557319723482,0.009548335747358132
garden,0.015757946690478385,0.014781786111296633
lugar,0.015247939831537539,0.0186593324961417
acesso,0.01520891991241018,0.012519838957318497
totalmente,0.014633968923690488,0.01387997379095812
acabamentos,0.013214897807871906,0.003002150215204157
petropolis,0.012725285254894424,0.0006186037618022204
conversar,0.01266042561357641,0.005694702909154275
bela,0.011290173581833773,0.0030156964582615116
luxo,0.010626828825983824,0.0003305188765569789
moinhos,0.00963172998783075,0.0014403593960803673
churrasqueira,0.00941839223030132,0.007839640142678933
salao,0.008476934773621658,0.0022164319470367962
fitness,0.008453366605867397,0.001212174466681726
gerador,0.008121723162978456,0.0008951347587098275
dormitorio,0.007040029485718513,0.0007884313654908023
condominio,0.006844520871992765,0.0005393100842634189
piscina,0.006252339883580138,0.0013864617762774786
comerciais,0.005944877937134119,0.003017000118267696
bairro,0.005915226601400381,0.0009574114452184834
vista,0.00584838376158614,0.004721982151039708
cenario,0.005655268421725257,0.007044413454701798
adega,0.0055165081410943895,0.01103301628218878
playground,0.005270005899623875,0.0008484765868857627
apartamento,0.004861802287307837,0.0009787390342361675
apartamentos,0.0047741383968067375,0.0005999633641802954
disposicao,0.004741775401359649,0.0035706275429600353
sacada,0.004513576222816007,0.0007463732024604104
quadrados,0.0044275056629563105,0.007953625711737472
vaga,0.004364053126597311,0.0007760555228061218
sala,0.004253420173906041,0.0021573512647727476
portaria,0.004125012069879741,0.0017199644642322443
marque,0.004046468405062465,0.0007057320307937722
completa,0.003944549024736621,0.001041118361588782
05,0.0037199743814502195,0.0
teto,0.003718830039103338,0.0
andar,0.003464727496435427,0.001033931684866871
aquecimento,0.0031093834459876347,0.004303118764703708
possibilidade,0.0028753725346361446,0.00038690679691789643
avenidas,0.0024963161322963945,0.0
imponente,0.002489144055607051,0.00045855592388983625
sauna,0.0023074569388693345,0.0003110510667256462
infra,0.0022346092277762074,9.7199204535731e-05
lounge,0.002209478345742322,0.0008591261542903649
espaco,0.002156265778963706,0.004819548724342401
projeto,0.0021012904287268652,0.00030429143450461105
edificio,0.0020761294276108845,0.0006963323375751588
servico,0.0019923681544547376,0.0013164907920173638
alcance,0.0019559080048053845,0.0
garagem,0.0019303763490670534,0.0007191911093545048
alegre,0.0019254557218919555,0.0026621304155021266
deus,0.0018165856333692387,0.0005174338668719214
predio,0.0017866277654008168,0.0006900536864709164
amplo,0.00178055453472723,0.0005769307908300557
04,0.0016364764159425781,0.00015434128376926222
guaiba,0.0016272345907039965,0.0018578385156752676
privativos,0.0016182116508124179,0.0006856675637157039
deposito,0.0015680518875158089,0.0013109205847553218
inferior,0.0015624045789400132,0.0019288028985459669
requinte,0.0015508384028649403,0.00040051527484808927
empreendimento,0.0015390609514621457,0.0006697680451025006
cozinha,0.0014534171541927155,0.002243077721170008
moderna,0.0014446937150514039,0.0010664706618147518
antigo,0.0014243161719844633,0.0
bem,0.0014241334326978716,0.0008422630664542743
frente,0.0013980081671110868,0.00034929264511684863
carros,0.0013797911037363164,0.0005435685670344068
condominial,0.001311759553196934,0.0007974861714021079
selo,0.0012946773533253353,0.0
banheiros,0.0012890264196507406,0.0010002865422087742
porto,0.0012774163666005478,0.0016061678711253209
qualidade,0.001246332146708884,3.661854526439515e-05
central,0.0011760396033777987,0.00044313458783019324
decorado,0.0011022594366673522,0.0004830004694829125
excelente,0.0010918009158707108,0.0005515246874986638
padrao,0.0010072337212268857,0.001152611721793018
jogos,0.0009561271083343481,0.0004922148551376479
area,0.0009527120401819688,0.0008048667898446866
quadra,0.0008848260090349669,0.00032004505085404404
mezanino,0.0008715539364589908,0.0017431078729179814
pra,0.0008665701186661324,0.0004332850593330662
festas,0.0008497001933071236,0.0004897331227103502
esquina,0.0008065283458492222,3.315125111728259e-05
belo,0.000758349709011874,0.0001462899964718592
jantar,0.0007179294850996332,6.458984186812014e-05
estacionamento,0.0007113338225980481,0.0006565468875397336
tambem,0.0006905206092020722,0.0028610925577171598
bicicletario,0.000688595265849945,0.00036075445788366124
gas,0.000665834995910597,0.0002589137327292708
uniao,0.0006651463353362974,0.00010695470651531242
tradicional,0.0006596272185042995,0.0003723325216043787
fachada,0.0006466976748786379,0.00012992304021351952
fixos,0.0006409273183592523,9.104060287697222e-05
coberta,0.0006306143575329104,0.0006890238125908646
parte,0.0006225678064527118,0.000619234859760091
semi,0.0006192303093838447,0.0005429747433504342
dupla,0.0006173137947447005,0.0002602405187177694
parcao,0.0006107358478208757,9.48046022373074e-05
voce,0.0006069250323336827,0.00021743729108900884
escrituradas,0.0005945644989625354,0.0008197176170626649
melhor,0.0005548200640394629,1.4971412551795707e-05
unidades,0.0005521184934797585,0.00014068737449477158
av,0.0005486655588992307,0.0009785046949006356
referente,0.0005448452803860748,0.00110731517219933
sol,0.0005426512539224327,0.00020609215534901843
social,0.0005317499887590893,0.0005705080003484752
uniritter,0.0005268711193775922,0.0005018477335764424
horas,0.0005258471787261243,0.00023722927311359778
90,0.0005193160567826816,0.0
tranquila,0.0005125461086166628,0.0006536834508236326
posicao,0.0005115855037669092,0.0002705267514531631
familiar,0.0005091009330342678,0.0006535382295564244
split,0.0005027840511048209,0.00021955452410599355
pergolado,0.0004967428019778452,0.0004018169186704625
pool,0.00048529344514181005,0.0
encol,0.0004743569441925333,0.00020094958752677548
colocar,0.00047190149116329574,0.0009438029823265915
altos,0.0004658694134113572,0.0009317388268227145
tres,0.0004432270622947154,0.00047180221853899463
onibus,0.0004358964203514004,0.0003838940084861151
reformado,0.0004324934249471779,0.0003041013568061589
mobiliado,0.0004272823081798549,0.0007228800040226423
todo,0.0004249791795544855,0.0003771310617004224
torre,0.0004141494301245219,0.00014056411429852668
lados,0.0004125756280235926,0.0008251512560471852
cobertura,0.0004001391758370776,0.0005161267073634408
01,0.00039203253822091,0.00017930557704147202
elevador,0.0003919976988939089,0.00027767040176686646
servido,0.00037823969491790344,0.0
imovel,0.00037337082672883604,0.00015658817048198003
viva,0.00037314561341166285,0.00023285203481400845
banheiro,0.00036984612494608273,0.00043912513461194313
planejados,0.0003695461194713312,0.0001086691531875366
lindo,0.00036357647380660387,0.00026238617386330096
127,0.00035753977843993033,0.0007349490370726002
gastronomia,0.0003558312612168768,0.0002401187204951751
eletrica,0.00035291845379612494,9.128161654393825e-05
infraestrutura,0.00034971282556990336,0.00014012600924661857
adulto,0.00034691581196346635,0.00024040420122396224
conforme,0.0003464314751668862,0.0
03,0.000346171314394228,0.00010973369718830798
planejada,0.00034351703818344956,0.00025044607457867324
quiosque,0.0003281313925311169,0.00013220343918976806
terraco,0.00032154494610272535,5.4777441954133284e-05
transformados,0.0003197946642365723,0.0006395893284731447
conhecer,0.00031821940679754857,0.00028059489259921633
rua,0.0003145529634801081,0.0010643963712877592
escriturada,0.000311479280908844,0.00046910628975292836
shopping,0.000310825161169781,0.0004995984415116927
junto,0.00031045432701821697,0.00028033399633480775
corretor,0.00030375483729008226,8.98975133799065e-05
jacuzzi,0.0003017862443032371,0.0004350524086948582
lazer,0.00029539547836054947,0.0001206094898138332
despensa,0.00028961005309295905,0.002255978890493501
separadas,0.00028705680850060755,0.00018464732701876536
curtir,0.00027957192227170415,0.00025607585553021175
poliesportiva,0.0002791075080647909,0.0002664846920178798
