feature,weight
suites,0.2309991374297771
sentir,0.16569421875964827
tranquilo,0.06636654288019689
suite,0.0543996438464165
master,0.03690201593322971
bela,0.02652186916734221
20,0.02288404365375676
conversar,0.017707981726027056
poucos,0.016502916190973518
lavabo,0.01572830544087004
lajes,0.014653657058237984
vagas,0.013712920994482729
sofisticacao,0.012982696088777406
lareira,0.012128603002500658
24,0.011821727529184447
amplitude,0.011240003919272623
dormitorios,0.01065863351608324
acabamentos,0.010161196857013848
dependencia,0.007569383318949265
acesso,0.0071158952682807254
revestidas,0.006137629890264186
privativos,0.005890623536666298
guarida,0.005835125814132538
adega,0.005592063005694533
cenario,0.004956428760198187
nobres,0.004918469193521863
02,0.004883200637002492
05,0.0045870756385756875
fachadas,0.00426060448033226
luxo,0.004251878467610213
empregada,0.004118100588807773
vista,0.0038762136052780086
lugar,0.0038017389178700203
cidade,0.0037770800594871512
intima,0.003683352871193937
funcionarios,0.003617819006879045
churrasqueira,0.003349148545809174
gerador,0.003232865012990265
tipo,0.003091636721914733
perfeito,0.0030610476955289304
sala,0.0029745407755956722
piscina,0.002926547320737845
casa,0.0029027261732747865
totalmente,0.00281283875101305
alegre,0.0026822568482106285
individual,0.0026440059405487873
auxiliar,0.0024285478342659433
exclusividade,0.0022458250796419514
separado,0.0022053152149569336
sauna,0.0020797827067970567
moinhos,0.0020683293257095265
espaco,0.002027103074380013
terreno,0.0019237000915548446
salao,0.001918347011329044
alto,0.0016671147090923854
deposito,0.0016637911604776006
fitness,0.0016465678245349779
bairro,0.0016228618419311229
aquecimento,0.0015667788330930626
teto,0.0015582310700463444
garden,0.0015537073098055587
encantar,0.00149761423455858
churrasco,0.0014730902637106827
playground,0.001440887379168872
cozinha,0.0011491453237485931
sacada,0.0011470882347036468
selo,0.0011433781222628088
mezanino,0.0011056000981248717
futebol,0.0010764964155423615
empreendimento,0.0010580159571122658
condominio,0.0010062806730504043
completa,0.0010038218537649693
portaria,0.0009915645544533757
apartamentos,0.0009706621709913129
29,0.0009681928638733818
despensa,0.0009581798190508643
edificio,0.000867188578083571
vinte,0.0008668995428851449
janelas,0.0008667250286549269
quadrados,0.0008626385121606343
porcelanato,0.0008425165830014459
guaiba,0.0008300868501859846
privativa,0.0008160795314835801
garagem,0.0008071091273978923
hidromassagem,0.0008050681984017942
procura,0.0007649391111577325
proximo,0.0007586121813616843
andar,0.0007549477874829968
banheiros,0.000751045427080822
alcance,0.0007456775376229091
cinema,0.0007237739606832425
inferior,0.0006993408623784901
gourmet,0.0006736847818647322
amplo,0.0006607063209976961
ambientes,0.0006448112410318069
uniao,0.0006306707704993419
petropolis,0.0006249073968745835
spa,0.0006077622992803314
vento,0.0005989332139820872
excelente,0.0005978407621846845
apartamento,0.0005934424328735997
parcao,0.0005835661386463903
banheiro,0.0005832225509630557
padrao,0.0005690338275823417
dormitorio,0.0005627132673334019
contemporanea,0.0005401679035410752
area,0.0005389922929695712
tambem,0.0005346344778528942
altos,0.0005168946754196812
garagens,0.0005159780808410637
fachada,0.00050396990860731
possui,0.0004999280769802667
tres,0.0004889197930307886
rua,0.0004866452424418399
piso,0.00048449014225887706
