feature,weight,std
suites,0.8086278916469979,0.6079807519141972
tranquilo,0.49087980106270174,0.30424345505125117
sentir,0.28004063227292675,0.0025612691657967523
suite,0.1680598249235426,0.03149863251002659
master,0.14479611967129108,0.0027715509134104755
dependencia,0.1077042805220652,0.006429466171608274
nativa,0.10169047261008639,0.08922448951685456
vagas,0.052111008939951554,0.01748988671061136
lajes,0.03770318585192969,0.07540637170385937
lavabo,0.02767675330454864,0.004318466562248076
sofisticacao,0.026131614074798783,0.027146163970393697
especialistas,0.023977387663956296,0.002835272761855288
fitness,0.02224589866034372,0.0020368386510290167
criar,0.0204994057714877,0.02531841841901759
area,0.019347850697659652,0.016169407751425766
estar,0.018159196099051277,0.01140356583310483
acabamentos,0.01763585002784158,0.006110489165586051
banheiro,0.017237944989263232,0.011886604828068083
whatsapp,0.01716923826513985,0.013565747778684252
vista,0.017136464468171474,0.0026825654736045285
bela,0.011723968823349229,0.0018491951835462623
moinhos,0.007519704631987856,0.0008873339884786615
festas,0.006774673695685451,0.0031781168401938775
auxiliar,0.006597833060627334,0.0008680137639976325
churrasqueira,0.006346674552747111,0.0009747405034609904
quadra,0.005649611802019172,0.0037358748447124
especiais,0.005566835942438853,0.03548406746594618
lareira,0.005078291654467137,0.002611738529068028
apartamento,0.004500230830055218,0.0063719405280042805
garagem,0.004422685793947623,0.002761095039403559
coberturas,0.0042816406273016305,0.0
individuais,0.004027805021565123,0.002720352579466053
jardim,0.003885021144792744,0.002144615389636162
condominio,0.0037675556094977523,0.001846032135331766
dormitorios,0.003403551092344759,0.002365115773995615
proximo,0.0032812309984214362,0.0007188205029743254
sacada,0.0032199155524932355,0.0010677640318498432
tudo,0.003143753682861217,0.001138549852974451
completa,0.0031391750513554808,0.0010674577327580556
salao,0.0031306286483916423,0.0013520748356220407
vento,0.003090564368639459,0.003448990227885242
melhores,0.0029832019941988808,0.0
portaria,0.002942187808607888,0.0027588035464819523
dupla,0.0027858523405358327,0.0005348424699243
disposicao,0.002723951470701236,0.002737711151686324
gourmet,0.0026286532257890683,0.0020862602431747103
experiencia,0.002545203581223676,0.0038556571144463376
reversao,0.002314741860684055,0.00028302127890782706
localizado,0.0022206661239653203,0.0008855106486567748
playground,0.00208986081925846,0.0005243353883665579
saibro,0.002065517469169742,0.0008021113678798196
vaga,0.002056238647115305,0.002107988748293066
uniao,0.00201103389525954,0.00021096252093209103
bairro,0.0019235906123337588,0.000845598063473496
andar,0.0018943855007815813,0.0008429170662785704
empreendimento,0.0018505805879136749,0.00040410509171370947
selo,0.0017928568548877255,0.0
estacionamento,0.0017370936806100357,0.00024485205973312827
gerador,0.0016928029103341568,0.00012497080030109408
cozinha,0.0016413779936084838,0.0007849754432093478
social,0.0015471416352419664,0.000601864588109268
sul,0.001394490575161278,1.9611415728543244e-06
shopping,0.0013625503000787686,0.0018131786625393096
antigo,0.0013406664454655992,0.0
carros,0.0012468369940340507,0.00048786624036744263
dormitorio,0.001204416297309141,0.0009364877652697454
morar,0.001158758103911106,0.00020886401937680394
espaco,0.001090253390086815,0.0013544861251262978
aproveitar,0.0010832319727182016,0.0
conceito,0.0009924018539086755,0.0004051850279147666
copa,0.0009850722081197639,0.0006778289440698143
sauna,0.0009800886040210344,0.0008580130994480223
deg,0.0009757042160260631,7.051843775159512e-05
iluminado,0.0009719465340954469,0.000867137301571828
aquecimento,0.0009427050003348203,0.0006399946637679082
privativos,0.0009342177937214702,0.0008711967355544109
vale,0.0008973701075627005,0.0008296253705249841
possibilidade,0.0008532483203580021,0.0005745998448507673
frente,0.0008466655020441749,0.0008256490151076643
conhecer,0.0008325828951503134,0.000195245670094474
orientacao,0.0008151971074083164,0.00010234468563720945
jogos,0.0008126725341832897,0.00038543088678328783
edificio,0.0008107759609771836,0.0004106954599184199
sala,0.0008101407449933262,0.0009941256929000607
banheiros,0.0007852578867260762,0.00036485652483247765
deus,0.0007831980923270309,0.0005928713283871256
ficam,0.0007777929847780696,0.0010626576376293205
oferece,0.0007670743134418733,0.0005424667263244583
privilegiada,0.0007482151076849686,0.0007074137501155277
escriturada,0.00067076013070817,0.0003999031226442604
serrat,0.0006616936967533294,0.0005713319456270905
superior,0.000651960075333835,0.0013006525687573537
24,0.0006436528812454823,0.0009852265296610276
agende,0.0006173902501389828,0.0005714146609058984
reformado,0.0005995050723295759,0.0009632427702937499
