feature,weight
suites,0.23096252112395252
sentir,0.16569148083243068
tranquilo,0.0663435502622862
suite,0.05478969302110179
master,0.037171554597126844
sofisticacao,0.02928852174135603
necessarios,0.02268172068885279
nativa,0.02202274694850922
dependencia,0.018155061716430738
revestidas,0.01771335492223044
especialistas,0.017692350152140636
horta,0.016505527436512398
lavabo,0.015962114634026022
lajes,0.014470183825164816
vagas,0.013894584185873636
piscina,0.010428793758193883
acabamentos,0.01017502274174136
lareira,0.009098452405475552
criar,0.008935437523191985
hidro,0.007504433715254322
estar,0.006650123656876129
unico,0.005966380385856244
especiais,0.005929748841427182
disso,0.005835129962652131
acessos,0.005835117692192344
dormitorios,0.00527325943815757
alto,0.004674786538759872
bela,0.004148378668235235
whatsapp,0.003891580599714122
05,0.0036377835551796864
gerador,0.0031314487906357723
tipo,0.0030915684468223997
57,0.0030186833906062013
luxo,0.0029569609779407004
spa,0.002899120367152447
espacos,0.0028849204768335297
experiencia,0.002810768643790753
principal,0.0027060592135343888
apartamento,0.0026201886569612544
individual,0.002541184657514588
living,0.002509346906169966
banheiro,0.0023598840411493717
area,0.0023047683745472123
detalhe,0.0021253719232735327
vista,0.0020935310683989987
terracos,0.0020708517789407876
moinhos,0.0020192683695646777
empreendimento,0.0019336414191447623
garagem,0.0019264356113409514
festas,0.0019041931242760458
melhores,0.0018540810808221535
gas,0.00184066082976599
fitness,0.0018191296285749912
condominio,0.0016282641294088002
ambientes,0.0015881729555706553
auxiliar,0.0015635934748260063
lavanderia,0.0015591413563370922
detalhes,0.0015467512943576761
sendo,0.0014333794750954712
espaco,0.0013365588665583113
individuais,0.0013031452110019751
gourmet,0.001209212759552016
dormitorio,0.0011613131288811087
privativo,0.0011507620539089535
proximo,0.001144505076985446
selo,0.001137519500333967
churrasqueira,0.0011345269148847674
jardim,0.0011178297009834606
cidade,0.0011162854230000788
bairro,0.0010983912017211621
padrao,0.0010919438529476912
andar,0.0010863821754309526
portaria,0.0010804815318141078
coberturas,0.0010750265173577174
cozinha,0.0010711791923527078
sacada,0.001018242921529754
garden,0.0009964219703549478
completa,0.0009305779873473238
playground,0.0009042716911545805
quadra,0.0008953226616780159
29,0.0008736708729252471
visita,0.0008643350626800183
predio,0.0008028301545333996
salao,0.0007962415272980616
mobiliado,0.000747873504536785
elevador,0.0007300433891884306
cinema,0.0007129596495426331
superior,0.0007045889336824462
kids,0.0007028909301184149
24,0.0006743032897716408
intimo,0.0006730724858612985
deus,0.0006658821627882017
finamente,0.0006632964770896732
vento,0.0006575765869003083
vaga,0.0006499212957182627
neste,0.0006402071716397704
amplo,0.0006272331569241001
imovel,0.0006170472198877011
uniao,0.0006106232656133249
dupla,0.0005789059806135271
tudo,0.0005657800032735499
sauna,0.0005643011064745804
shopping,0.0005636893470292449
social,0.0005370110662938881
lado,0.0005285658477444068
granito,0.0005181452710275563
residenciais,0.0005115538358790772
sala,0.0005110394991473947
iguatemi,0.0004993541496123879
borda,0.0004953482761563831
existe,0.00048200117263164327
estacionamento,0.000477242778241375
totalmente,0.0004738420849195249
closet,0.00046612033635227355
melhor,0.00046450475257338455
oportunidade,0.0004608833228319742
privilegiada,0.0004568508626137928
duas,0.0004543564104489587
segundo,0.00044541415808273347
separada,0.00043972066359880546
copa,0.00042050451953616326
antigo,0.0004185699544383197
aberta,0.00041847640543480626
vidros,0.0004167691779468534
frente,0.00041517556830650916
privativos,0.0004099436697988701
estilo,0.00040038421429460647
integrada,0.0003972525526770002
servico,0.00039258479538777373
petropolis,0.00039110555491773285
02,0.0003762293650138375
atraves,0.0003750392007021322
essencial,0.0003746217641087184
montada,0.0003686298376929087
carros,0.00036845310278114506
otimo,0.00035817698902838207
excelente,0.0003504494052264548
rua,0.00034892914006850773
moveis,0.00034326103728810547
59,0.00034041587523498036
aquecimento,0.00033405099490752276
agende,0.0003264399799288961
tradicional,0.00032305145571383123
reversao,0.00032034632322978826
infraestrutura,0.0003195199928072583
classico,0.00030686335846641816
clubes,0.00030046527295302133
escriturada,0.00030000437881042436
disposicao,0.00029747153288143396
edificio,0.0002855766714464003
distribuidos,0.00028520440258967183
todo,0.00028350899969075403
possui,0.00027884554326824474
conhecer,0.0002763985051972647
morar,0.00027468019183667455
decorado,0.00027466153243850934
ficam,0.00027456867149452436
lazer,0.0002739652949232128
lei,0.00027042050052663777
charmosa,0.00026982430602487373
apartamentos,0.00026898674072683645
comerciais,0.00026772072773041065
central,0.00026538142546751346
voce,0.00026237744505384973
disponivel,0.0002596691552171574
apto,0.00025952001500563406
vidro,0.00025524403983818924
tv,0.00025447689847960426
saibro,0.00024681523935447244
alteracao,0.00023836010654051433
parcao,0.00023740478849314833
localizado,0.00023590982563880786
400,0.00023330720269974605
agora,0.00023265958579947335
03,0.00023255328497714107
43,0.00022948388867471658
americana,0.00022836608781812937
apenas,0.00022813624653155565
box,0.00022651961395583618
conceito,0.00022344000326166073
privativa,0.0002222077583754757
bosque,0.00022135853552958978
pvc,0.00021384725004021783
ventilacao,0.00021159718692491505
reformado,0.0002069515210416151
empregada,0.00020586518973626357
serrat,0.0002042135695400259
panoramica,0.00020384756069498326
endereco,0.00020053117417764995
onibus,0.0001983269367942869
ar,0.00019669401001177114
bem,0.0001955764698628181
redencao,0.0001937288049078623
impecavel,0.00019321425920629378
habitado,0.00019129303041291656
possibilidade,0.00018977576025748781
vigilancia,0.00018876985405297353
vasco,0.00018798136335388156
infantil,0.0001872438995969014
otima,0.0001841712729540825
aquecida,0.0001827462245284551
altos,0.00018242776251566395
contate,0.00018125273350183394
separadas,0.00018097372669723813
charme,0.00017997921930231722
fim,0.000179447060335105
