feature,weight,std
suites,0.9434973977511142,0.586233677921271
tranquilo,0.49164591414739667,0.30565265459048707
sentir,0.23046779733283387,0.045367750233218776
suite,0.1870966252798057,0.05159279991273878
nativa,0.1018587206130176,0.08946215168486442
lajes,0.09366458690847809,0.10145762595480645
dependencia,0.04754636015371709,0.0025152357487407168
vagas,0.04221719260137049,0.006212597360661268
lareira,0.04170101428266455,0.0053742040709052735
lavabo,0.0414645103022093,0.006378445938467081
conversar,0.04019712370564177,0.06566157967498416
sofisticacao,0.03379716993965889,0.019537705379844464
02,0.03355715138751083,0.021682649067973975
master,0.03225685417007198,0.013792558077692888
200,0.03137797381946712,0.06275594763893423
dormitorios,0.030875467488436215,0.0054439200596629045
empregada,0.026573106156521774,0.009543500993461747
auxiliar,0.02476990184304324,0.0026645787865728996
kids,0.024268361508322345,4.916848307034982e-05
amplitude,0.019366276841012532,0.005120474154416907
nobres,0.018733767646604105,0.00013004880146177248
contemporaneo,0.017127848867709107,0.0004792598229629368
bela,0.016465470644559367,0.005755247786466145
piscina,0.0158951781787648,0.002492778022777185
garden,0.015072539009273921,0.014304885414433305
totalmente,0.014649925068704949,0.013835376881568044
moinhos,0.01220852979583722,0.0016040626270931837
dormitorio,0.011957897622911306,0.0014002970855462532
espaco,0.009772145859962954,0.003358029153190401
acabamentos,0.009300779889794986,0.0015638464830804964
gerador,0.008392832781637227,0.0010026828839893877
churrasqueira,0.008354031141723173,0.002320742117236229
vista,0.007908707134944981,0.0029948427634547653
quadra,0.007849430260820568,0.004755528196349777
playground,0.007711572555518331,0.001053590313175161
esquadrias,0.006956778739508174,0.0
condominio,0.0064996567677784835,0.00137829576002794
raridade,0.005708925230354822,0.0
cenario,0.005655304762146729,0.0070444676957181615
comerciais,0.0055877674499155375,0.002546614038723346
fitness,0.005427778753173862,0.001647202160993287
apartamento,0.005333124426599234,0.0008134696076379121
bosque,0.005185378758608738,0.010370757517217477
disposicao,0.004739096051093817,0.0035651444700758326
vaga,0.004509493128524755,0.0010642735421249963
paisagismo,0.004051961283537464,0.0
central,0.0039863685891513125,0.002715541544141053
portaria,0.003793776954930217,0.0018162634692319864
05,0.0037199743814502195,0.0
sala,0.003481077264053023,0.0017182208608135727
horas,0.0033624759029690756,0.0025313745035205506
cozinha,0.0032077420446954942,0.002314010517201919
sauna,0.0032051963378749047,0.0008911621322214595
edificio,0.0031934463284542637,0.0006998133143587108
elevadores,0.0031492710761116703,0.0001824833102890224
sacada,0.0031470097638433225,0.0015615301041017645
coberturas,0.003125124420648051,0.0
agende,0.0030306293201803,0.0013255989010181651
projeto,0.0030270216895888825,0.0005647036714141777
encol,0.002810852896364757,0.0006712924486782343
living,0.0024630805755297747,0.0012920024485783322
carros,0.0022396180455398263,0.0006433536496500933
disso,0.002225825928304892,0.003460996270532116
proximo,0.0021750200734358847,0.0019349467008333131
privativa,0.0021431722475307334,0.0010280960085777661
completa,0.002102235982247902,0.0008435546858442242
andar,0.0020128819449793944,0.0008580827142185224
amplo,0.002010570749071161,0.0008415312453510936
intimo,0.0020086370058833626,0.0034588804635195393
salao,0.0019813235985538967,0.0014106545126486788
moderna,0.0019613754758425195,0.0011219074790656885
empreendimento,0.0019411736902703591,0.0002854715865695582
banheiros,0.0019397197819429834,0.0006313979890436284
alcance,0.0019383810035579208,0.0
selo,0.0018606044914404318,0.0
04,0.0017572551936349435,2.365306960732626e-05
voce,0.0016977115891452011,0.001594316826240067
inferior,0.0015685497334932297,0.0019350789202962656
atendimento,0.001541069280266294,0.0006482002081889107
requinte,0.001536055972707917,0.0004020357066801666
01,0.0015032365501815414,0.00030889162156676116
privativos,0.0014545595611647367,0.000604660010153044
banheiro,0.0013324345334762011,0.0007653076308560978
gas,0.0013066332549656501,0.0004229005938210718
decorado,0.001301503711904539,0.00031222347911638625
energia,0.0011836186049857256,0.0
elevador,0.0011596570322679246,0.0005856104493350355
escriturada,0.0011244430363987813,0.0003773685020213869
composto,0.0011022081385200222,0.0014049771533389314
frente,0.0010967597783150928,0.0002671133230611704
auxiliadora,0.001094244085881635,0.001314338744164808
urbana,0.0010832126483326654,0.0
onibus,0.0010563649437694612,0.0002135698350976515
petropolis,0.0010513476807201716,0.0004302469835535117
tradicional,0.0009653506232040421,0.0003902716894209775
area,0.0009399923970947244,0.0004555170091892741
visitas,0.0009378856845619233,0.0009468799138992672
possibilidade,0.000919521191056738,0.0014812095886844476
jogos,0.0008836941564030143,0.00048121310653205653
servico,0.0008635104927845916,0.00032991407733929816
ambientes,0.0008629508695978894,0.0001883508430787815
sacadao,0.0008522959786462003,0.0008668798507433629
semi,0.0008298608838511079,0.0005469355009588917
panoramica,0.0008212037342770762,0.0009298933851940322
entregues,0.000814696935056447,0.00046323870848378584
fim,0.000804477062340303,0.0004629088604525727
sendo,0.0007961280664889436,0.00035278924249857466
24,0.000760745853411926,0.0004285103371572217
disponivel,0.0007537194450321083,0.0003053368677483031
cada,0.0007449794162275092,0.0002896477240716721
americana,0.0007324042537194764,0.0005783039752122296
hs,0.0007312646198397888,0.0004993508933844602
seguranca,0.0007213735987544156,0.00022304061282950706
horario,0.000718717130874258,0.0008817803714443759
social,0.0007185781152626136,0.00041907687144864653
uniao,0.0007059955768211168,2.9953280460315314e-05
pronto,0.0006599784204643466,0.0007117192486030193
terraco,0.0006346549308961169,0.00036679808675552745
copa,0.0006219702421945916,0.0005010271765097153
03,0.000616343112899953,9.391210753336088e-05
aquecimento,0.0005990920904739516,0.0005930260604141194
38,0.0005990234820457019,0.00014928123178083646
distribuidos,0.0005953454002318281,0.0008512159934033583
tres,0.0005931559757205163,0.0005159922625298443
bicicletario,0.0005708081313659852,0.0003511931050347345
melhor,0.0005642913579896547,6.192214183956782e-05
hall,0.0005638116359171885,0.0001671321187615117
