feature,weight
suites,0.23078941877559936
sentir,0.16569664037016665
tranquilo,0.06636026781453609
suite,0.05441585955062509
master,0.036862628390571195
200,0.02268243958089816
nativa,0.02203120197025485
conversar,0.017654645214470466
jardim,0.016664692081428487
lavabo,0.01572630147053811
sofisticacao,0.015598090566724064
lajes,0.01465387122050805
gourmet,0.012570096353678825
lareira,0.012082736301543393
amplitude,0.011240168191218433
acabamentos,0.010161306383661103
vagas,0.009859664465808849
dependencia,0.00692905166544007
revestidas,0.006137709846686054
contemporaneo,0.0058927243922147245
luxo,0.005882138957786769
saibro,0.005835200842997102
empregada,0.005707961047588363
empregados,0.0055621055169190045
nobres,0.004918541076637765
02,0.004916289469847401
cenario,0.0049072895759287
dormitorios,0.0046862503511613095
05,0.004587666862629067
disso,0.0044821000046549615
piscina,0.0043234850604085134
fachadas,0.004260666748797043
bem,0.004247476769305294
bela,0.0038470444474563914
75,0.003670578289387271
construido,0.003669443007394946
funcionarios,0.003617871881074722
padrao,0.0035970046102824895
gerador,0.0030914512398244514
totalmente,0.002773491798574303
casal,0.002702509709500548
auxiliar,0.0025251824324895966
intimo,0.002438573990978558
exclusividade,0.002245669522664058
excelente,0.002218679113384565
bosque,0.0021065669675078154
espaco,0.002089237811008513
proximo,0.0020435368068301768
moinhos,0.001990556765607037
esquadrias,0.001987972109732967
kids,0.0019242978537731882
luxuoso,0.0018740413818104922
deck,0.001821838547677422
vida,0.0017741332874685073
vista,0.0017407121843554618
sauna,0.0017370561282478508
finamente,0.0017218660675213133
raridade,0.001660949946146298
elementos,0.001644387640055381
alto,0.0016213903715594333
quadra,0.001601178567395756
fitness,0.0015986875636515205
completa,0.001528872987099245
agora,0.00151392469033978
dispensa,0.0015048024603624328
churrasqueira,0.0014025246138291547
garden,0.001363043095804156
empreendimento,0.0013260808288867935
projeto,0.0013050031808076073
terracos,0.0012786087601440671
apto,0.0011958184974833952
sacada,0.0011576149252053717
selo,0.0011434010692379318
sala,0.0011420795453589787
garagem,0.0011263590216480164
individual,0.0010989008829461655
playground,0.0010567833430436342
detalhes,0.0010412105582786849
condominio,0.000992607799255622
enorme,0.0009857303314987113
encol,0.0009627560133104809
alegre,0.0009428928896048606
sofisticado,0.0009257976513161062
coberturas,0.0008962031731655699
festas,0.0008752715129826866
servico,0.000870769257448063
vinte,0.0008676787199064938
horas,0.0008669854181297968
lugar,0.0008667063911857588
20,0.0008518915124954855
voce,0.0008386843480770223
edificio,0.0008289455408268179
vidro,0.0008051697073375811
bairro,0.0007903345806034059
privativa,0.0007748751684623418
procura,0.0007649681421469568
alcance,0.0007468632668922986
cinema,0.0007373300021543492
cidade,0.0007311196800881728
inferior,0.0006993510832008273
portaria,0.0006879043040286777
uniao,0.0006345273363531921
banheiros,0.0006264918266115309
hidromassagem,0.0006064792259907342
paisagismo,0.0005970115246467523
vento,0.0005773900538134058
spa,0.0005766800308847863
possibilidade,0.0005692865458003121
amplo,0.0005681814514276644
cozinha,0.0005671956748817393
dormitorio,0.0005488573441476366
vaga,0.0005387980205578146
ambientes,0.0005284244556848313
apartamento,0.0005069700596190534
escriturada,0.0005037593124485875
closet,0.0005036202373181522
hs,0.000503138681273938
andar,0.00048143553361344504
atendimento,0.0004755148689158798
elevador,0.0004723750474469116
todos,0.00047073372500788655
duplos,0.000461761553048
deus,0.00045919561551501333
