feature,weight,std
suites,0.4382035922698263,0.09500834473458117
suite,0.1502001125581462,0.060798916427271095
sentir,0.13173504605671557,8.879311607680953e-05
tempo,0.11404818768658853,0.0
nativa,0.10153738630445212,0.08840291396426181
master,0.09041044811750187,0.010290847916364532
02,0.07705620420600778,0.010483013043666082
serem,0.0678127648861011,0.1356255297722022
vagas,0.05791822174960417,0.010530800948246037
dependencia,0.04611917287835916,0.008093083939526064
fazem,0.03804467579350512,0.04663362354524124
sofisticacao,0.0303511097260607,0.018804887699754642
lavabo,0.027597148816335237,0.0062308789195061574
living,0.020935790297081213,0.00728081979778412
criar,0.020548674982916883,0.02536900454855714
acabamentos,0.016753315925209344,0.0029139745982751414
bela,0.01574845811419958,0.0058692115334634115
fitness,0.014301383450916805,0.0017201526248087147
amplitude,0.013943989878454289,0.004883086172971352
surpreender,0.013709687326782682,0.0
dormitorios,0.012972308541554423,0.006012948471870774
coracao,0.011640495606843682,0.007759559981692397
moinhos,0.009273384516112015,0.001582371454402572
auxiliar,0.00834667031803058,0.0016700194677850607
apartamento,0.008132984711451519,0.01152081908311799
servico,0.007673416989125714,0.004576954739917526
gerador,0.007162452572597644,0.0004008181005332825
futebol,0.00702018687906103,0.0
adulto,0.006328067601558041,0.00613679476291075
condominio,0.005845354000431513,0.0016370069503233863
especiais,0.005511410404545991,0.03545974838508292
seguranca,0.00506041058572162,0.0011462812070298883
dormitorio,0.005060101966303332,0.0010945632747248006
quadra,0.004797339267338741,0.003984309171451039
vista,0.0040642624193235385,0.0025447555291926863
cozinha,0.0038629367014657136,0.0011670648900018604
sauna,0.0034860949225801407,0.0038634201209870878
garagem,0.0031699519001216593,0.0024142897542964344
pensado,0.003136343128538277,0.0
sacada,0.0030091485494209815,0.00036522460719426377
dupla,0.002870257020507605,0.000575090992966048
empreendimento,0.002670346507942023,0.0010919130067908354
sendo,0.0026590730867456893,0.0034063720065826896
carros,0.0026337215293938286,0.0009594583444829583
novas,0.0026284413200897473,0.00525978129798772
interna,0.0026280845140475685,0.0004173656466318398
luxo,0.002614771019736839,0.0007382650096325882
cidade,0.0024313456746808846,0.0018146864105568047
imovel,0.0024251305507968723,0.0009248672221689704
playground,0.0023040641251095726,0.00057883552168395
andar,0.0022498463230377517,0.001509965877256315
americana,0.0021737093364381233,0.0003939681287988431
estar,0.0020823536635152127,0.0022137004567254794
vaga,0.00206705872843469,0.0008011216506771507
salao,0.002050717858520734,0.0010434948109874658
charmoso,0.001962696722660029,0.0023629573010085624
residenciais,0.0018629195454303415,0.0007611977408969652
arte,0.0018326413812858934,0.0036652827625717867
churrasqueira,0.0017916696167231238,0.002117530297974918
cenario,0.0017809223754163828,0.0035618447508327655
selo,0.0017690174653473,0.0
portaria,0.001738540405767841,0.0032920317107172493
inferior,0.0015677245822372176,0.0019339193038987233
infraestrutura,0.0015208333178684085,0.0036398045470388673
completa,0.0014933858375174801,0.0004963706059504622
rua,0.0014236142593387902,0.00033621689227668333
iguatemi,0.0013687100014614373,0.00025701473607312196
privativo,0.001362611690856963,2.3386854305629253e-05
banheiro,0.0013584021971633441,0.0021048875507434167
elevador,0.0012779363882174488,0.0006420020799346374
unidade,0.0012681547880883492,0.0016974218690274541
especialistas,0.0012573880204031162,0.00029485556594041645
conforto,0.0012338571758969906,0.001971447248425055
disso,0.0011880092901039418,0.0009604373769973463
visita,0.0011859622498026745,0.0008382820401357172
privativos,0.001178299008398298,0.0006943055640999225
acabamento,0.0011735571465926408,0.0005447764321348471
financiamento,0.0011546709819141299,0.0002865468876669583
01,0.0011105132242110072,0.0004059463129819452
central,0.0010780878237699465,0.0010741915960428621
deus,0.0010378514331164546,0.0005788325951483978
elevadores,0.00103588288248051,0.0008997956051893545
inovador,0.0010306469212206348,2.3672372099436957e-06
separada,0.0010146541019742106,0.00043421946156662114
jogos,0.000933929754321694,0.0005065047089476397
janela,0.0009249694876583003,0.0
churrasqueiras,0.0008721894793842111,0.000756777152892311
detalhes,0.0008519098106593459,0.0008833882864471166
junto,0.0008373317809047265,7.914817841911391e-05
serrat,0.0007799454024578489,0.000573484925558787
mobiliado,0.0007783994680314876,0.0007313525939943033
24,0.0007589628932755277,0.0003486703448095777
garagens,0.0007434867903413966,0.0003431723200273093
onibus,0.0007123094625369752,0.00014473537633709574
festas,0.0007023991969144161,0.0004644869758345315
diferenciado,0.0006952231847962454,0.0013754481589414108
coberta,0.0006835113780509827,0.0005826515437988823
escriturada,0.0006782077021832312,0.0003695582239430468
04,0.0006645971656815686,0.0
reformado,0.0006347184502104141,0.00035991334991026527
morar,0.0005714319023242265,0.0002942816113736416
vestiarios,0.000570417291006553,0.0006986224218836806
curtir,0.000570066591051499,0.00025335923686753745
lavanderia,0.0005431545253358428,0.0010257474482360546
rio,0.0005279795625557027,0.0004524318395870241
inclusive,0.0005178346356302654,0.0004556032608093112
petropolis,0.0005135722576120383,0.00040125587258957833
gourmet,0.0005064193507145597,0.0014043150225585225
box,0.0004977077507104521,0.00035776432123120044
ideal,0.0004936414247242782,0.0009872828494485563
duplo,0.0004934980393390687,0.0009867514288504076
estao,0.0004847633006079377,0.0004215726206401691
lado,0.00047866999983419144,0.0002553889042271212
closet,0.0004658442212440939,0.00044762017717677
uniritter,0.0004637959144884629,0.0002633056437816928
colocar,0.00044023365460950093,0.0008804673092190019
assis,0.0004369720057500359,0.0004116060356667321
projeto,0.0004356677210433535,0.00027357294965993384
padrao,0.0004326081673842186,0.0004934679324379755
aquecimento,0.00041779610648466913,0.00013548642012388553
localizado,0.00040761414443688524,0.0006387601166119464
clubes,0.00039959545726930834,0.0005062072172542934
parcao,0.00039705282843220945,0.00024291020368950316
localizacao,0.00039330053454829096,0.0003347928338483474
individual,0.00038888849330123156,7.971308972898327e-08
predio,0.000386601586333768,0.0007773986705381205
fim,0.00038025148703109136,0.00017630196961757906
quiosques,0.00037663837703325596,0.00036240817982379284
sol,0.0003694220728598152,6.358446047937636e-05
estacionamento,0.00036439606785898526,0.00017180527743498018
pe,0.0003599962508063825,0.000720035378358806
espacos,0.0003554198053616231,0.0002989450642886293
porto,0.0003505625496455833,0.00025396955006314086
util,0.0003493570130087997,6.206038932532465e-07
decorado,0.000348895288769846,9.187308721705458e-05
horas,0.0003486356069939189,0.0003011514122971839
minutos,0.00034367887991106907,0.00048208027530521864
copa,0.0003393170296711823,0.0002718981191102329
apartamentos,0.0003334929529231312,4.982893886396187e-05
social,0.00032681681630923886,0.0005349710714342881
supermercado,0.00032174884270890213,0.0006496621002571065
disponivel,0.0003200229571635349,0.00047835840722506526
transformados,0.00031979466423659453,0.0006395893284731891
familiar,0.00031550078580346865,0.0006310015716069374
sacadas,0.00031238472865968703,0.0
amplo,0.00030933691542609496,0.0024186456288236543
tradicional,0.00030882650551946613,0.0002531424127458178
redencao,0.00030414643115417306,0.00014216099901474274
alegre,0.0003033656285243103,0.0006675424289524781
whatsapp,0.0003016738519551865,0.0001227149988838289
superior,0.0002997212173604824,0.0005994424347209648
manha,0.0002985083750367323,0.0003823866348800563
escrituradas,0.0002972264367913979,0.00022197455723589084
novo,0.0002910495039178507,0.00019245652282079962
primeiro,0.0002901266600155994,0.0003288491862303802
fone,0.00028390846049288767,0.00013655593680622952
perene,0.00028094643463822956,2.4499976295829516e-05
distribuidos,0.00028042095726033,0.00027810169687348085
residencial,0.0002709234288622575,0.0005412961127408966
abreu,0.0002651345284469642,0.00035555434318904907
contato,0.00026176994383260156,0.00032155355772935313
parque,0.00025465542064930793,0.000527834853355661
outros,0.00025131156088944453,9.327582156516486e-05
whats,0.0002479720915370853,0.0001485898208415271
pertinho,0.0002474186209237672,0.00037273493973594813
belissimo,0.00024346334403553272,0.00014413175740375382
quiosque,0.00024236377213247007,0.00011863200163132928
casa,0.0002414080347680425,0.0003686412722587253
deposito,0.0002373107529492602,5.530433786667344e-05
elegante,0.0002288747567135596,0.00020133742412488802
jk,0.00022788763837036096,1.9843536477398265e-05
gas,0.0002200326087913096,0.00032476289478311835
fgts,0.00022002599593375915,7.198729730557438e-05
tambem,0.00020613293019422496,0.00010099402000485827
piso,0.00020343775326068237,0.0002824571296588203
janeloes,0.00020126493763190646,0.0004025298752638129
festa,0.0001928918819353198,1.568995681254747e-05
guaiba,0.00018883516443741756,0.00011408033648001578
bourbon,0.0001881211567981822,0.00045606380418211076
habitado,0.00018711319261102143,0.00016961526870296376
regiao,0.00018643055869722592,0.00011136675246064826
espetacular,0.00018317609064315564,0.00023601054111730438
otima,0.0001816128922411453,0.0004424474878455165
maiores,0.00017943825958943727,0.0001867639032227854
nobre,0.00017530864809724988,0.0001557769323429865
sul,0.00017442552583004644,2.9824773297448815e-05
costa,0.00017348466981648158,0.0003469693396329631
edificio,0.00017125084468121442,0.0002956546112730548
porcelanato,0.0001701054669860147,0.00014434915008003268
baltazar,0.00016969376890176857,7.272408619064963e-05
belo,0.00016661581787102975,8.712612039545284e-05
jardim,0.0001654805039974727,0.0006945792720280738
salas,0.00016465825679072842,0.00015031473173685107
alves,0.00016416249907740265,0.00021487446687439954
cameras,0.00016393673255132857,3.383430373184752e-05
livre,0.00016097671981956107,0.00031354974754380647
estendido,0.00015997523113131518,0.00010765379574689719
natureza,0.00015826067745339234,4.980990794369054e-05
quente,0.00015265056189088798,1.4720251984953773e-05
comodidade,0.00015052657531164915,0.00018443575728093088
ampla,0.00014629023606260727,0.0002579791999673473
mae,0.00014068152562118907,0.0
visitas,0.00013988989005211394,0.000279990978028897
ja,0.00013799538774135202,3.678582484071204e-05
ar,0.0001369493076998296,0.00015810258029619334
assembleia,0.00013647001738081865,0.0002990038379631155
forno,0.00013637339545382598,7.102381940011616e-05
impecavel,0.00013453502560762943,0.00016703954221266304
hall,0.00013284852543535842,0.00010955720990722758
gabinete,0.0001281933348083575,1.0080577017084055e-05
coworking,0.00012650660582977924,0.00011265427958448498
marque,0.000122325883790797,0.0001554542182024104
bom,0.00010590583514935581,3.9145590915883207e-05
apenas,0.00010462528772354762,0.00021751804494970405
centro,0.00010397941959281454,5.737285142012834e-05
50,0.00010327264364580202,5.9093133988729364e-05
licenciado,0.00010279854537973421,5.187983519547166e-05
cristal,0.00010238566643425707,0.00020477133286851413
gosto,9.995272631397878e-05,9.183150928783141e-05
granito,9.994040701830632e-05,6.411762763365652e-05
comercio,9.877024349973507e-05,0.0001000428199571546
torre,9.87530855645069e-05,5.446261347369161e-05
condominial,9.815485694337766e-05,8.43715304944736e-05
linda,9.336738883265472e-05,0.00010217735540623892
avenida,9.31715096157193e-05,9.682209768993733e-05
oferece,9.248532428662859e-05,6.180744389156931e-05
venha,8.856473755978201e-05,0.0001775211824700647
totalmente,8.762582429766574e-05,0.00033104098110381576
esportes,8.54777520753025e-05,0.00011455989588868007
arena,8.352482474116574e-05,5.617598832152737e-05
poucos,8.30106584036594e-05,2.6700543070102334e-05
unico,8.216093717299256e-05,0.00035107374005380554
vidros,8.10907052668508e-05,0.0
academia,7.980061324726062e-05,5.484436392515854e-05
40,7.837753313844065e-05,0.00013275843085056388
molhado,7.804153038748485e-05,0.0
pub,7.799201164992997e-05,0.0
mobiliada,7.62025735630667e-05,7.548490043774215e-05
country,7.479230863569609e-05,8.69318211757162e-05
pontos,7.367267450073545e-05,0.0002709978874893511
