feature,weight
suites,0.2308413597013034
sentir,0.16570000552276515
serem,0.06636010517128733
suite,0.05465552886763877
master,0.0380279650715336
terreno,0.023033728562867097
nativa,0.02203053203067956
revestidas,0.017714149204322065
conversar,0.01769449379090451
tempo,0.01669021265663871
lavabo,0.01584076259521662
fazem,0.01447110675657582
sofisticacao,0.013644256270296556
piscina,0.011379204247372756
amplitude,0.011250849046571369
vagas,0.01029013345967782
acabamentos,0.010225146382343007
dependencia,0.009834594513454972
sauna,0.009091601077316361
criar,0.008935972401962308
lareira,0.008164545171426823
hidro,0.007473181508754476
conforto,0.006044150601424185
especiais,0.005928371246010484
disso,0.005836076735319372
02,0.005401945069478038
cenario,0.004944866182005673
charmoso,0.004701693039762009
outra,0.0046165579834304945
luxo,0.004536573889656254
bela,0.004055428699103315
coracao,0.003991188847432527
apartamento,0.003859418230803023
alem,0.0038469455254179856
futebol,0.003816430126102584
novas,0.003613888033897846
cobertura,0.003090856615162576
04,0.003043270773547379
57,0.003017338806042682
dormitorios,0.002920940998360891
permitindo,0.002878695109748714
empregada,0.002844009227258895
servico,0.002759860233360021
vista,0.0027448466360613043
principal,0.0026479584025214087
surpreender,0.002347169402307256
espaco,0.0022886258597400954
terracos,0.002257983912715164
deposito,0.0019986926704839932
moinhos,0.0018770054636608803
amplo,0.0018489572682858896
condominio,0.0017985782497008445
garagem,0.0017563727030802715
aquecimento,0.0017475931480381416
empreendimento,0.001715777937820655
churrasqueira,0.0016055110052356888
sendo,0.001583972765007486
auxiliar,0.0015094883649839
fitness,0.001497497378511748
detalhes,0.0014290631692664719
gerador,0.0014287132311647864
infraestrutura,0.0014070128039583628
banheiro,0.001378020032209949
privativo,0.0013522010665531251
portaria,0.0012795373615698453
historia,0.0012627096643215094
dormitorio,0.0012115754136268688
lavanderia,0.0011852523301944208
estar,0.001151578639165875
selo,0.001144130753672494
cidade,0.0010013808030721496
sacada,0.0010008694086178311
salao,0.000993013541231871
finamente,0.0009708852884998073
padrao,0.0009632263018293225
gourmet,0.0009487553013555909
informacoes,0.0009474064377901255
ambientes,0.0009159325927565442
existe,0.0009109167136903835
cozinha,0.0009096896649760667
garden,0.0009020907136249822
arte,0.0008927112807782056
adulto,0.0008889813630222615
excelente,0.0008410650572732555
quadra,0.0008379324995592408
andar,0.0007987205039922104
playground,0.0007905160044239619
porteiro,0.0007836751573069406
living,0.0007571995890871842
elevador,0.0007448695932370341
frente,0.0007347826548194681
social,0.0007328945481302896
cinema,0.0007109519268285599
unidade,0.0007053308273225994
espacosos,0.0007022414719587588
inferior,0.0006993044216636765
bairro,0.0006787304991772184
privativa,0.0006725317174020006
central,0.000665810474560062
alto,0.0006651008447308927
area,0.0006516162193392739
dupla,0.0006485790174934759
deus,0.0006317985051859912
alegre,0.0006034916840140515
completa,0.0005976814194153501
vaga,0.0005895099770536192
conhecer,0.0005770957501094101
nobre,0.0005567946604444204
ventos,0.0005361500030441573
tres,0.0005281340031238015
brinquedoteca,0.000527329495809883
tendo,0.0004991461109163169
carros,0.0004899099450982021
rua,0.0004897649730220593
projeto,0.0004894295745953316
vento,0.00048235543851449865
banheiros,0.0004746303608758905
privativos,0.000474480081371212
melhor,0.00046224574893641594
residenciais,0.00045020840798845325
kids,0.0004460435907023593
sacadas,0.0004255260313465638
seguranca,0.00042316456680731074
americana,0.000420958344562142
festas,0.00040386230590479255
predial,0.0003875884108327277
predio,0.0003799101359726194
iguatemi,0.000379420973502301
essencial,0.0003773779810234533
porto,0.00037611249872344
alencar,0.00037542577414845934
bem,0.000372389711459835
proximo,0.00036871851088271447
coberta,0.00035975501329281803
janela,0.00035712113344725635
possui,0.00035220982294703406
todos,0.00034989874328966226
duplos,0.0003496539703140317
transformados,0.00034406200947021055
mobiliado,0.0003428132964388471
venha,0.00033766428574925705
gremio,0.0003365708225382478
localizacao,0.00033279723987980826
tradicional,0.00033021320639473924
closet,0.00032901179225521026
petropolis,0.0003289712489901211
dois,0.00032715488074199194
imovel,0.00032487081346899166
fone,0.0003122986122320701
separada,0.00031171784181443775
visita,0.0003094094612071505
alta,0.00030793635380644673
interna,0.000307501781706059
lazer,0.0003066404862312243
blindada,0.00030657999172597914
pe,0.0003039026959251757
supermercado,0.00030090380526639213
disponivel,0.00030048477192995215
garagens,0.0002991907815219657
decorado,0.00029289976451876226
sala,0.00029011031153225767
magnifico,0.00028957306474918144
madeira,0.0002842794327408609
panoramica,0.0002807798053998703
financiamento,0.00027936684763566415
whatsapp,0.0002755018065705179
escriturada,0.0002716329719981219
colocar,0.00026952138811608755
localizado,0.0002677982201163693
shopping,0.00026697241848713105
estilo,0.0002637080520128517
elevadores,0.0002550382567913017
03,0.00025257899737655357
tv,0.00025122833019295055
cyrela,0.00024808942739673633
clubes,0.0002455033170558465
pensado,0.00024144508450926196
parque,0.00023929367304636117
copa,0.00023815999627388936
hs,0.00023689108798080277
parcao,0.0002355884764417967
superior,0.00023547175763530907
piso,0.0002315565788661845
acabamento,0.00022739701377111481
solar,0.00022671074197205018
gas,0.00022155137300674616
encante,0.0002192561927201229
distribuidos,0.00021720347781518874
jardim,0.00021580824169778492
01,0.00021531913555966034
jantar,0.00021458429131425343
serrat,0.00021422351183647298
agora,0.00021401990594260031
fachada,0.00021142576591573248
box,0.0002107871897202822
habitado,0.00020537446455320794
montada,0.00020335849058082168
onibus,0.00020300963928328983
inovador,0.0001981501150449121
vestiarios,0.00019291435783991677
casa,0.0001928410964101019
familiar,0.00019269129689854057
hall,0.00019254010368477574
24,0.00019136265759629593
zona,0.00019106383638596583
tela,0.00018959325473179615
facil,0.00018830332143624615
vasco,0.00018600761093823392
natureza,0.00018539047222484423
tambem,0.00018388946480866526
infantil,0.00018063718217214736
bourbon,0.00017947604118392978
intima,0.0001761840353182352
tarde,0.0001761289115531972
duplex,0.00017384107436754561
linda,0.00017145703922969043
todo,0.00017118400324828273
uniritter,0.00016914436802375698
otima,0.00016905517090114703
churrasqueiras,0.00016779029584148772
clube,0.00016514531273118975
lado,0.00016416129452979927
conta,0.00016234316362677393
poder,0.00016111227179607418
corretor,0.0001609057951920665
livre,0.00015852244462569634
pontos,0.00015838224051025208
cristal,0.00015768571070030443
moderna,0.000155394374458151
inteiro,0.00015450318357587326
200,0.00015153647920948456
guaiba,0.0001508373907461811
fim,0.00014872064006454718
intimo,0.00014822584594086256
apartamentos,0.00014815311102014603
duas,0.00014778331089125967
equipado,0.00014588905503669424
escrituradas,0.0001457707684180753
costa,0.00014563913543566123
horas,0.00014343382709461797
integrada,0.00014312463184597166
