feature,weight,std
suites,0.3078872600854923,0.03321055355247273
sentir,0.13796492383961032,0.003339896647476479
suite,0.05851568741990443,0.003940845030711371
vagas,0.05499996977692241,0.003369617379634756
master,0.051746699825332886,0.0023433910540351967
lavabo,0.026719071668893445,0.0032575798844684304
lareira,0.020186626252123595,0.002247309819395344
unico,0.019157856274751216,0.00011387575581955092
dependencia,0.01808309298233619,0.0024263328755640997
tranquilo,0.014811773847200227,0.013312298286169274
lajes,0.014465218548385405,0.0023463945369253873
piscina,0.009904253718873424,0.001833328253020661
sofisticacao,0.00741721843227614,0.004302274857663236
solucoes,0.006768598961200545,0.00469573438443307
futebol,0.006049604271832121,7.370407494356248e-05
significa,0.005694805839224215,0.001794947106651671
dormitorios,0.005672834018951201,0.0003830749840515211
conversar,0.005661597435257404,0.0073670209024558975
200,0.005372955184868866,0.01087895941360821
auxiliar,0.004990353865993558,0.0002304847026218435
garden,0.004787725974868873,0.0040418020000735294
empregada,0.0044826554495880355,0.0018488044062939667
nobres,0.0038962571081466945,0.000712295962088975
fitness,0.003810147056055313,0.0009222926007985388
02,0.003583931241288818,0.0013755230571598255
sendo,0.0033060366960781405,0.0006567848948936167
disposicao,0.0032671858347980143,0.0018315987585213922
memorial,0.003206924520199239,0.00026012826426607526
dormitorio,0.003045812734259146,0.0001917356794019331
sacada,0.002796477964641242,0.0005144678130919245
sauna,0.002625872104327742,0.00039621148512435024
bela,0.002498959520027588,0.0006311802593020097
padrao,0.0022339524160639446,0.00022236524302057684
mata,0.002231028488687192,0.003083620669638527
empreendimento,0.0022100218060879806,0.001093650703729472
elegancia,0.002170310125103625,0.00043410412536226743
moinhos,0.0020012382355115267,0.0002995103959969644
closet,0.0020007419174031594,0.0001460948927167964
luxuoso,0.001993283807947455,0.0006885141446952321
completa,0.0019608839879099228,0.00020436696652938242
churrasqueira,0.0017571545636125396,0.0006286119885100895
carros,0.0017108679573440756,0.00017591677192913273
condominio,0.0016510758024671501,0.00031406402531296854
vaga,0.0016479456410832594,0.0006054296060006117
vista,0.0015910266104025793,0.000317574344575958
playground,0.0015536849643727369,0.0002208889501221841
gerador,0.0015355828777331658,0.00020936403475892916
vento,0.0013994008995528607,0.0001326339140043382
24,0.0012649277875186327,0.0002985738551606604
acabamentos,0.0012501598478043218,0.0001949628094727885
cozinha,0.0012437867384023527,0.00030977172413852266
unica,0.0010892641511714095,6.623763758587621e-05
oferecer,0.0010643892745265005,6.2507576445621e-05
shopping,0.0010636177811806258,0.0004409048337188748
spa,0.0010388699318989668,0.00011864837433896603
raridade,0.0009914279433365092,5.360779479041992e-06
coberturas,0.0009814691234758754,0.00013235165338461205
portaria,0.0009608385252055207,0.0005333192838398252
kids,0.0009597458984982321,4.013049018868626e-05
amplitude,0.0009564625874019184,0.000584362977687727
totalmente,0.0008972831859207053,0.0006602778198831454
disso,0.0008608151899547334,0.0008870416585379726
serem,0.0008189287274020796,0.0016376981263654944
dupla,0.0008129141841353826,0.00014020967377671327
57,0.0008013083466224868,0.0016066048155713565
salas,0.000795368270242025,0.00010065175995839147
banheiro,0.0007935512756306107,0.0003625391880836137
encol,0.0007845459265342525,0.00012826854558140616
nativa,0.000746257808854045,0.0009099550587418184
banheiros,0.0007206443000117302,0.00018453155919399359
mts,0.0007182352155509442,2.158159250102651e-05
escriturada,0.0007147486318842322,0.00012168244012694757
moderna,0.0006820012016179877,0.0004942794247103424
germania,0.0006680314150689038,0.00010223178780085574
excepcional,0.0006429136092484633,0.0001076452472820392
gabinete,0.0006411611255644267,8.014701014409812e-05
decorado,0.0006248115843484392,0.0001880034322675915
requinte,0.0006127764574989092,0.00019353575820943517
tenis,0.0005985886207220181,6.291253549675009e-05
vidro,0.0005901372143228834,6.309663215902845e-05
garagens,0.0005726470022521024,0.0001939318768956051
tudo,0.000523213832459235,6.124491128797482e-05
privacidade,0.0005145632473334327,0.00018650955118539085
aberta,0.0005109585571012598,0.0007277099150830712
ambientes,0.0005108037058691783,0.00022874655273126258
integrada,0.000508418358001217,0.000816175733112205
falar,0.0004930255929938455,0.000986051185987691
saibro,0.00047881432502367983,7.216227910127852e-05
quadra,0.00047488803434387884,0.0009557150938064649
incrivel,0.0004643769628569272,1.5415882073920772e-05
estar,0.0004630428993287472,0.0003838622904571076
infraestrutura,0.0004431712478867755,8.812343281614254e-05
projeto,0.0004227754498451697,5.899930810069336e-05
05,0.00041819544886683157,3.39930483682421e-05
quadrados,0.00038597025483562143,9.444002245675542e-05
uniao,0.00037421029686173223,0.0003750395259890821
03,0.00036994672624051094,0.00023505362095485173
reserva,0.00036645427958912344,1.3748677764594701e-05
living,0.0003362674869841875,0.0001520184424149895
deck,0.0003167298157418674,0.00010803747979637929
cenario,0.00031570403364635793,0.0005231847717085628
vida,0.00031084134173116064,3.840704016074212e-05
jogos,0.0003046368037353364,0.00011290787468313428
impar,0.0003012728127651743,3.278841391981963e-05
amplo,0.00030058757915887304,0.0003508059589545201
avenidas,0.0002954410056188461,3.943578654439334e-06
parcao,0.00029152182055858233,4.4248655789605515e-05
lugar,0.0002873489650615735,0.0003336071382964831
melhor,0.0002786349778988173,6.294433331417579e-05
privativos,0.0002757568859844461,0.00010062545067981441
adulto,0.00027290465201532663,0.00042676924098324217
estacionamento,0.0002724971647380281,8.430853195689487e-05
auxiliadora,0.000269866729176127,0.00018458518952615984
outra,0.0002693249871212666,5.40031940322559e-05
festas,0.0002675763174845969,0.00031778681397808754
servico,0.00026359435677807407,3.538178831433029e-05
clube,0.00026257715073458866,4.016475345493251e-05
vidros,0.00025861496710302136,3.533761399024811e-05
flutuante,0.00025497169012260733,1.2177474343208003e-06
europa,0.0002491318079094862,2.3183638550439048e-05
comerciais,0.00024435274089156244,0.00034377568451199965
38,0.00024327603462064306,6.329960431207184e-05
altos,0.00024026024086332143,4.029108445226859e-05
esportes,0.00023883315180828202,0.00011894685654107713
cm,0.00023765972824723035,0.0004264411229058851
hs,0.00023763756436847582,0.00011418948918657252
sala,0.0002298775216463378,0.00023037444615738815
copa,0.00022731893360186106,7.654907347710836e-05
historia,0.00022703925966995885,4.848802000418514e-08
elevador,0.0002256774902676284,0.0001531135322442808
curtir,0.00022296124636422832,3.4238325844489736e-05
01,0.0002209413160474183,4.525990304518419e-05
seguranca,0.0002173684227752437,0.00012531909000701344
aquecimento,0.00021555240209898409,7.667389124454763e-05
praca,0.0002112653794481334,0.00012450856902832035
sacadao,0.00020454103271487777,9.583043086982595e-06
apartamentos,0.0002035283059434345,2.5069284645941468e-05
exclusividade,0.00020336889225049947,0.00036918784392165493
energia,0.0001989908464467449,1.5030234788389697e-05
sao,0.00019851899035328024,0.0010826490544115083
blindada,0.00019625788316548486,1.2961478675198908e-05
financiamento,0.00019608644081510197,0.000105807039734382
excelente,0.0001942099936093955,0.00011042605582368816
direto,0.0001940090377418713,4.146224939194668e-06
56,0.00019188260589488859,0.0005158442072214429
separada,0.00018398740504614873,0.00037536035630900854
quarto,0.00017026842248573092,0.0003225343988515328
privativo,0.000169811125689856,6.51139960447656e-05
jk,0.00016944399195093496,9.26124793199649e-06
rio,0.00016733859316753197,6.682577254013498e-05
ultimo,0.00016628235588622697,8.951225809941429e-06
viver,0.0001648736726012734,1.557231484875593e-05
bairros,0.00016390250075293267,0.0001768333063585324
criar,0.0001632906168095749,0.0003771516956854783
exclusiva,0.00016082271392954263,7.899298489808699e-05
detalhes,0.0001578830100561035,3.260023597465708e-05
acesso,0.00015629023981100776,0.00025955643365624024
principal,0.00015614829848440426,0.00019836223980685094
bourbon,0.00015558163729323393,6.581120761287586e-05
onibus,0.00015517412226597748,3.179829249170824e-05
loft,0.00015428080994541737,1.553458481837304e-05
25,0.00014879788475858914,3.572386478847267e-06
churrasqueiras,0.0001476967894971315,0.00011052152495785492
ter,0.0001454575995812002,1.2098248904639368e-05
escrituradas,0.00014453504320273148,0.00013242105814879803
deste,0.0001427237889171984,0.0002528802371721039
otimo,0.00013982216367973698,0.0001671224397395759
