feature,weight,std
suites,0.15891620069016935,0.07407364129966072
sentir,0.15087137219443264,0.009480986042286267
master,0.05677801425071776,0.04533300627993955
vagas,0.048138247242224735,0.04079513205248592
serem,0.030746587677065815,0.0355471099459975
lavabo,0.02950104945012701,0.028979369276385877
suite,0.02885709404833153,0.011713230564642794
unico,0.021926098277571117,0.021310975200156512
especialistas,0.018111920454141395,0.02535226100270385
lareira,0.015277565552805858,0.01698296666866997
tranquilo,0.012639624340615182,0.02609452773040201
sofisticacao,0.01220383477122399,0.007495854896239402
fachadas,0.011785449584571265,0.00744181773933161
empreendimento,0.011087732843230497,0.016934089944706174
dependencia,0.009573189394292492,0.006947411119146652
200,0.009343668562617168,0.011202729670589483
conversar,0.009124105591582592,0.007402433837526582
lajes,0.009007631557124942,0.005301062756838216
necessarios,0.008259306416735742,0.011012080804496907
piscina,0.007745431509664069,0.007544619973789867
bela,0.007336227509984379,0.008865087637604767
bosque,0.006448078459032221,0.015932560849252198
sendo,0.006103933352570881,0.0078849012600259
luxo,0.005961131525274174,0.013943772237841259
memorial,0.004640278291338402,0.004358736100601124
dormitorios,0.0038006701578501855,0.005186039944810053
mata,0.0036918472827669846,0.008170721981240539
exclusividade,0.0035788652542002933,0.0032178459859205756
empregada,0.00332890846106227,0.0027919101324066988
nobres,0.003283948531988568,0.0038994144351425343
acabamentos,0.003068894148485534,0.0046290015636611575
nativa,0.0030485854673732962,0.007566550496235159
alto,0.0028185478452344933,0.005841905470564235
sauna,0.0027605354537930935,0.0015917607262484852
padrao,0.0027208384580773826,0.008193981184716728
privacidade,0.002462741130477736,0.006245450748438649
20,0.0023966118465026933,0.006567982420773919
sacada,0.002358678590832494,0.0027410696428568906
solucoes,0.002316714899501763,0.0022001421466875167
fitness,0.0022706474384003553,0.0021875115727403504
amplitude,0.002266983272501279,0.004316525001626212
coberturas,0.0022584923205308883,0.0048495436103391165
tipo,0.0022492368412823046,0.0014404664139801005
casa,0.002142884207746126,0.0015567078550304345
disso,0.0021040290366891915,0.0025271000052180283
05,0.0021031284300571888,0.0016685825295043003
hidro,0.002089725286599466,0.002896362293014181
revestidas,0.0020689202331271492,0.004186541574262092
gerador,0.0020595125786604,0.0032739354606648977
57,0.0020450471265318387,0.001179574191928949
garagem,0.0019927701448906117,0.00305995869669179
auxiliar,0.0019787460804750606,0.0005651806776127156
falar,0.0019719209032391235,0.003085285734229737
belissimo,0.0018588773395485116,0.0024696700711801752
jantar,0.001855599564955795,0.002294293524385525
verde,0.001834296999290268,0.005846169845774072
spa,0.0017714232472581918,0.002661329693403071
sao,0.0016918057558834717,0.004011752742532008
vista,0.0016231318042907758,0.0016001372113051552
lugar,0.0015978689313773584,0.0014220030754108382
futebol,0.0015880270398556636,0.0019237089424773248
sala,0.0015846980578718966,0.00234841095805738
guarita,0.0015770302916005496,0.003552460231519447
condominio,0.001556806464211581,0.0019776149685852133
privativos,0.0015456039038534307,0.0023907517439811163
projeto,0.0015374934876821737,0.004496278259307059
19,0.0014915424952113843,0.0031085140770632505
uniao,0.0014749039780611838,0.006919603633112242
tempo,0.0014735985920667067,0.007153116176634858
completa,0.0014226253637844573,0.00132327765830773
luxuoso,0.0013703795063738488,0.0015230351361671716
02,0.0013388412405791934,0.0018865932847020122
kids,0.0013376897394767303,0.0021037964352658965
significa,0.0013344071091560307,0.0018421141316263346
encantador,0.0013343698333665665,0.009315938515946112
cenario,0.0013329748943641502,0.001773612235076763
fazem,0.001325880028034853,0.004267161427100407
churrasqueira,0.001324437218155782,0.00095535172101594
charmoso,0.0012906013433025684,0.0021508537016014127
garden,0.0012718138332611453,0.00044107304951394275
espaco,0.0012395730467958585,0.0019694739545722166
visitantes,0.0012277042280287964,0.002619910464926466
saibro,0.0012247877871385514,0.003601875692071468
deposito,0.0012180706222293081,0.0017258079498816321
detalhes,0.0012174177628793527,0.004819288290856504
centers,0.001183070078473439,0.0051632596501186975
