feature,weight,std
suites,0.29486671927467256,0.0338257516666303
sentir,0.11987666874927842,0.0007610072054638283
suite,0.06805095771312704,0.007606787097367774
master,0.04535211999292397,0.0010603972870697137
vagas,0.04390798626087635,0.003845433217623885
lavabo,0.023822666978429764,0.0031510075416333943
lareira,0.021117747906860895,0.0016602205338162156
tranquilo,0.015220220191961342,0.013316949045791037
dependencia,0.014298454013926931,0.0010710336473751087
unico,0.01155100785296168,0.0002589853444095026
dormitorios,0.00925621355683639,0.0007950553482883384
piscina,0.007731451942637335,0.0008376391060874633
lajes,0.006758884139109323,0.0021727675973083256
empregada,0.006615052333963445,0.001882793075647385
elementos,0.005531331795628458,0.002985629791323937
bela,0.004963255851371806,0.002860214465313904
significa,0.004365579662090236,0.0009834735500593458
estar,0.004270757619841747,0.0017091516604318317
sauna,0.004180094429108205,0.00042485421356812527
auxiliar,0.004020535345520248,0.0002159803630454442
sofisticacao,0.003669333374157735,0.001460537682273549
futebol,0.0033467967401540344,4.9860161741847936e-05
closet,0.0032328868537407464,0.00011407742507208265
memorial,0.0032128987976275613,0.0002758944677085369
fitness,0.0029613801163383526,0.0008314360888293017
conversar,0.0028312995792798114,0.002867539556586021
200,0.002766133199233334,0.005615843802809369
empreendimento,0.002651294426390072,0.0005272105984541172
condominio,0.0026173766859767466,0.0004985787134903413
mata,0.002576851696352711,0.0029133168802444446
criar,0.0023257249640856736,0.008184667911115983
padrao,0.002251286052253576,0.0003727675578630782
sendo,0.0022124349359182284,0.0007172124811534885
nativa,0.0020256377817075453,0.002334589596954515
dormitorio,0.0020219605921144358,0.0001308216594996099
shopping,0.0020102752710607465,0.001545704047140996
churrasqueira,0.001793478774008439,0.000551741023449312
vista,0.0016754023851934142,0.00012041974059707259
vaga,0.001499677059099902,0.0003743037972960122
02,0.0014989862874588366,0.0004974377780768554
vento,0.0014874018541200852,0.0002024170072671211
moinhos,0.0014435404189132583,0.0001784094520070801
gerador,0.0013429609607745973,0.00022983145806417638
portaria,0.00122437708932297,0.0002644422178022956
dois,0.0012228094890293973,0.00020319250801809245
sacada,0.0012081636747526049,0.0004144670529840114
24,0.001146783144631769,0.00024764828972061436
inspirado,0.0010219048442429602,0.0003993333543871881
oferecer,0.0010085420351234609,4.3944996119211054e-05
quadra,0.0010033102986068743,0.0007933627790072739
playground,0.0009878244133529,0.0001826143866768396
disposicao,0.000986760457811875,0.0006871429395458373
carros,0.0009606394643371319,0.00013145952075449462
nobres,0.0008962672034630081,0.0001129476575790112
disso,0.0008708221042643905,0.00046005943866597103
completa,0.0008674140166634814,0.0002567971351137877
gabinete,0.0008436398341735262,0.00017972620409539584
elegancia,0.0008062429766205303,0.00015548882673222403
guarita,0.0007931083132444617,4.7241405328324944e-05
escriturada,0.0007532496055681515,0.0002491967345626898
visitantes,0.0007208006226176123,0.00013413474859021274
05,0.000714732841661836,1.3351683809833642e-05
salas,0.0007098504997397282,0.00019179828892969093
banheiros,0.0006911668173965602,0.00012820241394727506
seguranca,0.000681764914500782,5.786995807064789e-05
copa,0.0006755857417430234,0.00012419913900004769
decorado,0.0006553869591845896,0.00010520669562618625
mts,0.000652139097992177,2.8159377061366057e-05
parcao,0.0006406216055312664,4.692767977695419e-05
integrada,0.000618327200842983,0.0010680538173921514
dupla,0.000617774156355777,0.00010960618655899263
cozinha,0.0005948278521757944,3.897707097939271e-05
solucoes,0.0005740178771330706,0.0005176186441079507
amplo,0.0005664784791600486,0.00022430155478410604
spa,0.0005497675590159234,0.000274668208829217
saibro,0.0005459348271924291,8.937236869208889e-05
sala,0.0005372217157278092,0.00028037215067972725
falar,0.0005324845852606064,0.0010649691705212128
garagens,0.0005323997189480955,0.000109542331659407
amplitude,0.0005088807658003791,0.00021817909086577997
coberturas,0.000504131700538224,7.772293400015085e-05
elevador,0.0005026647938753514,0.0001711528758821031
garagem,0.0004972111912342258,0.00031653538823432897
raridade,0.0004891051220551779,6.661329908867123e-07
germania,0.0004890161002479188,5.6528188130260175e-05
25,0.00047880666509421134,3.6589913054652516e-06
verdadeiro,0.0004744607327823447,0.0
espaco,0.00047122038002338494,0.0001903944873032439
parques,0.0004463526014379271,9.837763513683638e-05
moderna,0.00043582266266923854,0.00038726024358969106
incrivel,0.00043154305442614225,3.0428063733691258e-05
festas,0.0004176414567802711,9.374773169904267e-05
melhor,0.0004152521380054841,3.503027490534536e-05
03,0.0004145311136694474,3.157399102663919e-05
acabamentos,0.0004127819895294538,7.389253578050461e-05
bem,0.00040867926606362736,0.00015909167962332348
hidromassagem,0.00040702518530197904,1.6814635936590028e-05
luxuoso,0.0003993769486871024,0.0002806753250402204
banheiro,0.00039539471804379557,0.0003379379921990072
massagem,0.00039215208184173456,7.683254703863371e-05
deposito,0.00037482384842566494,0.00011544581161105307
tipo,0.0003721271841236051,0.00011116307481763308
cenario,0.0003700272450977593,0.0005014733736489563
clube,0.0003634878650745632,4.337223230393525e-05
hall,0.00034472979282316183,5.085866389547629e-05
entrada,0.00032989315957678846,3.687737138428548e-05
adulto,0.00032791627731549867,0.00035283231689976107
espacos,0.0003276095942513102,0.00015206568635045965
privativo,0.0003157210130339427,0.00020829232671059733
aberta,0.00031210041823499514,0.00028014109455671416
tudo,0.0003091782628776629,8.815202299400315e-05
historia,0.00030730972107115837,2.479905297977257e-06
encol,0.00030496594654267907,7.383426582658641e-05
vidros,0.0003035807938414514,1.5424272927772098e-05
elevadores,0.0002881010411056595,5.6146561359701244e-05
excepcional,0.00028706296391609596,4.667076781279952e-05
privativos,0.0002839386547618172,0.0002149395093707562
kids,0.00028111638352621424,4.315767151813298e-05
coberta,0.0002799936998559849,8.185296925616311e-05
panoramica,0.00027840989741840795,4.852607271697124e-05
tradicional,0.0002781558051861754,7.214140225077009e-05
quadrados,0.00027755017151878116,0.00013383443103371696
estacionamento,0.00027560735816358763,0.00010540155600149828
separada,0.0002683589656555352,0.00011739996880613225
varanda,0.0002598425787316616,1.6566393394442104e-05
lounge,0.0002557511334070783,4.5988785874434146e-05
bairro,0.00025471673260537566,0.00017539631618098425
concebido,0.0002529260948102463,0.0007284733595615123
sacadao,0.0002495567522752706,8.08179764581507e-05
141,0.0002464531738555875,4.336042323444495e-06
by,0.0002374314146347256,6.72880482177618e-06
vida,0.00023620708354656905,3.2018569935824606e-05
rua,0.00023338280457634307,5.01189689894787e-05
visita,0.0002310886627069131,0.00011810506397013489
churrasqueiras,0.0002227645221857699,9.097245310542191e-05
serem,0.00022100840711249958,0.0004421689356229219
vai,0.0002200187878163007,1.887740590300961e-05
privacidade,0.00021917804316236024,0.0002386284976911861
terraco,0.00021409456593359799,5.183046988848325e-05
belissimo,0.0002131529248693642,0.0005259301833545769
charmoso,0.00020870283485665552,0.0011227309315441293
onibus,0.00020801655560067633,3.760368483373326e-05
terreno,0.00020748883794432515,7.69691558975412e-05
ambientes,0.00020390667955372255,0.00017122523281482574
sociais,0.00020374074165290245,3.671054242461652e-05
natureza,0.00019894871880525854,2.17564163196144e-05
ter,0.00019177228846991578,1.1924743708562709e-05
aquecida,0.0001865881500734412,4.631622729244165e-05
park,0.00018639235800308463,1.594882124928575e-05
cyrela,0.00018221867918239988,5.03885915388231e-06
excelente,0.0001808655401419834,4.731031978819209e-05
urbana,0.0001803360723898084,1.1628590022487715e-05
linda,0.00017772566113203326,2.904340382222923e-05
vao,0.00017730226785936943,0.0002528913166555327
gas,0.00017314025693651036,7.9122817812151e-05
aquecimento,0.00017228217075424546,2.6229034489201302e-05
outra,0.0001651270070774702,1.7236198338890876e-05
73,0.0001627495063343032,0.0003265873130650956
apartamentos,0.0001621902851747903,4.539558026802191e-05
principal,0.0001611182868374472,0.00010267992558015661
reserva,0.00016082535120101049,3.334170899371713e-08
comecar,0.00015815878866949352,8.283249779352846e-06
ultimo,0.00015259412206760636,9.092610715375498e-06
apartamento,0.00015121778975497603,0.00011035396337967491
unica,0.00014900185940092125,6.594368125576868e-05
novo,0.0001483056003710237,5.4431718681831455e-05
possibilidade,0.0001467102740293491,7.87986204216021e-05
internos,0.0001459177322794991,8.731598481479137e-06
360,0.00014529688575546374,4.74705449438062e-07
alegre,0.0001370564081840886,4.036917727338468e-05
raia,0.00013669271314105115,0.00011069260123818027
exclusiva,0.00013484637819694,5.1095010545069366e-05
central,0.00013048634014038995,5.780666329992257e-05
projeto,0.00013047108625985349,6.628484337019687e-05
colegio,0.00012854501762116222,4.387132758830096e-05
entradas,0.00012831176934020584,0.00018549968689672051
financiamento,0.00012830012348474806,6.408292824710014e-05
56,0.0001273832488590143,0.00036323053049852415
conforto,0.0001238220403242396,8.416311560951725e-05
gardens,0.00012370643111281332,5.992109924755346e-05
plantas,0.00012334756349836607,2.7102067280014942e-05
jogos,0.00012062294135526397,2.53281045026613e-05
petropolis,0.00012062280614342225,8.818744486363469e-05
praca,0.00011804476739842861,0.00012631433507371775
altos,0.00011756021308073628,6.214367070278392e-05
junto,0.00011723127468128424,5.891937674147478e-05
nobre,0.00011722250955101821,8.752377265003148e-05
pele,0.00011656004329578807,1.253303813197431e-06
casas,0.0001161102916163781,1.0260687518570678e-05
onde,0.00011549766401079964,4.589781336131624e-05
flutuante,0.00011540978600639295,2.6386013968723012e-06
moradia,0.0001153906795069215,2.005926993836714e-06
energia,0.00011326636411845836,4.0691732165896305e-05
04,0.00011033982977828316,3.968957009017558e-05
festa,0.0001100719591368593,8.575219311183557e-05
clubes,0.00010813431365017668,9.191484867396386e-05
90,0.00010341748988453858,1.4454048757133306e-05
europa,0.00010327319787812872,1.9089535271920195e-05
distribuidos,0.00010012766057576616,9.782069617838432e-05
apenas,9.977597713981546e-05,4.806557849290275e-05
jk,9.695371091957838e-05,5.6751594145096965e-05
uniao,9.62906517898654e-05,0.0001136381778570845
usina,9.55018516484607e-05,4.3110027779468915e-06
av,9.532198649206958e-05,4.092011349546532e-05
teatro,9.460581874474184e-05,1.570859951679634e-05
bicicletario,9.407320716883216e-05,2.587462287838638e-05
living,9.373918747448417e-05,4.979933568591846e-05
redencao,9.290101190895239e-05,4.222000540923944e-05
tv,9.280515857028604e-05,3.3598950543167424e-05
banheira,9.256765126737232e-05,9.706183957008537e-05
amplos,9.21497734009069e-05,6.817034642365854e-05
totalmente,9.201660606461548e-05,3.1778798561708485e-05
38,9.197309782575936e-05,2.9954612960334655e-05
branco,9.131854358670476e-05,1.4638134716467675e-05
granito,9.102438563579618e-05,4.240614954127373e-05
materiais,9.064254069608424e-05,0.0001220651925165708
alem,8.813209784037656e-05,3.675050838175619e-05
curtir,8.79576425671047e-05,2.1102364316210746e-05
pvc,8.789328521647821e-05,2.0874439375098798e-05
qualidade,8.656036125092026e-05,3.317461855517218e-05
disponivel,8.584597631284829e-05,6.050528282653161e-05
montada,8.487108697081691e-05,7.40146098196e-05
reversao,8.400685840797007e-05,7.646272851057211e-05
grandes,8.313571460836223e-05,1.9586236428841676e-05
rio,8.002306918220015e-05,0.00010197380370923964
diferenciado,7.98808941771867e-05,4.528021540559196e-05
composto,7.76915550783519e-05,5.037168814248746e-05
iluminacao,7.76713846220467e-05,5.418136777912124e-05
construcao,7.756901479256672e-05,4.7836519710058464e-05
acabamento,7.697487190481134e-05,0.00010015973880915391
cabral,7.517624254163024e-05,7.251256058129796e-07
mont,7.513111850288023e-05,6.017472752605715e-05
horizontal,7.409615037656803e-05,0.0
conta,7.407434235002785e-05,2.3986842131375407e-05
empregados,7.299551892245849e-05,0.00010433552821143447
maravilhoso,7.293600758053742e-05,1.0153627412819831e-05
amplas,7.136521293482634e-05,2.4472953324980286e-05
500,7.099971687716256e-05,2.6989869588442435e-06
arquitetura,7.056091996959779e-05,4.166478875934777e-06
reformado,7.006310235815327e-05,6.449845538610356e-05
whatsapp,6.911784873080418e-05,9.309340685737529e-05
proporciona,6.837243406845328e-05,1.4626901635123493e-06
surpreender,6.824023695402026e-05,5.49986331451365e-06
solar,6.768569831669958e-05,2.60691174096705e-05
