feature,weight,std
suites,0.16319375837797684,0.07052369063251676
sentir,0.13934381645354715,0.0403341238698075
master,0.04511698292699333,0.03857192416264084
vagas,0.04409327415362304,0.0419876278384048
suite,0.028742165691839138,0.012271050603577556
lavabo,0.023821763814528142,0.02569079364831918
lareira,0.020730244511110274,0.02328531341279953
serem,0.01964174089644533,0.03013243528893304
unico,0.01794249388813627,0.020057229233475256
lajes,0.015158431910308951,0.01130695531162684
tranquilo,0.014601727929089123,0.02749869096733332
sofisticacao,0.010408830906357998,0.007709594143527205
empreendimento,0.00972510109100029,0.016996268698783124
fachadas,0.00892452179426043,0.009533237127193249
dependencia,0.008880006632869735,0.006748139043987716
sendo,0.008225434807717764,0.01004468201434215
especialistas,0.007526862651512426,0.014646668648861274
piscina,0.007390099671328723,0.008050014715886988
conversar,0.007238093755167703,0.007952735857146733
200,0.006864442458649442,0.010429296423170168
bela,0.006741242222053444,0.008815612062673164
dormitorios,0.0062429180667018394,0.009713833325377497
elegancia,0.006239755675330901,0.02247539149401797
necessarios,0.005786614076248908,0.010023896242637099
padrao,0.00559744935275142,0.012127479225075363
criar,0.005292945979889951,0.00432469866619931
memorial,0.005108765313590693,0.00431384234027334
nativa,0.00470814376757727,0.008794787343336443
tempo,0.004561997385401034,0.01550048815384611
empregada,0.004243177717451316,0.004410824757090294
revestidas,0.003828882615953284,0.006886437925280921
mata,0.0038028722679782825,0.008155982075055267
uniao,0.0033017875823782273,0.013847155913668816
deposito,0.003113801535775963,0.010723262709744054
tipo,0.0030493060074120977,0.0016059120721765162
onde,0.0029830252162492007,0.013111021410051441
sauna,0.0029622917577006385,0.0027245600920525388
bosque,0.0028403093628172477,0.012365950147227184
vao,0.00280532529786247,0.007567970982295596
57,0.002804021976953482,0.0007260178847859923
cadastre,0.002682205804456685,0.00552354155081411
spa,0.002452558605228086,0.0027550596562118178
luxo,0.002374992834777617,0.004244404596804479
exclusividade,0.002311418827194629,0.002393278927798829
fitness,0.002306827547040614,0.0022648320799112344
gerador,0.0022217849212213337,0.002939197039365372
nautico,0.002178459980747206,0.011956351515311067
gremio,0.002173059414954382,0.01181953333554563
distribuido,0.0021250442953630842,0.011920086778347357
disso,0.0021102877317776404,0.002557064499615576
belissimo,0.002105017599286902,0.002465673272173931
maior,0.002102321398764042,0.006634741437525659
hidro,0.0020861237385636612,0.003107540930705569
preco,0.0020856182760942226,0.011845395609863585
