feature,weight,std
suites,0.5536262797260179,0.21230844718276676
sentir,0.23069723899627287,0.014434390465425754
suite,0.1843180920711212,0.05450172871771123
tranquilo,0.11688198437478776,0.08089778373096461
lajes,0.09367427432859343,0.10145919358538039
master,0.04540070246935819,0.004093809102079828
lareira,0.037319801048042535,0.0045403742812083585
vagas,0.03646475790281034,0.005918641792422252
02,0.0331211770892403,0.015817903104149107
dependencia,0.031084722364769758,0.0016932434973313017
dormitorios,0.02997367946164973,0.006333858127620827
nativa,0.02874977013717419,0.024146370543140852
sofisticacao,0.027602065364090645,0.011686075520416344
lavabo,0.026431962400790533,0.005303739769342714
nobres,0.02203137075523076,0.0031631562174223382
amplitude,0.02012243097406059,0.006720461312207491
kids,0.01834291107920729,4.47266894351562e-05
serem,0.016915278433090486,0.03383033078479574
empregada,0.016020241127067836,0.008706459508361434
piscina,0.01324920761484063,0.0014852074926592804
acabamentos,0.012860329258448688,0.0015989106578337704
espaco,0.012677782682481143,0.004364925356901138
mata,0.011883280052217149,0.02942032238793303
bela,0.011535561785295734,0.0013307846991414505
moinhos,0.011272419235804354,0.0011377134413901899
auxiliar,0.011116012302209132,0.0025337076023691984
dormitorio,0.008285579114200758,0.0009681588093624042
sacada,0.007953973071280096,0.00204911173335923
churrasqueira,0.00748093122952449,0.0018038322100884425
conversar,0.007278359936294399,0.008613472089277412
vista,0.0071322298974640045,0.0035158087495144427
gerador,0.0070869484856629136,0.0009402844812676524
quadra,0.00693165530545301,0.004334978667480396
luxuoso,0.006144960960568357,0.0014537128117544896
playground,0.0059447339499403284,0.0009596839230091169
garden,0.005929864866761725,0.0036592291634343996
apartamento,0.005569621820866488,0.0009270770983829852
agua,0.005550624957574346,0.002626477711318636
200,0.005118161115591513,0.010241848813976778
fitness,0.005069194660520448,0.0014135896558349198
disposicao,0.004826139171036891,0.0035278299195909734
vaga,0.004724014758569273,0.001534372365905647
desse,0.004607988974456823,3.0030093967070574e-10
comerciais,0.0045445912053577505,0.002722316132262256
sala,0.004307543218910847,0.002364424456342617
portaria,0.004188637824321417,0.0011004616797433964
horas,0.004064565112446172,0.003442264629102591
cenario,0.003999283441587576,0.005093412096372235
totalmente,0.003868836356642591,0.003372685013674147
05,0.0037251057953952005,0.0
condominio,0.003420279867236009,0.0005975333967924123
projeto,0.0033380358558726233,0.0004900528355397543
cozinha,0.003125764779274598,0.0010317673978065735
empreendimento,0.0030519483423049774,0.00027768519442795145
completa,0.0026870927469896167,0.0009287288429254316
possibilidade,0.0024061533517002465,0.0005221432399878449
andar,0.002272200682997583,0.0007305612268624866
paisagismo,0.0022301192900152866,3.0391210014034335e-05
sauna,0.002214478268967124,0.0005588928746632682
edificio,0.0021030086012201465,0.000601632137314429
alcance,0.0020923431016092175,0.0
amplo,0.0020880891551465996,0.0006986838543555951
disso,0.0020081369765340583,0.0024830998723726393
carros,0.0019398592507701817,0.0005385864735235002
proximo,0.0018994556463699964,0.0014807893110229022
raridade,0.0018762461046603063,2.129547649332153e-10
moderna,0.001827335273856212,0.0009777596553377267
56,0.0018067893985155737,0.00360186029800938
04,0.0017159604045774435,2.3791408054431153e-05
banheiro,0.0016425772945291906,0.00035377535044578336
inferior,0.0015664124212990238,0.0019328449993372234
banheiros,0.001509399688559543,0.0007527440363748113
requinte,0.0014919417011898472,0.0004033874924468525
intimo,0.0014560503334337005,0.0028968690257857115
decorado,0.001396729189688073,0.00030201645860141954
privativos,0.0012940567343274756,0.0005623219178145024
jeito,0.0012401554823314287,0.0024809322355840106
sacadao,0.001103647640921923,0.0006592540538109759
jogos,0.0010878073232742035,0.000498200428932866
visitas,0.00101632980048445,0.0009715394023223397
dupla,0.0010072552140660829,0.0002581874564651482
privativa,0.0009782342874956162,0.0024349383750255685
hs,0.0009747645098814317,0.0019739009130856884
frente,0.0009641215718965812,0.00029791858643332035
selo,0.0009305440667434217,0.0
servico,0.0009203382497385392,0.0004905235370169801
gas,0.0008809911171171692,0.00026471957076004666
panoramica,0.0008675320561855493,0.000755327087857088
elevador,0.0008632890605453803,0.0005209240904065472
03,0.0008543524765093791,0.0001464535630006342
escriturada,0.0008424773141709974,0.0003807983871475603
social,0.0007951922499952024,0.00032529835616741437
petropolis,0.0007600962144115764,0.0004029591231107029
voce,0.0007474551010747454,0.0016898114307741933
onibus,0.0007360878402361993,0.00020446897995681916
composto,0.0007312714980471479,0.001033174305210858
predio,0.0007050592676325574,0.0006573744023384118
disponivel,0.0007002780256942342,0.00041697883352053653
viver,0.0006983035613383537,1.3718978384361295e-05
central,0.0006933191240491299,0.0004956159867572639
fim,0.0006924833846095657,0.0003399698530741712
futebol,0.0006808525593319237,4.871849734541525e-06
uniao,0.0006719738190885449,7.948249725423931e-05
reversao,0.0006677441616031344,0.00035340754837922427
38,0.0006520054348500226,0.0001553545565272083
bares,0.0006491359657394113,8.246829203924296e-05
agende,0.0006375918984709905,0.0003474780319288504
bosque,0.0006138126518869802,0.0007555673591078769
festa,0.0006095483789858802,0.0004066415714584559
tradicional,0.00058385760288584,0.0003784367528967724
referente,0.0005473720054289588,0.0011073151721993745
ambientes,0.0005395899494356593,0.00029194518574288786
tres,0.0005370480584242721,0.0005306582036699752
despensa,0.0005209753971082476,0.00044237790364750354
adulto,0.0005191444964748549,0.00010285767813348662
salas,0.0005082659068960327,0.001016572602449628
distribuidos,0.0005037556089056317,0.0007430310769135739
apto,0.0004986150099692166,0.0004813700962115967
torre,0.0004982961698271948,8.917998137685265e-05
contemporaneo,0.0004927347231406421,1.2032377915813094e-05
vida,0.00049114338750742,2.288117047425816e-05
sendo,0.0004734705446050924,0.0003628997892462428
excelentes,0.000468640317527691,8.15365133531685e-05
semi,0.0004665223575361921,0.000508069664115672
gourmet,0.00045936361033322993,0.0004986240232723156
parcao,0.0004445597217642039,0.00011394186980708268
festas,0.00044096847477019806,0.00029678550323460144
especialistas,0.0004301098783717983,0.0004332451620849359
hall,0.0004255388260137272,0.00013902311758827278
inclusive,0.00042553840496251105,0.0003743794999717628
pronto,0.00042232546280758233,0.0004932044823099786
area,0.0004220566031025941,0.0008230489735475643
luxo,0.00041068883994215265,0.0008673923641230516
01,0.00039777773021303363,9.122682495310637e-05
estacionamento,0.00037631807386036,0.0005223535915531917
jacuzzi,0.00037480580525033335,7.543099372858184e-05
aquecida,0.0003695328211841487,0.0002517816730290621
lado,0.00036548568463770084,0.00019052887059273384
bairro,0.00036494926102459413,0.0005733734526062432
corretor,0.00036225300215326773,0.0003825394121985968
curtir,0.0003544652268087756,0.0002853070847998804
inteiro,0.00034741708199046426,0.0006830531166876379
adega,0.00034087599735366236,0.0006804360741665684
uniritter,0.0003391476064840804,0.0003334245933527429
espetacular,0.0003356286961659238,0.0006859908989809618
lavanderia,0.00033434237097511587,0.00027382433645697793
cada,0.00033406332578365114,0.00010399538641040844
estilo,0.00033006381727449516,2.994461076795975e-05
elementos,0.00031243033111378883,0.00031554027635065406
academia,0.0003049291156594913,7.650559421284737e-05
rio,0.00030363555969628033,0.00019774417701813154
otto,0.0002883042801610225,1.2666945483249063e-05
separadas,0.0002846875050389164,0.00017068881584918381
fachada,0.000282124011509155,0.00017729381959272252
impecavel,0.00027629255187844315,0.00010159483829130997
todos,0.0002748305467459966,0.0008292478076401197
vento,0.00027318789301560286,0.0006074244831103595
localizado,0.0002731404852141628,9.155348909742515e-05
meio,0.0002659185641673112,0.0020790582434622082
split,0.00026145536134527527,0.00024428171989087993
verde,0.0002533850915147795,0.0006769422990953595
deus,0.000253085017843091,0.0005370358722299153
parque,0.000249545462563816,0.00019082522114884483
comercio,0.00024055679530825546,8.191594473046945e-05
coletivo,0.00023675483710026147,1.3602573287162035e-05
recursos,0.00023383859546743935,0.0004165793566163476
cristal,0.00023352589203446962,0.0003244113862210883
cobertura,0.00023224927312293087,0.0003493583324731626
residencial,0.00023118447939272092,0.00041812400780351296
reformada,0.00022820154794742643,0.00019106113328946138
realmente,0.0002274824868583103,0.00020563487481512757
patio,0.0002252193834370475,0.0006714135864389886
infraestrutura,0.0002224320017954362,0.00012733912532691768
duas,0.00022126509333322275,0.00013808254490029886
aberturas,0.00021994043966293563,7.141381213093146e-05
memorial,0.00021304376931519098,0.0
numero,0.00021162498542512954,0.00025321220998851437
entrar,0.00020991403905861182,0.00011670372089239074
esquina,0.00020023726331808156,2.6292534312006195e-05
copa,0.00019804610434392966,0.0005749799506071346
tendo,0.0001921057168089435,0.000372416512399377
auxiliadora,0.00019060264198991205,0.0002756664221996759
habitado,0.00018938443488509816,0.00020914031313271802
spa,0.00018826438406478464,0.0008430596081415673
planejada,0.0001865339731781379,0.0002368330206927487
paredes,0.00018204228252243214,0.00020635375135979035
lancamento,0.00017979357367758908,0.0
facilidades,0.00017949121967464343,0.0001658517510286865
junto,0.0001793899884111161,0.00020402574949637158
farmacias,0.00017716153803188918,7.228396021672799e-05
pertinho,0.0001769673045580955,0.0003047974683235758
salao,0.00017040388058728873,0.0005988520969811012
todo,0.0001678564945200689,0.00048223742062659546
90,0.0001671801226396763,0.00011071936144679777
coberta,0.00016615437035729652,0.00015919127102939097
facil,0.00016411296047187386,0.00014510812537321845
automoveis,0.0001636085314171476,0.00010288713302726294
externa,0.00016196943414694686,1.6275872509430593e-05
belo,0.00016094248383313747,0.00018885044510707678
restaurantes,0.00016088887517218264,6.81049448054537e-05
elevadores,0.00016063696566162022,0.00031674112591843133
parte,0.00016035089527819402,0.00022932759021586014
locacao,0.0001596731989997213,0.0001184159130275996
energia,0.00015607313112993016,8.052592416665117e-05
clubes,0.0001497512085461894,0.00020250007020045148
reformado,0.00014526724181171958,0.000175484460305484
nova,0.0001442515798897981,0.0001160397847123396
infra,0.00014007171341234859,0.00017556773169779747
63,0.00013203200610714116,0.00015322840317559636
telefone,0.00013101769496510763,7.077908346293469e-05
