feature,weight,std
suites,0.23078941877559953,2.222700045742146e-16
sentir,0.1656985403626084,1.0443002694067501e-05
suite,0.05441749720018069,0.00012984289717187569
master,0.036694759462023094,0.00015905868765802092
serem,0.03384400761020972,0.033173426878160384
tranquilo,0.03251686099545467,0.033173517828986955
lavabo,0.015738898425945832,0.00017461146243655885
sofisticacao,0.015565010629996988,5.9157797590826375e-05
lajes,0.014657115357803197,1.3879378421968044e-05
necessarios,0.013836209327419741,0.011063255494408251
lareira,0.01211248788506414,5.426953212091742e-05
nativa,0.011677077436095655,0.010995957453474791
amplitude,0.011247114778472272,3.378652179017714e-05
mata,0.010354999974670702,0.010995735177469674
acabamentos,0.010163922555991857,6.5091258306586824e-06
vagas,0.010049320527035116,0.0016403077926109625
conversar,0.009943578995670097,0.008766220578104025
200,0.008851399013107676,0.01106265368488105
especialistas,0.007799869783932052,0.008765550448184008
dependencia,0.006946577580893187,7.612687310025676e-05
revestidas,0.006143923503785652,5.338441017969584e-05
luxo,0.005905808166589609,0.00013017813814722407
empregada,0.005760314331008974,9.77538873730771e-05
dormitorios,0.0050574339329782616,0.001374524369165851
nobres,0.004921586691731267,1.128385592122452e-05
02,0.00490820375794468,0.00010139272158626748
cenario,0.004907428892834119,8.433039822284015e-07
piscina,0.0046687986537259875,0.0020745215212286763
05,0.0046175318340155765,0.00013070902363480815
disso,0.004483394946974434,3.2502521245077255e-06
fachadas,0.004281858921531815,0.00015653654914128405
bela,0.0038953839099323,8.280031773544811e-05
padrao,0.0037730301345511013,0.0003026534193450197
funcionarios,0.0036179318717900573,1.839515571357903e-07
gerador,0.0032498150509724937,0.0011643008863885971
espaco,0.0027713865379051295,0.0008520451334492119
empreendimento,0.002599608710403801,0.003764183882618944
auxiliar,0.0025793696684648067,8.041942429536031e-05
intimo,0.00244980138791601,0.00012173171185429292
exclusividade,0.0022552636899325733,2.9109076036901183e-05
empregados,0.0021692403768516404,0.0027129048396084174
fitness,0.0020579486402313493,0.002009676359174802
moinhos,0.002033981869339653,0.0001339268120548621
garagem,0.001900894297318283,0.0029236276435719655
lugar,0.0018923478302088192,0.003612980783086072
sacada,0.0018702051204988613,0.003260183989275559
luxuoso,0.0018674468310611201,2.8463558080110406e-05
adega,0.0018549418862497447,0.002607897559880582
deck,0.0018499168200507698,8.421079051429665e-05
vista,0.001822556925832055,0.00018227616819968485
sauna,0.0017859252639306684,0.0012807572296590767
alto,0.001776570448466956,0.0002531012359487161
quadra,0.0016519481718841084,5.144839147280949e-05
elementos,0.0016444049513207174,1.540730789911979e-07
tipo,0.0016188149946314587,0.0013183947085716261
56,0.0015699532052401977,0.0025010172402182163
kids,0.0015196015586497378,0.0005451819200695724
encol,0.00147005772011538,0.0028127144541769803
churrasqueira,0.0014282171963297364,7.892917312764135e-05
apartamento,0.0014270546377603136,0.003297175004328138
localizacao,0.001424691859459923,0.003916928015808752
totalmente,0.0014078912511400633,0.001381142169857186
garden,0.001392883638709618,5.567834672018244e-05
57,0.0013833165223886392,0.0013787128929481768
finamente,0.0013786692179844665,0.0003689084771007456
condominio,0.0013285751776212587,0.0019805658808029997
bairro,0.0013199046583026648,0.0010867226409368017
deposito,0.001301059000046969,0.001482700751870954
75,0.0012873775979662045,0.0017503782461496659
terracos,0.00128510645466337,2.746432511187658e-05
portaria,0.001262402681063578,0.002092168692563282
jeito,0.0012116423334615218,0.0017256122140403053
apto,0.001209332441905184,5.253732603893371e-05
sala,0.0012054781145948666,0.0001232409934154318
alinhado,0.0011745910700991114,0.0017121151918519757
selo,0.0011505244631432976,4.54103410421725e-05
casal,0.0011147227933230675,0.0013256956769689416
cozinha,0.0011101375520111386,0.0015723563686761875
detalhes,0.001101017696035024,0.00023551081699116653
spa,0.00108295668239071,0.0022803999607317526
vida,0.0010815386639557265,0.0020562657982944456
playground,0.001067931273054737,0.00012491385631858306
horas,0.001066693463523837,0.000825542038733455
terraco,0.001061141319231352,0.003275843654527168
viver,0.0010572370160697212,0.00222041571604706
hidromassagem,0.0010349130943777156,0.001132259319875489
horta,0.0010255852996055464,0.003916202159852078
construido,0.0009936200918241017,0.001628778331262209
completa,0.0009917756794500712,0.00014953525866865403
coracao,0.000948784324213842,0.0008273831396177592
raridade,0.0009467391065296406,0.0007880809083151639
edificio,0.000935873777645603,0.0005915322922413627
gourmet,0.0009319592209220524,0.0011719107721896123
salas,0.0009250307194267317,0.0015908657146678003
petropolis,0.0009166613494535795,0.002813086825187227
voce,0.0009138303507008162,0.0005497080380163271
porto,0.0009004354269036013,0.0008302412501098499
meio,0.0008916445788877836,0.0015705589300726514
contemporaneo,0.0008852708092115772,0.002058816623124586
tendo,0.0008834384607803635,0.001567223699757894
praca,0.0008798868127584145,0.0032295378749183368
agora,0.0008695268725591077,0.000635594204026088
20,0.0008660253342567221,2.3046250874778538e-05
avenidas,0.0008472660691077173,0.0035989459740421808
projeto,0.000844060950634403,0.0017307773260651217
proximo,0.0008384189983506625,0.0013962794976292406
isolamento,0.0008368212846041553,0.003595552578017348
unico,0.0008348192871763081,0.0031919843335293475
energia,0.000833619711614337,0.002340881970353809
jardim,0.0008333295043095229,0.003024729628941051
alegre,0.0008212823984703794,0.0008251128966702558
agua,0.0008180275729516088,0.003230820000412333
dispensa,0.000812741442555344,0.000749933585232607
vidro,0.0007902529934573477,4.244948692560216e-05
servico,0.0007897632123376075,0.00013504349051127702
banheiro,0.0007707640989472867,0.0015695392870725333
procura,0.0007670757788246854,3.3559664315484844e-06
decorado,0.0007629876794826381,0.00039249493305924127
cinema,0.0007532632130190597,7.189244602381564e-05
privilegiada,0.0007531634990398128,0.0032295211559802517
alcance,0.000747171312123731,1.381287106757994e-06
andar,0.0007190369896391902,0.0019761725099459206
estilo,0.0007170996396441442,0.0016649511649113693
espera,0.0007139508707148984,0.003228354048683551
inferior,0.0007004839764400917,3.3712367007963212e-06
dormitorio,0.0006966347883851205,0.0008194470662212806
encantar,0.0006923194852197743,0.0007498423785800626
salao,0.0006856753240371251,0.002025928175295152
quadras,0.0006854255394243584,0.003232388039634898
