feature,weight,std
suites,0.3133703516702139,0.044086636561084004
sentir,0.12201843923691635,0.001408412963856863
suite,0.06961163825066372,0.009766169747721577
master,0.057185494000075575,0.0011890616943648978
vagas,0.044374207304022015,0.005336951773002411
lareira,0.028289959606589088,0.0025431380431520686
lavabo,0.021461460363079454,0.0031923267025646368
tranquilo,0.018577165971773724,0.015029339621313439
dependencia,0.017737882871222355,0.0011088104617470898
piscina,0.007600678273387396,0.0007469065690938443
02,0.007051656473105306,0.00132939965219599
dormitorios,0.006358253523963043,0.0005529697657457194
futebol,0.006309331076848124,3.0187440663094496e-05
lajes,0.0054639310937727005,0.0006734124066661867
sofisticacao,0.005181113591153141,0.0022375231718231195
mata,0.004889821704967612,0.008676792109582037
elementos,0.004591332275054261,0.0026113061547675767
significa,0.004249294832677841,0.0010475096287197428
auxiliar,0.003821950650053374,0.0003544567379448455
criar,0.0036543861708393743,0.010483703684510405
tempo,0.003553149391213317,2.613688447568272e-06
sauna,0.002810654281778646,0.00034025576002673743
unico,0.0027339664622929583,0.00028876979279753116
moinhos,0.0027134023541768083,0.0002152355222878375
200,0.002693239217713983,0.005405969575697408
empreendimento,0.0025481066743092253,0.0006834344039502523
fitness,0.002497425724506397,0.0008304873471154698
bela,0.0024956268141868242,0.0005386310467462759
padrao,0.0024618421943698897,0.00022514772300993223
dormitorio,0.0024302271386187567,9.772765134240978e-05
churrasqueira,0.0023247131593392423,0.0004149044183142274
empregada,0.0022410288562798586,0.0014803307954074267
memorial,0.002239083878795545,0.0002381826822146226
condominio,0.002035520888431863,0.00014434701611337536
sacada,0.0018813493937230197,0.00022043024426151304
closet,0.0018594482545889913,9.811755148190225e-05
salas,0.0017837348278846531,0.000266278076524911
vista,0.0017313661645920852,0.00045928090275309185
amplitude,0.0016775821543002945,0.000536425066307427
elegancia,0.0016627609879740657,0.0001550733848723184
bosque,0.0016508461776822525,0.0026497468433873787
sendo,0.0016458681743003246,0.0010338682748250272
serem,0.0015517153327031519,0.003103202245347436
gerador,0.0014323968299922107,0.00011950149058093137
vento,0.0012734978541373509,7.990953657007701e-05
nobres,0.0012620926719995706,0.00014063059628403423
