feature,weight,std
suites,0.16406282002223588,0.06967852542748579
sentir,0.13792470238886007,0.04236024136852343
master,0.053897626620200645,0.042687398191749854
vagas,0.04556773988708521,0.03998064325638913
suite,0.029130346931126615,0.0111650241959695
lavabo,0.02151711582733339,0.023631629410002693
lareira,0.018106795470080955,0.020071659319241174
serem,0.018092872916303814,0.02975694768141599
bosque,0.013322299489392236,0.028708653569690545
tranquilo,0.013277030431408692,0.02655184371116608
lajes,0.011910578982186332,0.010333119393061302
tempo,0.01064798159826717,0.01858065847731337
unico,0.010345856696888105,0.016710061306850328
fachadas,0.010088774118977269,0.009141947953743339
sofisticacao,0.009929339071957637,0.007148921430770444
empreendimento,0.00915140699668504,0.01556313824080678
necessarios,0.009133149742670347,0.01120189503176307
dependencia,0.009130857352237365,0.0067065364056932775
elegancia,0.008538623325881312,0.026059053820327617
sendo,0.007347076821129884,0.009798155265906034
especialistas,0.006867178923722073,0.008852743627503136
conversar,0.006643965419497858,0.008024662307599264
200,0.0065415695780274685,0.010386676065551149
piscina,0.006220289418147614,0.00659387797696252
criar,0.00592080364840996,0.00412067546669568
mata,0.005919909809669986,0.009614307098966305
dormitorios,0.005162313092534076,0.007522722069600802
padrao,0.004971208182498946,0.01233196150290493
preco,0.004863435926163697,0.01772993964645852
revestidas,0.004276570286318709,0.008137920573462638
memorial,0.004249157043786579,0.0043221260262663085
empregada,0.0038461063707823538,0.0033167965711162865
bela,0.003368476455312316,0.0025504077787460487
distribuido,0.003363785067396111,0.014654230593699878
vao,0.003249429660658121,0.008018783860719726
nativa,0.003244527855184369,0.0077308050292725665
amplitude,0.003124767756931236,0.004751437075033096
nautico,0.002864696957619248,0.013634390274605277
belissimo,0.0028190669565809324,0.0025515002890472913
seguro,0.002808714599626285,0.01373792289899907
personalizacao,0.002795320366891402,0.01352751485020389
exclusividade,0.0027035353923492585,0.0026169661845684444
experiencia,0.002680047937853,0.006832609008755033
57,0.0025877794827167343,0.001019377216186199
gerador,0.002372991484954011,0.002361213815099949
futebol,0.002363363171926688,0.0020137698492337435
sauna,0.0023401688649882864,0.0023121228950193835
coberturas,0.0022633484454187315,0.004616925497336761
spa,0.0021718928676422214,0.0024903053614711854
sacada,0.00216924594729154,0.004007932196864974
cm,0.002147257281963773,0.004754964062697662
luxo,0.002136698412327166,0.0022472211667930032
fitness,0.0021217137217808407,0.001912995677566761
adega,0.0020253045939546375,0.0028660329655163467
centers,0.002018520659532422,0.006552798249484081
nobres,0.0020116767027956515,0.0033960911214123263
disso,0.001972339529547546,0.002486081166272764
cadastre,0.001957426929648452,0.004912404162841103
vista,0.001930350058955892,0.0026911646383624755
elementos,0.0019258885850323864,0.0011271639718791855
falar,0.0018941259612067123,0.0030371678399514464
acabamentos,0.0018768994733210581,0.0036284052037142745
auxiliar,0.0018550102124427722,0.0007082319494766616
endereco,0.0018281308657525559,0.010341516028561955
hidro,0.0018006742472658184,0.002778075540649561
saibro,0.0017976412295244535,0.003670013995844393
filhos,0.001791816162548823,0.0025859344798705103
espaco,0.001785270427089212,0.004313789911666908
alto,0.0017774644201154729,0.0016365902388841632
deposito,0.0017424358296181542,0.005697251067403554
privativo,0.0017314181894409865,0.006118824466534659
charmoso,0.001664801382124723,0.0022631064379478594
condominio,0.0016207024557242941,0.0016411709953658637
faca,0.0015417317483469963,0.005401213227198121
02,0.001499490367782289,0.0017410582752460232
gremio,0.001467335772010062,0.009722415432065052
closet,0.0014414426306996694,0.00367845689545515
traz,0.0014239804803516895,0.00947767731659699
club,0.001380188327678827,0.009504912917344706
05,0.001372097879259674,0.0020034776979296334
cenario,0.0013419466658332593,0.001805217069272702
proximo,0.0013039792661850998,0.005614655722165955
moinhos,0.0012935588184464083,0.0016878803726074955
coracao,0.0012646291917587113,0.0017900805842562682
churrasqueira,0.0012645255800781865,0.0010361331417430457
terreno,0.001257757570452162,0.0033902045964124524
tudo,0.001242864552101268,0.005755413705641037
jantar,0.0012230733708636808,0.0020771173335599573
dormitorio,0.0012127633297451415,0.0010702481806762326
quadra,0.0012090901047329854,0.0020566325669708987
detalhes,0.0011991371076185346,0.003339524974582333
idealizado,0.0011836828378416146,0.007566680235838723
uniao,0.0011645090365329388,0.006971550922446183
empregados,0.0011600565682803167,0.0022557331647655187
completa,0.0010972932487930216,0.0009717668328507077
cobertura,0.00109425559100982,0.0014083120734199124
oferecer,0.001074584088555627,0.0018892179689355805
duas,0.0010590855864339556,0.004187813050957016
significa,0.0010482714180634605,0.0016260284508321182
funcionarios,0.0010235561619371233,0.001654539405567632
especiais,0.0010080173359122175,0.002143601650374912
sao,0.0009818495614617498,0.0011145956388572663
vaga,0.0009767763445751156,0.0015127095676765556
garagem,0.0009762618437168912,0.0014037735361250006
outra,0.0009652823967319286,0.0016131256350316388
solucoes,0.0009383060473577733,0.0025511417729736797
tipo,0.0009075806111028103,0.001630717332199919
24,0.0009064705712149483,0.0007501323368598482
bairro,0.0008985554487878097,0.0008199354712112707
amplo,0.0008939546769470589,0.0006199392768148873
cozinha,0.0008766049955065583,0.0012288918787327113
intimo,0.0008740097525586477,0.001967009128745682
conta,0.0008679927799702271,0.0031071144050176373
portaria,0.0008625004571092196,0.0005018383750981891
gourmet,0.0008614448928553144,0.0006915859457195762
ventos,0.0008602833226337942,0.0025722949970244566
facilidades,0.0008572093642025085,0.006264325869596838
dupla,0.0008508034647609594,0.0005553497784101139
decorado,0.000843499707026528,0.0018319086043338776
garden,0.000842821554854244,0.0005938371493058199
parques,0.000838371880942175,0.004716183800391244
gabinete,0.000828877758716683,0.0009105145768647637
aberta,0.0008267021402200325,0.0010147582437621998
playground,0.0008169580537999483,0.0005832221967281019
56,0.0008120838299849795,0.001907626186146945
ventiladas,0.0008093124720140113,0.0040628541070807005
raridade,0.0008048342858055774,0.0016782079818328539
localiza,0.0007850451214570253,0.0021860915012742225
shopping,0.0007830619378550262,0.0011981311368040883
marmore,0.0007819710450199521,0.004182360880985752
salao,0.0007797950908569365,0.001669156679647253
internacional,0.000774613548592915,0.007150365910880023
apartamento,0.0007631625400086211,0.0006784781908738067
ambientes,0.0007629693001012735,0.0007876949201674261
aparece,0.0007543482551776777,0.0056647326759254315
banheiro,0.000752848659714513,0.0011135897973788822
conforto,0.000749756956774739,0.0015339166308544743
guarita,0.0007463266539297848,0.002589519012432362
kids,0.0007372872905212244,0.0012451988747428867
19,0.0007190372440561019,0.0021211371667759836
frente,0.0007145233809408149,0.0025710598768843075
comum,0.0007119286827086163,0.002607862412313399
compras,0.0007058651149529257,0.004006867620147842
concebido,0.0007050738918919178,0.002842960567272174
