feature,weight,std
suites,0.25796956518535014,0.04743663596766584
sentir,0.09356722856933357,0.0013169364329339594
suite,0.048027519149374774,0.0024899914417832194
vagas,0.0364485236079203,0.0019330582974085777
tranquilo,0.03321971968064348,0.021761332022539437
dependencia,0.02738471130357798,0.0025984717923898076
lareira,0.02637049738516233,0.0025196026715636694
master,0.02428247798138301,0.0020236211024901767
elegancia,0.018555642177390586,0.0014237533853145013
lavabo,0.013149739174452547,0.0014093998947142692
piscina,0.012065360809201287,0.0016190064599342529
nobres,0.009058324634840931,0.0010562589852300592
moinhos,0.008170364249072826,0.000572679048754513
unico,0.008025536537148858,0.0010585330823876084
sofisticacao,0.007941862330086424,0.0008742438249879225
dormitorio,0.00757859207367424,0.00018958412542886363
guarita,0.006431461963049468,0.0005456535838920614
vista,0.005507265472955214,0.0015583050625278812
bela,0.005140428107893414,0.001487672770787518
cozinha,0.005068851237133565,0.0007909837456238932
privativa,0.005007553644575724,0.001076316000462125
deposito,0.00415190074472942,0.0006121950529800562
padrao,0.0040989381783733455,0.0004901323500007904
fitness,0.0036523730707184844,0.0007679185161019478
empreendimento,0.003373419487646112,0.0014169493534479467
sauna,0.003155545403048521,0.00041114554794438666
coberturas,0.0029967257930998193,0.00021470389133476477
conversar,0.002927390719588763,0.00040319850058986916
concebido,0.002801746699948926,0.002027949818801227
condominio,0.002570257815324872,0.0003934164529364127
varanda,0.002235548306076729,0.0010245919269068987
saibro,0.002154755421536736,2.38967126233365e-05
estar,0.002090830071764205,0.001418418969272457
sacada,0.001957167329294496,0.0005582605059824267
ventiladas,0.001870451410196128,0.003626057949452883
aquecida,0.0018373609847385896,0.0002929511822439642
gerador,0.0017632268276257523,0.00017420402268210103
individuais,0.0015434555221216727,8.568589615527422e-05
seguranca,0.0015421717853672857,6.612278982238706e-05
dormitorios,0.0015073084668113523,0.00010555756561614873
completa,0.0013618969005734448,9.205359286978916e-05
cada,0.0012251960039112886,5.2782435186206946e-05
luxo,0.0011991564122279196,0.00021375812091575596
deste,0.0011774154167436546,0.002663826984375955
