feature,weight,std
suites,0.22967975011279113,0.111352618669508
sentir,0.1727667450052544,0.083298589769835
suite,0.043648100549584616,0.037270929100402646
master,0.04012479442781756,0.048723136579795
vagas,0.03945126050249188,0.057429254843609015
lareira,0.029278747644384533,0.0669383839267344
tranquilo,0.026521501536861662,0.021866523952047315
especialistas,0.023913919110231996,0.029564790229436633
serem,0.021649495086605325,0.05956410673403774
elegancia,0.01908489376090994,0.04935665164417762
sofisticacao,0.01595096049162967,0.04163957629078893
dependencia,0.015066019219313146,0.057120235252534984
fachadas,0.014996512056574478,0.042348342587345975
lavabo,0.012678737480227034,0.037101175499808986
padrao,0.012263068632944534,0.05655115219570612
bela,0.010829233932360537,0.052860041585068566
deste,0.009636837969878704,0.05067722717432461
piscina,0.009625611737033534,0.030705118329000355
estar,0.009176984256674289,0.06266786823273301
ventiladas,0.009162283759712158,0.054807404504559294
conversar,0.008239513991774791,0.029621605060975966
bosque,0.007760183102154746,0.03828634712559653
coberturas,0.0073475804857134576,0.03617389387265096
empreendimento,0.007205920757751545,0.026618085120804113
moinhos,0.006732958221144093,0.042223356531321934
unico,0.0056739079177470205,0.05813456800097081
vista,0.005664164312988266,0.03672793734716934
lajes,0.004618114763684714,0.033481695373448854
privativa,0.004488753787918332,0.012503631534377354
filhos,0.004328211046598149,0.05461445738152901
concebido,0.004315887803587705,0.03507440492207948
necessarios,0.004063970355107152,0.023014138078554226
luxo,0.004023568035010373,0.029113337059295093
cozinha,0.003863137408521397,0.05858118141061855
sauna,0.0037634762046240104,0.040509200693318044
visitantes,0.003696673344684465,0.029842223318052516
sala,0.0036284883056546774,0.0415755540150877
petropolis,0.00362652309586723,0.002884757254948153
guarita,0.003570430535055772,0.015781912584500627
localizado,0.0034021190238518544,0.011178506494842406
deposito,0.0033903278505215914,0.034020632796693005
detalhe,0.003243082942809106,0.07636913472821139
abrir,0.0031050208375200403,0.04278323791850109
nobres,0.0028598685709897717,0.04590493019069875
fechado,0.0027143570119038036,0.02777713276926758
varanda,0.0025585563472302914,0.033118330535323086
dormitorio,0.002500486218359386,0.04642427207495537
dormitorios,0.002444848731412718,0.032633883241381056
sacada,0.002414579960305124,0.04946484929327998
horta,0.00237936180319871,0.0028847572549484577
raia,0.0023758638896357663,0.028343180265342445
gerador,0.0023005830593904914,0.03469462093814096
cercado,0.002285491392074227,0.021026055718690744
tempo,0.00227197072003423,0.016049515876667274
aquecida,0.0021875852537895034,0.027266177371139014
detalhes,0.002157769195305632,0.03827480755983869
80,0.002026212906034451,0.02388857142161362
sociais,0.0019323157190963098,0.023406118272307003
todas,0.0019141216138580902,0.019021907891232353
maior,0.0019120333808598663,0.0311339417514536
quatro,0.0018733167699471853,0.04327516414938515
tv,0.0017704582399847236,0.032195087448836104
tipo,0.0017676928788572632,0.03791675510313121
ventos,0.0017616502679539418,0.006637557396920341
modernidade,0.001753368328866479,0.018999054006749984
acustico,0.0017514266209818412,0.016561223842529796
privativo,0.001622430838328763,0.02483815424434183
