feature,weight,std
suites,0.23687444785822226,0.021556011378196925
sentir,0.09742563169633348,0.005486284273847902
suite,0.047910838014751135,0.002374184442814285
vagas,0.04516633451832752,0.005398550875600477
master,0.029970065904991627,0.0018558316974116597
dependencia,0.02949862832107921,0.0018578184941460017
lareira,0.027335529640286405,0.0023899180343397285
elegancia,0.024628661126562944,0.0017014807001834323
piscina,0.01446845486909507,0.0017026148661082854
tranquilo,0.014349301345113941,0.010928226626674512
lavabo,0.01356213770551964,0.001324529799996299
sauna,0.013534601379852119,0.000712118290852689
sofisticacao,0.012185485467939983,0.001549911465738881
deposito,0.007649796012454147,0.0002851573296597438
moinhos,0.007435548597243091,0.002819865938831434
gastronomia,0.006637869896724791,0.0057114530360353796
vista,0.006012181603676003,0.002201417414526368
cozinha,0.005554366891466334,0.0019025297114459998
cercado,0.005342792040759825,0.0038426043459887514
padrao,0.0048855822619731535,0.0011812686519259723
unico,0.004703256693649438,0.0009071132392264766
apartamento,0.004421883490355038,0.0013720815845942392
terreno,0.00429569796910243,0.00023330659392895584
guarita,0.004212105157676315,0.0003228028799785159
sacada,0.004112680598003515,0.0025733626041352852
dormitorio,0.004064210767646892,0.00014112390547990386
independentes,0.0039177534403278536,0.0
futebol,0.003720795913881192,0.0
bela,0.003361747330890985,0.001104455794231681
condominio,0.003068491499334236,0.0010723061604756517
estar,0.00246123786311907,0.0014103809249554355
21,0.002410579740925134,4.0875618976438326e-05
gerador,0.0022599225266528135,0.0001743059263289081
luxo,0.0021046419718280473,0.0019499668772928692
varanda,0.002073808829092183,0.0001670791876998074
requinte,0.0020323299686474615,7.552656351559714e-05
especiais,0.001965729673142902,0.0024290640355244565
adega,0.0017358629486359466,0.0006374413626595689
spa,0.0017213129377108948,0.00027981330505195913
especialistas,0.0016926948342345094,0.00017970739191873526
fitness,0.0016445948667370702,0.00032486475684576137
termica,0.0015925695818316044,2.88014143747842e-05
raia,0.001573022515190714,0.0003787735703454057
empreendimento,0.001570609990022942,0.00027025835503176825
memorial,0.0015008951550740778,9.587961894729276e-05
conversar,0.0014923397043075104,0.0002532135084878952
privativa,0.0014571760726130422,0.00036602542833726287
nobres,0.001437492609581703,0.00013237898496583746
interna,0.0012546903196735126,0.0
traz,0.0012026870445627446,0.0006958788845122001
moderna,0.0010723096273951294,4.917903107207347e-05
intimo,0.0010108733893561483,0.00018924121182646453
closet,0.0009937030893906185,0.00011473510815673699
aquecida,0.0009243831985296103,0.0003212125677557417
vidros,0.000898865186686404,0.0001278521578725294
coberturas,0.0008832866864491029,0.00012805920545284
tempo,0.0008670588296388893,0.0
lajes,0.0008552350158182343,0.0005102718426482476
completa,0.000835408360309775,9.152430966629296e-05
necessarios,0.0007833052327003598,0.000715387586801119
exuberante,0.0007698506650714698,5.913703586624049e-05
sendo,0.0007359023830612709,0.00011998933704833673
raridade,0.000699257852921975,9.392385702222946e-05
contemporaneo,0.000661317852866361,8.388477321013e-05
aceita,0.0006452693558559375,0.00018366286761233117
sao,0.000597472695817669,0.0
maior,0.0005808156130618025,0.001170778034491859
tipo,0.0005575837575440224,0.00026702617244205864
arquitetura,0.0004972397208516721,3.4624982533664305e-05
fica,0.0004951694288162667,0.0002388624099979068
onibus,0.000478131207172372,0.0002886553207964372
sociais,0.00044758339117356716,4.49071998585076e-05
contemporanea,0.0004440400813010559,0.0
nobre,0.00044177915713523587,8.287760778351794e-05
copa,0.00043083344673742194,5.36501177085427e-05
sala,0.0004193126968856209,0.0003558065748304239
personalizacao,0.00039295545817936707,0.0007439623219452948
altos,0.0003816741334585094,3.064785283988495e-05
privativo,0.00037143644255310804,0.0
luxuoso,0.00035793029519852747,0.00020015653611654187
churrasco,0.0003391188925068622,0.00020182018781300927
corretor,0.0003208882053005624,0.0003037786456882291
planejada,0.00030654899936699564,1.2760929627209094e-05
dependencias,0.00030562840747909713,6.767640815255852e-05
valores,0.00029391077233031915,0.0
alto,0.00029282664183059024,0.00015070663544409013
idealizado,0.00028937165228068993,5.7496192483345275e-05
tres,0.0002809612350400226,0.0002259431512854491
balcao,0.0002499465528311706,0.0003618031526344367
imponente,0.00023470319225873392,9.859654056242619e-05
viver,0.00021020570861853826,0.00010202639500325615
concebido,0.00020787551531471494,0.00037967900575814175
101,0.00019694409169424,0.0
uniao,0.0001938791803679951,2.083722160334765e-05
hall,0.00018530508378939993,5.1252962833061594e-05
granito,0.0001828701048858239,3.3103344486195284e-05
dormitorios,0.00017025696136543366,0.00011979187855830744
unidade,0.00016465567113057577,4.407515575840698e-05
