feature,weight,std
suites,0.24695061135470753,0.04268921907974938
sentir,0.10222896884908414,0.0021615486701459753
suite,0.04621078569152257,0.002494737041049355
vagas,0.03513074514186756,0.0030843360586685653
dependencia,0.027308934267619444,0.0019092500728624222
tranquilo,0.02684317381604784,0.01808663310901033
lareira,0.025661886900640106,0.00306752893249455
master,0.02296886273485259,0.0019502038269111812
elegancia,0.016146651460329654,0.0013311432794138414
concebido,0.01355896938492116,0.008641129124075622
lavabo,0.012577608380969019,0.0009956261145827516
piscina,0.012116274888682343,0.0014872943779119302
sofisticacao,0.011199176828710012,0.002997634365623606
moinhos,0.008913565648191946,0.0016466613299787785
vista,0.00747760119509655,0.00476798615981142
padrao,0.006996774810367756,0.00047337334020321057
nobres,0.006908179212199906,0.0007523387841002928
dormitorio,0.006770906235665097,0.0003274687293767851
sauna,0.0051834305874080226,0.00027583191782413064
conversar,0.005080865237101761,0.000570698820956162
privativa,0.0048745803444972145,0.0010897245096368271
deposito,0.004814405200810046,0.0019186371411760508
guarita,0.0046565692948743465,0.0004946507224861044
empreendimento,0.004074772260210291,0.0013644064151182296
21,0.0037899554375219412,4.6784813660153446e-05
ventiladas,0.003525073458614347,0.004775073313273179
serem,0.003524918942617461,0.007049837885234922
intimo,0.0032032870326305085,0.0002108672556347148
bela,0.0031854445041939574,0.00039364387976978236
fantastica,0.0024718389884268444,0.0003527343571702256
condominio,0.0023095946959659887,0.001059956757551736
lajes,0.00228689046246755,0.0006459086164926475
completa,0.0021679101089095098,0.0004096417075609923
unico,0.0021309560556068917,0.0008198051508196762
varanda,0.002057648889229169,0.000246779928826624
fitness,0.0017840728364096892,0.0003078985587121419
dormitorios,0.0017159429265625192,0.00012955351499110214
gerador,0.0015478784709561876,0.00023486856539254352
closet,0.0014878782866089458,0.0002688338643338827
amplitude,0.00132727001046673,0.0
luxo,0.0012536913381200553,0.0003025418913348543
sendo,0.001233031824880948,0.00022707667531666364
detalhe,0.0011750118734316529,8.596511482367175e-05
cozinha,0.0011618193321500491,0.0021564013001640304
bosque,0.0011459657744773422,0.002654864395849811
corretor,0.0011130528358423764,0.0002173508432260305
raridade,0.0010892034040993037,0.00018876424216115274
banheiro,0.0010670619065069164,0.0003664647873989737
aquecida,0.0010398623629231274,0.0005665843695586178
coberturas,0.0010139975082845477,0.0001292533853554583
terreno,0.0010109094827713827,0.00013185784051542655
privativo,0.0010058301338742748,0.0001920083480952115
iluminacao,0.0009972427391802484,0.00012471664759233122
altos,0.000990034264855888,6.494586685615165e-05
proximo,0.0009760666140764096,0.00010701071696409483
raia,0.0009252351939335491,0.00020464051116701867
cenario,0.000889646847088299,0.00033933105147578794
sociais,0.000871763968401118,9.907721363693e-05
alto,0.0008236480681917735,0.0003017942972615882
saibro,0.0007945750781944927,3.954416739642368e-05
lavanderia,0.000764573000322799,2.2445046696532006e-05
visite,0.0007351500205768247,0.0009041210699021243
traz,0.0007306287231607422,0.0009008476881413204
tempo,0.0007205037238333656,0.0
mata,0.0007163099450930632,0.0028850517669097757
internacional,0.0006713113510734336,3.332310713959355e-06
rara,0.000644482377450406,0.00047676213840570615
memorial,0.0006365758553298573,0.00013410192706997834
vao,0.0006342505109012686,0.0005322180392615946
tres,0.0006063383029504931,4.333305340871026e-05
auxiliar,0.0006010142077341296,0.0001559304845122764
sacadao,0.0005912417425473215,3.0254928108724174e-05
gabinete,0.0005687949560714056,0.0001475056075012743
spa,0.0005551039954273529,5.9432613287699016e-05
apartamento,0.0005503193726214883,0.0003233059107235613
park,0.0005021400431642453,0.0001653384750485769
coracao,0.00047617956545262794,0.00015892412444194163
acabamentos,0.00046885671613068337,0.00012985641905272402
aceita,0.00044977035139039947,0.0003729210458125474
termica,0.0004302879683058647,2.6158561502366785e-05
praticidades,0.00042842965624672046,9.545043275674352e-05
jacuzzi,0.00042689189834466124,3.054053796226055e-05
carros,0.0004155044832292676,0.00033658739838239034
contemporaneo,0.00041185704132002955,3.816690067823813e-05
condominial,0.0003964413160006508,0.00033768222963918404
decorado,0.00037225050932216953,5.124247499885825e-05
dupla,0.00036845948579680157,0.0002679602344830165
financiamento,0.00036059142996349716,0.0002039199090891744
alinhado,0.0003465206022503109,0.00022332656496417287
24,0.00033815752127723807,0.00012792665029509901
cm,0.00033491884506049453,0.000423998639991163
onibus,0.00033128474329715554,0.00037737436735468815
churrasco,0.00032697907162000385,0.00015457388285087403
19,0.0003249440742436827,4.7211862274307714e-05
codificado,0.00031873651303122587,6.762827629632154e-05
exuberante,0.0003135299401461511,6.473810285928826e-05
abrir,0.00029803300537472043,0.0007531400787878761
lugar,0.00028765475099570283,0.00040375248240874506
codificados,0.00027704530021237516,3.9400450120241057e-05
aquecido,0.0002750027105527852,8.195572781067395e-05
petropolis,0.00025925683499818943,0.0005185136699963789
arquitetura,0.0002567518226362919,1.3194167421658466e-05
individuais,0.00024100992943649758,4.574936658204465e-05
preco,0.00023984169900059804,0.0
exclusivo,0.00023914858042972664,0.00027968773291056425
160,0.00023464674667512676,0.0001392033348914098
ja,0.00023334260237544145,0.0002937794524594956
adega,0.00023240278189387009,0.000129907215125701
porta,0.00022710007519934904,0.0002820357572371114
whatsapp,0.00022562338927327729,0.00027633108887843445
zelador,0.00021468087613465414,0.0010884383963127814
central,0.00020534132878642365,0.0005060527028403453
jantar,0.000204233234882234,0.0002931360977655022
encol,0.0001990863734499415,1.8049899543898082e-05
balcao,0.00018733970758686436,0.00026522199538688766
nobre,0.00018110555132828666,2.908832044694093e-05
churrasqueira,0.0001787547795315536,0.00010000146446903331
copa,0.00017271788912598396,0.00010711536189735364
experiencia,0.0001581592411229016,0.00023139359331686627
falar,0.00014643973736241377,0.00028571529852069257
moderna,0.00014551143020642422,6.482715982133753e-05
serrat,0.00013680648294649432,0.0001806795106976205
