feature,weight,std
suites,0.23119580672290097,0.1126934897557872
sentir,0.177023637027547,0.08519581285212573
suite,0.044259402804535546,0.046692842550761525
master,0.03918970914801449,0.05006373086079843
vagas,0.03850003923806826,0.06310055526777938
serem,0.032004873727514774,0.03668487285238719
tranquilo,0.028716812997937883,0.019486466866970562
lareira,0.028416400129435356,0.06713114487722711
sofisticacao,0.01889183167197268,0.052507318081311996
elegancia,0.017344684884904534,0.045885271049057375
dependencia,0.016256820628774295,0.051890612325773015
fachadas,0.013980300097663321,0.04238238193425295
lavabo,0.012643068567831173,0.03770673268586968
padrao,0.011434388475740881,0.054339825530407726
concebido,0.011220600448300469,0.0573578599796352
piscina,0.011019625740579428,0.02931198668117542
conversar,0.010473402180982224,0.03233040571934293
ventiladas,0.009296911837878688,0.057948758667506484
empreendimento,0.008186857113835641,0.024284938790247363
bosque,0.007124472224570549,0.04449499775958772
moinhos,0.006118709245916761,0.04141904953013905
coberturas,0.005810662442794721,0.03119850782269032
mata,0.0052823195939342114,0.03209023306808548
privativa,0.004466096296289602,0.012620593236663766
abrir,0.0044272136959509125,0.04574740160232999
todas,0.00440849513488802,0.03962519532096653
lajes,0.004304582724009012,0.023252207603010354
sauna,0.004291511648198552,0.03922610276337489
bela,0.00407289910425538,0.032632828809182605
necessarios,0.004013838538071222,0.044440592533637135
varanda,0.0037917413980994292,0.03420651743300829
tv,0.0037281134121514904,0.019941253338148883
petropolis,0.003639978155482698,0.002884757254948352
vista,0.0036082295934555487,0.026846310654305025
unico,0.0035495472437271146,0.03718753796270394
filhos,0.0035297236302339755,0.06727540428421924
deposito,0.003506259229589351,0.033506101582943114
raia,0.0034329906266125474,0.02468845994419497
seguranca,0.0033244581768516984,0.009162183414236025
guarita,0.0031728399068511725,0.01352401827857298
ventos,0.0030896317442607,0.01314740398927736
detalhe,0.0030808414587530303,0.05740144158811495
cm,0.002897113024428247,0.03813097358403741
privativo,0.0028311986354406142,0.03830628656119792
proximo,0.0028007948660022037,0.020482456081273206
blindada,0.002575676364479503,0.03651328198323392
dormitorio,0.0024218660649049633,0.03416678241234868
memorial,0.0024168262285419358,0.030287331433026258
horta,0.002388189667812201,0.0028847572549483775
ja,0.002343514325097091,0.0476549978329685
traz,0.002279975801544238,0.03275914961131745
luxo,0.0021829342369732146,0.030011588344371894
maior,0.0021546802813630665,0.04917961082162552
cozinha,0.001995589908898565,0.036386173483617126
sacada,0.001960822830764428,0.030229304187218767
tempo,0.0019344336309276367,0.0028155067445752107
gerador,0.001928995366548415,0.021876623814675696
aquecida,0.0019091006825982032,0.022045593526100474
nobres,0.0018950161619264274,0.03436454493571036
dormitorios,0.0018459091890790321,0.03189969328507692
marque,0.0017956149847288597,0.018703937450838058
zelador,0.0017853667975004745,0.024969537597684825
viver,0.0017773017939848074,0.04053229885723865
condominio,0.0017152452766181802,0.036815956820092414
visite,0.0017119994827029979,0.02286630096110529
vao,0.0016470568007934032,0.04467035451643656
experiencia,0.0016207567615903766,0.00920759501402553
belissimo,0.0016188975215661655,0.03378621255523878
feito,0.001587976307417724,0.026542707030840003
ilha,0.0015684145179931932,0.04625663897218087
acustico,0.0015668912410516007,0.0027780982403926373
fitness,0.0015233597003121422,0.020999298165873367
requinte,0.0014972264336621057,0.03091865093645778
raridade,0.0014887948248542633,0.017860777863713168
000,0.0014739739337793537,0.01675148748681154
falar,0.001457380382112767,0.02137430249448942
lugar,0.0014546588865791002,0.03877446165300088
pensado,0.0014091321646654217,0.023694090878346525
alinhado,0.0014048460286798493,0.03916102998263606
56,0.0013193635478018276,0.030070571019639936
espera,0.001269181905251541,0.002697685508133497
praticidades,0.0012655029143094473,0.03751713963859954
intimo,0.0012435992696806554,0.021932645794297025
porta,0.0011761234463958708,0.014685718996757769
compras,0.0011532247100153065,0.02460761038952913
amplitude,0.0011470705225491054,0.017042066252762722
mao,0.0011341768965363681,0.01941430650385545
localiza,0.0011289753088992286,0.018331771096107626
57,0.0010957621705786082,0.04744488698731412
empregados,0.001077647756660059,0.02097512391635444
moderna,0.0010712776718524216,0.029759641960358005
hidro,0.0010665351973795658,0.026227661802383312
encontrar,0.0010615628123608807,0.014056978313875956
closet,0.0010376623066616043,0.01998896347868468
adega,0.0009890615522147117,0.03628802643069786
apartamento,0.0009323127186229256,0.018246916723699793
gabinete,0.0009120404712310439,0.02586659599110984
solucoes,0.0009035293588936967,0.025446236888945935
alto,0.0008981590809561201,0.017909057923253063
internacional,0.0008798271502068017,0.03718328319422497
espaco,0.0008758014751287312,0.018456325185563487
futebol,0.0008563358754065632,0.0077641092189137196
exclusivo,0.0008386696204264816,0.01912608990078011
spa,0.0008360758834272579,0.012425795615370008
reaproveitamento,0.0008327102480353191,0.002294943602099633
privilegiado,0.0008148446017509168,0.003909944358481022
visitantes,0.0008131318070389047,0.008469948506494039
diferenciado,0.0008054713493948099,0.04027696818332097
55,0.0007979997526286809,0.018247426140358895
terreno,0.0007836136546374566,0.022634909485906938
encantador,0.0007767701390502437,0.02245890453493094
churrasco,0.0007433495357680919,0.03652274832925438
forma,0.0007380166697829813,0.0023552733449157103
central,0.000728285616962738,0.021057062216022458
