feature,weight,std
suites,0.23429061923742317,0.028107725966340386
sentir,0.10148549530283976,0.004718084982216425
vagas,0.06634447111054946,0.019804503306146404
suite,0.04524284587238485,0.002090723061443124
dependencia,0.02955289380105659,0.0028345585170745096
lareira,0.029166000061214968,0.004166945802452771
master,0.028583676070017085,0.0018156425575919523
elegancia,0.022111895138175953,0.0014379261249482269
residenciais,0.02074371090881908,0.017517547390865067
tranquilo,0.01755542177974765,0.011720733207773955
sofisticacao,0.01467389763954614,0.0014226353791900964
piscina,0.010388640635754887,0.0006484392481710455
lavabo,0.010249179644498674,0.0010030816073482091
moinhos,0.008089633327329726,0.004097028914571996
padrao,0.007086360581449225,0.00019644794398545153
deposito,0.006266468532105907,0.0004187350223197292
guarita,0.005916828060799584,0.0005934326474061517
serem,0.005779416417594452,0.011558832835188904
privativa,0.005372778054283889,0.0010405308698926078
dormitorio,0.004465580659389357,0.0003398902120870135
concebido,0.0041152183027704185,0.0029336715170314126
luxo,0.004077127037622618,0.00046520773339257934
unico,0.004058128584829257,0.0016428201967553689
terreno,0.003991354468098796,0.0005040864808854343
sauna,0.0038291886365018346,0.001164801900773717
sociais,0.003370069529371289,0.00051838441725315
empreendimento,0.0033450620357401207,0.0012748464721135532
condominio,0.0031618722104660214,0.0009423596999967108
vidros,0.0030423401037944055,9.905970474575004e-05
vista,0.0030031951132576617,0.0013630680347690364
gastronomia,0.002977333673834437,0.003393684337205413
cozinha,0.0025982829798271378,0.0005723836769008164
aquecida,0.0022631496143271867,0.0008097349416920579
varanda,0.0022252072900221576,0.00010246741231337956
completa,0.0021865647460977966,0.00041720034313519116
gerador,0.0020674868256599366,0.00033047473185104616
unica,0.00198022525367727,0.00046188118836268356
adega,0.0019480831429680822,0.0011380946831255193
sacada,0.001883349950692681,0.0009248927670092572
intimo,0.0017949097173991957,0.00013731656076193795
bela,0.001753180591152459,0.0005267452760461862
tempo,0.0016588131246641602,0.0003768260063524487
conversar,0.001654977777392319,0.00031593353717139624
coberturas,0.0015562372721078966,0.0002734271581685994
privativo,0.0014031760660053738,0.0001742830820852248
fitness,0.0013446457267920265,0.0008330065683386905
traz,0.0013440592231514614,0.0007726275006316251
nobres,0.0013109008150622215,0.00013265629988481667
requinte,0.0012207487494696689,0.00015385599366059285
kids,0.0011545216579994743,7.396408493031686e-05
tipo,0.0011424979965358295,0.00013680037788767007
belissimo,0.0011327514787669245,0.0005457144202633303
projeto,0.0011005298343610193,0.00017094386449816314
necessarios,0.0010395371126992402,0.0006953802680559679
especialistas,0.0010346509747603872,0.0002718412471061745
memorial,0.0010135752632455032,8.688727694469395e-05
sacadao,0.0009912919901273742,5.001268044998869e-05
56,0.0009869562220905293,0.00026067062907100846
cada,0.0009440968342674605,4.540555523330998e-05
apartamento,0.0008973667442749855,0.0007218558466908303
exuberante,0.0008215710655950393,0.00013298255333875215
sendo,0.0007742829451607314,0.00024936627846126923
gabinete,0.0007221064906248742,0.0003183375496104386
blindada,0.0006756055332890698,0.0005997007806020959
moderna,0.0006553318738693248,4.4013857729699725e-05
alto,0.0006399739476090627,0.00016947273807855654
raia,0.0006374473760378141,0.000175082695408711
momentos,0.0006343602465630038,2.1869975396793252e-05
balcao,0.0006331011705347,0.0015480386850633236
arquitetura,0.0005265216179781707,3.1366261120484736e-05
pastilhas,0.00051709935361548,0.00035667366018177714
contemporanea,0.0005152506379166866,0.0
acabamentos,0.0005042871365194435,4.657362737142529e-05
aceita,0.0004978390713302084,0.0002710416535759571
fantastica,0.0004806410164017061,0.0003025847938349109
estacionamento,0.00047849033572791024,0.0006229150101089249
onibus,0.00045622215870373407,0.0003000453968319131
maior,0.00044725292695910743,0.00016536034743514882
contemporaneo,0.0004363327329229616,3.8426701137339594e-05
nativa,0.00040327321992881247,0.0012870608667500541
rara,0.00034868316112124376,0.00029272120738818986
individuais,0.000343370748716576,0.0001648393181376217
124,0.0003269104950923252,6.787247277239642e-05
copa,0.00031521275812336215,0.00011599882481526963
carros,0.0003109203441270081,0.00015545963940119626
idealizado,0.00031053288735083395,4.5757690288092124e-05
especiais,0.00030905801386569285,0.00039241543202209796
luxuoso,0.00030322400068409915,0.00017302410874782783
churrasco,0.0002917333214157436,6.042998901686824e-05
pagamento,0.000290988675328574,0.00010002959251575791
americanas,0.0002851957307961728,4.3907747546232684e-05
comuns,0.00026594099976948724,2.5705597334990673e-05
dupla,0.00026136059744013006,6.524406901451357e-05
especial,0.0002605532207379024,0.0005211064414758047
auxiliar,0.0002500640013307631,0.00013062525725727374
garden,0.00022247771372667645,0.00026252580206676007
granito,0.0001987314044601618,0.0003265212492229513
jantar,0.00019169496073248026,9.459413988138766e-05
nobre,0.00018957533168024733,3.9905967032593425e-05
duplex,0.00018887097412358944,0.00029612663041108246
praticidades,0.00018277217383391164,2.838463118705894e-05
personalizacao,0.00018225472869890514,0.0003048108448251187
tudo,0.00017389618268148777,0.00014802112127870634
espaco,0.00015928634588373568,5.8309977630432995e-05
uniao,0.00015589914350639945,5.9733371130754416e-05
tres,0.00014779741630088772,5.554233900450793e-05
lugar,0.00014668875974401807,0.00029337751948803613
imponente,0.00014360179233410263,3.6642800488756145e-05
raridade,0.00013319730974419296,0.0001962167215144265
falar,0.0001329616154744695,0.00027723590550209407
filhos,0.00012940988156995292,0.00037230742869110594
encontrar,0.00012886377491758694,0.0001592766479119673
55,0.00012690354597360009,0.0002538070919472001
closet,0.00012445523515196565,0.00013573732012907213
05,0.00011281900321158389,0.0001866999767846468
anchieta,0.0001064849225462572,2.521733181467987e-05
construtivos,9.101099471366946e-05,5.408377810605251e-05
lazer,8.614382189642278e-05,0.00017228764379284556
finamente,8.586680064563979e-05,0.00014702854356144675
novo,8.408857783717138e-05,7.781308295266014e-05
cenario,7.688037008135584e-05,9.848716308387156e-05
encontra,7.213953855340627e-05,2.9295611026913802e-05
